# Monthly average temperature data for Mexico.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1849,7,1849.542,20.127,2.104
1849,8,1849.625,19.968,2.364
1849,9,1849.708,19.464,1.044
1849,10,1849.792,18.939,1.063
1849,11,1849.875,20.211,1.523
1849,12,1849.958,19.839,1.481
1850,1,1850.042,21.356,2.055
1850,2,1850.125,20.686,1.952
1850,3,1850.208,20.506,1.363
1850,4,1850.292,19.667,1.546
1850,5,1850.375,18.411,1.258
1850,6,1850.458,19.235,1.831
1850,7,1850.542,20.078,2.068
1850,8,1850.625,20.882,1.970
1850,9,1850.708,20.455,0.797
1850,10,1850.792,20.263,1.482
1850,11,1850.875,19.596,2.323
1850,12,1850.958,17.779,2.035
1851,1,1851.042,20.116,1.604
1851,2,1851.125,19.322,1.479
1851,3,1851.208,19.678,1.700
1851,4,1851.292,20.137,1.421
1851,5,1851.375,20.553,1.454
1851,6,1851.458,20.435,1.402
1851,7,1851.542,19.772,1.017
1851,8,1851.625,20.475,0.852
1851,9,1851.708,19.584,1.025
1851,10,1851.792,19.933,1.506
1851,11,1851.875,18.707,1.453
1851,12,1851.958,19.531,1.256
1852,1,1852.042,17.790,1.369
1852,2,1852.125,21.634,1.928
1852,3,1852.208,19.841,1.472
1852,4,1852.292,19.983,1.502
1852,5,1852.375,20.437,1.391
1852,6,1852.458,19.663,1.137
1852,7,1852.542,19.911,0.904
1852,8,1852.625,19.888,1.222
1852,9,1852.708,19.584,0.914
1852,10,1852.792,19.281,1.046
1852,11,1852.875,19.274,1.273
1852,12,1852.958,20.901,1.072
1853,1,1853.042,18.641,1.089
1853,2,1853.125,18.721,2.090
1853,3,1853.208,19.019,1.302
1853,4,1853.292,20.459,1.065
1853,5,1853.375,20.393,1.123
1853,6,1853.458,19.430,1.419
1853,7,1853.542,20.516,1.699
1853,8,1853.625,19.351,1.473
1853,9,1853.708,19.409,0.917
1853,10,1853.792,19.317,1.145
1853,11,1853.875,20.409,1.732
1853,12,1853.958,19.903,1.237
1854,1,1854.042,19.250,1.784
1854,2,1854.125,19.690,1.249
1854,3,1854.208,21.204,0.877
1854,4,1854.292,19.854,1.258
1854,5,1854.375,19.619,0.872
1854,6,1854.458,19.385,1.317
1854,7,1854.542,19.420,1.631
1854,8,1854.625,19.223,1.418
1854,9,1854.708,19.212,0.800
1854,10,1854.792,20.648,1.262
1854,11,1854.875,19.511,1.192
1854,12,1854.958,18.749,2.601
1855,1,1855.042,20.084,1.569
1855,2,1855.125,19.122,1.903
1855,3,1855.208,18.899,1.115
1855,4,1855.292,20.415,1.438
1855,5,1855.375,21.302,1.260
1855,6,1855.458,19.715,1.355
1855,7,1855.542,19.075,1.503
1855,8,1855.625,19.108,1.031
1855,9,1855.708,18.852,0.989
1855,10,1855.792,18.647,1.257
1855,11,1855.875,19.755,0.928
1855,12,1855.958,19.693,1.868
1856,1,1856.042,17.365,1.443
1856,2,1856.125,18.777,1.511
1856,3,1856.208,19.560,1.382
1856,4,1856.292,20.769,0.897
1856,5,1856.375,20.056,1.159
1856,6,1856.458,20.996,1.666
1856,7,1856.542,20.338,1.086
1856,8,1856.625,20.976,0.794
1856,9,1856.708,18.738,1.142
1856,10,1856.792,18.780,1.252
1856,11,1856.875,18.584,1.211
1856,12,1856.958,18.287,1.617
1857,1,1857.042,18.922,1.570
1857,2,1857.125,20.893,1.406
1857,3,1857.208,19.633,1.745
1857,4,1857.292,18.142,2.528
1857,5,1857.375,19.289,1.902
1857,6,1857.458,20.054,1.543
1857,7,1857.542,19.734,1.261
1857,8,1857.625,19.926,0.824
1857,9,1857.708,18.728,0.964
1857,10,1857.792,19.091,1.108
1857,11,1857.875,19.837,0.886
1857,12,1857.958,19.435,1.125
1858,1,1858.042,19.862,1.679
1858,2,1858.125,19.278,1.694
1858,3,1858.208,19.585,1.353
1858,4,1858.292,20.447,1.354
1858,5,1858.375,20.813,1.601
1858,6,1858.458,19.627,1.193
1858,7,1858.542,20.015,0.962
1858,8,1858.625,19.290,0.891
1858,9,1858.708,19.381,1.313
1858,10,1858.792,21.054,1.223
1858,11,1858.875,18.385,1.178
1858,12,1858.958,18.954,1.025
1859,1,1859.042,19.216,1.654
1859,2,1859.125,21.392,1.457
1859,3,1859.208,20.259,1.489
1859,4,1859.292,19.699,0.995
1859,5,1859.375,20.997,0.951
1859,6,1859.458,20.628,1.207
1859,7,1859.542,19.673,1.602
1859,8,1859.625,20.261,0.778
1859,9,1859.708,18.963,0.757
1859,10,1859.792,19.353,0.936
1859,11,1859.875,20.410,1.131
1859,12,1859.958,17.546,1.025
1860,1,1860.042,19.264,1.258
1860,2,1860.125,19.150,1.171
1860,3,1860.208,19.486,1.469
1860,4,1860.292,20.060,1.542
1860,5,1860.375,20.771,2.239
1860,6,1860.458,20.780,1.214
1860,7,1860.542,20.476,1.410
1860,8,1860.625,19.577,0.750
1860,9,1860.708,19.451,0.805
1860,10,1860.792,19.908,1.192
1860,11,1860.875,19.345,1.705
1860,12,1860.958,19.392,1.215
1861,1,1861.042,18.968,2.171
1861,2,1861.125,19.551,1.545
1861,3,1861.208,19.894,1.734
1861,4,1861.292,20.446,1.806
1861,5,1861.375,19.843,1.772
1861,6,1861.458,20.536,1.485
1861,7,1861.542,20.891,1.190
1861,8,1861.625,19.944,1.355
1861,9,1861.708,19.562,1.696
1861,10,1861.792,18.751,1.280
1861,11,1861.875,21.097,1.279
1861,12,1861.958,21.300,1.356
1862,1,1862.042,21.554,2.131
1862,2,1862.125,19.200,1.437
