# Monthly average temperature data for Moldova.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1750,1,1750.042,9.335,2.602
1750,2,1750.125,9.003,2.844
1750,4,1750.292,9.451,2.524
1750,5,1750.375,7.830,2.535
1750,6,1750.458,9.278,2.555
1750,7,1750.542,9.978,2.613
1750,8,1750.625,10.043,2.560
1750,10,1750.792,7.373,2.518
1750,11,1750.875,4.210,2.570
1750,12,1750.958,5.743,2.643
1751,1,1751.042,7.690,2.633
1751,2,1751.125,5.937,2.671
1751,3,1751.208,10.708,2.577
1751,4,1751.292,7.749,2.500
1751,5,1751.375,8.462,2.519
1751,6,1751.458,8.473,2.561
1751,7,1751.542,10.625,2.584
1751,8,1751.625,9.965,2.512
1751,9,1751.708,8.924,2.498
1751,10,1751.792,7.257,2.385
1751,11,1751.875,5.758,2.417
1751,12,1751.958,6.969,2.622
1752,1,1752.042,7.140,2.579
1752,2,1752.125,10.904,2.488
1752,3,1752.208,10.395,2.365
1752,4,1752.292,8.105,2.401
1752,5,1752.375,8.858,2.352
1752,6,1752.458,10.086,2.327
1752,7,1752.542,10.633,2.394
1752,8,1752.625,8.598,2.494
1752,10,1752.792,8.620,2.372
1752,11,1752.875,8.911,2.398
1752,12,1752.958,8.016,2.517
1753,1,1753.042,8.557,2.469
1753,2,1753.125,7.975,2.542
1753,3,1753.208,10.968,2.455
1753,4,1753.292,9.104,2.545
1753,5,1753.375,9.475,2.326
1753,6,1753.458,9.339,2.477
1753,7,1753.542,9.320,2.508
1753,8,1753.625,8.459,2.412
1753,9,1753.708,8.656,2.365
1753,10,1753.792,9.090,2.370
1753,11,1753.875,7.698,2.365
1753,12,1753.958,4.759,2.684
1754,1,1754.042,8.691,2.467
1754,2,1754.125,6.681,2.537
1754,3,1754.208,7.816,2.373
1754,4,1754.292,11.161,2.423
1754,5,1754.375,10.084,2.380
1754,6,1754.458,10.110,2.416
1754,7,1754.542,9.289,2.566
1754,8,1754.625,8.262,2.467
1754,9,1754.708,8.091,2.365
1754,10,1754.792,9.720,2.471
1754,11,1754.875,8.747,2.830
1754,12,1754.958,8.760,2.457
1755,1,1755.042,7.476,2.564
1755,2,1755.125,5.725,2.837
1755,3,1755.208,8.529,2.496
1755,4,1755.292,10.278,2.580
1755,5,1755.375,9.917,2.380
1755,6,1755.458,11.019,2.557
1755,7,1755.542,10.208,2.809
1755,8,1755.625,7.763,2.465
1755,9,1755.708,8.077,2.345
1755,10,1755.792,10.358,2.326
