# Monthly average temperature data for Monaco.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1750,1,1750.042,7.176,1.617
1750,2,1750.125,8.710,1.893
1750,3,1750.208,11.208,2.320
1750,4,1750.292,9.650,1.380
1750,5,1750.375,8.170,1.409
1750,6,1750.458,9.730,1.497
1750,7,1750.542,9.814,1.534
1750,8,1750.625,10.008,1.382
1750,9,1750.708,9.266,2.015
1750,10,1750.792,8.529,1.358
1750,11,1750.875,6.607,1.408
1750,12,1750.958,6.937,1.580
1751,1,1751.042,7.558,1.668
1751,2,1751.125,6.577,1.547
1751,3,1751.208,10.222,1.384
1751,4,1751.292,7.779,1.369
1751,5,1751.375,8.361,1.467
1751,6,1751.458,9.091,1.517
1751,7,1751.542,10.147,1.487
1751,8,1751.625,10.527,1.344
1751,9,1751.708,8.908,1.309
1751,10,1751.792,8.010,1.461
1751,11,1751.875,6.232,1.525
1751,12,1751.958,6.808,1.910
1752,1,1752.042,8.124,1.681
1752,2,1752.125,10.566,1.586
1752,3,1752.208,9.428,1.357
1752,4,1752.292,8.158,1.399
1752,5,1752.375,8.636,1.420
1752,6,1752.458,11.416,1.338
1752,7,1752.542,9.555,1.455
1752,8,1752.625,8.442,1.606
1752,10,1752.792,8.727,1.406
1752,11,1752.875,9.061,1.494
1752,12,1752.958,7.981,1.743
1753,1,1753.042,6.258,1.689
1753,2,1753.125,7.858,2.432
1753,3,1753.208,10.007,1.623
1753,4,1753.292,9.298,1.391
1753,5,1753.375,9.500,1.020
1753,6,1753.458,12.240,1.497
1753,7,1753.542,10.595,1.254
1753,8,1753.625,8.781,1.539
1753,9,1753.708,9.414,0.954
1753,10,1753.792,9.034,1.226
1753,11,1753.875,7.515,1.504
1753,12,1753.958,8.871,3.794
1754,1,1754.042,7.016,2.352
1754,2,1754.125,5.662,2.460
1754,3,1754.208,5.631,1.065
1754,4,1754.292,9.087,1.559
1754,5,1754.375,10.022,1.200
1754,6,1754.458,10.544,1.212
1754,7,1754.542,8.836,1.236
1754,8,1754.625,10.298,1.204
1754,9,1754.708,9.039,1.541
1754,10,1754.792,10.475,1.429
1754,11,1754.875,10.750,2.204
1754,12,1754.958,8.920,1.514
1755,1,1755.042,3.726,1.427
1755,2,1755.125,5.467,1.259
1755,3,1755.208,8.919,0.987
1755,4,1755.292,13.492,2.128
1755,5,1755.375,9.400,1.129
1755,6,1755.458,12.376,1.778
1755,7,1755.542,8.573,2.588
1755,8,1755.625,8.131,1.283
1755,9,1755.708,8.360,1.099
1755,10,1755.792,8.375,1.272
1755,11,1755.875,8.103,2.401
1755,12,1755.958,8.970,1.192
1756,1,1756.042,9.181,2.007
1756,2,1756.125,10.435,4.215
1756,3,1756.208,9.529,3.339
1756,4,1756.292,8.387,2.640
1756,5,1756.375,10.245,4.379
1756,6,1756.458,10.939,1.872
1756,7,1756.542,8.627,8.308
1756,8,1756.625,9.359,3.161
1756,9,1756.708,10.008,1.021
1756,10,1756.792,7.309,10.421
1756,11,1756.875,6.099,1.457
1756,12,1756.958,7.680,2.166
1757,1,1757.042,5.496,1.534
1757,2,1757.125,8.372,2.719
1757,3,1757.208,8.379,3.130
1757,4,1757.292,8.957,1.525
1757,5,1757.375,10.696,1.474
1757,6,1757.458,11.511,1.497
1757,7,1757.542,11.553,3.361
1757,8,1757.625,11.025,4.622
1757,9,1757.708,8.435,6.618
1757,10,1757.792,6.429,6.602
1757,11,1757.875,7.188,9.311
1757,12,1757.958,7.113,1.555
1758,1,1758.042,5.758,7.200
1758,2,1758.125,8.230,4.423
1758,3,1758.208,9.577,1.318
1758,4,1758.292,8.441,2.954
1758,5,1758.375,9.458,6.144
1758,6,1758.458,10.558,4.200
1758,7,1758.542,7.094,4.572
1758,8,1758.625,8.366,6.481
1758,9,1758.708,7.387,2.209
1758,10,1758.792,6.979,0.891
1758,11,1758.875,10.045,3.217
1758,12,1758.958,9.509,1.466
1759,1,1759.042,10.570,2.576
1759,2,1759.125,10.442,6.627
1759,3,1759.208,9.218,4.610
1759,4,1759.292,8.878,4.295
1759,5,1759.375,9.522,4.144
1759,6,1759.458,9.700,4.197
1759,7,1759.542,10.688,4.615
1759,8,1759.625,9.572,1.300
1759,9,1759.708,10.373,3.084
1759,10,1759.792,10.152,6.432
1759,11,1759.875,5.972,7.162
1759,12,1759.958,9.232,3.247
1760,1,1760.042,7.835,5.666
1760,2,1760.125,7.675,9.147
1760,3,1760.208,7.264,2.974
1760,4,1760.292,11.832,1.197
1760,5,1760.375,9.302,2.588
1760,6,1760.458,9.763,1.425
1760,7,1760.542,9.958,1.599
1760,8,1760.625,9.059,7.048
1760,9,1760.708,8.627,1.401
1760,10,1760.792,8.286,1.326
1760,11,1760.875,8.515,7.340
1760,12,1760.958,9.780,2.985
1761,1,1761.042,7.067,2.254
1761,2,1761.125,10.065,2.946
1761,3,1761.208,10.234,1.251
1761,4,1761.292,8.439,1.264
1761,5,1761.375,10.381,2.395
1761,6,1761.458,9.764,2.134
1761,7,1761.542,10.686,1.263
1761,8,1761.625,10.206,2.886
1761,9,1761.708,9.998,3.384
1761,10,1761.792,7.235,2.490
1761,11,1761.875,7.525,10.017
1761,12,1761.958,6.468,2.034
1762,1,1762.042,9.546,9.180
1762,2,1762.125,8.410,2.563
1762,3,1762.208,5.966,6.775
1762,4,1762.292,11.418,2.863
1762,5,1762.375,10.410,4.446
1762,6,1762.458,9.182,2.707
1762,7,1762.542,11.160,4.086
1762,8,1762.625,9.187,3.647
1762,9,1762.708,8.360,2.754
1762,10,1762.792,6.789,7.009
1762,11,1762.875,7.623,1.509
1762,12,1762.958,5.258,2.572
1763,1,1763.042,6.050,7.857
1763,2,1763.125,11.008,8.268
1763,3,1763.208,7.979,4.061
1763,4,1763.292,9.208,4.555
1763,5,1763.375,7.607,5.491
1763,6,1763.458,9.227,6.862
1763,7,1763.542,9.496,1.785
1763,8,1763.625,10.752,4.795
1763,9,1763.708,7.955,5.621
1763,10,1763.792,6.728,1.372
1763,11,1763.875,7.764,4.242
1763,12,1763.958,9.566,3.100
1764,1,1764.042,10.030,2.473
1764,2,1764.125,10.857,2.806
1764,3,1764.208,7.206,2.886
1764,4,1764.292,8.276,7.791
1764,5,1764.375,11.217,1.670
1764,6,1764.458,10.630,5.406
1764,7,1764.542,8.909,4.993
1764,8,1764.625,7.616,1.226
1764,9,1764.708,8.142,5.186
1764,10,1764.792,7.234,2.977
1764,11,1764.875,8.507,4.099
1764,12,1764.958,9.945,3.728
1765,1,1765.042,11.899,10.239
1765,2,1765.125,7.563,3.854
1765,3,1765.208,9.880,2.807
1765,4,1765.292,9.266,1.730
1765,5,1765.375,8.898,1.436
1765,6,1765.458,9.981,4.017
1765,7,1765.542,7.801,5.060
1765,8,1765.625,8.813,2.459
1765,9,1765.708,8.859,1.103
1765,10,1765.792,9.291,1.291
1765,11,1765.875,8.721,3.108
1765,12,1765.958,6.713,2.202
1766,1,1766.042,3.923,9.027
1766,2,1766.125,7.061,3.015
1766,3,1766.208,9.068,2.325
1766,4,1766.292,10.152,4.379
1766,5,1766.375,9.811,3.215
1766,6,1766.458,10.748,8.569
1766,7,1766.542,8.176,5.118
1766,8,1766.625,10.423,3.590
1766,9,1766.708,9.633,2.614
1766,10,1766.792,9.131,3.091
1766,11,1766.875,10.716,3.576
1766,12,1766.958,7.703,4.053
1767,1,1767.042,2.988,7.093
1767,2,1767.125,10.922,9.357
1767,3,1767.208,10.098,7.899
1767,4,1767.292,7.905,7.007
1767,5,1767.375,8.756,2.458
1767,6,1767.458,8.692,3.867
1767,7,1767.542,9.598,5.367
1767,8,1767.625,9.427,2.334
1767,9,1767.708,8.888,3.750
1767,10,1767.792,9.304,3.613
1767,11,1767.875,10.153,11.087
1767,12,1767.958,6.593,5.343
1768,1,1768.042,6.256,6.546
1768,2,1768.125,7.444,7.324
1768,3,1768.208,7.383,5.792
1768,4,1768.292,10.428,2.339
1768,5,1768.375,9.719,2.886
1768,6,1768.458,8.432,2.096
1768,7,1768.542,9.788,2.294
1768,8,1768.625,9.638,1.990
1768,9,1768.708,8.014,3.498
1768,10,1768.792,8.840,2.679
1768,11,1768.875,9.553,6.049
1768,12,1768.958,7.351,9.458
1769,1,1769.042,9.934,7.738
1769,2,1769.125,8.266,5.488
1769,3,1769.208,8.185,5.769
1769,4,1769.292,9.439,5.425
1769,5,1769.375,9.449,6.448
1769,6,1769.458,9.288,2.906
1769,7,1769.542,8.098,2.650
1769,8,1769.625,8.812,4.475
1769,9,1769.708,8.693,1.058
1769,10,1769.792,4.998,2.668
1769,11,1769.875,9.647,1.588
1769,12,1769.958,7.203,3.285
1770,1,1770.042,7.107,7.042
1770,2,1770.125,9.742,3.197
1770,3,1770.208,8.238,2.670
1770,4,1770.292,8.008,7.484
1770,5,1770.375,8.357,1.543
1770,6,1770.458,8.869,5.334
1770,7,1770.542,6.978,1.914
1770,8,1770.625,9.017,5.030
1770,9,1770.708,9.870,2.614
1770,10,1770.792,8.402,3.117
1770,11,1770.875,9.437,8.317
1770,12,1770.958,8.229,4.971
1771,1,1771.042,9.783,2.331
1771,2,1771.125,8.166,2.216
1771,3,1771.208,8.060,3.532
1771,4,1771.292,6.529,4.886
1771,5,1771.375,10.269,8.626
1771,6,1771.458,7.914,2.917
1771,7,1771.542,9.704,1.430
1771,8,1771.625,9.822,3.265
1771,9,1771.708,8.403,2.542
1771,10,1771.792,9.852,1.558
1771,11,1771.875,7.059,2.358
1771,12,1771.958,9.828,4.170
1772,1,1772.042,9.678,9.052
1772,2,1772.125,11.865,11.545
1772,3,1772.208,10.920,2.782
1772,4,1772.292,9.615,2.962
1772,5,1772.375,7.976,1.193
1772,6,1772.458,11.016,6.557
1772,7,1772.542,9.319,3.605
1772,8,1772.625,10.258,4.804
1772,9,1772.708,9.157,3.804
1772,10,1772.792,9.898,2.597
1772,11,1772.875,10.565,6.770
1772,12,1772.958,10.444,4.441
1773,1,1773.042,10.084,2.179
1773,2,1773.125,7.097,3.367
1773,3,1773.208,7.684,2.318
1773,4,1773.292,8.628,2.757
1773,5,1773.375,8.894,2.356
1773,6,1773.458,7.864,2.585
1773,7,1773.542,7.733,2.456
1773,8,1773.625,8.498,2.503
1773,9,1773.708,9.816,2.390
1773,10,1773.792,9.280,2.368
1773,11,1773.875,8.688,7.321
1773,12,1773.958,10.537,4.850
1774,1,1774.042,8.879,7.578
1774,2,1774.125,9.795,7.823
1774,3,1774.208,10.638,2.673
1774,4,1774.292,9.817,5.919
1774,5,1774.375,9.660,1.385
1774,6,1774.458,9.867,10.116
1774,7,1774.542,8.812,9.610
1774,8,1774.625,11.236,2.664
1774,9,1774.708,8.330,2.055
1774,10,1774.792,7.064,6.474
1774,11,1774.875,7.191,5.049
1774,12,1774.958,5.749,5.901
1775,1,1775.042,9.106,7.089
1775,2,1775.125,11.643,1.859
1775,3,1775.208,10.021,1.288
1775,4,1775.292,9.229,3.543
1775,5,1775.375,8.663,6.396
1775,6,1775.458,9.495,6.078
1775,7,1775.542,9.500,3.383
1775,8,1775.625,9.472,5.202
1775,9,1775.708,8.864,4.865
1775,10,1775.792,8.971,2.161
1775,11,1775.875,9.086,2.489
1775,12,1775.958,7.422,2.403
1776,1,1776.042,7.145,2.383
1776,2,1776.125,9.530,5.382
1776,3,1776.208,10.472,2.752
1776,4,1776.292,9.447,3.312
1776,5,1776.375,7.200,5.209
1776,6,1776.458,9.309,1.822
1776,7,1776.542,9.054,4.594
1776,8,1776.625,9.987,3.417
1776,9,1776.708,7.024,3.925
1776,10,1776.792,8.536,5.079
1776,11,1776.875,8.699,3.101
1776,12,1776.958,8.028,3.992
1777,1,1777.042,6.817,5.356
1777,2,1777.125,8.371,3.239
1777,3,1777.208,11.115,1.868
1777,4,1777.292,8.443,4.155
1777,5,1777.375,7.537,2.831
1777,6,1777.458,8.225,4.088
1777,7,1777.542,7.685,3.120
1777,8,1777.625,10.207,2.680
1777,9,1777.708,9.570,5.183
1777,10,1777.792,9.403,4.630
1777,11,1777.875,10.094,3.455
1777,12,1777.958,6.180,1.825
1778,1,1778.042,9.150,5.260
1778,2,1778.125,8.360,3.961
1778,3,1778.208,9.084,2.808
1778,4,1778.292,10.754,2.991
1778,5,1778.375,10.098,2.313
1778,6,1778.458,8.747,8.078
1778,7,1778.542,10.629,2.641
1778,8,1778.625,10.193,5.305
1778,9,1778.708,7.286,2.230
1778,10,1778.792,7.715,4.823
1778,11,1778.875,8.787,5.982
1778,12,1778.958,9.670,2.528
1779,1,1779.042,6.478,9.303
1779,2,1779.125,10.879,11.488
1779,3,1779.208,9.679,3.251
1779,4,1779.292,11.565,4.934
1779,5,1779.375,10.907,2.531
1779,6,1779.458,7.462,4.880
1779,7,1779.542,9.120,2.034
1779,8,1779.625,9.130,2.640
1779,9,1779.708,10.487,2.395
1779,10,1779.792,10.840,4.832
1779,11,1779.875,9.741,3.506
1779,12,1779.958,11.961,5.176
1780,1,1780.042,7.768,5.678
1780,2,1780.125,7.000,7.002
1780,3,1780.208,11.802,2.703
1780,4,1780.292,9.007,1.724
1780,5,1780.375,11.788,3.976
1780,6,1780.458,10.797,7.742
1780,7,1780.542,10.078,5.672
1780,8,1780.625,9.529,7.765
1780,9,1780.708,8.863,3.690
1780,10,1780.792,9.937,1.700
1780,11,1780.875,7.861,1.653
1780,12,1780.958,7.779,3.595
1781,1,1781.042,8.454,6.590
1781,2,1781.125,9.817,9.233
1781,3,1781.208,10.355,1.733
1781,4,1781.292,11.215,4.288
1781,5,1781.375,10.528,3.928
1781,6,1781.458,9.288,2.111
1781,7,1781.542,9.925,2.070
1781,8,1781.625,10.085,1.557
1781,9,1781.708,8.992,4.669
1781,10,1781.792,7.467,1.150
1781,11,1781.875,9.589,3.260
1781,12,1781.958,10.409,6.418
1782,1,1782.042,9.434,3.557
1782,2,1782.125,5.687,7.001
1782,3,1782.208,8.581,7.016
1782,4,1782.292,7.647,2.367
1782,5,1782.375,7.996,2.184
1782,6,1782.458,11.052,2.238
1782,7,1782.542,11.126,2.565
1782,8,1782.625,10.409,2.145
1782,9,1782.708,8.263,2.242
1782,10,1782.792,7.095,5.353
1782,11,1782.875,5.832,4.643
1782,12,1782.958,8.055,4.410
1783,1,1783.042,9.865,3.351
1783,2,1783.125,10.612,2.528
1783,3,1783.208,9.384,1.916
1783,4,1783.292,10.176,2.341
1783,5,1783.375,9.269,5.247
1783,6,1783.458,8.745,5.655
1783,7,1783.542,10.494,2.225
1783,8,1783.625,9.349,2.143
1783,9,1783.708,8.964,5.069
1783,10,1783.792,9.042,5.541
1783,11,1783.875,9.054,6.611
1783,12,1783.958,9.060,1.893
1784,1,1784.042,7.737,9.365
1784,2,1784.125,6.758,8.740
1784,3,1784.208,8.720,4.289
1784,4,1784.292,6.986,2.683
1784,5,1784.375,11.910,1.407
1784,6,1784.458,10.714,3.122
1784,7,1784.542,10.609,3.288
1784,8,1784.625,8.225,4.411
1784,9,1784.708,10.188,5.316
1784,10,1784.792,6.329,1.291
1784,11,1784.875,7.943,5.496
1784,12,1784.958,5.763,3.001
1785,1,1785.042,9.186,2.174
1785,2,1785.125,6.910,6.582
1785,3,1785.208,4.893,5.777
1785,4,1785.292,7.190,4.777
1785,5,1785.375,9.601,1.734
1785,6,1785.458,10.289,5.098
1785,7,1785.542,9.102,2.520
1785,8,1785.625,8.885,1.855
1785,9,1785.708,11.129,1.427
1785,10,1785.792,8.359,6.151
1785,11,1785.875,8.984,1.435
1785,12,1785.958,9.682,1.950
1786,1,1786.042,9.270,2.708
1786,2,1786.125,9.390,4.467
1786,3,1786.208,7.810,4.232
1786,4,1786.292,10.451,2.478
1786,5,1786.375,10.035,3.360
1786,6,1786.458,10.143,3.818
1786,7,1786.542,8.379,2.092
1786,8,1786.625,8.141,1.787
1786,9,1786.708,8.439,1.976
1786,10,1786.792,6.389,3.581
1786,11,1786.875,8.451,2.406
1786,12,1786.958,8.775,3.364
1787,1,1787.042,8.450,8.870
1787,2,1787.125,9.114,5.492
1787,3,1787.208,9.721,3.590
1787,4,1787.292,8.774,3.315
1787,5,1787.375,7.769,1.615
1787,6,1787.458,10.779,2.972
1787,7,1787.542,8.984,4.105
1787,8,1787.625,9.999,1.719
1787,9,1787.708,9.142,2.373
1787,10,1787.792,9.181,1.104
1787,11,1787.875,9.296,3.889
1787,12,1787.958,11.092,2.275
1788,1,1788.042,10.301,4.787
1788,2,1788.125,10.910,4.555
1788,3,1788.208,11.136,4.799
1788,4,1788.292,9.911,5.525
1788,5,1788.375,10.116,2.220
1788,6,1788.458,9.954,1.900
1788,7,1788.542,10.747,3.945
1788,8,1788.625,9.050,2.537
1788,9,1788.708,9.393,3.480
1788,10,1788.792,8.190,3.730
1788,11,1788.875,7.522,3.191
1788,12,1788.958,6.359,5.765
1789,1,1789.042,7.466,4.334
1789,2,1789.125,9.820,1.728
1789,3,1789.208,6.858,6.567
1789,4,1789.292,10.227,3.019
1789,5,1789.375,12.107,5.431
1789,6,1789.458,8.263,1.075
1789,7,1789.542,8.919,2.750
1789,8,1789.625,9.802,1.313
1789,9,1789.708,8.990,1.690
1789,10,1789.792,8.153,2.925
1789,11,1789.875,6.469,4.721
1789,12,1789.958,6.962,3.724
1790,1,1790.042,9.103,1.391
1790,2,1790.125,10.474,4.967
1790,3,1790.208,9.602,3.808
1790,4,1790.292,7.721,1.475
1790,5,1790.375,10.054,5.013
1790,6,1790.458,10.130,1.604
1790,7,1790.542,9.195,1.798
1790,8,1790.625,10.805,0.871
1790,9,1790.708,8.871,1.658
1790,10,1790.792,11.024,1.889
1790,11,1790.875,9.602,1.511
1790,12,1790.958,8.206,6.139
1791,1,1791.042,11.548,5.425
1791,2,1791.125,9.314,3.210
1791,3,1791.208,10.292,3.772
1791,4,1791.292,11.853,2.412
1791,5,1791.375,9.100,1.158
1791,6,1791.458,9.718,3.351
1791,7,1791.542,9.539,2.480
1791,8,1791.625,10.693,1.832
1791,9,1791.708,9.156,1.843
1791,10,1791.792,8.209,1.220
1791,11,1791.875,7.954,3.350
1791,12,1791.958,9.821,2.235
1792,1,1792.042,9.678,4.433
1792,2,1792.125,8.461,5.097
1792,3,1792.208,10.690,2.793
1792,4,1792.292,11.041,1.843
1792,5,1792.375,9.246,1.811
1792,6,1792.458,9.434,1.024
1792,7,1792.542,9.128,3.522
1792,8,1792.625,9.420,2.596
1792,9,1792.708,7.671,2.574
1792,10,1792.792,9.613,1.858
1792,11,1792.875,9.314,2.868
1792,12,1792.958,7.951,2.622
1793,1,1793.042,6.643,3.328
1793,2,1793.125,9.445,2.461
1793,3,1793.208,9.582,1.848
1793,4,1793.292,7.668,3.583
1793,5,1793.375,8.096,1.568
1793,6,1793.458,8.986,3.816
1793,7,1793.542,11.291,3.513
1793,8,1793.625,11.294,3.798
1793,9,1793.708,9.523,3.959
1793,10,1793.792,10.223,3.026
1793,11,1793.875,9.953,6.185
1793,12,1793.958,10.144,3.361
1794,1,1794.042,10.185,3.455
1794,2,1794.125,12.366,6.626
1794,3,1794.208,11.260,2.204
1794,4,1794.292,12.077,3.500
1794,5,1794.375,8.984,2.724
1794,6,1794.458,9.639,3.892
1794,7,1794.542,11.660,6.001
1794,8,1794.625,9.427,2.265
1794,9,1794.708,8.019,1.223
1794,10,1794.792,8.486,1.212
1794,11,1794.875,10.129,3.169
1794,12,1794.958,7.218,4.588
1795,1,1795.042,3.864,2.753
1795,2,1795.125,7.442,4.074
1795,3,1795.208,8.893,1.461
1795,4,1795.292,10.736,4.550
1795,5,1795.375,11.835,3.180
1795,6,1795.458,8.923,2.765
1795,7,1795.542,7.990,1.914
1795,8,1795.625,10.327,2.588
1795,9,1795.708,9.780,1.841
1795,10,1795.792,11.202,3.381
1795,11,1795.875,8.291,3.703
1795,12,1795.958,10.161,4.203
1796,1,1796.042,10.624,3.181
1796,2,1796.125,9.554,4.267
1796,3,1796.208,6.742,3.106
1796,4,1796.292,9.413,2.450
1796,5,1796.375,9.320,0.936
1796,6,1796.458,9.787,3.883
1796,7,1796.542,9.074,2.523
1796,8,1796.625,10.308,4.932
1796,9,1796.708,10.607,4.324
1796,10,1796.792,9.364,1.406
1796,11,1796.875,9.368,3.134
1796,12,1796.958,6.739,4.534
1797,1,1797.042,8.948,6.330
1797,2,1797.125,9.365,4.940
1797,3,1797.208,7.934,6.197
1797,4,1797.292,10.400,5.636
1797,5,1797.375,10.873,4.430
1797,6,1797.458,7.925,3.211
1797,7,1797.542,10.646,2.397
1797,8,1797.625,11.102,4.765
1797,9,1797.708,9.908,4.618
1797,10,1797.792,8.882,1.926
1797,11,1797.875,9.081,2.454
1797,12,1797.958,9.958,3.247
1798,1,1798.042,9.576,2.369
1798,2,1798.125,10.476,3.125
1798,3,1798.208,8.585,2.816
1798,4,1798.292,10.342,2.220
1798,5,1798.375,10.791,2.992
1798,6,1798.458,9.683,1.948
1798,7,1798.542,10.220,1.652
1798,8,1798.625,11.046,4.629
1798,9,1798.708,9.992,2.753
1798,10,1798.792,8.986,2.348
1798,11,1798.875,8.929,4.160
1798,12,1798.958,7.877,2.919
1799,1,1799.042,5.951,1.619
