# Monthly average temperature data for Mongolia.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1820,8,1820.625,-2.781,2.209
1820,9,1820.708,-1.420,2.453
1820,10,1820.792,-2.821,2.435
1820,11,1820.875,-2.471,2.149
1820,12,1820.958,-3.041,2.235
1821,1,1821.042,0.830,2.587
1821,2,1821.125,2.700,3.309
1821,3,1821.208,0.500,2.571
1821,4,1821.292,-0.531,2.271
1821,5,1821.375,-0.841,2.187
1821,6,1821.458,-2.851,2.535
1821,7,1821.542,-1.528,2.626
1821,8,1821.625,-1.228,2.297
1821,9,1821.708,-2.855,2.241
1821,10,1821.792,-2.387,2.175
1821,11,1821.875,-1.290,2.713
1821,12,1821.958,-1.661,2.303
1822,1,1822.042,-2.311,2.673
1822,2,1822.125,0.877,2.437
1822,3,1822.208,2.741,2.555
1822,4,1822.292,-0.075,2.205
1822,5,1822.375,-0.982,2.079
1822,6,1822.458,-1.435,2.139
1822,7,1822.542,-0.636,2.165
1822,8,1822.625,-1.573,2.184
1822,9,1822.708,-1.991,2.643
1822,10,1822.792,-2.099,2.522
1822,11,1822.875,-2.332,2.389
1822,12,1822.958,-3.326,2.937
1823,1,1823.042,-2.370,2.256
1823,2,1823.125,-0.910,2.367
1823,3,1823.208,-1.270,2.737
1823,4,1823.292,-1.437,3.036
1823,5,1823.375,-1.560,2.570
1823,6,1823.458,-0.813,2.473
1823,7,1823.542,-0.221,2.215
1823,8,1823.625,-1.979,2.224
1823,9,1823.708,-2.414,2.558
1823,10,1823.792,-2.887,2.553
1823,11,1823.875,-1.148,2.538
1823,12,1823.958,-2.507,2.383
1824,1,1824.042,-0.755,2.335
1824,2,1824.125,0.428,2.553
1824,3,1824.208,-0.239,2.330
1824,4,1824.292,0.283,2.592
1824,5,1824.375,-0.016,2.455
1824,6,1824.458,-0.988,2.940
1824,7,1824.542,-0.412,2.696
1824,8,1824.625,-1.585,2.287
1824,9,1824.708,-1.599,2.328
1824,10,1824.792,-1.905,2.364
1824,11,1824.875,-0.630,2.609
1824,12,1824.958,1.497,3.108
