# Monthly average temperature data for Montenegro.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1750,1,1750.042,9.419,1.937
1750,2,1750.125,9.464,2.185
1750,4,1750.292,11.185,1.825
1750,5,1750.375,9.145,1.844
1750,6,1750.458,10.860,1.893
1750,7,1750.542,11.382,1.937
1750,8,1750.625,11.420,1.850
1750,10,1750.792,10.039,1.810
1750,11,1750.875,6.885,1.863
1750,12,1750.958,7.909,1.970
1751,1,1751.042,8.792,1.979
1751,2,1751.125,7.584,1.957
1751,3,1751.208,11.773,1.852
1751,4,1751.292,9.185,1.805
1751,5,1751.375,9.804,1.850
1751,6,1751.458,10.088,1.898
1751,7,1751.542,12.221,1.906
1751,8,1751.625,11.823,1.809
1751,9,1751.708,10.642,1.784
1751,10,1751.792,9.454,1.845
1751,11,1751.875,7.183,1.880
1751,12,1751.958,8.151,2.151
1752,1,1752.042,8.931,2.096
1752,2,1752.125,12.146,1.939
1752,3,1752.208,11.150,1.781
1752,4,1752.292,9.641,1.832
1752,5,1752.375,10.102,1.803
1752,6,1752.458,12.267,1.767
1752,7,1752.542,11.697,1.846
1752,8,1752.625,9.606,1.964
1752,10,1752.792,10.426,1.817
1752,11,1752.875,10.129,1.857
1752,12,1752.958,9.247,2.024
1753,1,1753.042,9.326,1.893
1753,2,1753.125,9.207,1.822
1753,3,1753.208,11.744,1.759
1753,4,1753.292,11.011,1.881
1753,5,1753.375,10.996,1.702
1753,6,1753.458,11.711,1.865
1753,7,1753.542,11.431,1.896
1753,8,1753.625,10.059,1.771
1753,9,1753.708,10.125,1.738
1753,10,1753.792,10.484,1.743
1753,11,1753.875,8.934,1.755
1753,12,1753.958,8.198,2.231
1754,1,1754.042,9.716,1.845
1754,2,1754.125,7.814,1.801
1754,3,1754.208,8.157,1.701
1754,4,1754.292,12.307,1.880
1754,5,1754.375,11.596,1.767
1754,6,1754.458,11.797,1.796
1754,7,1754.542,11.036,1.948
1754,8,1754.625,10.619,1.822
1754,9,1754.708,9.914,1.760
1754,10,1754.792,11.738,1.882
1754,11,1754.875,10.950,2.327
1754,12,1754.958,10.360,1.894
1755,1,1755.042,8.001,1.860
1755,2,1755.125,6.933,2.039
1755,3,1755.208,9.967,1.805
1755,4,1755.292,13.318,2.191
1755,5,1755.375,11.151,1.736
1755,6,1755.458,12.818,1.996
1755,7,1755.542,11.354,2.423
1755,8,1755.625,9.422,1.883
1755,9,1755.708,9.463,1.728
1755,10,1755.792,11.641,1.682
1755,11,1755.875,8.728,2.206
1755,12,1755.958,10.055,1.909
1756,1,1756.042,10.976,2.062
1756,2,1756.125,12.291,4.291
1756,3,1756.208,11.129,2.934
1756,4,1756.292,10.703,2.416
1756,5,1756.375,11.181,4.612
1756,6,1756.458,12.148,2.107
1756,7,1756.542,10.826,6.792
1756,8,1756.625,11.068,2.081
1756,9,1756.708,10.590,2.001
1756,10,1756.792,10.148,7.103
1756,11,1756.875,7.958,1.736
1756,12,1756.958,8.688,1.891
1757,1,1757.042,8.445,1.900
1757,2,1757.125,11.304,2.420
1757,3,1757.208,10.290,3.645
1757,4,1757.292,11.591,2.413
1757,5,1757.375,11.794,2.367
1757,6,1757.458,13.004,2.018
1757,7,1757.542,13.683,2.934
1757,8,1757.625,12.639,3.958
1757,9,1757.708,10.606,5.769
1757,10,1757.792,7.326,4.814
1757,11,1757.875,8.542,7.023
1757,12,1757.958,8.521,1.942
1758,1,1758.042,6.613,5.579
1758,2,1758.125,7.623,2.141
1758,3,1758.208,10.143,1.878
1758,4,1758.292,10.244,3.472
1758,5,1758.375,9.335,4.351
1758,6,1758.458,11.013,3.567
1758,7,1758.542,9.436,3.401
1758,8,1758.625,8.920,5.150
1758,9,1758.708,8.675,2.223
1758,10,1758.792,8.046,1.780
1758,11,1758.875,10.076,1.831
1758,12,1758.958,10.269,1.849
1759,1,1759.042,12.302,1.910
1759,2,1759.125,12.005,5.525
1759,3,1759.208,10.746,3.688
1759,4,1759.292,10.145,4.983
1759,5,1759.375,9.476,3.606
1759,6,1759.458,11.401,3.873
1759,7,1759.542,10.991,4.170
1759,8,1759.625,10.641,1.897
1759,9,1759.708,10.614,2.433
1759,10,1759.792,10.224,4.986
1759,11,1759.875,6.954,5.531
1759,12,1759.958,8.487,2.577
1760,1,1760.042,8.724,5.731
1760,2,1760.125,9.310,7.048
1760,3,1760.208,8.674,2.917
1760,4,1760.292,11.507,1.809
1760,5,1760.375,10.538,3.034
1760,6,1760.458,10.855,2.112
1760,7,1760.542,10.395,1.923
1760,8,1760.625,9.973,5.437
1760,9,1760.708,9.475,2.025
1760,10,1760.792,10.087,2.133
1760,11,1760.875,9.748,5.683
1760,12,1760.958,9.288,2.990
1761,1,1761.042,8.821,1.986
1761,2,1761.125,9.520,4.094
1761,3,1761.208,11.726,1.910
1761,4,1761.292,10.407,1.905
1761,5,1761.375,12.264,2.390
1761,6,1761.458,12.513,2.439
1761,7,1761.542,13.730,1.821
1761,8,1761.625,11.403,2.931
1761,9,1761.708,11.555,3.197
1761,10,1761.792,8.394,2.706
1761,11,1761.875,9.204,6.956
1761,12,1761.958,6.423,2.005
1762,1,1762.042,11.551,7.972
1762,2,1762.125,10.329,2.706
1762,3,1762.208,8.421,5.230
1762,4,1762.292,12.110,2.922
1762,5,1762.375,11.070,4.050
1762,6,1762.458,10.216,2.872
1762,7,1762.542,11.390,2.868
1762,8,1762.625,10.910,2.505
1762,9,1762.708,10.094,3.571
1762,10,1762.792,9.416,3.972
1762,11,1762.875,10.156,2.438
1762,12,1762.958,7.388,2.850
1763,1,1763.042,7.231,6.042
1763,2,1763.125,10.260,6.065
1763,3,1763.208,8.491,3.264
1763,4,1763.292,10.226,3.617
1763,5,1763.375,9.164,4.641
1763,6,1763.458,9.747,5.908
1763,7,1763.542,12.240,2.174
1763,8,1763.625,11.302,4.382
1763,9,1763.708,9.743,4.048
1763,10,1763.792,8.522,2.044
1763,11,1763.875,8.505,3.490
1763,12,1763.958,10.607,2.598
1764,1,1764.042,10.283,2.513
1764,2,1764.125,12.607,2.665
1764,3,1764.208,9.263,2.638
1764,4,1764.292,9.882,6.292
1764,5,1764.375,11.504,2.143
1764,6,1764.458,10.288,4.331
1764,7,1764.542,10.656,4.466
1764,8,1764.625,9.172,2.020
1764,9,1764.708,9.516,4.724
1764,10,1764.792,10.132,2.835
1764,11,1764.875,9.360,3.568
1764,12,1764.958,11.896,3.327
1765,1,1765.042,13.791,8.924
1765,2,1765.125,9.502,3.615
1765,3,1765.208,11.957,2.880
1765,4,1765.292,11.543,2.117
1765,5,1765.375,9.793,2.204
1765,6,1765.458,9.885,3.779
1765,7,1765.542,9.321,4.382
1765,8,1765.625,10.170,2.660
1765,9,1765.708,10.261,1.977
1765,10,1765.792,10.607,1.994
1765,11,1765.875,10.242,3.071
1765,12,1765.958,9.150,2.385
1766,1,1766.042,6.488,7.015
1766,2,1766.125,9.390,3.000
1766,3,1766.208,11.107,2.569
1766,4,1766.292,10.988,3.808
1766,5,1766.375,11.343,3.073
1766,6,1766.458,11.221,7.020
1766,7,1766.542,9.260,4.563
1766,8,1766.625,10.493,3.452
1766,9,1766.708,10.689,2.947
1766,10,1766.792,10.007,2.887
1766,11,1766.875,11.934,3.715
1766,12,1766.958,9.270,3.819
1767,1,1767.042,4.642,6.233
1767,2,1767.125,10.970,7.349
1767,3,1767.208,11.448,6.721
1767,4,1767.292,8.620,5.849
1767,5,1767.375,9.375,2.523
1767,6,1767.458,10.612,3.903
1767,7,1767.542,11.067,4.575
1767,8,1767.625,10.566,2.513
1767,9,1767.708,10.190,3.547
1767,10,1767.792,10.910,3.468
1767,11,1767.875,11.976,8.668
1767,12,1767.958,7.724,4.251
1768,1,1768.042,5.659,4.735
1768,2,1768.125,6.766,5.755
1768,3,1768.208,8.471,4.434
