# Monthly average temperature data for Montserrat.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1824,1,1824.042,26.197,0.591
1824,2,1824.125,25.762,2.486
1824,3,1824.208,26.370,1.053
1824,4,1824.292,26.750,2.280
1824,5,1824.375,26.134,1.586
1824,7,1824.542,26.782,1.309
1824,8,1824.625,25.753,2.124
1824,9,1824.708,25.604,1.903
1824,10,1824.792,25.309,0.688
1824,11,1824.875,26.245,1.650
1824,12,1824.958,26.561,2.826
1825,1,1825.042,26.564,2.270
1825,2,1825.125,26.280,1.581
1825,3,1825.208,26.924,1.804
1825,4,1825.292,27.166,1.979
1825,5,1825.375,26.577,1.657
1825,6,1825.458,26.687,0.757
1825,7,1825.542,26.730,2.822
1825,8,1825.625,26.149,2.208
1825,9,1825.708,25.490,1.259
1825,10,1825.792,25.588,1.300
1825,11,1825.875,26.559,2.880
1825,12,1825.958,26.391,1.591
1826,2,1826.125,25.469,1.712
1826,3,1826.208,25.542,1.472
1826,4,1826.292,26.362,1.931
1826,5,1826.375,26.570,1.087
1826,7,1826.542,26.466,0.916
1826,8,1826.625,25.593,1.383
1826,9,1826.708,25.241,1.844
1826,10,1826.792,25.493,2.174
1826,11,1826.875,26.609,1.168
1826,12,1826.958,27.288,1.654
1827,1,1827.042,26.612,2.541
1827,2,1827.125,26.769,2.515
1827,3,1827.208,26.960,1.886
1827,4,1827.292,27.203,1.878
1827,5,1827.375,26.633,1.608
1827,7,1827.542,26.676,0.750
1827,8,1827.625,25.713,1.445
1827,9,1827.708,25.230,0.859
1827,10,1827.792,25.446,1.083
1827,11,1827.875,26.756,0.713
1827,12,1827.958,26.275,2.824
1828,1,1828.042,25.711,2.245
1828,2,1828.125,25.721,1.042
1828,3,1828.208,26.341,0.943
1828,4,1828.292,26.496,1.999
1828,5,1828.375,26.525,1.828
1828,6,1828.458,26.784,1.918
1828,7,1828.542,26.586,0.772
1828,8,1828.625,26.329,1.040
1828,9,1828.708,25.182,1.430
1828,11,1828.875,26.793,2.083
1828,12,1828.958,26.372,4.073
1829,1,1829.042,25.854,2.768
1829,2,1829.125,25.540,2.547
1829,3,1829.208,26.258,1.072
1829,4,1829.292,26.401,1.506
1829,5,1829.375,26.470,2.673
1829,7,1829.542,26.475,0.932
1829,8,1829.625,25.953,1.463
1829,9,1829.708,25.430,1.112
1829,11,1829.875,25.976,1.737
1829,12,1829.958,26.029,3.114
1845,1,1845.042,26.207,1.297
1845,2,1845.125,24.902,1.470
1845,3,1845.208,25.670,0.843
1845,4,1845.292,25.880,0.926
1845,5,1845.375,25.581,0.722
1845,6,1845.458,25.740,0.816
1845,7,1845.542,26.462,0.916
1845,8,1845.625,25.942,0.842
1845,9,1845.708,25.593,0.939
1846,1,1846.042,26.863,3.250
1846,2,1846.125,26.522,1.740
1846,3,1846.208,27.007,0.909
1846,4,1846.292,25.451,1.852
1846,5,1846.375,26.048,0.867
1846,6,1846.458,26.444,0.999
1846,7,1846.542,26.765,0.785
1846,8,1846.625,26.382,0.783
1846,9,1846.708,26.037,0.879
1846,10,1846.792,25.478,0.979
1846,11,1846.875,25.397,1.140
1846,12,1846.958,26.283,1.362
1847,1,1847.042,26.682,1.083
1847,2,1847.125,26.265,1.480
1847,3,1847.208,25.293,1.799
1847,4,1847.292,25.868,0.944
1847,5,1847.375,25.239,0.887
1847,6,1847.458,25.975,1.020
1847,7,1847.542,26.212,0.915
1847,8,1847.625,26.018,0.961
1847,9,1847.708,25.962,1.070
1847,10,1847.792,25.759,0.887
1847,11,1847.875,25.942,1.133
1847,12,1847.958,24.752,1.284
1848,1,1848.042,24.875,1.107
1848,2,1848.125,26.250,1.319
1848,3,1848.208,25.625,0.840
1848,4,1848.292,25.920,0.999
1848,5,1848.375,25.379,1.132
1848,6,1848.458,25.921,1.408
1848,7,1848.542,26.629,1.138
