# Monthly average temperature data for Morocco.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1787,1,1787.042,19.583,5.234
1787,2,1787.125,19.428,2.458
1787,3,1787.208,19.254,2.835
1787,4,1787.292,18.471,2.507
1787,5,1787.375,18.610,1.695
1787,6,1787.458,19.578,2.271
1787,7,1787.542,17.222,2.245
1787,8,1787.625,18.059,1.651
1788,12,1788.958,17.085,3.490
1789,2,1789.125,18.611,1.953
1789,3,1789.208,18.076,4.804
1789,4,1789.292,18.172,2.423
1789,5,1789.375,18.681,3.997
1789,6,1789.458,18.809,1.513
1789,7,1789.542,18.506,2.265
1789,8,1789.625,18.226,1.644
1789,9,1789.708,18.668,1.663
1789,10,1789.792,17.889,2.429
1789,11,1789.875,17.989,3.708
1789,12,1789.958,18.951,2.909
1790,1,1790.042,19.136,1.835
1790,2,1790.125,19.127,3.485
1790,3,1790.208,19.219,2.859
1790,4,1790.292,18.501,1.872
1790,5,1790.375,17.544,3.612
1790,6,1790.458,19.456,1.806
1790,7,1790.542,18.335,1.624
1790,8,1790.625,18.613,1.566
1790,9,1790.708,18.644,1.591
1790,10,1790.792,18.622,1.984
1790,11,1790.875,18.356,1.818
1790,12,1790.958,19.393,4.379
1791,1,1791.042,19.678,4.005
1791,2,1791.125,18.369,2.826
1791,3,1791.208,19.628,2.696
1791,4,1791.292,19.974,1.969
1791,5,1791.375,17.687,1.566
1791,6,1791.458,18.315,2.615
1791,7,1791.542,18.417,2.102
1791,8,1791.625,19.229,1.950
1791,9,1791.708,19.197,1.998
1791,10,1791.792,18.268,1.857
1791,11,1791.875,18.912,2.566
1791,12,1791.958,19.176,1.984
1792,1,1792.042,17.852,2.717
1792,2,1792.125,19.696,3.969
1793,3,1793.208,19.104,1.844
1793,4,1793.292,19.537,2.556
1793,5,1793.375,18.989,1.814
1793,8,1793.625,18.654,2.750
1793,11,1793.875,18.852,3.929
1793,12,1793.958,18.772,1.570
1794,1,1794.042,19.145,2.884
1794,3,1794.208,20.196,1.836
1794,4,1794.292,20.187,2.501
1794,5,1794.375,19.357,1.864
1794,6,1794.458,17.372,2.027
1794,7,1794.542,17.183,2.647
1794,8,1794.625,18.202,1.581
1794,9,1794.708,18.602,2.296
1794,10,1794.792,19.320,1.656
1794,11,1794.875,19.190,2.148
1794,12,1794.958,18.939,3.238
1795,1,1795.042,20.415,1.739
1795,2,1795.125,20.327,3.243
1795,3,1795.208,19.811,1.641
1795,4,1795.292,20.093,3.001
1799,1,1799.042,18.805,1.646
1799,2,1799.125,18.465,2.076
1799,3,1799.208,17.912,3.159
1799,4,1799.292,18.382,2.186
1799,5,1799.375,18.226,1.592
1799,6,1799.458,18.735,2.637
1799,7,1799.542,19.003,1.926
1799,8,1799.625,18.081,2.110
1800,1,1800.042,18.626,1.634
1800,2,1800.125,18.897,3.194
1800,3,1800.208,18.254,2.124
1800,4,1800.292,19.517,1.680
1800,5,1800.375,17.981,1.686
1800,6,1800.458,18.970,1.604
1800,7,1800.542,19.152,2.037
1800,8,1800.625,19.054,1.885
1800,9,1800.708,18.118,1.788
1800,10,1800.792,19.782,1.843
1800,11,1800.875,19.248,2.501
1800,12,1800.958,19.223,1.740
1801,1,1801.042,19.730,2.384
1801,2,1801.125,19.031,2.992
1801,3,1801.208,20.473,1.560
1801,4,1801.292,18.808,1.556
1801,5,1801.375,19.544,2.336
1801,6,1801.458,19.110,2.500
1801,7,1801.542,18.624,2.750
1801,8,1801.625,17.629,2.024
1802,11,1802.875,18.655,2.243
1802,12,1802.958,18.764,1.906
1803,1,1803.042,17.605,2.103
1803,2,1803.125,16.567,2.569
1803,11,1803.875,19.003,2.227
1803,12,1803.958,18.407,2.050
1804,1,1804.042,18.893,3.798
1804,2,1804.125,17.344,2.098
1804,3,1804.208,18.703,2.057
1804,5,1804.375,19.744,2.107
1804,6,1804.458,20.395,1.943
1804,10,1804.792,18.578,1.612
1804,11,1804.875,19.771,2.603
1805,2,1805.125,18.429,1.798
1805,3,1805.208,19.515,1.597
1805,4,1805.292,19.006,2.033
1805,5,1805.375,18.824,1.880
1805,6,1805.458,19.541,1.996
1805,7,1805.542,18.586,1.942
1805,8,1805.625,20.018,2.046
1805,9,1805.708,19.128,2.782
1805,10,1805.792,17.757,2.144
1805,11,1805.875,18.319,3.199
1805,12,1805.958,18.794,1.999
