# Monthly average temperature data for Mozambique.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1889,1,1889.042,23.282,1.025
1889,2,1889.125,24.073,1.269
1889,3,1889.208,23.405,0.821
1889,4,1889.292,23.956,0.796
1889,5,1889.375,24.084,0.959
1889,6,1889.458,23.741,0.777
1889,7,1889.542,23.698,0.776
1889,8,1889.625,23.025,0.820
1889,9,1889.708,23.376,0.792
1889,10,1889.792,22.577,0.943
1889,11,1889.875,23.082,0.880
1889,12,1889.958,23.538,0.812
1890,1,1890.042,23.155,0.985
1890,2,1890.125,23.113,1.122
1890,3,1890.208,22.681,0.788
1890,4,1890.292,22.537,0.800
1890,7,1890.542,23.105,1.083
1890,8,1890.625,23.157,0.975
1890,9,1890.708,23.338,1.050
1890,10,1890.792,22.192,1.412
1890,11,1890.875,22.332,1.304
1890,12,1890.958,22.105,1.453
1891,1,1891.042,22.185,0.873
1891,2,1891.125,22.485,0.797
1891,3,1891.208,22.314,0.956
1891,4,1891.292,23.186,0.772
1891,5,1891.375,23.040,0.774
1891,6,1891.458,23.419,0.963
1891,7,1891.542,23.457,0.937
1891,8,1891.625,22.697,0.893
1891,9,1891.708,23.082,0.766
1891,10,1891.792,22.608,0.777
1891,11,1891.875,22.663,0.791
1891,12,1891.958,22.919,1.085
1892,1,1892.042,23.006,1.547
1892,2,1892.125,22.537,0.580
1892,3,1892.208,23.412,1.110
1892,4,1892.292,23.194,0.803
1892,5,1892.375,23.455,1.057
1892,6,1892.458,23.845,1.207
1892,7,1892.542,23.577,1.081
1892,8,1892.625,22.962,0.778
1892,9,1892.708,23.805,1.947
1892,10,1892.792,23.407,1.075
1892,11,1892.875,23.448,1.167
1892,12,1892.958,23.063,1.196
1893,1,1893.042,22.660,1.341
1893,2,1893.125,22.477,0.877
1893,3,1893.208,22.889,0.748
1893,4,1893.292,23.003,0.716
1893,5,1893.375,22.363,0.579
1893,6,1893.458,22.958,0.889
1893,7,1893.542,23.032,0.770
1893,8,1893.625,23.642,1.752
1893,9,1893.708,23.264,1.217
1893,10,1893.792,22.620,0.557
1893,11,1893.875,23.232,0.615
1893,12,1893.958,22.939,0.727
1894,1,1894.042,22.409,0.628
1894,2,1894.125,22.884,0.776
1894,3,1894.208,23.441,0.704
1894,4,1894.292,22.202,0.634
1894,5,1894.375,23.156,0.640
1894,6,1894.458,23.357,0.747
1894,7,1894.542,23.642,0.666
1894,8,1894.625,23.437,0.717
1894,9,1894.708,23.067,0.713
1894,10,1894.792,23.542,0.639
1894,11,1894.875,23.547,0.702
1894,12,1894.958,22.189,1.284
1895,1,1895.042,22.347,0.800
1895,2,1895.125,22.462,0.636
1895,3,1895.208,23.316,0.705
1895,4,1895.292,23.487,0.556
1895,5,1895.375,23.196,0.663
1895,6,1895.458,23.082,0.569
1895,7,1895.542,24.243,0.703
1895,8,1895.625,23.759,0.651
1895,9,1895.708,23.061,0.668
1895,10,1895.792,23.361,0.788
1895,11,1895.875,23.628,0.641
1895,12,1895.958,23.202,0.704
1896,1,1896.042,22.972,0.845
1896,2,1896.125,23.072,0.559
1896,3,1896.208,24.002,0.885
1896,4,1896.292,23.446,0.833
1896,5,1896.375,23.115,0.792
1896,6,1896.458,24.300,0.611
1896,7,1896.542,23.745,0.537
1896,8,1896.625,24.011,0.635
1896,9,1896.708,23.812,0.609
1896,10,1896.792,23.524,0.643
1896,11,1896.875,22.402,0.612
1896,12,1896.958,23.365,0.710
1897,1,1897.042,22.354,1.072
1897,2,1897.125,22.637,0.574
1897,3,1897.208,23.475,0.542
1897,4,1897.292,22.877,0.385
1897,5,1897.375,22.986,0.406
1897,6,1897.458,23.351,0.432
1897,7,1897.542,24.376,0.700
1897,8,1897.625,23.705,0.582
1897,9,1897.708,23.789,0.583
1897,10,1897.792,24.236,0.713
1897,11,1897.875,24.340,0.650
1897,12,1897.958,22.276,0.752
1898,1,1898.042,23.745,0.697
1898,2,1898.125,22.302,0.564
1898,3,1898.208,23.339,0.589
1898,4,1898.292,22.860,0.713
1898,5,1898.375,23.400,0.889
1898,6,1898.458,22.832,0.476
1898,7,1898.542,22.653,0.543
1898,8,1898.625,21.645,0.481
1898,9,1898.708,22.876,0.725
1898,10,1898.792,23.277,0.607
1898,11,1898.875,24.278,1.328
1898,12,1898.958,23.414,0.764
1899,1,1899.042,23.772,0.369
1899,2,1899.125,22.751,0.492
1899,3,1899.208,22.967,0.573
1899,4,1899.292,23.030,0.899
1899,5,1899.375,21.681,0.817
1899,6,1899.458,22.156,1.094
1899,7,1899.542,23.500,0.389
1899,8,1899.625,23.402,0.713
1899,9,1899.708,23.550,0.372
1899,10,1899.792,23.301,0.566
1899,11,1899.875,22.523,1.218
1899,12,1899.958,23.012,0.629
1900,1,1900.042,24.154,2.085
1900,2,1900.125,23.920,2.410
1900,3,1900.208,23.973,0.452
1900,4,1900.292,23.716,0.505
1900,5,1900.375,23.558,0.626
1900,6,1900.458,23.517,0.545
1900,7,1900.542,23.711,0.491
1900,8,1900.625,23.904,0.840
1900,9,1900.708,23.417,0.541
1900,10,1900.792,24.303,0.646
1900,11,1900.875,23.642,0.863
1900,12,1900.958,23.333,0.899
1901,1,1901.042,23.728,0.562
1901,2,1901.125,23.190,0.691
1901,3,1901.208,23.331,0.657
1901,4,1901.292,23.286,0.674
1901,5,1901.375,22.953,0.421
1901,6,1901.458,22.512,0.438
1901,7,1901.542,23.157,0.460
1901,8,1901.625,22.898,0.598
1901,9,1901.708,22.585,0.565
1901,10,1901.792,21.907,1.164
1901,11,1901.875,23.372,1.028
1901,12,1901.958,23.217,0.711
1902,1,1902.042,23.360,0.501
1902,2,1902.125,22.985,0.423
1902,3,1902.208,22.776,0.737
1902,4,1902.292,23.726,0.458
1902,5,1902.375,22.948,0.472
1902,6,1902.458,23.668,0.393
1902,7,1902.542,24.078,0.647
1902,8,1902.625,24.408,0.574
1902,9,1902.708,24.135,0.467
1902,10,1902.792,22.104,0.512
1902,11,1902.875,23.390,0.472
1902,12,1902.958,23.486,0.429
1903,1,1903.042,23.247,0.466
1903,2,1903.125,23.247,0.777
1903,3,1903.208,23.361,0.671
1903,4,1903.292,23.707,0.396
1903,5,1903.375,24.189,0.704
1903,6,1903.458,24.012,0.378
1903,7,1903.542,23.380,0.321
1903,8,1903.625,23.808,0.316
1903,9,1903.708,21.569,0.994
1903,10,1903.792,23.201,0.788
1903,11,1903.875,23.599,0.355
1903,12,1903.958,22.710,0.526
1904,1,1904.042,22.459,0.391
1904,2,1904.125,22.246,0.376
1904,3,1904.208,22.163,0.870
1904,4,1904.292,22.679,0.704
1904,5,1904.375,22.824,0.486
1904,6,1904.458,23.405,0.564
1904,7,1904.542,22.595,0.746
1904,8,1904.625,22.826,0.447
1904,9,1904.708,21.532,1.376
1904,10,1904.792,22.700,0.550
1904,11,1904.875,23.300,0.405
1904,12,1904.958,22.048,0.559
1905,1,1905.042,23.009,0.923
1905,2,1905.125,22.754,0.353
1905,3,1905.208,22.131,0.372
1905,4,1905.292,22.933,0.916
1905,5,1905.375,22.940,0.597
1905,6,1905.458,24.643,1.603
1905,7,1905.542,22.973,0.378
1905,8,1905.625,23.492,0.567
1905,9,1905.708,23.979,0.678
1905,10,1905.792,23.892,0.478
1905,11,1905.875,22.629,1.340
1905,12,1905.958,23.065,0.737
1906,1,1906.042,24.035,0.400
1906,2,1906.125,22.634,0.661
1906,3,1906.208,22.963,0.792
