# Monthly average temperature data for Namibia.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1879,1,1879.042,19.312,1.203
1879,2,1879.125,19.516,1.490
1879,3,1879.208,19.363,1.683
1879,4,1879.292,19.438,1.141
1879,5,1879.375,20.381,0.953
1879,6,1879.458,20.165,1.072
1879,7,1879.542,19.705,1.280
1879,11,1879.875,19.421,1.156
1879,12,1879.958,18.785,0.986
1880,1,1880.042,18.464,1.575
1880,2,1880.125,18.555,1.231
1880,3,1880.208,18.767,1.284
1880,4,1880.292,18.752,1.317
1880,5,1880.375,20.196,1.653
1880,7,1880.542,20.509,1.038
1880,8,1880.625,19.942,0.991
1880,9,1880.708,19.504,0.920
1880,10,1880.792,20.146,1.339
1880,11,1880.875,20.191,0.945
1880,12,1880.958,19.647,0.922
1881,1,1881.042,19.621,1.283
1881,2,1881.125,19.775,0.895
1881,3,1881.208,19.357,1.175
1881,4,1881.292,19.013,1.314
1881,5,1881.375,19.671,1.084
1881,6,1881.458,19.328,1.486
1881,7,1881.542,18.887,1.455
1881,8,1881.625,20.062,1.395
1881,9,1881.708,20.342,1.189
1881,10,1881.792,20.633,1.278
1881,11,1881.875,20.020,1.340
1881,12,1881.958,20.529,2.002
1882,1,1882.042,20.956,1.026
1882,2,1882.125,21.211,1.479
1882,3,1882.208,19.707,1.493
1882,4,1882.292,19.811,1.165
1882,5,1882.375,20.078,0.970
1882,6,1882.458,19.900,0.778
1882,7,1882.542,19.861,1.020
1882,8,1882.625,20.348,1.139
1882,9,1882.708,20.054,0.773
1882,10,1882.792,19.381,0.791
1882,11,1882.875,20.176,1.197
1882,12,1882.958,19.759,1.212
1883,1,1883.042,19.362,1.194
1883,2,1883.125,20.472,1.277
1883,3,1883.208,19.952,0.990
1883,4,1883.292,20.251,0.820
1883,5,1883.375,20.453,0.761
1883,6,1883.458,20.419,0.778
1883,7,1883.542,20.089,0.854
1883,8,1883.625,19.397,1.032
1883,9,1883.708,20.033,1.089
1883,10,1883.792,20.175,0.826
1883,11,1883.875,20.115,0.833
1883,12,1883.958,19.818,0.984
1884,1,1884.042,19.755,1.090
1884,2,1884.125,20.239,0.844
1884,3,1884.208,19.177,0.777
1884,4,1884.292,19.649,1.059
1884,5,1884.375,20.198,0.926
1884,6,1884.458,20.004,1.323
1884,7,1884.542,19.025,1.094
1884,8,1884.625,20.387,0.887
1884,9,1884.708,19.546,1.007
1884,10,1884.792,19.868,0.728
1884,11,1884.875,19.596,0.874
1884,12,1884.958,20.437,0.872
1885,1,1885.042,19.845,1.216
1885,2,1885.125,20.497,0.908
1885,3,1885.208,19.717,0.894
1885,4,1885.292,19.645,0.991
1885,5,1885.375,20.387,1.712
1885,6,1885.458,20.771,1.307
1885,7,1885.542,21.182,1.230
1885,8,1885.625,20.641,0.943
1885,9,1885.708,20.439,0.963
1885,10,1885.792,20.317,0.820
1885,11,1885.875,20.057,0.895
1885,12,1885.958,20.104,1.260
1886,1,1886.042,19.835,1.149
1886,2,1886.125,20.680,1.177
1886,3,1886.208,19.960,0.995
1886,4,1886.292,20.094,1.273
1886,5,1886.375,21.625,1.584
1886,6,1886.458,21.698,1.267
1886,7,1886.542,20.960,1.938
1886,8,1886.625,20.756,1.268
1886,9,1886.708,20.483,0.815
1886,10,1886.792,19.791,0.968
1886,11,1886.875,20.019,0.866
1886,12,1886.958,19.629,1.062
1887,1,1887.042,19.345,1.068
1887,2,1887.125,20.116,1.127
1887,3,1887.208,19.519,1.175
1887,4,1887.292,21.164,2.457
1887,5,1887.375,21.057,2.053
1887,6,1887.458,20.151,0.651
1887,7,1887.542,18.835,3.036
1887,8,1887.625,19.617,1.161
1887,9,1887.708,20.612,1.039
1887,10,1887.792,20.053,0.830
1887,11,1887.875,20.736,1.510
1887,12,1887.958,19.224,0.801
1888,1,1888.042,19.759,0.938
1888,2,1888.125,20.506,1.073
1888,3,1888.208,20.045,1.201
1888,4,1888.292,19.872,0.843
1888,5,1888.375,18.994,2.090
1888,6,1888.458,19.733,1.440
1888,7,1888.542,18.874,2.430
1888,8,1888.625,20.268,0.712
1888,10,1888.792,20.399,1.029
1888,11,1888.875,19.608,1.019
1888,12,1888.958,19.948,0.925
1889,1,1889.042,19.824,0.921
1889,2,1889.125,20.760,0.923
1889,3,1889.208,20.322,0.808
1889,4,1889.292,20.505,0.659
1889,5,1889.375,21.087,0.560
1889,6,1889.458,20.952,0.699
1889,7,1889.542,21.362,1.689
1889,8,1889.625,21.249,1.463
1889,9,1889.708,20.233,0.800
1889,10,1889.792,20.544,1.067
1889,11,1889.875,19.905,0.969
1889,12,1889.958,19.761,0.828
1890,1,1890.042,19.434,0.814
1890,2,1890.125,19.557,1.058
1890,3,1890.208,19.476,0.786
1890,4,1890.292,19.551,0.574
1890,5,1890.375,19.253,0.930
1890,6,1890.458,20.009,1.279
1890,7,1890.542,18.525,2.231
1890,8,1890.625,19.703,0.892
1890,9,1890.708,20.307,0.893
1890,10,1890.792,19.530,1.147
1890,11,1890.875,19.546,1.059
1890,12,1890.958,19.418,1.093
1891,1,1891.042,19.256,0.811
1891,2,1891.125,19.086,0.977
1891,3,1891.208,19.677,0.840
1891,4,1891.292,21.568,2.831
1891,5,1891.375,19.687,1.337
1891,6,1891.458,19.288,1.956
1891,7,1891.542,22.129,2.955
1891,8,1891.625,20.666,1.821
1891,9,1891.708,19.575,0.893
1891,10,1891.792,19.935,0.817
1891,11,1891.875,20.117,0.832
1891,12,1891.958,19.203,0.979
1892,1,1892.042,19.807,0.796
1892,2,1892.125,19.836,0.865
1892,3,1892.208,19.710,0.962
1892,4,1892.292,19.348,1.114
1892,5,1892.375,19.690,0.829
1892,6,1892.458,18.924,3.289
1892,7,1892.542,19.243,1.797
1892,8,1892.625,19.372,1.256
1892,9,1892.708,19.855,1.068
1892,10,1892.792,19.909,0.928
1892,11,1892.875,19.710,0.895
1892,12,1892.958,19.135,1.387
1893,1,1893.042,18.827,0.855
1893,2,1893.125,19.558,0.812
1893,3,1893.208,20.338,0.802
1893,4,1893.292,20.882,1.905
1893,5,1893.375,21.549,1.902
1893,6,1893.458,20.844,1.075
1893,7,1893.542,21.293,1.246
1893,8,1893.625,20.205,1.493
1893,9,1893.708,19.913,0.953
1893,10,1893.792,19.642,0.796
1893,11,1893.875,20.301,0.764
1893,12,1893.958,19.510,0.772
1894,1,1894.042,19.443,0.865
1894,2,1894.125,20.375,0.993
1894,3,1894.208,20.412,0.873
1894,4,1894.292,19.808,0.905
1894,5,1894.375,20.850,0.944
1894,6,1894.458,20.348,0.891
1894,7,1894.542,20.141,0.829
1894,8,1894.625,20.387,0.929
1894,9,1894.708,19.958,0.794
1894,10,1894.792,20.178,0.820
1894,11,1894.875,20.150,0.726
1894,12,1894.958,19.393,0.760
1895,1,1895.042,19.421,0.833
1895,2,1895.125,20.064,1.268
1895,3,1895.208,20.258,0.734
1895,4,1895.292,20.028,0.701
1895,5,1895.375,20.698,1.126
1895,6,1895.458,20.063,0.699
1895,7,1895.542,20.254,1.036
1895,8,1895.625,20.541,0.903
1895,9,1895.708,19.551,0.849
1895,10,1895.792,20.306,0.766
1895,11,1895.875,21.087,1.293
1895,12,1895.958,19.795,0.789
1896,1,1896.042,19.942,1.250
1896,2,1896.125,20.339,0.824
1896,3,1896.208,20.215,0.873
1896,4,1896.292,20.200,0.760
1896,5,1896.375,20.505,0.853
1896,6,1896.458,20.350,1.037
