# Monthly average temperature data for Nepal.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1816,3,1816.208,13.603,2.091
1816,4,1816.292,13.241,1.909
1816,5,1816.375,13.993,1.422
1816,6,1816.458,12.998,1.599
1816,7,1816.542,12.500,1.988
1816,8,1816.625,13.137,1.290
1816,9,1816.708,12.095,1.401
1816,10,1816.792,11.189,4.928
1816,11,1816.875,12.175,4.978
1816,12,1816.958,12.698,2.136
1817,1,1817.042,13.805,3.841
1817,2,1817.125,13.930,3.887
1817,3,1817.208,13.165,2.494
1817,4,1817.292,14.183,1.750
1817,5,1817.375,12.543,2.047
1817,6,1817.458,11.753,1.450
1817,7,1817.542,12.751,2.550
1817,8,1817.625,13.561,1.445
1817,9,1817.708,11.147,2.523
1817,10,1817.792,12.024,3.058
1817,11,1817.875,13.031,1.897
1817,12,1817.958,12.371,3.156
1818,1,1818.042,13.774,1.714
1818,2,1818.125,12.899,1.867
1818,3,1818.208,13.837,1.757
1818,4,1818.292,14.677,2.007
1818,5,1818.375,14.251,5.280
1818,6,1818.458,13.664,5.797
1818,7,1818.542,13.028,2.123
1818,8,1818.625,13.347,2.172
1818,9,1818.708,11.704,1.501
1818,10,1818.792,12.028,3.617
1818,11,1818.875,13.050,2.404
1818,12,1818.958,13.037,1.655
1819,1,1819.042,12.067,2.735
1819,2,1819.125,12.579,3.567
1819,3,1819.208,12.725,5.631
1819,4,1819.292,12.387,1.699
1819,5,1819.375,13.212,2.471
1819,6,1819.458,12.930,3.485
1819,7,1819.542,13.250,1.671
1819,8,1819.625,13.056,2.246
1819,9,1819.708,12.820,2.172
1819,10,1819.792,12.996,2.152
1819,11,1819.875,13.256,1.620
1819,12,1819.958,12.338,1.952
1820,1,1820.042,10.963,2.734
1820,2,1820.125,12.262,2.236
1820,3,1820.208,13.468,1.662
1820,4,1820.292,14.343,1.652
1820,5,1820.375,14.028,1.345
1820,6,1820.458,13.315,1.345
1820,7,1820.542,13.715,1.565
1820,8,1820.625,13.179,1.758
1820,9,1820.708,13.181,1.885
1820,10,1820.792,12.585,1.407
1820,11,1820.875,12.945,1.400
1820,12,1820.958,12.582,1.369
1821,1,1821.042,14.632,2.702
1821,2,1821.125,15.085,3.674
1821,3,1821.208,14.257,2.297
1821,4,1821.292,14.142,1.329
1821,5,1821.375,14.176,2.200
1821,6,1821.458,13.544,2.228
1821,7,1821.542,13.709,2.146
1821,8,1821.625,13.589,1.258
1821,9,1821.708,12.191,1.751
1821,10,1821.792,12.849,1.470
1821,11,1821.875,13.569,2.216
1821,12,1821.958,13.749,1.405
1822,1,1822.042,15.163,2.084
1822,2,1822.125,15.715,1.470
1822,3,1822.208,16.335,2.543
1822,4,1822.292,13.702,1.955
1822,5,1822.375,14.280,1.288
1822,6,1822.458,13.527,1.254
1822,7,1822.542,14.011,1.166
1822,8,1822.625,13.556,1.266
1822,9,1822.708,12.731,1.794
1822,10,1822.792,12.618,1.581
1822,11,1822.875,12.700,1.560
1822,12,1822.958,12.484,2.051
1823,1,1823.042,14.377,1.679
1823,2,1823.125,14.398,1.826
1823,3,1823.208,14.002,1.836
1823,4,1823.292,14.619,2.222
1823,5,1823.375,13.900,1.688
1823,6,1823.458,13.783,1.719
1823,7,1823.542,13.966,1.358
1823,8,1823.625,13.179,1.332
1823,9,1823.708,12.309,1.435
1823,10,1823.792,13.126,1.512
1823,11,1823.875,12.734,2.252
1833,1,1833.042,13.977,2.067
1833,2,1833.125,13.929,1.246
1833,3,1833.208,13.912,2.258
1833,4,1833.292,13.364,1.205
1833,5,1833.375,13.082,1.756
1833,6,1833.458,14.184,1.513
1833,7,1833.542,14.155,1.525
1833,8,1833.625,13.741,1.354
1833,9,1833.708,13.457,1.279
1833,10,1833.792,13.295,1.336
1833,11,1833.875,14.328,1.926
1833,12,1833.958,13.616,1.756
1834,1,1834.042,12.537,1.749
1834,2,1834.125,13.791,1.252
1834,3,1834.208,14.299,1.223
1834,4,1834.292,13.526,1.619
1834,5,1834.375,14.392,1.180
1834,6,1834.458,13.068,1.394
1834,7,1834.542,14.280,1.296
1834,8,1834.625,13.744,1.365
1834,9,1834.708,13.383,1.369
1834,10,1834.792,13.064,1.661
1834,11,1834.875,13.993,1.762
1834,12,1834.958,13.778,1.302
1835,1,1835.042,13.975,2.175
1835,2,1835.125,13.862,2.133
1835,3,1835.208,12.853,2.241
1835,4,1835.292,12.892,1.408
1835,5,1835.375,12.604,2.020
1835,6,1835.458,12.515,1.511
1835,7,1835.542,12.976,1.408
1835,8,1835.625,12.789,1.178
1835,9,1835.708,12.228,1.307
1835,10,1835.792,12.786,1.476
1835,11,1835.875,12.098,2.117
1835,12,1835.958,12.016,2.472
1836,1,1836.042,13.317,1.963
1836,2,1836.125,13.401,1.564
1836,3,1836.208,13.823,1.167
1836,4,1836.292,13.279,1.681
1836,6,1836.458,13.564,1.302
1836,7,1836.542,13.813,1.140
1836,8,1836.625,13.604,2.506
1836,9,1836.708,13.407,1.667
1836,10,1836.792,13.924,2.111
1836,11,1836.875,12.762,2.238
1836,12,1836.958,13.962,1.367
1837,5,1837.375,14.028,2.484
1837,7,1837.542,13.781,1.565
1837,8,1837.625,13.653,1.430
1837,9,1837.708,13.609,1.310
1837,10,1837.792,13.324,1.651
1837,11,1837.875,13.122,1.731
1837,12,1837.958,13.817,2.323
1838,1,1838.042,12.763,3.095
1838,4,1838.292,13.824,1.831
1838,6,1838.458,13.687,1.200
1838,7,1838.542,14.578,1.370
1838,8,1838.625,14.019,1.362
1838,9,1838.708,13.485,1.333
1838,10,1838.792,13.940,1.552
1838,11,1838.875,13.833,1.879
1840,1,1840.042,14.999,1.510
1840,2,1840.125,14.158,2.076
1840,3,1840.208,13.711,2.739
1840,4,1840.292,13.872,1.166
1840,5,1840.375,13.840,1.769
1840,6,1840.458,13.407,1.806
1840,7,1840.542,14.857,1.322
