# Monthly average temperature data for Netherlands.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1750,1,1750.042,8.263,1.586
1750,2,1750.125,11.892,2.365
1750,3,1750.208,11.932,2.855
1750,4,1750.292,9.670,1.257
1750,5,1750.375,9.145,1.103
1750,6,1750.458,9.187,1.259
1750,7,1750.542,10.543,1.424
1750,8,1750.625,9.056,1.109
1750,9,1750.708,9.435,1.966
1750,10,1750.792,6.673,0.997
1750,11,1750.875,5.579,1.128
1750,12,1750.958,7.568,1.437
1751,1,1751.042,8.718,1.597
1751,2,1751.125,6.226,1.735
1751,3,1751.208,10.346,1.395
1751,4,1751.292,8.363,1.054
1751,5,1751.375,8.213,1.198
1751,6,1751.458,8.959,1.277
1751,7,1751.542,9.208,1.418
1751,8,1751.625,9.112,0.928
1751,9,1751.708,7.902,0.849
1751,10,1751.792,7.611,1.336
1751,11,1751.875,6.640,1.393
1751,12,1751.958,8.321,1.933
1752,1,1752.042,9.200,1.360
1752,2,1752.125,9.311,1.654
1752,3,1752.208,9.496,1.226
1752,4,1752.292,8.613,1.201
1752,5,1752.375,8.212,1.166
1752,6,1752.458,10.487,0.985
1752,7,1752.542,9.561,1.219
1752,8,1752.625,8.996,1.454
1752,10,1752.792,8.450,1.222
1752,11,1752.875,9.401,1.319
1752,12,1752.958,9.426,1.681
1753,1,1753.042,6.411,1.911
1753,2,1753.125,9.082,2.142
1753,3,1753.208,10.530,1.545
1753,4,1753.292,9.634,1.575
1753,5,1753.375,9.199,0.875
1753,6,1753.458,10.196,1.662
1753,7,1753.542,9.300,1.626
1753,8,1753.625,7.947,1.197
1753,9,1753.708,9.069,0.953
1753,10,1753.792,9.003,1.055
1753,11,1753.875,7.331,1.130
1753,12,1753.958,8.008,4.572
1754,1,1754.042,8.620,1.777
1754,2,1754.125,7.847,2.024
1754,3,1754.208,5.868,1.124
1754,4,1754.292,8.382,1.304
1754,5,1754.375,10.223,1.000
1754,6,1754.458,8.928,1.383
1754,7,1754.542,7.908,1.783
1754,8,1754.625,8.958,1.421
1754,9,1754.708,8.283,1.385
1754,10,1754.792,9.353,1.177
1754,11,1754.875,9.038,2.313
1754,12,1754.958,8.536,1.447
1755,1,1755.042,5.195,1.761
1755,2,1755.125,5.243,2.379
1755,3,1755.208,7.552,1.535
1755,4,1755.292,11.818,1.511
1755,5,1755.375,8.441,1.080
1755,6,1755.458,11.424,1.894
1755,7,1755.542,9.488,2.526
1755,8,1755.625,7.644,1.317
1755,9,1755.708,7.624,1.049
1755,10,1755.792,8.160,0.802
1755,11,1755.875,8.285,2.413
1755,12,1755.958,9.556,1.393
1756,1,1756.042,11.645,1.953
1756,2,1756.125,11.089,5.229
1756,3,1756.208,9.313,2.730
1756,4,1756.292,7.597,2.491
1756,5,1756.375,7.889,5.771
1756,6,1756.458,10.777,2.099
1756,7,1756.542,10.375,7.303
1756,8,1756.625,8.367,3.165
1756,9,1756.708,9.724,1.270
1756,10,1756.792,8.107,10.754
1756,11,1756.875,6.680,0.941
1756,12,1756.958,5.822,1.714
1757,1,1757.042,6.120,1.878
1757,2,1757.125,9.016,4.762
1757,3,1757.208,8.788,4.476
1757,4,1757.292,10.224,1.223
1757,5,1757.375,8.752,1.037
1757,6,1757.458,10.124,2.633
1757,7,1757.542,12.620,3.227
1757,8,1757.625,9.693,5.183
1757,9,1757.708,8.213,5.913
1757,10,1757.792,5.452,8.305
1757,11,1757.875,9.730,7.854
1757,12,1757.958,7.802,1.664
1758,1,1758.042,5.908,8.068
1758,2,1758.125,8.988,5.742
1758,3,1758.208,9.002,1.697
1758,4,1758.292,8.090,3.149
1758,5,1758.375,11.326,8.315
1758,6,1758.458,9.904,4.315
1758,7,1758.542,7.487,5.395
1758,8,1758.625,9.570,8.304
1758,9,1758.708,7.571,3.806
1758,10,1758.792,7.103,1.690
1758,11,1758.875,8.327,1.641
1758,12,1758.958,8.888,1.368
1759,1,1759.042,11.314,2.422
1759,2,1759.125,11.470,6.814
1759,3,1759.208,10.201,4.697
1759,4,1759.292,9.687,4.929
1759,5,1759.375,8.608,4.836
1759,6,1759.458,10.103,5.167
1759,7,1759.542,11.463,5.665
1759,8,1759.625,9.660,1.365
1759,9,1759.708,8.720,3.084
1759,10,1759.792,9.334,7.393
1759,11,1759.875,5.984,8.324
1759,12,1759.958,5.397,3.401
1760,1,1760.042,6.049,4.333
1760,2,1760.125,8.167,10.574
1760,3,1760.208,7.924,3.356
1760,4,1760.292,9.683,1.174
1760,5,1760.375,9.154,1.918
1760,6,1760.458,10.243,1.299
1760,7,1760.542,9.165,1.434
1760,8,1760.625,8.377,6.883
1760,9,1760.708,9.683,1.837
1760,10,1760.792,8.109,1.424
1760,11,1760.875,8.805,7.748
1760,12,1760.958,10.976,3.649
1761,1,1761.042,8.753,1.763
1761,2,1761.125,11.049,3.014
1761,3,1761.208,11.241,1.649
1761,4,1761.292,9.460,1.709
1761,5,1761.375,10.436,2.890
1761,6,1761.458,10.328,2.645
1761,7,1761.542,8.862,1.219
1761,8,1761.625,10.304,3.266
1761,9,1761.708,9.802,2.265
1761,10,1761.792,5.831,2.350
1761,11,1761.875,8.369,11.459
1761,12,1761.958,5.693,1.678
1762,1,1762.042,10.363,10.061
1762,2,1762.125,8.674,2.725
1762,3,1762.208,6.223,7.045
1762,4,1762.292,11.804,2.756
1762,5,1762.375,10.099,4.749
1762,6,1762.458,9.453,3.149
1762,7,1762.542,9.615,4.054
1762,8,1762.625,7.178,4.635
1762,9,1762.708,8.187,3.114
1762,10,1762.792,5.254,7.548
1762,11,1762.875,7.047,2.352
1762,12,1762.958,5.813,1.926
1763,1,1763.042,3.963,7.350
1763,2,1763.125,10.886,7.774
1763,3,1763.208,7.800,3.717
1763,4,1763.292,8.419,4.705
1763,5,1763.375,7.689,5.687
1763,6,1763.458,8.914,7.496
1763,7,1763.542,9.036,1.895
1763,8,1763.625,9.272,4.519
1763,9,1763.708,7.679,6.086
1763,10,1763.792,6.671,1.532
1763,11,1763.875,8.217,4.331
1763,12,1763.958,10.128,3.292
1764,1,1764.042,11.355,3.126
1764,2,1764.125,11.490,3.122
1764,3,1764.208,7.950,3.142
1764,4,1764.292,8.912,8.664
