# Monthly average temperature data for New Caledonia.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1857,12,1857.958,22.254,1.271
1858,1,1858.042,22.904,1.403
1858,2,1858.125,21.811,1.282
1858,3,1858.208,22.127,1.221
1858,4,1858.292,22.376,1.435
1858,5,1858.375,22.080,1.275
1858,6,1858.458,21.915,1.218
1858,7,1858.542,21.923,1.239
1858,8,1858.625,21.849,1.189
1858,9,1858.708,21.846,1.166
1858,10,1858.792,22.242,1.192
1858,11,1858.875,22.248,1.314
1858,12,1858.958,21.439,1.212
1859,1,1859.042,21.748,1.589
1859,2,1859.125,21.798,1.660
1859,3,1859.208,21.789,1.778
1859,4,1859.292,22.633,1.211
1859,5,1859.375,22.485,1.093
1859,6,1859.458,22.180,1.168
1859,7,1859.542,21.960,1.130
1859,8,1859.625,21.997,1.127
1859,9,1859.708,21.545,1.062
1859,10,1859.792,22.154,1.319
1859,11,1859.875,22.058,1.313
1859,12,1859.958,21.995,1.651
1860,1,1860.042,21.782,1.407
1860,2,1860.125,21.879,1.313
1860,3,1860.208,21.266,1.460
1860,4,1860.292,22.459,1.167
1860,5,1860.375,22.196,1.132
1860,7,1860.542,22.623,1.174
1860,8,1860.625,22.355,1.199
1860,9,1860.708,22.321,1.153
1860,10,1860.792,22.188,1.167
1860,11,1860.875,21.380,1.314
1860,12,1860.958,20.938,1.544
1861,1,1861.042,20.729,1.688
1861,2,1861.125,22.141,1.607
1861,3,1861.208,22.295,1.405
1861,4,1861.292,22.689,1.976
1861,5,1861.375,22.342,1.651
1861,6,1861.458,22.262,1.155
1861,7,1861.542,22.440,1.087
1861,8,1861.625,22.170,1.117
1861,9,1861.708,21.881,1.055
1861,10,1861.792,22.401,1.355
1861,11,1861.875,22.355,1.370
1861,12,1861.958,22.236,1.370
1862,1,1862.042,21.006,1.432
1862,2,1862.125,21.956,1.372
1862,3,1862.208,21.933,1.266
1862,4,1862.292,21.912,1.460
1862,5,1862.375,22.120,1.193
1862,6,1862.458,22.478,1.364
1862,7,1862.542,22.458,1.163
1862,8,1862.625,21.818,1.184
1862,9,1862.708,22.048,1.211
1862,10,1862.792,21.830,1.277
1862,11,1862.875,21.585,1.360
1862,12,1862.958,21.127,1.568
1863,1,1863.042,23.104,1.490
1863,2,1863.125,22.745,1.702
1863,3,1863.208,21.904,1.282
1863,4,1863.292,22.311,1.463
1863,5,1863.375,22.177,1.432
1863,6,1863.458,22.103,1.081
1863,7,1863.542,21.866,1.256
1863,8,1863.625,21.644,1.211
1863,9,1863.708,21.540,1.183
1863,10,1863.792,21.621,1.257
1863,11,1863.875,21.526,1.481
1863,12,1863.958,21.359,1.649
1864,1,1864.042,22.381,1.569
1864,2,1864.125,22.197,1.190
1864,3,1864.208,21.718,1.267
1864,4,1864.292,22.050,1.239
1864,5,1864.375,21.985,1.179
1864,6,1864.458,22.339,1.076
1864,7,1864.542,22.617,1.335
1864,8,1864.625,21.855,1.310
1864,9,1864.708,22.108,1.217
1864,10,1864.792,22.422,1.287
1864,11,1864.875,21.952,1.472
1865,1,1865.042,23.005,1.237
1865,2,1865.125,21.927,1.214
1865,3,1865.208,21.438,1.206
1865,4,1865.292,22.001,1.215
1865,5,1865.375,22.059,1.169
1865,6,1865.458,22.063,1.236
1865,7,1865.542,22.372,1.452
1865,8,1865.625,22.241,1.283
1865,9,1865.708,22.598,1.204
1865,10,1865.792,22.711,1.162
1865,11,1865.875,22.712,1.199
1865,12,1865.958,22.014,1.434
1866,1,1866.042,23.218,1.499
1866,2,1866.125,22.192,1.799
1866,3,1866.208,22.057,1.636
1866,4,1866.292,22.625,1.290
1866,5,1866.375,22.384,1.162
1866,6,1866.458,21.974,1.242
1866,7,1866.542,23.129,1.112
1866,8,1866.625,22.369,1.129
1866,9,1866.708,22.498,1.176
1866,10,1866.792,22.338,1.274
1866,11,1866.875,22.881,1.142
1866,12,1866.958,23.546,1.203
1867,1,1867.042,22.824,0.812
1867,2,1867.125,22.299,1.336
1867,3,1867.208,22.145,1.067
1867,4,1867.292,23.151,1.078
1867,5,1867.375,23.117,1.336
1867,6,1867.458,22.036,0.997
1867,7,1867.542,22.536,1.155
1867,8,1867.625,22.186,0.698
1867,9,1867.708,22.448,0.841
1867,10,1867.792,23.601,0.841
1867,11,1867.875,22.814,2.190
1867,12,1867.958,22.282,3.170
1868,1,1868.042,22.166,1.189
1868,2,1868.125,21.199,1.184
1868,3,1868.208,21.676,1.149
1868,4,1868.292,22.518,1.681
1868,5,1868.375,22.471,1.232
1868,6,1868.458,22.559,1.113
1868,7,1868.542,22.754,1.114
1868,8,1868.625,21.866,1.203
1868,9,1868.708,21.446,1.896
1868,10,1868.792,22.330,1.433
1868,11,1868.875,21.341,1.101
1868,12,1868.958,22.063,1.422
1869,1,1869.042,21.990,1.864
1869,2,1869.125,22.167,3.266
1869,3,1869.208,21.665,0.851
1869,4,1869.292,22.390,1.337
1869,5,1869.375,23.047,0.826
1869,6,1869.458,22.419,1.323
1869,7,1869.542,22.582,1.247
1869,8,1869.625,22.622,1.581
1869,9,1869.708,22.168,0.976
1869,10,1869.792,22.244,1.071
1869,11,1869.875,21.819,0.845
1869,12,1869.958,21.697,0.852
1870,1,1870.042,21.975,0.946
1870,2,1870.125,21.871,1.218
1870,3,1870.208,22.006,1.212
1870,4,1870.292,22.437,1.241
1870,5,1870.375,22.720,1.187
1870,6,1870.458,22.774,1.179
1870,7,1870.542,23.031,1.152
1870,8,1870.625,22.324,1.076
1870,9,1870.708,23.347,1.055
1870,10,1870.792,22.480,0.808
1870,11,1870.875,22.233,0.985
1870,12,1870.958,21.213,0.684
1871,1,1871.042,22.012,1.495
1871,2,1871.125,22.080,1.325
1871,3,1871.208,21.681,0.761
1871,4,1871.292,21.988,1.608
1871,5,1871.375,22.943,1.357
1871,6,1871.458,22.474,0.924
1871,7,1871.542,23.427,1.381
1871,8,1871.625,22.396,0.758
1871,9,1871.708,23.020,1.366
1871,10,1871.792,23.036,1.610
1871,11,1871.875,22.364,1.333
1871,12,1871.958,22.343,0.608
1872,1,1872.042,22.113,1.717
1872,2,1872.125,22.530,1.335
1872,3,1872.208,22.282,1.494
1872,4,1872.292,22.294,0.794
1872,5,1872.375,22.913,0.965
1872,6,1872.458,22.525,1.180
1872,7,1872.542,22.743,1.081
1872,8,1872.625,22.117,1.109
1872,9,1872.708,22.438,0.643
1872,10,1872.792,21.999,1.111
1872,11,1872.875,21.794,1.105
1872,12,1872.958,22.425,1.135
1873,1,1873.042,21.829,0.786
1873,2,1873.125,21.764,1.170
1873,3,1873.208,22.099,0.865
1873,4,1873.292,22.309,1.231
1873,5,1873.375,22.396,0.968
1873,6,1873.458,22.383,1.385
1873,7,1873.542,22.540,0.804
1873,8,1873.625,22.380,1.034
1873,9,1873.708,22.490,1.105
1873,10,1873.792,22.928,1.257
1873,11,1873.875,21.965,1.138
1873,12,1873.958,22.841,1.083
1874,1,1874.042,22.576,1.216
1874,2,1874.125,22.560,1.194
1874,3,1874.208,22.219,1.214
1874,4,1874.292,23.008,1.086
1874,5,1874.375,22.577,1.127
1874,6,1874.458,22.379,0.761
1874,7,1874.542,22.524,1.019
1874,8,1874.625,22.661,0.615
1874,9,1874.708,23.238,1.112
1874,10,1874.792,21.957,1.146
1874,11,1874.875,21.789,1.294
1874,12,1874.958,22.285,1.167
1875,1,1875.042,21.984,1.141
1875,2,1875.125,22.184,1.417
1875,3,1875.208,21.586,1.151
1875,4,1875.292,22.618,1.098
1875,5,1875.375,22.687,0.802
1875,6,1875.458,22.408,0.745
1875,7,1875.542,23.029,0.646
1875,8,1875.625,22.467,0.822
1875,9,1875.708,21.949,0.706
1875,10,1875.792,22.349,0.683
1875,11,1875.875,21.990,0.989
1875,12,1875.958,22.748,1.055
1876,1,1876.042,22.931,0.986
1876,2,1876.125,22.026,0.754
1876,3,1876.208,21.814,1.087
1876,4,1876.292,22.672,0.894
1876,5,1876.375,22.762,0.913
1876,6,1876.458,22.406,1.092
1876,7,1876.542,23.358,1.082
1876,8,1876.625,22.009,1.100
1876,9,1876.708,22.432,0.772
1876,10,1876.792,22.571,1.156
1876,11,1876.875,22.197,1.184
1876,12,1876.958,21.590,1.066
1877,1,1877.042,22.402,1.223
1877,2,1877.125,22.276,1.185
