# Monthly average temperature data for New Zealand.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1853,1,1853.042,9.529,1.529
1853,2,1853.125,9.061,1.868
1853,3,1853.208,8.633,1.568
1853,4,1853.292,9.708,1.214
1853,5,1853.375,10.178,1.241
1853,6,1853.458,9.776,1.322
1853,7,1853.542,10.676,1.223
1853,8,1853.625,10.096,1.439
1853,9,1853.708,9.783,1.523
1853,10,1853.792,10.425,1.250
1853,11,1853.875,9.543,1.362
1853,12,1853.958,10.323,1.421
1854,1,1854.042,11.029,4.240
1854,2,1854.125,10.670,3.540
1854,3,1854.208,10.918,2.569
1854,4,1854.292,9.754,1.574
1854,5,1854.375,10.621,1.151
1854,6,1854.458,11.029,2.321
1854,7,1854.542,10.601,1.348
1854,8,1854.625,10.534,1.200
1854,9,1854.708,9.843,1.070
1854,10,1854.792,10.612,1.326
1854,11,1854.875,10.432,1.462
1854,12,1854.958,10.660,2.919
1855,1,1855.042,11.207,1.866
1855,2,1855.125,10.105,1.866
1855,3,1855.208,10.266,1.839
1855,4,1855.292,10.558,1.544
1855,5,1855.375,10.670,1.201
1855,6,1855.458,10.920,1.661
1855,7,1855.542,10.727,1.828
1855,8,1855.625,11.053,2.174
1855,9,1855.708,10.352,1.150
1855,10,1855.792,10.792,2.375
1855,11,1855.875,10.400,1.891
1855,12,1855.958,10.996,2.157
1856,1,1856.042,10.120,0.905
1856,2,1856.125,9.936,1.651
1856,3,1856.208,10.423,1.405
1856,4,1856.292,11.124,1.717
1856,5,1856.375,10.067,1.213
1856,6,1856.458,10.298,1.569
1856,7,1856.542,10.291,1.870
1856,8,1856.625,10.952,1.810
1856,9,1856.708,10.685,1.422
1856,10,1856.792,10.773,2.794
1856,11,1856.875,9.818,1.493
1856,12,1856.958,12.180,4.635
1857,1,1857.042,11.096,1.577
1857,2,1857.125,10.091,1.150
1857,3,1857.208,10.212,1.389
1857,4,1857.292,10.406,1.633
1857,5,1857.375,9.620,2.162
1857,6,1857.458,10.392,1.094
1857,7,1857.542,10.344,1.072
1857,8,1857.625,10.572,1.520
1857,9,1857.708,10.815,1.457
1857,10,1857.792,10.092,1.064
1857,11,1857.875,10.091,0.978
1857,12,1857.958,10.632,1.989
1858,1,1858.042,9.784,1.842
1858,2,1858.125,10.162,1.520
1858,3,1858.208,10.675,1.863
1858,4,1858.292,9.502,1.154
1858,5,1858.375,10.264,2.092
1858,6,1858.458,10.423,0.945
1858,7,1858.542,10.279,1.658
1858,8,1858.625,10.313,1.497
1858,9,1858.708,10.435,2.130
1858,10,1858.792,10.485,1.063
1858,11,1858.875,9.967,1.313
1858,12,1858.958,10.211,1.832
1859,1,1859.042,9.893,1.460
1859,2,1859.125,9.473,1.348
1859,3,1859.208,9.543,1.432
1859,4,1859.292,10.419,1.260
1859,5,1859.375,10.699,1.146
1859,6,1859.458,10.665,1.200
1859,7,1859.542,9.818,1.315
1859,8,1859.625,9.889,1.132
1859,9,1859.708,9.497,1.822
1859,10,1859.792,11.354,2.206
1859,11,1859.875,10.222,1.162
1859,12,1859.958,10.600,2.125
1860,1,1860.042,9.370,1.601
1860,2,1860.125,9.080,1.169
1860,3,1860.208,9.426,2.084
1860,4,1860.292,10.236,1.213
1860,5,1860.375,10.751,1.654
1860,6,1860.458,11.064,1.423
1860,7,1860.542,9.806,1.972
1860,8,1860.625,9.804,1.807
1860,9,1860.708,9.593,2.239
1860,10,1860.792,9.635,1.442
1860,11,1860.875,9.716,1.300
1860,12,1860.958,9.884,3.279
1861,1,1861.042,8.735,1.855
1861,2,1861.125,10.425,2.324
1861,3,1861.208,9.583,1.955
1861,4,1861.292,10.034,1.799
1861,5,1861.375,10.859,2.563
1861,6,1861.458,10.686,1.265
1861,7,1861.542,10.219,1.014
1861,8,1861.625,9.421,2.054
1861,9,1861.708,10.144,1.339
1861,10,1861.792,10.045,1.131
1861,11,1861.875,9.553,1.558
1861,12,1861.958,10.473,1.548
1862,1,1862.042,8.921,1.829
1862,2,1862.125,10.175,2.230
1862,3,1862.208,9.718,1.507
1862,4,1862.292,9.186,2.175
1862,5,1862.375,9.390,1.919
1862,6,1862.458,10.220,1.249
1862,7,1862.542,9.433,1.705
1862,8,1862.625,9.436,1.184
1862,9,1862.708,9.772,0.998
1862,10,1862.792,9.116,1.302
1862,11,1862.875,10.375,2.345
1862,12,1862.958,9.130,1.882
1863,1,1863.042,10.847,1.237
1863,2,1863.125,9.908,2.434
1863,3,1863.208,9.605,1.287
1863,4,1863.292,9.351,1.425
1863,5,1863.375,10.094,1.329
1863,6,1863.458,10.039,1.139
1863,7,1863.542,10.891,1.172
1863,8,1863.625,9.889,1.329
1863,9,1863.708,9.778,1.505
1863,10,1863.792,10.111,1.248
1863,11,1863.875,9.202,0.867
1863,12,1863.958,9.353,2.787
1864,1,1864.042,10.061,1.229
1864,2,1864.125,9.873,1.997
1864,3,1864.208,8.921,1.274
1864,4,1864.292,10.964,2.223
1864,5,1864.375,10.297,1.054
1864,6,1864.458,10.150,1.205
1864,7,1864.542,11.283,1.480
1864,8,1864.625,9.200,1.122
1864,9,1864.708,10.464,0.598
1864,10,1864.792,10.249,0.962
1864,11,1864.875,10.014,1.357
1864,12,1864.958,10.961,1.301
1865,1,1865.042,10.758,1.588
1865,2,1865.125,10.899,0.625
1865,3,1865.208,10.645,0.547
1865,4,1865.292,10.585,1.073
1865,5,1865.375,10.171,0.944
1865,6,1865.458,10.877,0.631
1865,7,1865.542,10.448,1.313
1865,8,1865.625,9.563,0.905
1865,9,1865.708,10.211,0.870
1865,10,1865.792,8.890,1.185
1865,11,1865.875,9.937,1.035
1865,12,1865.958,9.994,1.503
1866,1,1866.042,9.925,1.545
1866,2,1866.125,10.302,2.127
