# Monthly average temperature data for Nicaragua.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1852,10,1852.792,25.077,1.592
1852,11,1852.875,25.254,1.176
1852,12,1852.958,26.308,1.029
1853,3,1853.208,25.249,1.158
1853,4,1853.292,25.528,1.000
1853,8,1853.625,25.844,1.239
1853,9,1853.708,25.560,0.746
1853,10,1853.792,26.050,1.032
1853,11,1853.875,24.642,1.502
1853,12,1853.958,24.907,1.354
1854,12,1854.958,25.333,3.215
1855,1,1855.042,25.241,1.544
1855,2,1855.125,24.888,1.611
1855,3,1855.208,25.345,1.418
1855,4,1855.292,25.488,1.140
1855,5,1855.375,26.007,1.071
1855,6,1855.458,26.082,0.931
1857,2,1857.125,24.335,1.834
1857,3,1857.208,24.571,1.345
1857,4,1857.292,25.567,2.377
1857,5,1857.375,25.166,1.507
1857,6,1857.458,25.967,1.653
1857,7,1857.542,25.991,0.904
1857,8,1857.625,25.355,0.803
1857,9,1857.708,25.276,0.990
1857,10,1857.792,26.065,1.536
1857,11,1857.875,25.236,0.877
1857,12,1857.958,25.141,1.556
1858,1,1858.042,27.098,1.993
1858,2,1858.125,25.326,1.152
1858,3,1858.208,24.359,1.783
1858,4,1858.292,25.092,1.093
1858,5,1858.375,25.988,1.121
1858,6,1858.458,26.546,1.929
1858,7,1858.542,25.369,0.843
1858,8,1858.625,25.287,1.019
1858,9,1858.708,26.401,1.963
1858,10,1858.792,25.578,0.802
1858,11,1858.875,25.550,1.679
1858,12,1858.958,25.155,1.024
1859,1,1859.042,25.164,0.962
1859,2,1859.125,25.368,1.262
1859,3,1859.208,25.669,0.732
1859,4,1859.292,25.737,1.152
1859,5,1859.375,25.816,0.848
1859,6,1859.458,25.538,0.762
1859,7,1859.542,25.913,0.976
1859,8,1859.625,25.708,0.775
1859,9,1859.708,25.352,0.612
1859,10,1859.792,25.967,0.906
1859,11,1859.875,24.674,1.070
1859,12,1859.958,25.127,1.223
1860,1,1860.042,25.169,0.958
1860,2,1860.125,24.955,0.684
1860,3,1860.208,24.147,2.012
1860,4,1860.292,25.494,0.984
1860,5,1860.375,24.733,1.466
1860,6,1860.458,26.184,1.035
1860,7,1860.542,25.557,1.378
1860,8,1860.625,25.721,1.113
1860,9,1860.708,25.778,0.843
1860,10,1860.792,25.276,1.294
1860,11,1860.875,25.695,0.853
1860,12,1860.958,25.309,1.442
1863,1,1863.042,25.110,1.061
1863,2,1863.125,26.209,2.746
1863,3,1863.208,25.776,1.247
1863,4,1863.292,25.236,1.438
1863,5,1863.375,25.666,1.564
1863,6,1863.458,26.204,1.017
1863,7,1863.542,25.675,0.660
1863,8,1863.625,25.362,1.194
1863,9,1863.708,25.098,1.289
1863,10,1863.792,25.429,1.000
1863,11,1863.875,25.055,0.970
1863,12,1863.958,24.537,2.173
1864,5,1864.375,24.537,1.034
1866,3,1866.208,24.368,1.371
1866,4,1866.292,24.649,0.977
1866,5,1866.375,25.452,0.951
1866,7,1866.542,25.620,1.066
1866,8,1866.625,25.332,1.040
1866,9,1866.708,25.523,0.820
1866,10,1866.792,25.129,0.595
1866,11,1866.875,24.816,0.610
1866,12,1866.958,25.999,0.956
1867,1,1867.042,25.988,1.153
1867,2,1867.125,25.524,1.225
1867,3,1867.208,26.309,0.737
1867,4,1867.292,25.619,0.809
1867,5,1867.375,25.644,0.759
1867,6,1867.458,26.242,0.755
1867,7,1867.542,26.078,0.977
1867,8,1867.625,25.797,0.874
1867,9,1867.708,25.562,0.898
1867,10,1867.792,25.505,1.046
1867,11,1867.875,24.741,1.423
1867,12,1867.958,25.417,1.066
1868,1,1868.042,25.909,1.357
1868,2,1868.125,24.596,1.359
1868,3,1868.208,25.208,1.165
1868,4,1868.292,25.203,1.073
1868,5,1868.375,25.335,0.979
1868,6,1868.458,25.351,0.694
1868,7,1868.542,26.076,0.797
1868,8,1868.625,25.678,0.696
1868,9,1868.708,25.405,0.951
1868,10,1868.792,25.693,1.199
1868,11,1868.875,24.857,0.992
1868,12,1868.958,25.283,1.283
1869,1,1869.042,27.058,1.408
1869,2,1869.125,27.553,1.437
1869,3,1869.208,26.433,1.467
1869,4,1869.292,26.986,1.186
1869,5,1869.375,26.508,0.966
1870,1,1870.042,25.203,0.839
1870,2,1870.125,24.747,1.083
1870,3,1870.208,25.286,0.832
1870,7,1870.542,26.399,0.888
1870,8,1870.625,26.205,0.808
1870,9,1870.708,26.420,1.208
1870,10,1870.792,25.025,1.029
1870,11,1870.875,24.564,0.820
1870,12,1870.958,24.526,1.139
1871,1,1871.042,24.562,0.810
1871,2,1871.125,25.236,1.381
1871,3,1871.208,25.458,0.901
1871,4,1871.292,25.858,0.865
1871,5,1871.375,25.731,0.807
1871,6,1871.458,26.073,0.957
1871,7,1871.542,25.784,1.199
1871,8,1871.625,26.264,1.169
1871,9,1871.708,25.865,0.814
1871,10,1871.792,25.433,0.886
1871,11,1871.875,24.910,1.409
1871,12,1871.958,24.899,1.084
1872,1,1872.042,25.075,0.997
1872,2,1872.125,25.996,1.780
1872,3,1872.208,26.181,1.821
1872,4,1872.292,26.352,1.904
1872,5,1872.375,26.034,1.751
1872,6,1872.458,26.463,1.808
1872,7,1872.542,26.181,1.864
1872,8,1872.625,26.065,2.123
1872,9,1872.708,26.536,1.415
1872,10,1872.792,25.961,0.838
1872,11,1872.875,25.161,0.825
1872,12,1872.958,24.780,1.076
1873,1,1873.042,24.688,0.978
1873,2,1873.125,26.111,1.048
1873,3,1873.208,25.099,0.808
1873,5,1873.375,25.743,1.495
1873,6,1873.458,26.200,1.580
1873,7,1873.542,26.159,1.337
1873,8,1873.625,25.559,1.053
1873,9,1873.708,25.110,0.961
1873,10,1873.792,25.030,1.199
1875,1,1875.042,25.449,0.932
1875,2,1875.125,25.637,1.053
1875,3,1875.208,25.404,0.979
1875,4,1875.292,25.128,0.907
1875,5,1875.375,25.796,0.781
1875,6,1875.458,25.969,1.046
1875,7,1875.542,25.929,0.791
1875,9,1875.708,25.586,0.834
1875,10,1875.792,25.741,0.977
1875,11,1875.875,25.570,1.115
1875,12,1875.958,25.677,1.043
1876,1,1876.042,26.300,1.318
1876,2,1876.125,26.356,1.325
1876,3,1876.208,25.539,1.587
1876,4,1876.292,25.503,1.337
1876,5,1876.375,25.238,1.071
1876,6,1876.458,26.104,0.980
1876,7,1876.542,25.754,0.946
1876,8,1876.625,25.571,1.183
1876,9,1876.708,25.921,1.106
1876,10,1876.792,25.479,0.853
1876,11,1876.875,25.438,1.298
1876,12,1876.958,24.953,1.425
1877,1,1877.042,25.414,1.068
1877,2,1877.125,25.131,1.326
1877,3,1877.208,25.425,0.943
1877,4,1877.292,25.785,0.899
1877,5,1877.375,25.681,1.118
1877,6,1877.458,25.689,1.448
1877,7,1877.542,26.543,0.774
1877,8,1877.625,26.836,0.966
1877,9,1877.708,26.652,1.203
1877,10,1877.792,26.759,1.178
1877,11,1877.875,26.224,0.983
1877,12,1877.958,25.489,1.958
1878,1,1878.042,25.746,2.206
1878,2,1878.125,26.416,1.429
1878,3,1878.208,27.017,1.073
1878,4,1878.292,27.202,0.978
1878,5,1878.375,26.973,0.941
1878,6,1878.458,27.497,0.758
1878,7,1878.542,26.878,0.784
1878,8,1878.625,26.203,0.747
1878,9,1878.708,26.345,0.777
1878,10,1878.792,26.318,0.898
1878,11,1878.875,26.075,0.959
1878,12,1878.958,25.872,1.354
1879,1,1879.042,26.045,1.330
1879,2,1879.125,25.668,1.031
1879,3,1879.208,25.152,0.836
1879,4,1879.292,25.575,1.002
1879,5,1879.375,25.475,0.809
1879,6,1879.458,25.708,1.171
1879,7,1879.542,25.967,1.227
1879,8,1879.625,25.968,0.990
1879,9,1879.708,25.496,0.737
1879,10,1879.792,25.522,1.122
1879,11,1879.875,25.403,1.528
1879,12,1879.958,25.703,1.443
1880,1,1880.042,25.698,1.705
1880,2,1880.125,25.718,0.985
1880,3,1880.208,25.999,0.932
1880,4,1880.292,25.397,0.978
1880,5,1880.375,25.487,1.056
1880,6,1880.458,25.847,0.975
1880,7,1880.542,25.927,1.109
1880,8,1880.625,26.066,1.026
1880,9,1880.708,25.961,0.776
1880,10,1880.792,25.992,0.973
1880,11,1880.875,26.259,1.169
1880,12,1880.958,25.476,1.033
1881,1,1881.042,25.811,1.939
1881,2,1881.125,25.013,1.441
1881,3,1881.208,24.857,1.304
1881,4,1881.292,25.256,1.621
1881,5,1881.375,26.326,0.724
1881,6,1881.458,26.363,0.786
1881,7,1881.542,26.482,0.641
1881,8,1881.625,26.208,0.615
1881,9,1881.708,25.656,1.218
1881,10,1881.792,25.801,0.694
1881,11,1881.875,26.159,0.891
1881,12,1881.958,25.347,0.851
1882,1,1882.042,25.932,1.228
1882,2,1882.125,25.624,0.822
1882,3,1882.208,25.467,1.018
1882,4,1882.292,25.552,1.040
1882,5,1882.375,25.612,0.781
1882,6,1882.458,26.223,0.868
1882,7,1882.542,25.899,0.708
1882,8,1882.625,25.971,0.878
1882,9,1882.708,25.968,0.524
1882,10,1882.792,25.520,2.348
1882,11,1882.875,24.996,0.702
1882,12,1882.958,24.880,1.384
1883,1,1883.042,26.073,0.821
1883,2,1883.125,26.224,1.090
1883,3,1883.208,25.271,1.204
1883,4,1883.292,26.077,0.559
1883,5,1883.375,25.630,0.516
1883,6,1883.458,25.846,0.895
1883,7,1883.542,25.597,0.604
1883,8,1883.625,25.547,0.629
1883,9,1883.708,25.780,0.774
1883,10,1883.792,25.959,0.755
1883,11,1883.875,25.240,0.858
1883,12,1883.958,25.013,0.842
1884,1,1884.042,24.899,0.764
1884,2,1884.125,25.028,1.100
1884,3,1884.208,25.160,1.008
1884,4,1884.292,25.352,0.528
1884,5,1884.375,24.600,0.894
1884,6,1884.458,25.853,0.707
1884,7,1884.542,25.566,0.637
1884,8,1884.625,25.125,1.270
1884,9,1884.708,25.670,0.955
1884,10,1884.792,25.188,0.704
1884,11,1884.875,25.818,1.539
1884,12,1884.958,26.289,1.842
1885,1,1885.042,25.186,1.020
1885,2,1885.125,24.731,0.804
1885,3,1885.208,25.391,0.883
1885,4,1885.292,24.735,0.749
1885,5,1885.375,25.396,0.793
1885,6,1885.458,25.813,0.663
1885,7,1885.542,26.009,0.803
1885,8,1885.625,25.700,0.769
1885,9,1885.708,25.901,0.723
1885,10,1885.792,25.690,0.872
1885,11,1885.875,25.038,0.869
1885,12,1885.958,24.621,0.963
1886,1,1886.042,24.420,0.968
1886,2,1886.125,24.532,0.713
1886,3,1886.208,26.016,0.601
1886,4,1886.292,25.578,1.127
1886,5,1886.375,25.421,0.961
1886,6,1886.458,26.186,1.057
1886,7,1886.542,25.951,1.199
1886,8,1886.625,25.973,0.818
1886,9,1886.708,26.094,0.906
1886,10,1886.792,25.679,0.709
1886,11,1886.875,25.721,1.167
1886,12,1886.958,25.050,1.325
1887,1,1887.042,25.269,1.812
1887,2,1887.125,25.857,0.811
1887,3,1887.208,24.417,1.282
1887,4,1887.292,24.944,0.549
1887,5,1887.375,24.977,1.483
1887,6,1887.458,25.224,1.080
1887,7,1887.542,25.545,0.722
1887,8,1887.625,25.362,1.072
1887,9,1887.708,25.630,0.628
1887,10,1887.792,25.222,0.643
1887,11,1887.875,25.327,0.677
1887,12,1887.958,25.821,1.143
1888,1,1888.042,25.525,1.600
1888,2,1888.125,24.913,0.908
1888,3,1888.208,25.203,0.628
1888,4,1888.292,24.323,0.865
1888,5,1888.375,25.124,0.965
1888,6,1888.458,25.122,1.872
1888,7,1888.542,26.066,0.846
1888,8,1888.625,25.518,1.566
1888,9,1888.708,25.482,0.726
1888,10,1888.792,25.984,0.790
1888,11,1888.875,25.855,0.785
1888,12,1888.958,25.268,0.910
1889,1,1889.042,25.910,1.030
1889,2,1889.125,26.689,0.828
1889,3,1889.208,25.374,0.802
1889,4,1889.292,26.015,0.936
1889,5,1889.375,25.968,1.449
1889,6,1889.458,26.532,0.901
1889,7,1889.542,26.324,0.790
1889,8,1889.625,25.485,0.711
1889,9,1889.708,26.146,0.738
1889,10,1889.792,25.459,0.704
1889,11,1889.875,25.572,0.764
1889,12,1889.958,24.573,0.843
1890,1,1890.042,25.361,1.989
1890,2,1890.125,24.907,1.006
1890,3,1890.208,22.795,3.312
1890,4,1890.292,25.302,0.868
1890,5,1890.375,25.326,1.021
1890,6,1890.458,25.358,0.961
1890,7,1890.542,25.840,0.812
1890,8,1890.625,25.362,0.680
1890,9,1890.708,25.389,0.638
1890,10,1890.792,25.357,0.985
1890,11,1890.875,24.817,0.944
1890,12,1890.958,24.056,1.050
1891,1,1891.042,25.131,0.763
1891,2,1891.125,26.152,0.654
1891,3,1891.208,25.383,0.852
1891,4,1891.292,25.043,0.713
1891,5,1891.375,25.545,0.676
