# Monthly average temperature data for Niger.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1886,1,1886.042,25.402,1.538
1886,2,1886.125,25.522,1.389
1886,3,1886.208,26.436,1.363
1886,4,1886.292,26.993,1.288
1886,5,1886.375,26.980,1.250
1886,6,1886.458,26.605,1.315
1886,7,1886.542,27.366,1.288
1886,8,1886.625,26.809,1.275
1886,9,1886.708,26.360,1.300
1886,10,1886.792,26.712,1.332
1886,11,1886.875,26.604,1.364
1886,12,1886.958,25.914,1.540
1887,1,1887.042,25.020,1.492
1887,2,1887.125,25.906,1.334
1887,3,1887.208,26.625,1.340
1887,4,1887.292,26.342,1.308
1887,5,1887.375,27.371,1.274
1887,6,1887.458,25.657,1.348
1887,7,1887.542,26.093,1.421
1887,8,1887.625,26.244,1.429
1887,9,1887.708,26.961,1.522
1887,10,1887.792,26.820,1.410
1887,11,1887.875,26.971,1.469
1887,12,1887.958,27.041,1.326
1888,1,1888.042,26.577,1.379
1888,2,1888.125,26.312,1.319
1888,3,1888.208,26.964,1.301
1888,4,1888.292,27.837,1.281
1888,5,1888.375,26.440,1.235
1888,6,1888.458,26.416,1.539
1888,7,1888.542,27.085,1.306
1888,8,1888.625,26.374,1.261
1888,9,1888.708,26.803,1.149
1888,10,1888.792,26.583,1.252
1888,11,1888.875,27.486,1.268
1888,12,1888.958,26.780,1.396
1889,1,1889.042,26.255,1.297
1889,2,1889.125,27.434,1.203
1889,3,1889.208,26.959,1.286
1889,4,1889.292,26.936,1.333
1889,5,1889.375,27.028,1.440
1889,6,1889.458,26.981,1.227
1889,7,1889.542,26.925,1.283
1889,8,1889.625,27.467,1.332
1889,9,1889.708,26.796,1.278
1889,10,1889.792,26.713,1.281
1889,11,1889.875,26.564,1.358
1889,12,1889.958,26.995,1.254
1890,1,1890.042,25.773,1.283
1890,2,1890.125,26.355,1.302
1890,3,1890.208,25.383,1.263
1890,4,1890.292,26.031,1.209
1890,5,1890.375,26.658,1.278
1890,6,1890.458,25.778,1.207
1890,7,1890.542,26.915,1.296
1890,8,1890.625,26.649,1.209
1890,9,1890.708,25.768,1.214
1890,10,1890.792,26.290,1.308
1890,11,1890.875,25.898,1.352
1890,12,1890.958,26.316,1.312
1891,1,1891.042,26.049,1.204
1891,2,1891.125,25.272,1.221
1891,3,1891.208,26.462,1.339
1891,4,1891.292,27.320,1.348
1891,5,1891.375,26.855,1.268
1891,6,1891.458,26.635,1.185
1891,7,1891.542,26.839,1.190
1891,8,1891.625,26.721,1.278
1891,9,1891.708,27.000,1.223
1891,10,1891.792,26.306,1.219
1891,11,1891.875,26.755,1.288
1891,12,1891.958,26.902,1.154
1892,1,1892.042,26.923,1.173
1892,2,1892.125,26.776,1.230
1892,3,1892.208,27.974,1.252
1892,4,1892.292,26.461,1.269
1892,5,1892.375,25.903,1.380
1892,6,1892.458,26.806,1.151
1892,7,1892.542,26.385,1.174
1892,8,1892.625,26.813,1.101
1892,9,1892.708,25.981,1.129
1892,10,1892.792,27.170,1.200
1892,11,1892.875,26.817,1.253
1892,12,1892.958,27.273,1.386
1893,1,1893.042,26.436,1.219
1893,2,1893.125,25.673,1.166
1893,3,1893.208,26.287,1.152
1893,4,1893.292,26.076,1.355
1893,5,1893.375,27.647,1.168
1893,6,1893.458,26.564,1.252
1893,7,1893.542,27.152,1.465
1893,8,1893.625,27.111,1.196
1893,9,1893.708,27.620,1.211
1893,10,1893.792,26.862,1.135
1893,11,1893.875,27.659,1.240
1893,12,1893.958,26.259,1.241
1894,1,1894.042,26.182,1.217
1894,2,1894.125,26.015,1.249
1894,3,1894.208,26.779,1.240
1894,4,1894.292,26.456,1.325
1894,5,1894.375,27.256,1.226
1894,6,1894.458,26.420,1.263
1894,7,1894.542,26.530,1.437
1894,8,1894.625,26.724,1.277
1894,9,1894.708,27.474,1.343
1894,10,1894.792,27.301,1.182
1894,11,1894.875,26.935,1.176
1894,12,1894.958,26.431,1.147
1895,1,1895.042,25.769,1.388
1895,2,1895.125,27.749,1.375
1895,3,1895.208,26.739,1.135
1895,4,1895.292,28.155,1.188
1895,5,1895.375,26.986,1.242
1895,6,1895.458,26.476,1.223
1895,7,1895.542,26.872,1.350
1895,8,1895.625,27.231,1.342
1895,9,1895.708,26.297,1.232
1895,10,1895.792,27.791,1.442
1895,11,1895.875,27.978,1.726
1895,12,1895.958,27.172,1.361
1896,1,1896.042,27.018,1.027
1896,2,1896.125,26.518,1.201
1896,3,1896.208,25.399,1.430
1896,4,1896.292,25.627,1.270
1896,5,1896.375,26.270,0.924
1896,6,1896.458,26.453,1.150
1896,7,1896.542,26.441,1.038
1896,8,1896.625,26.728,1.140
1896,9,1896.708,26.442,1.312
1896,10,1896.792,26.457,1.205
1896,11,1896.875,26.421,1.012
1896,12,1896.958,25.754,1.223
1897,1,1897.042,26.184,0.892
1897,2,1897.125,25.483,0.904
1897,3,1897.208,26.376,0.873
1897,4,1897.292,27.088,0.837
1897,5,1897.375,28.334,0.998
1897,6,1897.458,27.058,0.976
1897,7,1897.542,26.438,1.266
1897,8,1897.625,27.450,1.142
1897,9,1897.708,26.609,1.808
1897,10,1897.792,26.469,2.311
1897,11,1897.875,27.329,1.362
1897,12,1897.958,25.951,1.559
1898,1,1898.042,25.741,1.931
1898,2,1898.125,25.231,1.062
1898,3,1898.208,26.183,1.037
1898,4,1898.292,25.790,1.515
1898,5,1898.375,27.340,1.400
1898,6,1898.458,28.875,1.805
1898,7,1898.542,27.370,0.946
1898,8,1898.625,27.095,1.059
1898,9,1898.708,26.776,0.967
1898,10,1898.792,27.231,1.456
1898,11,1898.875,27.931,1.291
1898,12,1898.958,26.421,1.125
1899,1,1899.042,27.011,1.584
1899,2,1899.125,27.257,1.072
1899,3,1899.208,27.240,1.457
1899,4,1899.292,27.971,1.809
1899,5,1899.375,28.018,1.572
1899,6,1899.458,27.308,1.072
1899,7,1899.542,27.588,1.180
1899,8,1899.625,28.459,1.584
1899,9,1899.708,28.224,0.857
1899,10,1899.792,27.609,0.967
1899,11,1899.875,27.961,1.061
1899,12,1899.958,26.832,1.129
1900,1,1900.042,25.288,0.910
1900,2,1900.125,28.706,2.128
1900,3,1900.208,28.543,1.289
1900,4,1900.292,26.584,0.875
1900,5,1900.375,27.782,0.932
1900,6,1900.458,26.408,1.313
1900,7,1900.542,25.999,1.075
1900,8,1900.625,27.543,0.900
1900,9,1900.708,26.775,1.001
1900,10,1900.792,27.082,1.006
1900,11,1900.875,26.646,1.003
1900,12,1900.958,26.325,0.979
1901,1,1901.042,26.395,1.252
1901,2,1901.125,27.219,1.195
1901,3,1901.208,27.004,1.097
1901,4,1901.292,27.297,1.053
1901,5,1901.375,26.870,0.978
1901,6,1901.458,26.824,1.034
1901,7,1901.542,27.333,1.104
1901,8,1901.625,27.467,0.994
1901,9,1901.708,27.432,1.006
1901,10,1901.792,26.487,1.146
1901,11,1901.875,26.882,1.100
1901,12,1901.958,25.998,1.428
1902,1,1902.042,25.965,1.000
1902,2,1902.125,27.249,0.848
1902,3,1902.208,26.574,0.958
1902,4,1902.292,27.835,0.955
1902,5,1902.375,27.091,1.019
1902,6,1902.458,28.269,1.141
1902,7,1902.542,27.702,1.693
1902,8,1902.625,28.237,1.716
1902,9,1902.708,27.360,1.501
1902,10,1902.792,25.929,0.809
1902,11,1902.875,26.926,1.678
1902,12,1902.958,25.393,1.517
1903,1,1903.042,26.528,1.678
1903,2,1903.125,25.253,1.317
1903,3,1903.208,25.813,0.894
1903,4,1903.292,26.317,0.876
1903,5,1903.375,27.404,1.186
1903,6,1903.458,26.560,0.921
1903,7,1903.542,25.618,1.552
1903,8,1903.625,25.983,1.226
1903,9,1903.708,25.817,1.058
1903,10,1903.792,26.508,0.753
1903,11,1903.875,25.726,0.930
1903,12,1903.958,26.288,0.943
1904,1,1904.042,25.150,1.140
1904,2,1904.125,24.488,1.434
1904,3,1904.208,25.412,1.288
1904,4,1904.292,25.700,0.818
1904,5,1904.375,26.514,1.021
1904,6,1904.458,26.912,0.961
1904,7,1904.542,26.704,1.148
1904,8,1904.625,27.130,1.023
1904,9,1904.708,27.749,0.971
1904,10,1904.792,26.042,0.907
1904,11,1904.875,27.224,0.711
1904,12,1904.958,26.714,0.793
1905,1,1905.042,24.798,1.101
1905,2,1905.125,23.768,0.865
1905,3,1905.208,25.604,0.821
1905,4,1905.292,27.197,0.985
1905,5,1905.375,26.821,0.652
1905,6,1905.458,26.274,0.778
1905,7,1905.542,26.218,0.828
1905,8,1905.625,26.613,0.931
1905,9,1905.708,26.849,1.248
1905,10,1905.792,26.576,0.884
1905,11,1905.875,27.683,1.064
1905,12,1905.958,26.920,1.196
1906,1,1906.042,26.292,0.932
1906,2,1906.125,25.607,1.176
1906,3,1906.208,26.202,0.676
1906,4,1906.292,27.690,1.398
1906,5,1906.375,26.545,1.013
1906,6,1906.458,25.839,0.963
1906,7,1906.542,26.865,1.534
1906,8,1906.625,26.097,0.957
1906,9,1906.708,26.928,0.812
1906,10,1906.792,26.887,0.945
1906,11,1906.875,27.123,1.268
1906,12,1906.958,26.541,1.897
1907,1,1907.042,25.665,1.047
1907,2,1907.125,24.541,0.821
1907,3,1907.208,24.846,1.036
1907,4,1907.292,26.222,0.870
1907,5,1907.375,26.312,1.062
1907,6,1907.458,25.787,0.952
1907,7,1907.542,27.680,0.911
1907,8,1907.625,26.096,0.754
1907,9,1907.708,26.185,0.653
1907,10,1907.792,27.576,1.043
1907,11,1907.875,27.301,1.101
1907,12,1907.958,25.874,1.237
1908,1,1908.042,26.391,0.901
1908,2,1908.125,25.576,0.674
1908,3,1908.208,26.481,0.749
1908,4,1908.292,27.173,0.973
1908,5,1908.375,27.498,1.053
1908,6,1908.458,27.119,0.846
1908,7,1908.542,27.318,0.755
1908,8,1908.625,26.663,0.595
1908,9,1908.708,26.631,0.958
1908,10,1908.792,26.189,1.002
1908,11,1908.875,26.355,0.694
1908,12,1908.958,25.951,0.672
1909,1,1909.042,26.135,0.652
1909,2,1909.125,27.718,0.861
1909,3,1909.208,28.996,0.822
1909,4,1909.292,26.416,0.825
1909,5,1909.375,26.236,0.692
1909,6,1909.458,25.963,0.685
1909,7,1909.542,25.870,0.734
1909,8,1909.625,26.072,0.865
1909,9,1909.708,26.952,0.661
1909,10,1909.792,26.410,1.008
1909,11,1909.875,28.430,1.165
1909,12,1909.958,26.363,0.825
1910,1,1910.042,26.044,1.383
1910,2,1910.125,25.588,1.446
1910,3,1910.208,25.693,1.305
1910,4,1910.292,26.810,1.134
1910,5,1910.375,26.928,1.233
1910,6,1910.458,27.178,1.260
1910,7,1910.542,27.004,0.969
1910,8,1910.625,26.968,0.708
1910,9,1910.708,26.792,0.806
1910,10,1910.792,26.803,0.780
1910,11,1910.875,26.442,1.038
1910,12,1910.958,26.707,0.710
1911,1,1911.042,27.154,1.428
1911,2,1911.125,25.727,0.579
1911,3,1911.208,26.868,0.591
1911,4,1911.292,27.359,0.617
1911,5,1911.375,26.144,0.610
1911,6,1911.458,26.244,0.787
1911,7,1911.542,26.693,0.694
1911,8,1911.625,26.548,0.911
1911,9,1911.708,26.335,1.141
1911,10,1911.792,27.066,1.418
1911,11,1911.875,26.313,0.774
1911,12,1911.958,25.957,0.757
1912,1,1912.042,26.331,0.826
1912,2,1912.125,26.581,1.981
1912,3,1912.208,25.546,1.185
1912,4,1912.292,27.341,0.865
1912,5,1912.375,27.033,1.049
1912,6,1912.458,26.919,0.887
1912,7,1912.542,27.937,0.621
1912,8,1912.625,27.757,0.753
