# Monthly average temperature data for Nigeria.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1873,7,1873.542,27.240,1.440
1873,8,1873.625,26.958,1.113
1873,9,1873.708,26.739,1.293
1873,10,1873.792,26.445,1.081
1873,12,1873.958,26.724,1.003
1874,10,1874.792,26.542,1.003
1874,11,1874.875,26.171,1.002
1874,12,1874.958,26.213,1.029
1875,1,1875.042,25.628,0.964
1875,2,1875.125,25.976,1.212
1875,3,1875.208,25.970,1.084
1875,4,1875.292,26.196,1.047
1875,5,1875.375,26.573,1.226
1875,6,1875.458,26.778,1.230
1875,7,1875.542,26.946,1.066
1875,8,1875.625,26.648,1.151
1875,9,1875.708,26.212,1.079
1875,10,1875.792,25.880,0.964
1875,11,1875.875,25.480,1.261
1875,12,1875.958,25.828,0.969
1876,1,1876.042,25.639,1.250
1876,2,1876.125,25.411,1.335
1876,3,1876.208,25.651,1.643
1876,5,1876.375,26.266,0.941
1876,6,1876.458,26.576,0.926
1876,10,1876.792,26.680,1.109
1876,11,1876.875,26.275,1.215
1876,12,1876.958,25.816,1.468
1877,1,1877.042,26.167,1.138
1877,2,1877.125,26.091,1.007
1877,3,1877.208,26.574,1.017
1877,4,1877.292,26.483,0.939
1877,5,1877.375,26.650,0.951
1877,6,1877.458,27.021,1.135
1877,7,1877.542,27.160,1.010
1877,8,1877.625,27.270,0.986
1877,9,1877.708,26.938,1.015
1877,10,1877.792,26.818,0.972
1877,11,1877.875,26.943,1.037
1877,12,1877.958,26.464,1.192
1878,1,1878.042,26.216,1.097
1878,2,1878.125,26.843,1.024
1878,3,1878.208,27.686,1.173
1878,4,1878.292,27.115,1.048
1878,5,1878.375,26.637,0.988
1878,6,1878.458,27.358,0.924
1878,7,1878.542,26.974,1.473
1878,8,1878.625,26.651,1.405
1878,9,1878.708,26.509,1.116
1878,10,1878.792,26.716,1.071
1878,11,1878.875,26.838,1.235
1878,12,1878.958,26.562,1.216
1879,1,1879.042,25.985,1.484
1879,2,1879.125,26.217,0.967
1879,3,1879.208,25.929,1.120
1879,4,1879.292,25.986,0.966
1879,5,1879.375,26.040,0.992
1879,6,1879.458,26.526,1.073
1879,7,1879.542,26.084,1.028
1879,8,1879.625,25.750,0.952
1879,9,1879.708,26.093,0.915
1879,10,1879.792,26.533,1.147
1879,11,1879.875,26.323,0.927
1879,12,1879.958,25.952,1.094
1880,1,1880.042,25.806,1.097
1880,2,1880.125,25.363,1.091
1880,3,1880.208,25.619,1.042
1880,4,1880.292,25.983,1.026
1880,5,1880.375,26.417,0.980
1880,6,1880.458,26.154,0.975
1880,7,1880.542,26.792,1.021
1880,8,1880.625,26.875,0.947
1880,9,1880.708,26.340,1.052
1880,10,1880.792,26.386,0.958
1880,11,1880.875,26.710,0.976
1880,12,1880.958,26.640,1.035
1881,1,1881.042,26.810,1.008
1881,2,1881.125,26.453,1.379
1881,3,1881.208,27.044,1.420
1881,4,1881.292,27.079,1.117
1881,5,1881.375,26.953,1.016
1881,7,1881.542,26.861,1.053
1881,9,1881.708,26.612,0.959
1881,10,1881.792,26.644,1.290
1881,11,1881.875,26.281,1.024
1881,12,1881.958,26.734,1.261
1882,1,1882.042,26.852,1.024
1882,2,1882.125,26.412,1.135
1882,3,1882.208,26.198,1.060
1882,4,1882.292,25.953,1.124
1882,5,1882.375,26.458,1.039
1882,7,1882.542,26.264,0.973
1882,8,1882.625,26.293,1.142
1882,9,1882.708,26.665,1.052
1882,10,1882.792,26.497,0.932
1882,11,1882.875,26.048,1.027
1883,3,1883.208,27.014,1.358
1883,4,1883.292,26.911,1.235
1883,5,1883.375,26.805,1.042
1883,6,1883.458,27.208,0.948
1883,10,1883.792,26.780,1.009
1883,11,1883.875,26.128,1.066
1884,2,1884.125,26.681,1.196
1884,3,1884.208,26.023,1.333
1884,4,1884.292,26.131,1.008
