# Monthly average temperature data for Niue.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1867,1,1867.042,24.594,0.991
1867,2,1867.125,24.397,1.157
1867,3,1867.208,24.417,0.875
1867,4,1867.292,24.837,1.084
1867,5,1867.375,25.018,1.436
1867,6,1867.458,24.172,0.931
1867,7,1867.542,24.717,1.201
1867,8,1867.625,24.533,0.776
1867,9,1867.708,24.438,0.861
1867,10,1867.792,25.403,1.061
1867,11,1867.875,24.570,2.938
1867,12,1867.958,24.477,2.223
1868,7,1868.542,25.010,0.838
1868,8,1868.625,24.320,1.231
1868,9,1868.708,23.567,1.518
1868,10,1868.792,24.527,1.122
1868,11,1868.875,23.707,1.302
1868,12,1868.958,24.199,0.816
1869,1,1869.042,23.777,1.496
1869,2,1869.125,24.664,2.436
1869,3,1869.208,23.763,0.837
1869,4,1869.292,24.210,1.232
1869,5,1869.375,25.187,0.900
1869,6,1869.458,24.495,1.578
1869,9,1869.708,24.645,1.083
1869,10,1869.792,24.585,1.096
1869,11,1869.875,24.437,0.809
1869,12,1869.958,23.898,0.745
1870,1,1870.042,24.130,1.047
1870,2,1870.125,23.920,1.051
1870,9,1870.708,25.394,1.140
1870,10,1870.792,24.638,0.873
1870,11,1870.875,24.587,1.017
1870,12,1870.958,23.526,0.832
1871,1,1871.042,24.240,1.491
1871,2,1871.125,24.028,1.358
1871,3,1871.208,24.300,0.913
1871,4,1871.292,24.136,1.099
1871,5,1871.375,24.976,0.995
1871,6,1871.458,24.536,0.846
1871,7,1871.542,25.701,1.378
1871,8,1871.625,24.988,0.781
1871,9,1871.708,25.178,1.496
1871,10,1871.792,25.509,1.381
1871,11,1871.875,24.766,1.721
1871,12,1871.958,24.596,0.780
1872,1,1872.042,24.056,1.416
1872,2,1872.125,24.203,1.040
1872,3,1872.208,25.040,1.414
1872,4,1872.292,24.307,0.807
1872,5,1872.375,25.141,0.865
1872,6,1872.458,24.240,0.976
1872,10,1872.792,24.573,0.823
1872,11,1872.875,24.534,1.209
1872,12,1872.958,24.368,1.489
1873,1,1873.042,24.125,0.801
1873,2,1873.125,24.220,1.224
1873,3,1873.208,24.360,0.889
1873,4,1873.292,24.257,1.152
1873,5,1873.375,24.435,0.783
1873,6,1873.458,24.210,1.042
1873,7,1873.542,25.066,0.853
1873,8,1873.625,24.507,0.920
1873,9,1873.708,24.403,0.809
1874,5,1874.375,24.850,0.975
1874,6,1874.458,24.407,0.806
1874,7,1874.542,24.645,0.788
1874,8,1874.625,25.025,0.773
1874,9,1874.708,25.402,0.995
1874,10,1874.792,24.348,0.942
1874,11,1874.875,23.926,1.395
1875,5,1875.375,24.665,0.883
1875,6,1875.458,24.260,0.828
1875,7,1875.542,25.015,0.786
1875,8,1875.625,24.714,0.810
1875,9,1875.708,24.304,0.898
1875,10,1875.792,24.393,0.861
1875,11,1875.875,24.273,1.697
1875,12,1875.958,24.705,1.555
1876,1,1876.042,24.535,1.460
1876,2,1876.125,24.211,0.825
1876,3,1876.208,24.105,0.964
1876,4,1876.292,24.582,0.857
1876,5,1876.375,24.624,0.757
1876,7,1876.542,25.529,1.025
1876,9,1876.708,24.249,0.625
1883,1,1883.042,23.918,0.854
1883,2,1883.125,23.659,1.033
1883,3,1883.208,24.683,0.819
1883,4,1883.292,24.528,0.919
