# Monthly average temperature data for North Korea.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1819,7,1819.542,6.029,2.224
1819,9,1819.708,7.040,2.185
1819,10,1819.792,5.881,2.319
1819,11,1819.875,4.856,2.266
1819,12,1819.958,5.644,2.264
1820,1,1820.042,3.519,3.038
1820,2,1820.125,6.413,2.806
1820,3,1820.208,6.473,2.305
1820,4,1820.292,7.508,2.328
1820,5,1820.375,6.716,1.931
1820,6,1820.458,6.747,1.951
1820,7,1820.542,6.843,2.199
1820,8,1820.625,5.192,1.936
1820,9,1820.708,6.519,2.116
1820,10,1820.792,5.199,2.059
1820,11,1820.875,4.561,1.746
1820,12,1820.958,4.310,2.035
1821,1,1821.042,7.064,1.818
1821,2,1821.125,7.671,2.190
1821,3,1821.208,6.997,2.306
1821,4,1821.292,6.904,1.918
1821,5,1821.375,6.581,2.282
1821,6,1821.458,6.067,2.321
1821,7,1821.542,6.222,2.408
1821,8,1821.625,6.149,1.927
1821,10,1821.792,4.780,2.104
1821,11,1821.875,4.827,2.428
1821,12,1821.958,5.673,1.852
1822,1,1822.042,5.702,2.343
1822,2,1822.125,7.175,2.120
1822,3,1822.208,9.018,2.036
1822,4,1822.292,5.981,2.097
1822,5,1822.375,5.432,1.627
1822,6,1822.458,6.678,1.664
1822,7,1822.542,6.209,1.696
1822,8,1822.625,5.930,1.755
1822,9,1822.708,6.268,2.119
1822,10,1822.792,5.156,2.007
1822,11,1822.875,4.395,2.085
1822,12,1822.958,4.216,2.536
1823,1,1823.042,5.702,1.650
1823,2,1823.125,6.444,2.185
1823,3,1823.208,6.021,2.260
1823,4,1823.292,5.826,2.572
1823,5,1823.375,4.985,2.104
1823,6,1823.458,7.031,1.952
1823,7,1823.542,7.294,2.021
1823,8,1823.625,5.657,1.709
1823,9,1823.708,5.909,1.988
1823,10,1823.792,5.362,2.252
1825,1,1825.042,7.042,1.939
1825,2,1825.125,6.370,1.676
1825,3,1825.208,6.236,2.084
1825,4,1825.292,6.784,2.357
1825,5,1825.375,6.689,1.581
1825,6,1825.458,6.824,1.648
1825,7,1825.542,5.452,1.822
1825,8,1825.625,4.454,2.099
1825,9,1825.708,5.796,1.967
1825,10,1825.792,6.597,2.300
