# Monthly average temperature data for Northern Mariana Islands.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1903,1,1903.042,26.859,0.797
1903,2,1903.125,26.658,0.794
1903,3,1903.208,26.674,0.770
1903,4,1903.292,26.359,0.807
1903,5,1903.375,26.469,0.794
1903,6,1903.458,26.427,0.797
1903,7,1903.542,26.659,0.803
1903,8,1903.625,26.889,0.787
1903,9,1903.708,26.310,0.784
1903,10,1903.792,26.568,0.827
1903,11,1903.875,26.250,0.789
1903,12,1903.958,26.091,0.773
1904,1,1904.042,26.001,0.937
1904,2,1904.125,25.806,0.897
1904,3,1904.208,26.308,0.829
1904,4,1904.292,26.502,0.789
1904,5,1904.375,26.438,0.772
1904,6,1904.458,26.593,0.823
1904,7,1904.542,26.843,0.783
1904,8,1904.625,26.372,0.790
1904,9,1904.708,26.179,0.759
1904,10,1904.792,26.275,0.767
1904,11,1904.875,26.290,0.803
1904,12,1904.958,26.314,0.826
1905,1,1905.042,26.472,0.886
1905,2,1905.125,25.751,0.843
1905,3,1905.208,26.381,0.825
1905,4,1905.292,26.568,0.885
1905,5,1905.375,26.623,0.820
1905,6,1905.458,26.956,0.822
1905,7,1905.542,26.491,0.803
1905,8,1905.625,26.458,0.834
1905,9,1905.708,26.508,0.807
1905,10,1905.792,26.587,0.772
1905,11,1905.875,26.681,0.832
1905,12,1905.958,26.618,0.802
1906,1,1906.042,26.206,0.793
1906,2,1906.125,26.362,0.866
1906,3,1906.208,26.435,0.796
1906,4,1906.292,27.232,0.820
1906,5,1906.375,27.036,0.814
1906,6,1906.458,26.715,0.810
1906,7,1906.542,26.917,0.752
1906,8,1906.625,26.818,0.766
1906,9,1906.708,26.700,0.758
1906,10,1906.792,26.981,0.762
1906,11,1906.875,26.431,0.820
1906,12,1906.958,26.918,0.834
1907,1,1907.042,26.172,0.792
1907,2,1907.125,26.002,0.996
1907,3,1907.208,26.242,0.799
1907,4,1907.292,26.219,0.756
1907,5,1907.375,25.682,0.829
1907,6,1907.458,26.393,0.800
1907,7,1907.542,27.057,1.249
1907,8,1907.625,26.038,0.755
1907,9,1907.708,26.535,0.737
1907,10,1907.792,26.487,0.695
1907,11,1907.875,25.999,0.753
1907,12,1907.958,26.311,0.819
1908,1,1908.042,26.500,0.884
1908,2,1908.125,26.556,0.838
1908,3,1908.208,25.923,0.713
1908,4,1908.292,27.043,0.940
1908,5,1908.375,26.567,0.876
1908,6,1908.458,26.884,0.948
1908,7,1908.542,26.806,0.893
1908,8,1908.625,26.041,0.934
1908,9,1908.708,26.673,0.935
1908,10,1908.792,26.532,0.775
1908,11,1908.875,25.815,0.730
1908,12,1908.958,26.459,0.697
1909,1,1909.042,25.876,0.795
1909,2,1909.125,26.522,0.787
1909,3,1909.208,26.857,0.773
1909,4,1909.292,26.192,0.701
1909,5,1909.375,26.273,0.741
1909,6,1909.458,26.996,0.784
1909,7,1909.542,26.972,0.887
1909,8,1909.625,26.528,0.796
1909,9,1909.708,26.714,0.908
1909,10,1909.792,26.997,0.725
1909,11,1909.875,26.817,0.721
1909,12,1909.958,26.336,0.990
1910,1,1910.042,27.126,0.696
1910,2,1910.125,26.644,0.992
1910,3,1910.208,26.296,0.675
1910,4,1910.292,26.777,0.608
1910,5,1910.375,26.813,0.663
1910,6,1910.458,26.657,0.653
1910,7,1910.542,26.929,0.705
1910,8,1910.625,26.653,0.632
1910,9,1910.708,26.809,0.802
1910,10,1910.792,26.897,1.215
1910,11,1910.875,26.158,0.917
1910,12,1910.958,26.478,0.692
1911,1,1911.042,26.562,0.982
1911,2,1911.125,26.598,0.940
1911,3,1911.208,26.446,0.706
1911,4,1911.292,26.737,0.634
1911,5,1911.375,26.565,0.618
1911,6,1911.458,26.874,0.715
1911,7,1911.542,26.945,0.753
1911,8,1911.625,26.680,0.854
1911,9,1911.708,26.707,0.647
1911,10,1911.792,26.671,0.562
1911,11,1911.875,26.829,0.623
1911,12,1911.958,26.772,0.992
1912,1,1912.042,26.632,1.297
1912,2,1912.125,26.670,1.528
1912,3,1912.208,26.440,1.109
1912,4,1912.292,26.855,1.290
1912,5,1912.375,26.916,0.659
1912,6,1912.458,26.914,0.928
1912,7,1912.542,26.578,0.667
1912,8,1912.625,26.572,0.810
1912,9,1912.708,26.594,0.596
1912,10,1912.792,26.373,1.079
1912,11,1912.875,26.567,0.622
1912,12,1912.958,26.509,0.673
1913,1,1913.042,26.827,0.819
1913,2,1913.125,26.426,0.650
1913,3,1913.208,26.332,0.718
1913,4,1913.292,26.960,0.726
1913,5,1913.375,26.878,0.614
1913,6,1913.458,27.179,0.717
1913,7,1913.542,27.166,0.660
1913,8,1913.625,27.074,0.999
1913,9,1913.708,26.515,0.752
1913,10,1913.792,26.723,0.701
1913,11,1913.875,27.040,1.071
1913,12,1913.958,26.939,0.757
1914,1,1914.042,26.947,0.599
1914,2,1914.125,26.630,0.800
1914,3,1914.208,27.144,0.860
1914,4,1914.292,26.904,1.067
1914,5,1914.375,27.287,0.736
1914,6,1914.458,27.204,0.710
1914,7,1914.542,26.698,0.744
1914,8,1914.625,26.700,0.664
1914,9,1914.708,26.651,0.876
1914,10,1914.792,26.365,1.076
1914,11,1914.875,26.218,0.938
1914,12,1914.958,26.574,1.101
1915,1,1915.042,26.384,1.231
1915,2,1915.125,26.938,0.729
1915,3,1915.208,26.491,0.858
1915,4,1915.292,27.609,0.910
1915,5,1915.375,27.280,0.685
1915,6,1915.458,26.834,0.724
1915,7,1915.542,26.904,0.726
1915,8,1915.625,26.918,0.817
1915,9,1915.708,26.484,0.853
1915,10,1915.792,26.301,0.923
1915,11,1915.875,26.985,0.759
1915,12,1915.958,27.109,0.751
1916,1,1916.042,26.744,0.725
1916,2,1916.125,27.068,0.744
1916,3,1916.208,26.579,0.771
1916,4,1916.292,27.018,0.824
1916,5,1916.375,27.061,0.770
1916,6,1916.458,26.387,0.947
1916,7,1916.542,27.250,0.830
1916,8,1916.625,26.672,0.847
1916,9,1916.708,26.282,1.100
1916,10,1916.792,27.081,1.031
1916,11,1916.875,26.884,0.802
1916,12,1916.958,26.455,0.772
1917,1,1917.042,26.688,0.886
1917,2,1917.125,25.853,0.711
1917,3,1917.208,26.450,0.641
1917,4,1917.292,26.427,0.847
1917,5,1917.375,25.771,0.738
1917,6,1917.458,26.429,0.928
1917,7,1917.542,26.606,0.715
1917,8,1917.625,26.568,1.074
1917,9,1917.708,26.079,0.797
1917,10,1917.792,26.703,0.735
1917,11,1917.875,26.146,0.607
1917,12,1917.958,26.332,1.301
1918,1,1918.042,26.320,0.980
1918,2,1918.125,25.786,1.322
1918,3,1918.208,26.264,1.020
1918,4,1918.292,26.437,1.191
1918,5,1918.375,26.500,1.031
1918,6,1918.458,26.262,1.022
1918,7,1918.542,26.538,0.992
1918,8,1918.625,26.006,0.589
1918,9,1918.708,26.630,0.865
1918,10,1918.792,26.904,1.176
1918,11,1918.875,26.615,0.585
1918,12,1918.958,26.515,0.685
1919,1,1919.042,27.212,0.597
1919,2,1919.125,26.770,0.992
1919,3,1919.208,27.020,1.291
1919,4,1919.292,27.281,1.313
1919,5,1919.375,26.995,0.972
1919,6,1919.458,26.699,1.005
1919,7,1919.542,26.573,0.679
1919,8,1919.625,26.760,0.828
1919,9,1919.708,26.460,0.687
1919,10,1919.792,26.685,0.792
1919,11,1919.875,26.736,0.750
1919,12,1919.958,26.799,0.609
1920,1,1920.042,27.181,0.739
1920,2,1920.125,26.284,0.822
1920,3,1920.208,26.520,0.729
1920,4,1920.292,26.943,0.756
1920,5,1920.375,26.807,0.808
1920,6,1920.458,26.786,0.842
1920,7,1920.542,26.700,0.639
1920,8,1920.625,26.885,0.660
1920,9,1920.708,26.371,0.918
1920,10,1920.792,26.388,0.750
1920,11,1920.875,26.783,1.607
1920,12,1920.958,26.140,0.769
1921,1,1921.042,26.690,1.053
1921,2,1921.125,26.700,0.516
1921,3,1921.208,26.476,0.780
1921,4,1921.292,26.321,0.960
1921,5,1921.375,26.417,0.538
1921,6,1921.458,26.440,0.996
1921,7,1921.542,26.816,0.439
1921,8,1921.625,26.578,0.311
1921,9,1921.708,26.490,0.382
1921,10,1921.792,26.478,0.356
1921,11,1921.875,26.592,1.133
1921,12,1921.958,26.625,0.337
1922,1,1922.042,26.765,0.494
1922,2,1922.125,26.323,0.784
1922,3,1922.208,26.401,0.479
1922,4,1922.292,26.707,0.558
1922,5,1922.375,26.664,0.417
1922,6,1922.458,26.510,0.292
1922,7,1922.542,26.491,0.271
