# Monthly average temperature data for Norway.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1750,1,1750.042,2.251,2.799
1750,2,1750.125,2.582,3.578
1750,3,1750.208,1.640,3.953
1750,4,1750.292,1.185,2.662
1750,5,1750.375,-1.024,2.244
1750,6,1750.458,-0.421,2.293
1750,7,1750.542,0.821,2.424
1750,8,1750.625,0.894,2.325
1750,9,1750.708,-0.472,2.870
1750,10,1750.792,-3.848,2.326
1750,11,1750.875,-5.984,2.437
1750,12,1750.958,-3.387,2.692
1751,1,1751.042,-0.364,2.770
1751,2,1751.125,-3.339,2.822
1751,3,1751.208,1.105,2.649
1751,4,1751.292,-0.055,2.397
1751,5,1751.375,-1.269,2.355
1751,6,1751.458,-1.502,2.307
1751,7,1751.542,0.363,2.565
1751,8,1751.625,-0.161,2.253
1751,9,1751.708,-1.145,2.257
1751,10,1751.792,-1.910,2.675
1751,11,1751.875,-2.048,2.516
1751,12,1751.958,-0.667,2.737
1752,1,1752.042,-1.801,2.830
1752,2,1752.125,1.655,2.682
1752,3,1752.208,0.984,2.464
1752,4,1752.292,-0.309,2.719
1752,5,1752.375,-0.707,2.514
1752,6,1752.458,0.069,2.155
1752,7,1752.542,1.799,2.324
1752,8,1752.625,0.532,2.442
1752,10,1752.792,-0.846,2.578
1752,11,1752.875,0.867,2.441
1752,12,1752.958,0.039,2.632
1753,1,1753.042,0.149,2.853
1753,2,1753.125,0.159,2.900
1753,3,1753.208,1.673,3.131
1753,4,1753.292,0.358,2.441
1753,5,1753.375,-0.513,2.210
1753,6,1753.458,-0.943,2.444
1753,7,1753.542,-0.552,2.530
1753,8,1753.625,-0.613,2.292
1753,9,1753.708,-0.462,2.243
1753,10,1753.792,0.159,2.448
1753,11,1753.875,-1.110,2.439
1753,12,1753.958,-5.729,3.217
1754,1,1754.042,0.127,2.774
1754,2,1754.125,-1.020,3.044
1754,3,1754.208,-1.637,2.471
1754,4,1754.292,1.813,2.367
1754,5,1754.375,0.619,2.286
1754,6,1754.458,0.002,2.306
1754,7,1754.542,-0.810,2.636
1754,8,1754.625,-1.354,2.328
1754,9,1754.708,-1.354,2.299
1754,10,1754.792,-0.366,2.463
1754,11,1754.875,-0.608,2.968
1754,12,1754.958,-0.058,2.648
1755,1,1755.042,-1.284,2.786
1755,2,1755.125,-2.411,3.006
1755,3,1755.208,-2.035,2.605
1755,4,1755.292,0.758,2.355
1755,5,1755.375,0.198,2.266
1755,6,1755.458,0.799,2.461
1755,7,1755.542,0.976,2.736
1755,8,1755.625,-1.935,2.368
1755,9,1755.708,-1.378,2.277
1755,10,1755.792,0.337,2.227
1755,11,1755.875,-0.859,2.677
1755,12,1755.958,-1.342,2.619
1756,1,1756.042,2.020,2.763
1756,2,1756.125,4.050,3.624
1756,3,1756.208,0.092,3.291
1756,4,1756.292,-0.527,3.698
1756,5,1756.375,-1.647,4.939
1756,6,1756.458,0.439,2.308
1756,7,1756.542,0.179,5.561
1756,8,1756.625,-2.029,3.435
1756,9,1756.708,-0.749,2.262
1756,10,1756.792,-1.355,7.539
1756,11,1756.875,-2.983,2.433
1756,12,1756.958,-2.566,2.768
1757,1,1757.042,-2.384,3.206
1757,2,1757.125,2.009,3.857
1757,3,1757.208,-0.619,3.898
1757,4,1757.292,1.511,2.520
1757,5,1757.375,-0.550,2.312
1757,6,1757.458,1.738,2.643
1757,7,1757.542,2.978,3.082
1757,8,1757.625,1.275,3.794
1757,9,1757.708,0.742,5.087
1757,10,1757.792,-4.191,5.518
1757,11,1757.875,-0.497,6.200
1757,12,1757.958,-2.499,3.409
1758,1,1758.042,-3.154,5.683
1758,2,1758.125,-1.384,4.354
1758,3,1758.208,-1.639,2.729
1758,4,1758.292,-1.309,3.384
1758,5,1758.375,-0.694,6.357
1758,6,1758.458,-0.791,3.959
1758,7,1758.542,-0.940,4.217
1758,8,1758.625,-1.538,5.730
1758,9,1758.708,-2.470,2.876
1758,10,1758.792,-3.471,2.343
1758,11,1758.875,-0.676,2.559
1758,12,1758.958,-2.257,2.569
1759,1,1759.042,2.866,3.072
1759,2,1759.125,3.473,5.751
1759,3,1759.208,0.381,3.688
1759,4,1759.292,-0.586,4.146
1759,5,1759.375,-2.260,3.910
1759,6,1759.458,0.618,3.844
1759,7,1759.542,-0.227,4.644
1759,8,1759.625,0.443,2.327
1759,9,1759.708,-1.141,2.933
1759,10,1759.792,-1.787,5.967
1759,11,1759.875,-2.353,6.477
1759,12,1759.958,-5.007,3.620
1760,1,1760.042,-5.826,3.326
1760,2,1760.125,0.821,7.047
1760,3,1760.208,-2.371,3.170
1760,4,1760.292,-1.568,2.953
1760,5,1760.375,-0.871,2.816
1760,6,1760.458,-0.480,2.260
1760,7,1760.542,-0.775,2.387
1760,8,1760.625,-1.025,5.736
1760,9,1760.708,-0.020,2.679
1760,10,1760.792,-2.976,2.358
1760,11,1760.875,-1.302,5.967
1760,12,1760.958,-2.318,3.333
1761,1,1761.042,0.700,2.574
1761,2,1761.125,0.857,3.271
1761,3,1761.208,2.346,2.193
1761,4,1761.292,0.532,2.436
1761,5,1761.375,0.547,2.722
1761,6,1761.458,2.168,2.475
1761,7,1761.542,0.824,2.192
1761,8,1761.625,1.213,2.829
1761,9,1761.708,0.891,3.462
1761,10,1761.792,-3.459,3.166
1761,11,1761.875,-0.236,9.706
1761,12,1761.958,-3.360,2.530
1762,1,1762.042,2.660,8.221
1762,2,1762.125,0.445,2.896
1762,3,1762.208,-2.086,6.427
1762,4,1762.292,1.661,3.187
1762,5,1762.375,-1.119,4.635
1762,6,1762.458,-0.323,3.491
1762,7,1762.542,-1.320,4.404
1762,8,1762.625,-2.059,3.814
1762,9,1762.708,-1.218,2.910
1762,10,1762.792,-5.313,6.509
1762,11,1762.875,-0.339,2.319
1762,12,1762.958,0.594,2.668
1763,1,1763.042,-0.174,7.303
1763,2,1763.125,-0.652,7.652
1763,3,1763.208,-2.258,3.713
1763,4,1763.292,-1.868,4.537
1763,5,1763.375,-1.217,5.522
1763,6,1763.458,0.104,6.383
1763,7,1763.542,1.635,2.420
1763,8,1763.625,-0.526,4.791
1763,9,1763.708,-0.316,5.495
1763,10,1763.792,-1.116,2.128
1763,11,1763.875,-0.290,4.229
1763,12,1763.958,-2.369,3.645
1764,1,1764.042,0.161,3.067
1764,2,1764.125,2.884,3.359
1764,3,1764.208,0.869,3.243
1764,4,1764.292,-0.201,7.243
1764,5,1764.375,-1.137,2.299
1764,6,1764.458,-3.274,5.630
1764,7,1764.542,0.907,4.930
1764,8,1764.625,-1.385,2.152
