# Monthly average temperature data for Oman.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1880,8,1880.625,26.522,1.231
1880,9,1880.708,26.664,1.448
1880,10,1880.792,26.415,1.002
1880,11,1880.875,26.599,0.805
1880,12,1880.958,27.404,0.886
1881,1,1881.042,27.283,0.902
1881,2,1881.125,27.293,0.895
1881,3,1881.208,27.149,1.238
1881,4,1881.292,26.630,0.857
1881,5,1881.375,27.586,0.990
1881,6,1881.458,26.676,1.221
1881,7,1881.542,27.327,1.031
1881,9,1881.708,26.774,1.182
1881,10,1881.792,27.072,1.020
1881,11,1881.875,26.568,0.818
1881,12,1881.958,26.809,0.895
1882,1,1882.042,27.447,0.923
1882,2,1882.125,26.389,1.016
1882,3,1882.208,26.134,0.960
1882,4,1882.292,26.700,0.824
1882,5,1882.375,26.658,0.922
1882,6,1882.458,26.412,0.939
1882,7,1882.542,25.609,0.960
1882,8,1882.625,26.223,0.957
1882,9,1882.708,26.568,0.766
1882,10,1882.792,26.500,0.927
1882,11,1882.875,25.461,0.845
1882,12,1882.958,26.918,1.299
1883,1,1883.042,26.601,0.914
1883,2,1883.125,26.344,1.265
1883,3,1883.208,26.441,0.966
1883,4,1883.292,26.702,1.019
1883,5,1883.375,26.768,0.901
1883,6,1883.458,27.236,0.721
1883,7,1883.542,25.846,1.356
1883,8,1883.625,26.051,1.124
1883,9,1883.708,26.307,0.960
1883,10,1883.792,26.897,0.836
1883,11,1883.875,25.452,0.853
1883,12,1883.958,26.278,0.825
1884,1,1884.042,26.627,0.751
1884,2,1884.125,26.135,0.843
1884,3,1884.208,26.304,1.189
1884,4,1884.292,26.392,0.884
1884,5,1884.375,26.182,0.969
1884,6,1884.458,26.189,0.765
1884,7,1884.542,26.676,1.137
1884,8,1884.625,26.846,0.786
1884,9,1884.708,27.415,1.416
1884,10,1884.792,26.426,0.717
1884,11,1884.875,25.846,0.856
1884,12,1884.958,26.707,1.032
1885,1,1885.042,25.958,1.393
1885,2,1885.125,25.915,1.065
1885,3,1885.208,26.221,0.808
1885,4,1885.292,25.675,1.249
1885,5,1885.375,26.691,0.754
1885,11,1885.875,27.195,0.933
1885,12,1885.958,26.744,0.983
1886,1,1886.042,26.202,1.090
1886,2,1886.125,25.700,0.903
1886,3,1886.208,26.155,1.338
1886,4,1886.292,26.971,1.025
1886,5,1886.375,27.555,0.752
1886,6,1886.458,27.334,0.962
1886,7,1886.542,27.376,0.857
1886,8,1886.625,26.453,0.874
1886,9,1886.708,26.423,0.850
1886,10,1886.792,27.085,0.992
1886,11,1886.875,26.312,0.819
1886,12,1886.958,25.704,0.791
1887,1,1887.042,25.632,1.360
1887,2,1887.125,26.472,0.925
1887,3,1887.208,26.249,1.120
1887,4,1887.292,26.742,0.775
1887,5,1887.375,26.202,0.992
1887,6,1887.458,26.533,1.011
1887,7,1887.542,26.272,0.730
1887,8,1887.625,25.852,0.735
1887,9,1887.708,26.223,1.282
1887,10,1887.792,26.448,0.873
1887,11,1887.875,27.116,0.938
1887,12,1887.958,26.604,1.182
1888,1,1888.042,26.383,1.219
1888,2,1888.125,26.517,0.828
1888,3,1888.208,26.753,0.882
1888,4,1888.292,26.872,1.234
1888,5,1888.375,26.448,1.076
1888,6,1888.458,26.285,1.127
1888,7,1888.542,26.794,0.718
1888,8,1888.625,26.595,1.194
1888,9,1888.708,26.823,1.352
1888,10,1888.792,26.911,0.917
1888,11,1888.875,26.719,0.778
1888,12,1888.958,28.111,0.691
1889,1,1889.042,26.872,0.751
1889,2,1889.125,27.090,0.699
1889,3,1889.208,27.509,0.699
1889,4,1889.292,26.968,0.798
1889,5,1889.375,27.304,0.780
1889,6,1889.458,26.930,0.683
1889,7,1889.542,26.811,0.847
1889,8,1889.625,26.578,0.706
1889,9,1889.708,27.191,1.230
1889,10,1889.792,26.100,0.734
1889,11,1889.875,25.513,1.244
1889,12,1889.958,27.176,0.966
1890,1,1890.042,27.819,0.961
1890,2,1890.125,27.501,0.881
1890,3,1890.208,26.183,1.107
1890,4,1890.292,26.838,0.940
1890,5,1890.375,25.661,1.067
1890,6,1890.458,26.619,1.066
1890,7,1890.542,26.002,1.280
1890,8,1890.625,25.263,0.983
1890,9,1890.708,26.067,1.195
1890,10,1890.792,26.386,1.052
1890,11,1890.875,26.761,1.314
1890,12,1890.958,26.302,1.276
1891,1,1891.042,26.829,1.113
1891,2,1891.125,26.790,1.262
1891,3,1891.208,26.351,0.856
1891,4,1891.292,26.978,0.689
1891,5,1891.375,26.421,0.747
1891,6,1891.458,25.877,0.928
1891,7,1891.542,26.151,1.189
1891,8,1891.625,26.338,0.718
1891,9,1891.708,27.472,0.916
1891,10,1891.792,27.295,0.785
1891,11,1891.875,27.278,0.776
1891,12,1891.958,27.606,1.071
1892,1,1892.042,26.865,0.946
1892,2,1892.125,26.668,0.790
1892,3,1892.208,27.070,0.885
1892,4,1892.292,27.842,1.042
1892,5,1892.375,26.881,1.053
1892,6,1892.458,26.735,0.735
1892,7,1892.542,26.613,0.695
1892,8,1892.625,26.605,1.155
1892,9,1892.708,26.402,0.887
1892,10,1892.792,27.111,0.771
1892,11,1892.875,25.993,0.866
1892,12,1892.958,26.542,0.913
1893,1,1893.042,27.055,0.806
1893,2,1893.125,25.858,0.968
1893,3,1893.208,26.945,0.921
1893,4,1893.292,27.702,1.088
1893,5,1893.375,26.630,0.790
1893,6,1893.458,26.196,0.942
1893,7,1893.542,26.939,0.799
1893,8,1893.625,27.315,1.339
1893,9,1893.708,26.681,1.342
1893,10,1893.792,26.442,1.080
1893,11,1893.875,26.181,0.619
1893,12,1893.958,27.134,1.042
1894,1,1894.042,26.565,0.847
1894,2,1894.125,26.487,1.038
1894,3,1894.208,26.214,0.745
1894,4,1894.292,27.143,0.746
1894,5,1894.375,26.263,0.664
1894,6,1894.458,27.309,0.681
1894,7,1894.542,26.716,1.048
1894,8,1894.625,26.637,0.793
1894,9,1894.708,26.968,0.871
1894,10,1894.792,27.086,0.888
1894,11,1894.875,26.602,0.767
1894,12,1894.958,26.334,0.668
1895,1,1895.042,25.711,0.598
1895,2,1895.125,26.241,0.871
1895,3,1895.208,25.761,0.594
1895,4,1895.292,26.720,0.866
1895,5,1895.375,26.300,0.825
1895,6,1895.458,27.093,0.535
1895,7,1895.542,26.381,1.109
1895,8,1895.625,26.344,0.794
1895,9,1895.708,26.425,0.602
1895,10,1895.792,26.639,0.583
1895,11,1895.875,26.641,0.561
1895,12,1895.958,27.198,0.719
1896,1,1896.042,27.586,1.032
1896,2,1896.125,26.462,0.639
1896,3,1896.208,26.373,0.562
1896,4,1896.292,27.652,1.084
1896,5,1896.375,26.652,1.119
1896,6,1896.458,26.858,0.597
1896,7,1896.542,27.493,0.710
1896,8,1896.625,26.076,1.244
1896,9,1896.708,26.867,0.774
1896,10,1896.792,26.727,0.725
1896,11,1896.875,26.124,0.551
1896,12,1896.958,26.305,0.853
1897,1,1897.042,25.867,0.760
1897,2,1897.125,25.899,0.546
1897,3,1897.208,25.982,0.591
1897,4,1897.292,26.897,0.489
1897,5,1897.375,26.635,0.560
1897,6,1897.458,26.390,1.163
1897,7,1897.542,27.366,1.287
1897,8,1897.625,27.226,0.901
1897,9,1897.708,27.622,1.093
1897,10,1897.792,27.336,1.315
1897,11,1897.875,26.670,1.032
1897,12,1897.958,27.039,0.564
1898,1,1898.042,27.356,0.710
1898,2,1898.125,26.529,0.619
1898,3,1898.208,25.461,0.583
1898,4,1898.292,27.500,1.083
1898,5,1898.375,26.667,0.815
1898,6,1898.458,25.960,0.842
1898,7,1898.542,26.231,0.783
1898,8,1898.625,26.487,0.670
1898,9,1898.708,26.390,0.511
1898,10,1898.792,26.577,0.701
1898,11,1898.875,26.394,0.956
1898,12,1898.958,25.793,0.608
1899,1,1899.042,26.196,0.791
1899,2,1899.125,26.181,0.585
1899,3,1899.208,26.385,0.647
1899,4,1899.292,27.529,0.891
1899,5,1899.375,26.820,0.699
1899,6,1899.458,26.853,0.530
1899,7,1899.542,27.358,1.376
1899,8,1899.625,26.139,0.971
1899,9,1899.708,26.926,0.804
1899,10,1899.792,26.667,0.622
1899,11,1899.875,27.068,0.877
1899,12,1899.958,27.604,1.009
1900,1,1900.042,26.037,0.766
1900,2,1900.125,26.553,0.800
1900,3,1900.208,26.870,0.620
1900,4,1900.292,28.032,0.554
1900,5,1900.375,26.288,0.509
1900,6,1900.458,27.349,0.898
1900,7,1900.542,27.350,0.897
1900,8,1900.625,27.243,0.790
1900,9,1900.708,26.829,1.553
1900,10,1900.792,26.610,0.828
1900,11,1900.875,26.897,0.558
1900,12,1900.958,26.456,0.574
1901,1,1901.042,26.609,0.611
1901,2,1901.125,25.695,1.136
1901,3,1901.208,27.031,0.698
1901,4,1901.292,27.824,0.731
1901,5,1901.375,26.886,0.954
1901,6,1901.458,27.468,0.966
1901,7,1901.542,26.734,0.885
1901,8,1901.625,26.331,1.493
1901,9,1901.708,26.575,0.630
1901,10,1901.792,26.473,0.650
1901,11,1901.875,26.561,0.763
1901,12,1901.958,27.013,0.767
1902,1,1902.042,27.391,0.948
1902,2,1902.125,27.086,0.866
1902,3,1902.208,28.101,0.947
1902,4,1902.292,27.939,0.732
1902,5,1902.375,26.905,0.630
1902,6,1902.458,26.486,0.634
1902,7,1902.542,27.516,0.944
1902,8,1902.625,27.289,0.812
1902,9,1902.708,26.997,0.682
1902,10,1902.792,26.997,0.527
1902,11,1902.875,26.965,0.925
1902,12,1902.958,26.569,1.139
1903,1,1903.042,25.955,1.301
1903,2,1903.125,26.248,0.671
1903,3,1903.208,26.080,0.581
1903,4,1903.292,25.379,0.922
1903,5,1903.375,26.423,0.957
1903,6,1903.458,26.506,0.897
1903,7,1903.542,26.975,1.394
1903,8,1903.625,27.132,0.915
1903,9,1903.708,26.897,0.726
1903,10,1903.792,26.799,0.642
1903,11,1903.875,26.125,0.842
1903,12,1903.958,25.949,0.810
1904,1,1904.042,27.622,0.593
1904,2,1904.125,26.803,0.601
1904,3,1904.208,25.943,0.519
1904,4,1904.292,26.868,0.852
1904,5,1904.375,26.950,0.954
1904,6,1904.458,26.940,0.614
1904,7,1904.542,27.382,1.310
1904,8,1904.625,27.066,0.949
1904,9,1904.708,27.124,1.033
1904,10,1904.792,26.723,0.749
1904,11,1904.875,26.905,0.767
1904,12,1904.958,26.720,0.708
1905,1,1905.042,25.832,0.523
1905,2,1905.125,25.600,0.657
1905,3,1905.208,24.738,1.272
1905,4,1905.292,25.475,1.102
1905,5,1905.375,27.052,0.857
1905,6,1905.458,26.508,0.689
1905,7,1905.542,27.791,1.339
1905,8,1905.625,26.834,0.843
1905,9,1905.708,26.833,0.604
1905,10,1905.792,26.867,0.825
1905,11,1905.875,27.132,0.702
1905,12,1905.958,27.075,0.778
1906,1,1906.042,26.944,0.592
1906,2,1906.125,25.516,0.533
1906,3,1906.208,25.784,0.783
1906,4,1906.292,26.889,1.664
1906,5,1906.375,27.057,1.226
1906,6,1906.458,26.064,1.172
1906,7,1906.542,27.367,0.600
1906,8,1906.625,26.785,0.612
1906,9,1906.708,27.080,0.845
1906,10,1906.792,26.715,0.798
1906,11,1906.875,27.381,0.735
1906,12,1906.958,27.153,0.916
1907,1,1907.042,27.236,0.722
1907,2,1907.125,25.905,0.546
1907,3,1907.208,26.883,0.617
1907,4,1907.292,26.296,0.730
1907,5,1907.375,26.250,0.705
1907,6,1907.458,26.500,1.090
1907,7,1907.542,26.801,0.767
1907,8,1907.625,26.744,0.630
1907,9,1907.708,26.212,1.187
1907,10,1907.792,26.759,1.034
1907,11,1907.875,26.572,0.708
1907,12,1907.958,26.726,0.598
1908,1,1908.042,26.897,0.600
1908,2,1908.125,26.258,0.629
1908,3,1908.208,25.636,0.733
1908,4,1908.292,26.730,0.917
1908,5,1908.375,26.803,0.689
1908,6,1908.458,27.141,0.686
1908,7,1908.542,26.088,1.002
1908,8,1908.625,25.772,0.825
1908,9,1908.708,27.264,1.085
1908,10,1908.792,26.701,0.537
1908,11,1908.875,26.333,0.711
1908,12,1908.958,26.818,0.613
1909,1,1909.042,26.098,0.697
1909,2,1909.125,27.309,0.943
1909,3,1909.208,26.661,0.631
1909,4,1909.292,27.685,0.628
1909,5,1909.375,26.707,0.474
1909,6,1909.458,26.850,0.705
1909,7,1909.542,27.277,1.222
1909,8,1909.625,26.032,0.730
1909,9,1909.708,26.568,0.771
1909,10,1909.792,26.593,0.568
1909,11,1909.875,27.173,1.220
1909,12,1909.958,26.559,0.914
1910,1,1910.042,26.446,0.718
1910,2,1910.125,26.865,0.680
1910,3,1910.208,25.957,0.618
1910,4,1910.292,26.370,0.540
1910,5,1910.375,25.915,0.687
1910,6,1910.458,26.018,1.201
1910,7,1910.542,26.376,1.239
1910,8,1910.625,26.509,0.625
1910,9,1910.708,27.033,0.990
1910,10,1910.792,26.814,0.857
1910,11,1910.875,26.531,0.559
1910,12,1910.958,26.243,0.634
1911,1,1911.042,25.213,0.931
1911,2,1911.125,26.241,0.699
1911,3,1911.208,25.570,0.585
1911,4,1911.292,26.387,0.796
1911,5,1911.375,26.421,0.762
1911,6,1911.458,26.648,0.848
1911,7,1911.542,27.547,1.647
1911,8,1911.625,26.598,0.762
1911,9,1911.708,26.466,0.657
1911,10,1911.792,26.874,0.780
1911,11,1911.875,26.591,0.600
1911,12,1911.958,27.030,0.772
1912,1,1912.042,27.038,1.021
1912,2,1912.125,26.568,0.628
1912,3,1912.208,26.361,0.607
1912,4,1912.292,27.121,0.610
1912,5,1912.375,27.100,0.762
1912,6,1912.458,27.638,0.889
1912,7,1912.542,26.964,0.679
1912,8,1912.625,26.698,0.767
1912,9,1912.708,26.761,0.981
1912,10,1912.792,26.652,1.184
1912,11,1912.875,26.444,0.708
1912,12,1912.958,26.535,0.955
1913,1,1913.042,27.147,0.497
1913,2,1913.125,26.044,0.717
1913,3,1913.208,25.487,0.597
1913,4,1913.292,27.036,0.959
1913,5,1913.375,27.188,0.847
1913,6,1913.458,26.632,1.113
1913,7,1913.542,26.550,0.904
1913,8,1913.625,27.635,1.762
1913,9,1913.708,27.239,1.655
1913,10,1913.792,27.416,0.965
1913,11,1913.875,26.651,0.841
1913,12,1913.958,26.500,0.709
1914,1,1914.042,27.391,0.710
1914,2,1914.125,25.886,0.642
1914,3,1914.208,26.176,0.672
1914,4,1914.292,26.948,0.566
1914,5,1914.375,27.180,0.731
1914,6,1914.458,26.236,0.948
1914,7,1914.542,26.772,1.215
1914,8,1914.625,26.330,0.916
1914,9,1914.708,26.615,1.216
1914,10,1914.792,27.592,0.602
1914,11,1914.875,27.438,0.785
1914,12,1914.958,27.041,0.493
1915,1,1915.042,26.607,0.563
1915,2,1915.125,26.887,0.622
1915,3,1915.208,27.312,0.867
1915,4,1915.292,26.587,1.205
1915,5,1915.375,27.681,0.985
1915,6,1915.458,27.451,0.768
1915,7,1915.542,27.774,0.572
1915,8,1915.625,27.731,0.882
1915,9,1915.708,27.789,0.756
1915,10,1915.792,26.963,0.920
1915,11,1915.875,26.820,0.746
1915,12,1915.958,26.511,0.597
1916,1,1916.042,27.236,0.709
1916,2,1916.125,25.092,1.107
1916,3,1916.208,26.511,0.767
1916,4,1916.292,25.359,1.042
1916,5,1916.375,26.390,0.518
1916,6,1916.458,27.272,0.658
1916,7,1916.542,26.125,0.593
1916,8,1916.625,26.227,0.530
1916,9,1916.708,27.172,0.903
1916,10,1916.792,26.867,1.137
1916,11,1916.875,25.921,0.761
1916,12,1916.958,26.223,0.952
1917,1,1917.042,26.572,0.784
1917,2,1917.125,26.809,0.911
1917,3,1917.208,26.428,0.739
1917,4,1917.292,27.154,0.796
1917,5,1917.375,26.582,0.910
1917,6,1917.458,25.843,2.200
1917,7,1917.542,27.415,0.878
1917,8,1917.625,25.617,1.381
1917,9,1917.708,26.214,0.842
1917,10,1917.792,26.460,0.647
1917,11,1917.875,25.927,0.657
1917,12,1917.958,25.542,1.025
1918,1,1918.042,26.078,0.766
1918,2,1918.125,26.376,0.496
1918,3,1918.208,26.528,0.544
1918,4,1918.292,25.584,0.814
1918,5,1918.375,26.336,0.699
1918,6,1918.458,26.568,0.920
1918,7,1918.542,27.430,1.761
1918,8,1918.625,26.590,0.507
1918,9,1918.708,25.909,1.060
1918,10,1918.792,26.389,0.521
1918,11,1918.875,26.784,0.656
1918,12,1918.958,26.375,0.644
1919,1,1919.042,26.797,0.578
1919,2,1919.125,26.657,0.745
1919,3,1919.208,25.981,0.693
1919,4,1919.292,27.271,0.719
1919,5,1919.375,26.987,0.935
1919,6,1919.458,26.268,1.479
1919,7,1919.542,26.678,0.479
1919,8,1919.625,26.518,0.769
1919,9,1919.708,26.711,0.885
1919,10,1919.792,26.434,0.539
1919,11,1919.875,26.517,0.632
1919,12,1919.958,26.352,0.847
1920,1,1920.042,26.620,0.868
1920,2,1920.125,25.872,0.715
1920,3,1920.208,27.430,1.006
1920,4,1920.292,27.088,0.614
1920,5,1920.375,26.944,0.748
1920,6,1920.458,27.557,1.129
1920,7,1920.542,27.129,0.755
1920,8,1920.625,26.928,0.615
1920,9,1920.708,26.527,1.061
1920,10,1920.792,27.375,1.511
1920,11,1920.875,26.982,0.986
1920,12,1920.958,25.539,1.182
1921,1,1921.042,26.328,0.968
1921,2,1921.125,26.153,1.008
1921,3,1921.208,26.953,1.421
1921,4,1921.292,27.550,1.645
1921,5,1921.375,26.376,1.068
1921,6,1921.458,26.503,0.532
1921,7,1921.542,26.998,0.952
1921,8,1921.625,26.081,0.700
1921,9,1921.708,27.050,1.086
1921,10,1921.792,26.569,1.041
1921,11,1921.875,26.075,1.033
1921,12,1921.958,26.559,0.630
1922,1,1922.042,26.758,0.607
1922,2,1922.125,26.263,0.769
1922,3,1922.208,26.243,0.591
1922,4,1922.292,27.213,0.663
1922,5,1922.375,26.236,1.306
1922,6,1922.458,27.811,0.490
1922,7,1922.542,27.149,0.714
1922,8,1922.625,27.144,0.853
1922,9,1922.708,26.460,0.881
1922,10,1922.792,26.529,0.686
1922,11,1922.875,26.926,0.956
1922,12,1922.958,27.282,0.499
1923,1,1923.042,26.671,0.575
1923,2,1923.125,26.196,0.660
1923,3,1923.208,27.005,0.544
1923,4,1923.292,26.251,1.455
1923,5,1923.375,26.163,0.883
1923,6,1923.458,26.690,0.949
1923,7,1923.542,26.981,0.921
1923,8,1923.625,27.118,0.603
1923,9,1923.708,27.390,0.817
1923,10,1923.792,26.772,1.072
1923,11,1923.875,25.908,0.832
1923,12,1923.958,26.086,1.325
1924,1,1924.042,26.667,0.630
1924,2,1924.125,26.506,0.633
1924,3,1924.208,27.951,0.720
1924,4,1924.292,27.499,0.748
1924,5,1924.375,27.416,0.748
1924,6,1924.458,27.301,1.026
1924,7,1924.542,28.404,2.083
1924,8,1924.625,27.125,0.675
1924,9,1924.708,26.853,1.807
1924,10,1924.792,26.343,1.040
1924,11,1924.875,26.960,0.744
1924,12,1924.958,26.579,1.011
1925,1,1925.042,25.796,0.855
1925,2,1925.125,24.911,0.964
1925,3,1925.208,27.157,0.626
1925,4,1925.292,28.156,0.724
1925,5,1925.375,26.453,1.440
1925,6,1925.458,26.405,0.693
1925,7,1925.542,26.379,0.719
1925,8,1925.625,26.624,0.747
1925,9,1925.708,26.982,0.710
1925,10,1925.792,27.352,0.592
1925,11,1925.875,26.667,1.209
1925,12,1925.958,26.803,0.662
1926,1,1926.042,27.470,0.567
1926,2,1926.125,28.292,0.711
1926,3,1926.208,27.944,1.171
1926,4,1926.292,25.976,0.935
1926,5,1926.375,26.225,1.269
1926,6,1926.458,27.060,0.967
1926,7,1926.542,27.613,0.798
1926,8,1926.625,26.953,1.365
1926,9,1926.708,27.251,0.653
1926,10,1926.792,26.860,0.771
1926,11,1926.875,27.015,1.427
1926,12,1926.958,26.423,0.628
1927,1,1927.042,25.953,1.332
1927,2,1927.125,26.390,0.795
1927,3,1927.208,25.693,1.271
1927,4,1927.292,26.113,0.561
1927,5,1927.375,27.111,0.675
1927,6,1927.458,27.159,1.375
1927,7,1927.542,27.146,0.880
1927,8,1927.625,26.614,0.843
1927,9,1927.708,27.082,0.535
1927,10,1927.792,26.657,0.693
1927,11,1927.875,26.908,0.837
1927,12,1927.958,27.076,0.577
1928,1,1928.042,27.194,0.621
1928,2,1928.125,26.627,0.598
1928,3,1928.208,26.887,0.887
1928,4,1928.292,27.685,1.344
1928,5,1928.375,26.561,0.770
1928,6,1928.458,26.580,0.508
1928,7,1928.542,26.516,0.738
1928,8,1928.625,25.961,0.773
1928,9,1928.708,26.214,1.059
1928,10,1928.792,26.780,0.744
1928,11,1928.875,26.619,0.514
1928,12,1928.958,25.610,0.721
1929,1,1929.042,26.823,0.454
1929,2,1929.125,27.168,0.551
1929,3,1929.208,27.848,0.520
1929,4,1929.292,27.770,0.543
1929,5,1929.375,26.908,0.674
1929,6,1929.458,26.807,0.668
1929,7,1929.542,27.415,1.197
1929,8,1929.625,26.553,1.114
1929,9,1929.708,26.220,1.236
1929,10,1929.792,27.166,0.735
1929,11,1929.875,27.405,0.757
1929,12,1929.958,26.330,0.575
1930,1,1930.042,25.609,1.526
1930,2,1930.125,26.558,1.095
