# Monthly average temperature data for Pakistan.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1848,1,1848.042,19.332,1.878
1848,2,1848.125,20.176,1.908
1848,3,1848.208,19.427,1.336
1848,4,1848.292,20.055,1.323
1848,5,1848.375,20.342,1.493
1848,6,1848.458,19.538,1.834
1848,7,1848.542,20.598,1.356
1848,8,1848.625,20.182,1.447
1848,9,1848.708,19.597,1.331
1848,10,1848.792,19.857,1.346
1848,11,1848.875,19.783,1.364
1848,12,1848.958,19.428,1.629
1849,1,1849.042,20.073,2.155
1849,2,1849.125,19.857,1.696
1849,3,1849.208,20.178,1.670
1849,4,1849.292,20.021,1.880
1849,5,1849.375,20.421,1.410
1849,6,1849.458,19.453,1.603
1849,7,1849.542,20.551,1.623
1849,8,1849.625,20.310,1.428
1849,9,1849.708,19.429,1.386
1849,10,1849.792,20.064,1.323
1849,11,1849.875,20.004,2.004
1849,12,1849.958,19.299,1.703
1850,1,1850.042,19.176,1.820
1850,2,1850.125,20.073,2.137
1850,3,1850.208,20.258,1.776
1850,4,1850.292,19.825,1.327
1850,5,1850.375,19.872,1.345
1850,6,1850.458,19.875,1.326
1850,7,1850.542,21.182,1.342
1850,8,1850.625,20.622,1.393
1850,9,1850.708,20.169,1.370
1850,10,1850.792,19.926,1.305
1850,11,1850.875,19.855,1.662
1850,12,1850.958,20.061,1.667
1851,1,1851.042,19.776,1.685
1851,2,1851.125,19.992,1.466
1851,3,1851.208,19.991,1.675
1851,4,1851.292,19.663,1.467
1851,5,1851.375,21.148,1.478
1851,6,1851.458,20.508,1.504
1851,7,1851.542,20.559,1.343
1851,8,1851.625,20.383,1.247
1851,9,1851.708,20.012,1.426
1851,10,1851.792,20.220,1.615
1851,11,1851.875,19.656,1.522
1851,12,1851.958,19.933,1.465
1875,1,1875.042,20.395,1.183
1875,2,1875.125,20.248,1.297
1875,3,1875.208,22.299,1.363
1875,4,1875.292,21.684,1.138
1875,5,1875.375,21.169,1.685
1875,6,1875.458,21.069,1.328
1875,7,1875.542,20.584,1.150
1875,8,1875.625,20.156,1.235
1875,9,1875.708,20.154,1.165
1875,10,1875.792,19.067,1.596
1875,11,1875.875,20.743,1.311
1875,12,1875.958,21.337,1.075
1876,1,1876.042,21.155,1.357
1876,2,1876.125,19.645,0.863
1876,3,1876.208,20.009,0.960
1876,4,1876.292,20.148,0.903
1876,5,1876.375,21.566,0.939
1876,6,1876.458,20.604,0.890
1876,7,1876.542,20.287,0.897
1876,8,1876.625,20.319,0.800
1876,9,1876.708,19.845,0.881
1876,10,1876.792,19.425,0.814
1876,11,1876.875,19.882,0.836
1876,12,1876.958,20.810,0.775
1877,1,1877.042,20.375,1.173
1877,2,1877.125,18.867,1.013
1877,3,1877.208,20.476,0.626
1877,4,1877.292,19.581,0.698
1877,5,1877.375,20.320,1.012
1877,6,1877.458,20.416,0.919
1877,7,1877.542,21.502,0.819
1877,8,1877.625,22.084,1.465
1877,9,1877.708,21.592,0.912
1877,10,1877.792,20.164,1.368
1877,11,1877.875,21.578,0.988
1877,12,1877.958,19.462,1.394
1878,1,1878.042,19.091,0.848
1878,2,1878.125,20.224,0.808
1878,3,1878.208,21.569,0.881
1878,4,1878.292,20.010,0.514
1878,5,1878.375,20.228,1.227
1878,6,1878.458,20.992,0.851
1878,7,1878.542,21.596,0.792
1878,8,1878.625,20.631,1.239
1878,9,1878.708,22.130,1.181
1878,10,1878.792,21.604,0.852
1878,11,1878.875,19.564,0.889
1878,12,1878.958,18.981,0.771
1879,1,1879.042,21.111,1.053
1879,2,1879.125,20.926,0.801
1879,3,1879.208,19.577,0.731
1879,4,1879.292,21.207,0.803
1879,5,1879.375,21.687,0.673
1879,6,1879.458,20.310,1.217
1879,7,1879.542,20.787,0.824
1879,8,1879.625,20.819,0.628
1879,9,1879.708,19.955,0.961
1879,10,1879.792,20.264,0.849
1879,11,1879.875,18.507,0.685
1879,12,1879.958,19.743,1.361
1880,1,1880.042,22.342,0.679
1880,2,1880.125,17.758,0.971
1880,3,1880.208,23.984,0.802
1880,4,1880.292,22.262,0.951
1880,5,1880.375,21.598,0.959
1880,6,1880.458,21.026,1.104
1880,7,1880.542,20.049,1.147
1880,8,1880.625,20.602,1.480
1880,9,1880.708,20.527,0.793
1880,10,1880.792,20.966,0.908
1880,11,1880.875,19.952,0.700
1880,12,1880.958,20.872,1.081
1881,1,1881.042,21.638,1.101
1881,2,1881.125,22.236,0.796
1881,3,1881.208,20.323,0.965
1881,4,1881.292,20.535,0.696
1881,5,1881.375,22.020,0.754
1881,6,1881.458,20.460,0.963
1881,7,1881.542,20.937,0.763
1881,8,1881.625,20.458,0.658
1881,9,1881.708,20.569,0.620
1881,10,1881.792,20.764,0.855
1881,11,1881.875,19.937,0.879
1881,12,1881.958,20.105,1.244
1882,1,1882.042,21.553,0.652
1882,2,1882.125,18.869,1.032
1882,3,1882.208,20.081,0.722
1882,4,1882.292,20.243,0.500
1882,5,1882.375,20.754,0.667
1882,6,1882.458,20.855,0.604
1882,7,1882.542,19.317,0.781
1882,8,1882.625,20.209,0.979
1882,9,1882.708,19.968,1.147
1882,10,1882.792,20.684,0.686
1882,11,1882.875,19.528,0.814
1882,12,1882.958,21.570,0.837
1883,1,1883.042,20.450,0.562
1883,2,1883.125,18.432,0.745
1883,3,1883.208,19.829,0.672
1883,4,1883.292,21.795,0.654
1883,5,1883.375,21.144,0.533
1883,6,1883.458,21.379,0.465
1883,7,1883.542,20.259,0.802
1883,8,1883.625,20.922,0.876
1883,9,1883.708,20.391,0.607
1883,10,1883.792,19.947,0.500
1883,11,1883.875,18.611,0.445
1883,12,1883.958,19.667,0.761
1884,1,1884.042,22.021,0.670
1884,2,1884.125,20.031,0.457
1884,3,1884.208,20.271,0.740
1884,4,1884.292,20.321,0.631
1884,5,1884.375,20.862,0.606
1884,6,1884.458,20.050,0.659
1884,7,1884.542,20.419,0.775
1884,8,1884.625,20.147,0.605
1884,9,1884.708,20.878,1.124
1884,10,1884.792,19.155,0.615
1884,11,1884.875,18.653,0.604
1884,12,1884.958,19.834,0.988
1885,1,1885.042,19.578,1.007
1885,2,1885.125,17.741,0.643
1885,3,1885.208,20.600,0.745
1885,4,1885.292,18.547,0.936
1885,5,1885.375,18.746,0.831
1885,6,1885.458,19.711,0.776
1885,7,1885.542,20.471,0.674
1885,8,1885.625,21.008,0.642
1885,9,1885.708,20.505,0.595
1885,10,1885.792,20.579,0.742
1885,11,1885.875,21.560,0.562
1885,12,1885.958,20.340,0.497
1886,1,1886.042,20.147,0.963
1886,2,1886.125,18.195,0.835
1886,3,1886.208,19.857,0.855
1886,4,1886.292,20.418,0.461
1886,5,1886.375,21.238,0.555
1886,6,1886.458,20.319,0.606
1886,7,1886.542,20.684,1.017
1886,8,1886.625,20.444,0.469
1886,9,1886.708,20.767,0.527
1886,10,1886.792,20.878,0.771
1886,11,1886.875,20.703,0.690
1886,12,1886.958,20.126,0.782
1887,1,1887.042,19.335,0.786
1887,2,1887.125,19.908,0.651
1887,3,1887.208,20.832,0.807
1887,4,1887.292,21.548,0.518
1887,5,1887.375,21.485,0.972
1887,6,1887.458,20.045,0.772
