# Monthly average temperature data for Palestina.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1843,1,1843.042,23.370,2.198
1843,2,1843.125,23.928,2.135
1843,3,1843.208,22.567,2.210
1843,4,1843.292,22.376,1.836
1843,5,1843.375,21.604,1.806
1843,6,1843.458,21.754,1.502
1843,7,1843.542,22.718,1.582
1843,8,1843.625,22.224,1.617
1843,9,1843.708,21.861,1.677
1843,11,1843.875,21.786,2.429
1843,12,1843.958,22.463,2.585
1844,1,1844.042,22.170,2.428
1844,2,1844.125,22.040,2.177
1844,11,1844.875,21.586,2.263
1844,12,1844.958,21.356,2.268
1845,1,1845.042,22.353,2.187
1845,2,1845.125,21.799,2.272
1845,3,1845.208,22.875,2.134
1845,4,1845.292,22.671,1.905
1845,5,1845.375,22.180,1.694
1853,6,1853.458,22.848,1.339
1853,7,1853.542,23.401,1.261
1853,8,1853.625,23.167,1.321
1853,9,1853.708,22.733,1.307
1853,10,1853.792,22.553,1.739
1853,11,1853.875,21.872,1.886
1853,12,1853.958,22.549,1.666
1854,8,1854.625,22.771,1.278
1854,9,1854.708,22.169,1.267
1854,10,1854.792,23.421,1.651
1854,11,1854.875,22.654,1.668
1854,12,1854.958,22.895,1.824
1855,1,1855.042,22.489,1.765
1855,2,1855.125,22.982,2.097
1855,3,1855.208,22.698,1.782
1855,4,1855.292,22.893,1.737
1855,5,1855.375,23.041,1.622
1855,6,1855.458,22.489,1.514
1855,7,1855.542,22.603,1.261
1855,8,1855.625,22.441,1.444
1855,9,1855.708,21.626,1.360
1855,10,1855.792,22.261,1.589
1855,11,1855.875,22.262,1.731
1855,12,1855.958,22.031,1.659
1856,1,1856.042,22.935,1.504
1856,2,1856.125,21.850,2.255
1856,3,1856.208,21.413,1.686
1856,4,1856.292,22.047,1.446
1856,5,1856.375,22.082,1.440
1856,6,1856.458,22.946,1.399
1856,7,1856.542,22.649,1.272
1856,8,1856.625,22.302,1.422
