# Monthly average temperature data for Palmyra Atoll.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1883,1,1883.042,25.990,0.823
1883,2,1883.125,25.963,0.982
1883,3,1883.208,26.775,0.745
1883,4,1883.292,26.809,1.034
1883,5,1883.375,26.851,0.853
1883,6,1883.458,27.182,0.793
1883,7,1883.542,26.867,0.739
1883,8,1883.625,26.743,0.841
1883,9,1883.708,26.553,0.704
1883,10,1883.792,26.814,0.724
1883,11,1883.875,25.894,0.768
1883,12,1883.958,26.479,0.836
1884,1,1884.042,26.365,0.765
1884,2,1884.125,26.314,0.733
1884,3,1884.208,25.968,1.068
1884,4,1884.292,25.955,0.723
1884,5,1884.375,25.963,0.744
1884,6,1884.458,26.595,0.900
1884,7,1884.542,26.645,0.778
1884,8,1884.625,26.694,0.728
1884,9,1884.708,26.598,0.841
1884,10,1884.792,26.486,0.736
1884,11,1884.875,26.128,0.762
1884,12,1884.958,26.150,0.931
1885,1,1885.042,25.408,0.755
1885,2,1885.125,26.227,0.901
1885,3,1885.208,26.494,0.772
1885,4,1885.292,25.943,0.824
1885,5,1885.375,26.305,0.723
1885,6,1885.458,26.730,0.826
1885,7,1885.542,26.978,0.736
1885,8,1885.625,26.728,0.712
1885,9,1885.708,26.787,0.789
1885,10,1885.792,26.591,0.717
1885,11,1885.875,26.476,0.829
1885,12,1885.958,26.537,1.210
1886,1,1886.042,25.787,0.825
1886,2,1886.125,25.946,1.036
1886,3,1886.208,26.208,0.821
1886,4,1886.292,26.761,0.776
1886,5,1886.375,26.504,0.723
1886,6,1886.458,26.647,0.746
1886,7,1886.542,27.074,0.778
1886,8,1886.625,26.652,0.715
1886,9,1886.708,26.954,0.798
1886,10,1886.792,26.698,0.904
1886,11,1886.875,26.287,0.803
1886,12,1886.958,26.650,0.978
1887,1,1887.042,25.443,0.934
1887,2,1887.125,26.044,0.769
1887,3,1887.208,26.290,0.741
1887,4,1887.292,26.702,0.792
1887,5,1887.375,26.477,0.792
1887,6,1887.458,26.631,0.739
1887,7,1887.542,26.875,0.716
1887,8,1887.625,26.435,0.704
1887,9,1887.708,26.758,0.775
1887,10,1887.792,26.563,0.722
1887,11,1887.875,26.389,0.781
1887,12,1887.958,26.366,0.861
1888,1,1888.042,26.133,0.763
1888,2,1888.125,25.764,0.814
1888,3,1888.208,26.072,0.745
1888,4,1888.292,26.695,0.816
1888,5,1888.375,26.411,0.750
1888,6,1888.458,26.785,0.845
1888,7,1888.542,27.180,0.737
1888,8,1888.625,26.839,0.715
1888,9,1888.708,26.922,0.764
1888,10,1888.792,27.193,0.780
1888,11,1888.875,26.848,0.782
1888,12,1888.958,26.790,0.841
1889,1,1889.042,26.186,0.846
1889,2,1889.125,27.066,0.895
1889,3,1889.208,26.893,0.892
1889,4,1889.292,27.220,0.770
1889,5,1889.375,27.107,0.793
1889,6,1889.458,27.097,0.742
1889,7,1889.542,27.150,0.732
1889,8,1889.625,26.910,0.759
1889,9,1889.708,26.799,0.739
1889,10,1889.792,26.706,0.717
1889,11,1889.875,26.234,0.949
1889,12,1889.958,26.433,0.858
1890,1,1890.042,26.331,0.741
1890,2,1890.125,26.531,0.820
1890,3,1890.208,26.103,0.838
1890,4,1890.292,26.623,0.770
1890,5,1890.375,26.416,0.861
1890,6,1890.458,26.816,0.788
1890,7,1890.542,26.887,0.716
1890,8,1890.625,26.577,0.680
