# Monthly average temperature data for Panama.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1857,4,1857.292,25.987,1.620
1857,5,1857.375,25.375,1.099
1857,6,1857.458,25.968,1.338
1857,8,1857.625,25.416,0.940
1857,9,1857.708,25.198,1.014
1857,10,1857.792,25.940,1.103
1857,11,1857.875,25.212,1.078
1857,12,1857.958,24.787,1.763
1858,2,1858.125,25.364,1.073
1858,3,1858.208,24.708,1.147
1858,4,1858.292,25.276,1.081
1858,5,1858.375,25.847,1.179
1858,8,1858.625,25.465,0.848
1858,9,1858.708,26.379,1.577
1858,10,1858.792,25.362,0.858
1858,11,1858.875,26.165,1.375
1858,12,1858.958,24.620,1.071
1859,1,1859.042,25.319,0.877
1859,2,1859.125,24.976,1.059
1859,3,1859.208,25.240,0.840
1859,4,1859.292,25.978,0.994
1859,5,1859.375,26.222,0.852
1859,6,1859.458,25.692,1.006
1859,7,1859.542,25.912,0.990
1859,8,1859.625,25.935,0.722
1859,9,1859.708,25.346,0.713
1859,10,1859.792,26.124,0.905
1859,11,1859.875,25.151,1.036
1859,12,1859.958,25.495,1.060
1860,1,1860.042,25.311,0.926
1860,2,1860.125,24.956,0.714
1860,3,1860.208,24.458,2.178
1860,4,1860.292,25.504,0.985
1860,5,1860.375,25.392,0.988
1860,6,1860.458,25.985,0.975
1860,7,1860.542,25.783,1.243
1860,8,1860.625,26.069,1.008
1860,9,1860.708,25.910,0.895
1860,10,1860.792,25.634,1.284
1860,11,1860.875,25.722,0.972
1860,12,1860.958,25.183,1.567
1863,1,1863.042,25.326,1.120
1863,2,1863.125,26.178,2.324
1863,3,1863.208,25.795,1.172
1863,4,1863.292,25.459,1.040
1863,5,1863.375,26.006,1.165
1863,6,1863.458,26.248,0.733
1863,7,1863.542,25.815,0.700
1863,8,1863.625,25.684,0.951
1863,9,1863.708,25.285,1.231
1863,10,1863.792,25.737,0.931
1863,11,1863.875,25.291,0.902
1863,12,1863.958,24.626,1.943
1866,3,1866.208,24.316,1.327
1866,4,1866.292,24.738,1.012
1866,5,1866.375,25.583,0.929
1866,7,1866.542,25.843,1.130
1866,8,1866.625,25.714,0.980
1866,9,1866.708,25.600,0.819
1866,10,1866.792,25.485,0.674
1866,11,1866.875,25.192,0.776
1866,12,1866.958,26.135,0.893
1867,1,1867.042,26.125,1.137
1867,2,1867.125,25.109,1.194
1867,3,1867.208,26.090,0.705
1867,4,1867.292,25.961,0.968
1867,5,1867.375,26.144,0.871
1867,6,1867.458,26.301,0.990
1867,7,1867.542,26.437,0.944
1867,8,1867.625,25.935,0.893
1867,9,1867.708,25.509,0.982
1867,10,1867.792,25.733,1.212
1867,11,1867.875,25.281,1.523
1867,12,1867.958,25.314,1.061
1868,1,1868.042,26.413,1.298
1868,2,1868.125,25.155,1.407
1868,3,1868.208,24.919,1.120
1868,4,1868.292,25.736,1.190
1868,5,1868.375,25.770,1.162
1868,6,1868.458,25.679,0.703
1868,7,1868.542,26.238,0.822
1868,8,1868.625,26.203,0.703
1868,9,1868.708,25.883,1.402
1868,10,1868.792,26.141,1.100
1868,11,1868.875,25.551,1.088
1868,12,1868.958,26.069,1.054
1869,1,1869.042,26.499,1.465
1869,2,1869.125,27.267,1.271
1869,3,1869.208,26.618,1.268
1869,4,1869.292,27.170,1.150
1869,5,1869.375,27.121,1.097
1881,3,1881.208,24.853,1.925
1881,4,1881.292,25.194,2.501
1881,5,1881.375,26.899,1.576
1881,6,1881.458,26.297,0.621
1881,7,1881.542,26.464,0.647
1881,8,1881.625,26.479,0.938
1881,9,1881.708,25.815,1.944
1881,10,1881.792,25.942,0.784
1881,11,1881.875,26.060,0.926
1881,12,1881.958,25.869,0.594
1882,1,1882.042,25.739,1.308
1882,2,1882.125,25.320,1.006
1882,3,1882.208,24.889,0.969
1882,4,1882.292,24.899,1.526
1882,5,1882.375,25.485,0.707
1882,6,1882.458,26.095,1.348
1882,7,1882.542,25.825,0.700
1882,8,1882.625,26.105,0.792
1882,9,1882.708,26.025,0.583
1882,10,1882.792,25.295,3.843
1882,11,1882.875,25.587,0.549
1882,12,1882.958,25.593,1.747
1883,1,1883.042,25.872,0.499
1883,2,1883.125,25.708,0.930
1883,3,1883.208,25.144,1.949
1883,4,1883.292,25.563,0.798
1883,5,1883.375,25.693,0.835
1883,6,1883.458,25.593,1.332
1883,7,1883.542,25.544,0.784
1883,8,1883.625,25.350,0.999
1883,9,1883.708,25.539,0.527
1883,10,1883.792,25.304,0.564
1883,11,1883.875,25.036,0.686
1883,12,1883.958,25.033,0.616
1884,1,1884.042,25.456,1.187
1884,2,1884.125,24.994,0.954
1884,3,1884.208,24.521,0.638
1884,4,1884.292,24.780,0.721
1884,5,1884.375,24.782,0.458
1884,6,1884.458,26.081,0.829
1884,7,1884.542,25.526,0.976
1884,8,1884.625,24.842,1.915
1884,10,1884.792,25.229,0.543
1884,11,1884.875,26.919,2.494
1884,12,1884.958,26.753,2.728
1886,1,1886.042,25.060,0.994
1886,2,1886.125,25.131,0.965
1886,3,1886.208,25.515,1.411
1886,4,1886.292,25.775,0.688
1886,5,1886.375,25.847,0.619
1886,6,1886.458,26.144,0.871
1886,7,1886.542,26.315,1.107
1886,8,1886.625,26.164,0.860
1886,9,1886.708,26.203,1.073
1886,10,1886.792,26.303,1.045
1886,11,1886.875,26.340,1.319
1886,12,1886.958,25.507,1.382
1887,1,1887.042,25.770,2.233
1887,2,1887.125,25.013,1.144
1887,3,1887.208,24.618,2.055
1887,4,1887.292,24.897,0.883
1887,5,1887.375,25.226,1.534
1887,8,1887.625,25.457,0.894
1887,9,1887.708,25.740,0.671
1887,10,1887.792,25.788,0.815
1887,11,1887.875,25.963,0.612
1887,12,1887.958,25.847,0.834
1888,1,1888.042,25.348,1.630
1888,2,1888.125,24.807,1.433
1888,3,1888.208,24.987,0.778
1888,4,1888.292,24.550,1.028
1888,5,1888.375,25.623,1.289
1888,6,1888.458,25.557,2.591
1888,7,1888.542,26.516,0.911
1888,8,1888.625,25.527,1.977
1890,1,1890.042,24.832,1.196
1890,2,1890.125,24.436,1.030
1890,3,1890.208,23.838,2.277
1890,4,1890.292,25.273,0.886
1890,5,1890.375,25.563,0.865
1890,6,1890.458,25.533,0.883
1890,7,1890.542,25.992,0.866
1890,8,1890.625,25.625,0.713
1890,9,1890.708,25.460,0.703
1890,10,1890.792,25.802,0.889
1890,11,1890.875,25.149,0.892
1890,12,1890.958,24.821,0.952
1891,1,1891.042,25.200,0.938
1891,2,1891.125,25.810,0.747
1891,3,1891.208,25.492,0.927
1891,4,1891.292,25.530,0.790
1891,5,1891.375,26.267,0.677
1891,6,1891.458,26.145,0.565
1891,7,1891.542,26.287,0.683
1891,8,1891.625,26.197,0.788
1891,9,1891.708,26.491,0.651
1891,10,1891.792,26.419,1.390
1891,11,1891.875,25.969,1.287
1891,12,1891.958,25.641,0.784
1892,1,1892.042,26.072,1.117
1892,2,1892.125,25.173,0.716
1892,3,1892.208,25.579,0.710
1892,4,1892.292,25.219,0.619
1892,5,1892.375,25.174,0.685
1892,6,1892.458,25.267,0.967
1892,7,1892.542,25.757,0.713
1892,8,1892.625,25.189,0.828
1892,9,1892.708,25.875,0.668
1892,10,1892.792,25.169,1.141
1892,11,1892.875,25.319,0.901
1892,12,1892.958,25.601,1.530
1893,1,1893.042,25.471,0.855
1893,2,1893.125,25.415,0.824
1893,3,1893.208,25.418,0.867
1893,4,1893.292,25.446,0.720
1893,5,1893.375,25.662,1.153
1893,6,1893.458,25.571,0.655
1893,7,1893.542,25.449,0.787
1893,8,1893.625,25.458,1.136
1893,9,1893.708,25.598,0.809
1893,10,1893.792,25.367,1.823
1893,11,1893.875,25.478,0.451
1893,12,1893.958,24.972,0.811
1894,1,1894.042,25.042,0.745
1894,2,1894.125,25.457,0.643
1894,3,1894.208,25.050,0.649
1894,4,1894.292,25.619,0.676
1894,5,1894.375,25.503,0.706
1894,6,1894.458,25.537,1.136
1894,7,1894.542,25.605,1.101
1894,8,1894.625,25.856,0.630
1894,9,1894.708,25.887,0.476
1894,10,1894.792,25.532,0.544
1894,11,1894.875,25.970,0.873
1894,12,1894.958,24.916,1.298
1895,1,1895.042,24.803,0.736
1895,2,1895.125,25.712,0.677
1895,3,1895.208,25.759,0.523
1895,4,1895.292,26.049,0.620
1895,5,1895.375,26.164,0.601
1895,6,1895.458,26.335,0.584
1895,7,1895.542,26.056,0.759
1895,8,1895.625,25.923,0.435
1895,9,1895.708,26.293,0.757
1895,10,1895.792,26.233,0.775
1895,11,1895.875,25.744,0.606
1895,12,1895.958,25.335,0.773
1896,1,1896.042,25.277,0.749
1896,2,1896.125,25.848,1.029
1896,3,1896.208,25.675,0.698
1896,4,1896.292,25.230,0.636
1896,5,1896.375,25.863,0.478
1896,6,1896.458,26.201,0.850
1896,7,1896.542,26.463,0.801
1896,8,1896.625,26.201,0.598
1896,9,1896.708,26.349,0.695
1896,10,1896.792,27.049,0.666
1896,11,1896.875,26.382,0.903
1896,12,1896.958,26.081,0.790
1897,1,1897.042,26.119,0.598
1897,2,1897.125,26.668,0.644
1897,3,1897.208,26.414,1.013
1897,4,1897.292,26.656,0.839
1897,5,1897.375,26.268,0.707
1897,6,1897.458,26.604,0.670
1897,7,1897.542,25.929,0.789
1897,8,1897.625,26.446,0.540
1897,9,1897.708,26.193,0.753
1897,10,1897.792,26.225,0.469
1897,11,1897.875,25.912,0.771
1897,12,1897.958,26.124,1.076
1898,1,1898.042,25.770,0.830
1898,2,1898.125,25.181,1.063
1898,3,1898.208,24.971,0.854
1898,4,1898.292,25.930,1.097
1898,5,1898.375,26.298,0.860
1898,6,1898.458,26.283,1.144
1898,7,1898.542,25.917,0.683
1898,8,1898.625,25.970,0.693
1898,9,1898.708,25.915,0.628
1898,10,1898.792,25.823,0.719
1898,11,1898.875,25.858,0.835
1898,12,1898.958,26.035,0.800
1899,1,1899.042,26.297,1.109
1899,2,1899.125,26.247,1.041
1899,3,1899.208,25.531,0.829
1899,4,1899.292,26.163,0.797
1899,5,1899.375,26.113,0.642
