# Monthly average temperature data for Papua New Guinea.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1891,1,1891.042,23.411,0.617
1891,2,1891.125,23.324,0.708
1891,3,1891.208,24.267,0.749
1891,4,1891.292,24.211,0.512
1891,5,1891.375,24.504,0.689
1891,6,1891.458,24.210,0.760
1891,7,1891.542,24.105,0.539
1891,8,1891.625,23.803,0.567
1891,9,1891.708,23.456,0.562
1891,10,1891.792,23.869,0.503
1891,11,1891.875,24.192,0.663
1891,12,1891.958,24.459,0.533
1892,1,1892.042,23.227,0.870
1892,2,1892.125,22.894,0.742
1892,3,1892.208,23.074,0.687
1902,7,1902.542,23.752,0.567
1902,8,1902.625,23.552,0.558
1902,9,1902.708,23.146,0.505
1902,10,1902.792,23.106,0.617
1902,11,1902.875,22.510,0.714
1902,12,1902.958,24.231,0.624
1903,1,1903.042,24.638,0.516
1903,2,1903.125,24.549,0.536
1903,3,1903.208,24.456,0.482
1903,4,1903.292,24.306,0.526
1903,5,1903.375,24.184,0.501
1903,6,1903.458,24.491,0.479
1903,7,1903.542,24.892,0.567
1903,8,1903.625,24.501,0.443
1903,9,1903.708,24.638,0.530
1903,10,1903.792,24.263,0.500
1903,11,1903.875,24.232,0.602
1903,12,1903.958,24.225,0.563
1904,1,1904.042,23.999,0.645
1904,2,1904.125,23.892,0.531
1904,3,1904.208,24.029,0.560
1904,4,1904.292,23.942,0.485
1904,5,1904.375,24.093,0.531
1904,6,1904.458,23.923,0.462
1904,7,1904.542,23.917,0.526
1904,8,1904.625,23.734,0.525
1904,9,1904.708,23.823,0.481
1904,10,1904.792,24.169,0.463
1904,11,1904.875,23.700,0.587
1904,12,1904.958,24.010,0.602
1905,1,1905.042,24.450,0.514
1905,2,1905.125,23.433,0.611
1905,3,1905.208,24.160,0.516
1905,4,1905.292,24.700,0.494
1905,5,1905.375,24.408,0.484
1905,6,1905.458,24.981,0.429
1905,7,1905.542,24.278,0.525
1905,8,1905.625,23.876,0.554
1905,9,1905.708,24.732,0.494
1905,10,1905.792,24.865,0.585
1905,11,1905.875,23.968,0.478
1905,12,1905.958,24.679,0.500
1906,1,1906.042,24.576,0.501
1906,2,1906.125,24.807,0.907
1906,3,1906.208,24.634,0.449
1906,4,1906.292,24.962,0.449
1906,5,1906.375,24.530,0.483
1906,6,1906.458,24.677,0.564
1906,7,1906.542,24.656,0.457
1906,8,1906.625,24.211,0.481
1906,9,1906.708,25.027,0.480
1906,10,1906.792,24.436,0.548
1906,11,1906.875,24.504,0.608
1906,12,1906.958,24.506,0.837
1907,1,1907.042,23.837,0.543
1907,2,1907.125,23.961,0.532
1907,3,1907.208,23.749,0.519
1907,4,1907.292,24.421,0.488
1907,5,1907.375,24.083,0.546
1907,6,1907.458,24.693,0.524
1907,7,1907.542,24.285,0.463
1907,8,1907.625,24.246,0.440
1907,9,1907.708,23.848,0.529
1907,10,1907.792,24.172,0.541
1907,11,1907.875,23.848,0.492
1907,12,1907.958,24.117,0.522
1908,1,1908.042,23.937,0.539
1908,2,1908.125,24.484,0.523
1908,3,1908.208,24.156,0.556
