# Monthly average temperature data for Paraguay.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1855,5,1855.375,23.062,1.380
1855,6,1855.458,22.259,1.870
1855,7,1855.542,22.499,1.420
1855,8,1855.625,23.079,1.342
1855,9,1855.708,22.346,1.311
1855,10,1855.792,21.935,1.353
1855,11,1855.875,22.458,1.330
1855,12,1855.958,20.647,1.749
1856,1,1856.042,22.854,1.436
1856,2,1856.125,21.800,1.848
1856,3,1856.208,21.529,1.841
1856,4,1856.292,22.752,1.883
1856,5,1856.375,21.850,1.797
1856,6,1856.458,23.578,1.544
1856,7,1856.542,23.129,1.515
1856,8,1856.625,22.192,1.703
1856,9,1856.708,21.948,1.371
1856,10,1856.792,22.062,1.175
1856,11,1856.875,23.270,1.300
1856,12,1856.958,22.220,1.486
1857,1,1857.042,22.986,1.743
1857,2,1857.125,22.281,1.464
1857,3,1857.208,22.708,1.814
1857,4,1857.292,21.337,2.070
1857,5,1857.375,22.310,1.344
1857,6,1857.458,23.953,1.410
1857,7,1857.542,23.696,1.750
1857,8,1857.625,22.507,1.995
1857,9,1857.708,22.233,2.015
1857,10,1857.792,21.747,2.319
1857,11,1857.875,23.964,1.317
1857,12,1857.958,22.309,1.607
1858,1,1858.042,23.034,2.072
1858,2,1858.125,23.003,1.505
1858,3,1858.208,22.638,1.189
1858,4,1858.292,23.483,1.237
1858,5,1858.375,22.494,1.272
1858,6,1858.458,22.305,1.189
1858,7,1858.542,21.689,1.927
1858,8,1858.625,23.449,1.619
1858,9,1858.708,22.621,1.571
1858,10,1858.792,21.024,2.193
1858,11,1858.875,22.005,1.661
1858,12,1858.958,20.826,1.493
1859,1,1859.042,21.617,1.419
1859,2,1859.125,22.223,1.902
1859,3,1859.208,23.262,1.811
1859,4,1859.292,24.302,1.525
1859,5,1859.375,23.410,1.301
1859,6,1859.458,23.795,1.398
1859,7,1859.542,24.178,1.884
1859,8,1859.625,22.788,1.233
1859,9,1859.708,22.554,1.127
1859,10,1859.792,24.194,2.795
1859,11,1859.875,22.870,1.336
1859,12,1859.958,22.517,1.522
1860,1,1860.042,23.201,1.468
1860,2,1860.125,22.748,1.214
1860,3,1860.208,21.858,1.763
1860,4,1860.292,23.123,2.059
1860,5,1860.375,22.374,1.748
1860,6,1860.458,23.195,1.365
1860,7,1860.542,24.279,1.750
1860,8,1860.625,25.021,2.282
1860,9,1860.708,23.713,1.573
1860,10,1860.792,23.476,1.469
1860,11,1860.875,22.355,1.270
1860,12,1860.958,21.339,1.434
1861,1,1861.042,21.415,2.104
1861,2,1861.125,22.836,1.527
1861,3,1861.208,22.338,1.890
1861,4,1861.292,24.080,2.116
1861,5,1861.375,22.264,1.360
1861,6,1861.458,22.141,1.395
1861,7,1861.542,22.089,1.257
1861,8,1861.625,24.969,1.815
1861,9,1861.708,22.556,1.305
1861,10,1861.792,21.643,1.188
1861,11,1861.875,22.765,1.642
1861,12,1861.958,22.725,2.808
1862,1,1862.042,22.361,2.613
1862,2,1862.125,22.151,1.465
1862,3,1862.208,22.934,1.481
1862,4,1862.292,23.886,2.073
1862,5,1862.375,23.722,1.392
1862,6,1862.458,23.878,1.642
1862,7,1862.542,21.971,1.280
1862,8,1862.625,21.947,1.391
1862,9,1862.708,21.630,1.263
1862,10,1862.792,22.874,2.141
1862,11,1862.875,22.741,1.538
1862,12,1862.958,22.463,2.009
1863,1,1863.042,23.260,1.602
1863,2,1863.125,22.786,2.325
1863,3,1863.208,21.853,1.396
1863,4,1863.292,23.360,1.538
1863,5,1863.375,22.204,1.231
1863,6,1863.458,23.130,1.431
1863,7,1863.542,22.794,1.318
1863,8,1863.625,22.239,1.515
1863,9,1863.708,22.373,1.728
1863,10,1863.792,22.120,1.217
1863,11,1863.875,22.643,1.352
1863,12,1863.958,22.500,2.350
1864,1,1864.042,21.927,1.874
1864,2,1864.125,22.912,1.950
1864,3,1864.208,22.539,1.683
1864,4,1864.292,22.924,1.987
1864,5,1864.375,23.055,1.717
1864,6,1864.458,23.213,1.715
1864,7,1864.542,22.919,1.749
1864,8,1864.625,22.255,1.743
1864,9,1864.708,22.472,1.624
1864,10,1864.792,22.713,1.532
1864,11,1864.875,22.728,1.683
1864,12,1864.958,22.207,1.488
1865,1,1865.042,22.905,1.732
1865,2,1865.125,22.457,1.469
1865,3,1865.208,22.295,1.463
1865,4,1865.292,22.950,1.585
1865,5,1865.375,22.537,1.487
1865,6,1865.458,23.640,1.873
1865,7,1865.542,23.461,1.647
1865,8,1865.625,22.789,1.602
1865,9,1865.708,22.680,1.584
1865,10,1865.792,23.618,1.484
1865,11,1865.875,23.455,1.537
1865,12,1865.958,22.749,1.765
1866,1,1866.042,23.379,1.739
1866,2,1866.125,22.201,1.940
1866,3,1866.208,22.637,2.265
1866,4,1866.292,23.142,1.702
1866,5,1866.375,23.229,1.599
1866,6,1866.458,22.415,1.515
1866,7,1866.542,23.941,1.447
1866,8,1866.625,23.252,1.563
1866,9,1866.708,23.383,1.524
1866,10,1866.792,22.456,1.509
1866,11,1866.875,22.735,1.549
1866,12,1866.958,22.714,1.617
