# Monthly average temperature data for Peru.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1892,1,1892.042,18.536,1.183
1892,2,1892.125,18.705,1.034
1892,3,1892.208,18.771,0.588
1892,4,1892.292,18.999,0.508
1892,5,1892.375,19.376,0.681
1892,6,1892.458,20.432,2.126
1893,1,1893.042,17.724,1.568
1893,2,1893.125,18.634,1.348
1893,3,1893.208,18.915,0.586
1893,4,1893.292,19.394,0.984
1893,5,1893.375,18.927,0.582
1893,6,1893.458,18.779,2.033
1893,7,1893.542,19.265,1.844
1893,8,1893.625,19.359,1.308
1893,9,1893.708,19.586,0.719
1893,10,1893.792,19.386,0.970
1893,11,1893.875,18.696,1.079
1893,12,1893.958,19.139,2.297
1894,1,1894.042,18.210,1.352
1894,2,1894.125,18.642,1.416
1894,3,1894.208,18.700,1.593
1894,4,1894.292,18.878,0.845
1894,5,1894.375,19.665,0.656
1894,6,1894.458,20.386,2.525
1894,7,1894.542,20.471,1.846
1894,9,1894.708,19.899,0.875
1894,11,1894.875,19.088,1.302
1894,12,1894.958,18.890,1.584
1895,1,1895.042,18.539,0.795
1895,2,1895.125,18.143,1.195
1895,3,1895.208,18.640,1.176
1895,4,1895.292,19.241,1.044
1895,5,1895.375,19.772,0.969
1895,6,1895.458,21.051,2.139
1895,7,1895.542,20.950,1.996
1895,8,1895.625,20.326,0.982
1895,9,1895.708,20.533,1.171
1895,10,1895.792,19.586,0.738
1895,11,1895.875,19.182,0.688
1895,12,1895.958,19.340,1.135
1896,4,1896.292,19.201,0.798
1896,5,1896.375,19.885,0.777
1896,7,1896.542,20.653,1.064
1896,8,1896.625,20.242,0.813
1896,9,1896.708,19.989,0.784
1897,1,1897.042,19.342,0.992
1897,2,1897.125,19.386,0.838
1897,3,1897.208,19.578,1.091
1897,5,1897.375,19.970,0.888
1897,6,1897.458,19.922,0.855
1897,7,1897.542,19.458,1.148
1897,9,1897.708,19.583,0.802
1897,10,1897.792,19.714,0.892
1897,11,1897.875,19.015,0.789
1897,12,1897.958,19.426,0.757
1899,1,1899.042,19.731,0.891
1899,2,1899.125,18.750,0.755
1899,3,1899.208,18.969,0.875
1899,4,1899.292,19.952,1.169
1899,5,1899.375,19.470,0.872
1899,6,1899.458,19.907,0.770
1899,7,1899.542,19.550,1.085
1899,8,1899.625,19.673,0.868
1899,9,1899.708,19.698,0.774
1899,10,1899.792,19.511,1.296
1899,11,1899.875,20.157,0.858
1899,12,1899.958,19.229,0.927
1900,1,1900.042,19.512,0.783
1900,2,1900.125,20.101,1.194
1900,3,1900.208,20.579,0.972
1900,4,1900.292,20.247,1.130
1900,5,1900.375,20.100,0.767
1900,6,1900.458,20.021,1.086
1900,7,1900.542,19.824,0.831
1900,8,1900.625,19.837,0.658
1900,9,1900.708,19.671,0.728
1900,10,1900.792,20.210,0.753
1900,11,1900.875,20.019,0.844
1900,12,1900.958,20.213,0.655
1901,1,1901.042,19.806,0.721
1901,2,1901.125,19.854,1.029
1901,3,1901.208,19.714,0.741
1901,4,1901.292,19.911,1.149
1901,5,1901.375,19.629,1.639
1901,6,1901.458,19.632,0.884
1901,7,1901.542,19.666,0.880
1901,8,1901.625,20.015,1.056
1901,9,1901.708,19.554,0.825
1901,10,1901.792,19.472,0.771
1901,11,1901.875,19.392,0.527
1901,12,1901.958,19.371,0.918
1902,1,1902.042,19.417,0.658
1902,2,1902.125,18.913,0.908
1902,3,1902.208,19.080,1.083
1902,4,1902.292,19.446,0.929
1902,5,1902.375,19.775,1.114
1902,6,1902.458,19.789,1.142
1902,7,1902.542,20.587,0.620
1902,8,1902.625,20.138,0.793
1902,9,1902.708,19.765,0.793
1902,10,1902.792,19.707,0.677
1902,11,1902.875,19.952,1.032
1902,12,1902.958,19.664,1.094
1903,1,1903.042,19.889,0.784
1903,2,1903.125,20.494,1.326
1903,3,1903.208,19.853,0.617
1903,4,1903.292,19.401,0.613
1903,5,1903.375,19.007,0.841
1903,6,1903.458,19.227,0.540
1903,7,1903.542,19.637,0.909
1903,8,1903.625,19.098,0.514
1903,9,1903.708,19.097,1.294
1903,10,1903.792,19.334,0.648
1903,11,1903.875,19.177,0.534
1903,12,1903.958,18.824,0.845
1904,1,1904.042,19.012,1.040
1904,2,1904.125,18.931,0.887
1904,3,1904.208,18.964,0.856
1904,4,1904.292,18.878,0.759
1904,5,1904.375,19.152,1.467
1904,6,1904.458,20.078,1.035
1904,7,1904.542,19.562,1.221
1904,8,1904.625,19.899,1.192
1904,9,1904.708,19.196,0.606
1904,10,1904.792,19.463,0.551
1904,11,1904.875,19.950,0.850
1904,12,1904.958,19.815,0.716
1905,1,1905.042,19.712,0.791
1905,2,1905.125,19.734,1.492
1905,3,1905.208,19.218,0.619
1905,4,1905.292,19.808,0.598
1905,5,1905.375,20.067,1.048
1905,6,1905.458,20.509,1.519
1905,7,1905.542,20.710,1.757
1905,8,1905.625,19.893,1.311
1905,9,1905.708,19.434,0.653
1905,10,1905.792,19.734,0.498
1905,11,1905.875,20.118,0.576
1905,12,1905.958,19.581,0.545
1906,1,1906.042,19.701,0.695
1906,2,1906.125,19.469,0.733
1906,3,1906.208,19.465,0.636
1906,4,1906.292,20.051,0.575
1906,5,1906.375,19.633,0.582
1906,6,1906.458,19.475,1.286
1906,7,1906.542,19.812,0.632
1906,8,1906.625,19.718,0.639
1906,9,1906.708,19.682,0.751
1906,10,1906.792,19.375,0.673
1906,11,1906.875,19.743,1.043
1906,12,1906.958,19.009,0.635
1907,1,1907.042,19.048,0.701
1907,2,1907.125,18.652,0.821
1907,3,1907.208,19.598,0.789
1907,4,1907.292,19.272,0.594
1907,5,1907.375,19.350,0.604
1907,6,1907.458,19.294,0.568
1907,7,1907.542,19.474,0.702
1907,8,1907.625,19.750,0.735
1907,9,1907.708,19.630,0.619
1907,10,1907.792,19.412,0.646
1907,11,1907.875,19.276,1.024
1907,12,1907.958,19.276,1.068
1908,1,1908.042,19.492,0.902
1908,2,1908.125,19.136,0.945
1908,3,1908.208,19.325,0.907
1908,4,1908.292,19.372,1.044
1908,5,1908.375,19.206,1.587
1908,6,1908.458,19.793,1.129
1908,7,1908.542,19.703,0.832
1908,8,1908.625,19.325,0.741
1908,9,1908.708,19.176,0.818
1908,10,1908.792,18.760,0.807
1908,11,1908.875,18.786,0.770
