# Monthly average temperature data for Philippines.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1880,1,1880.042,25.455,0.692
1880,2,1880.125,25.769,0.911
1880,3,1880.208,25.997,0.777
1880,4,1880.292,25.578,0.774
1880,5,1880.375,26.214,0.862
1880,6,1880.458,26.115,0.829
1880,7,1880.542,26.490,0.859
1880,8,1880.625,26.360,1.028
1880,9,1880.708,26.274,0.890
1880,10,1880.792,26.394,0.974
1880,11,1880.875,25.629,0.876
1880,12,1880.958,24.999,1.145
1881,1,1881.042,25.857,1.725
1881,2,1881.125,26.284,2.176
1881,3,1881.208,25.345,1.144
1881,4,1881.292,26.059,1.376
1881,5,1881.375,26.001,1.095
1881,6,1881.458,25.705,0.826
1881,7,1881.542,26.099,0.780
1881,8,1881.625,25.969,1.045
1882,1,1882.042,27.113,0.727
1882,2,1882.125,26.095,0.851
1882,3,1882.208,25.938,0.756
1882,4,1882.292,26.062,0.679
1882,5,1882.375,26.179,0.933
1882,6,1882.458,25.958,0.622
1882,7,1882.542,25.979,0.628
1882,8,1882.625,26.195,0.756
1882,9,1882.708,26.663,0.737
1882,10,1882.792,26.526,0.832
1882,11,1882.875,25.672,0.919
1882,12,1882.958,25.427,1.657
1883,1,1883.042,25.948,0.717
1883,2,1883.125,25.656,1.115
1883,3,1883.208,26.039,0.931
1883,4,1883.292,26.339,0.873
1883,5,1883.375,26.321,0.638
1883,6,1883.458,26.280,0.609
1883,7,1883.542,26.536,0.953
1883,8,1883.625,25.947,0.730
1883,9,1883.708,26.002,0.788
1883,10,1883.792,26.231,0.611
1883,11,1883.875,25.673,0.947
1883,12,1883.958,25.365,1.004
1884,1,1884.042,26.472,0.888
1884,2,1884.125,25.514,0.637
1884,3,1884.208,25.544,0.857
1884,4,1884.292,25.131,0.742
1884,5,1884.375,25.013,0.571
1884,6,1884.458,25.205,0.870
1884,7,1884.542,25.705,0.980
1884,8,1884.625,25.834,0.805
