# Monthly average temperature data for Poland.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1750,1,1750.042,8.700,1.741
1750,2,1750.125,9.810,2.526
1750,3,1750.208,10.303,2.833
1750,4,1750.292,8.281,1.492
1750,5,1750.375,6.675,1.418
1750,6,1750.458,7.553,1.527
1750,7,1750.542,8.548,1.807
1750,8,1750.625,8.379,1.593
1750,9,1750.708,7.196,1.839
1750,10,1750.792,4.953,1.334
1750,11,1750.875,2.357,1.489
1750,12,1750.958,4.830,1.714
1751,1,1751.042,6.493,1.775
1751,2,1751.125,4.365,1.901
1751,3,1751.208,9.364,1.606
1751,4,1751.292,6.255,1.328
1751,5,1751.375,7.026,1.367
1751,6,1751.458,6.739,1.475
1751,7,1751.542,8.499,1.702
1751,8,1751.625,8.452,1.294
1751,9,1751.708,7.180,1.341
1751,10,1751.792,6.010,1.382
1751,11,1751.875,4.780,1.439
1751,12,1751.958,6.282,1.973
1752,1,1752.042,6.672,1.714
1752,2,1752.125,8.785,1.594
1752,3,1752.208,8.613,1.244
1752,4,1752.292,6.967,1.499
1752,5,1752.375,6.861,1.190
1752,6,1752.458,8.360,1.091
1752,7,1752.542,8.976,1.302
1752,8,1752.625,7.625,1.593
1752,10,1752.792,7.231,1.318
1752,11,1752.875,7.766,1.362
1752,12,1752.958,7.228,1.695
1753,1,1753.042,6.718,1.651
1753,2,1753.125,7.179,1.894
1753,3,1753.208,9.407,1.571
1753,4,1753.292,8.208,2.097
1753,5,1753.375,7.640,1.042
1753,6,1753.458,7.186,1.843
1753,7,1753.542,7.397,1.762
1753,8,1753.625,6.756,1.357
1753,9,1753.708,7.256,1.187
1753,10,1753.792,7.659,1.291
1753,11,1753.875,5.976,1.170
1753,12,1753.958,3.515,2.413
1754,1,1754.042,7.237,1.581
1754,2,1754.125,6.142,1.779
1754,3,1754.208,5.157,1.191
1754,4,1754.292,8.029,1.418
1754,5,1754.375,8.642,1.240
1754,6,1754.458,7.767,1.580
1754,7,1754.542,6.571,2.121
1754,8,1754.625,6.798,1.721
1754,9,1754.708,6.423,1.452
1754,10,1754.792,7.914,1.342
1754,11,1754.875,7.294,2.287
1754,12,1754.958,7.439,1.433
1755,1,1755.042,4.494,2.366
1755,2,1755.125,3.359,3.096
1755,3,1755.208,6.574,1.751
1755,4,1755.292,9.473,1.645
1755,5,1755.375,8.029,1.352
1755,6,1755.458,9.321,1.786
1755,7,1755.542,8.441,2.400
1755,8,1755.625,6.256,1.510
1755,9,1755.708,6.133,1.098
1755,10,1755.792,7.404,1.184
1755,11,1755.875,6.293,2.109
1755,12,1755.958,7.534,2.103
1756,1,1756.042,9.957,2.367
1756,2,1756.125,10.795,4.335
1756,3,1756.208,8.652,3.013
1756,4,1756.292,6.895,2.696
1756,5,1756.375,6.773,5.705
1756,6,1756.458,9.260,1.984
1756,7,1756.542,8.531,7.680
1756,8,1756.625,6.691,2.946
1756,9,1756.708,7.654,1.711
1756,10,1756.792,7.230,8.914
1756,11,1756.875,4.878,1.415
1756,12,1756.958,5.202,1.554
1757,1,1757.042,5.961,1.738
1757,2,1757.125,9.479,3.547
1757,3,1757.208,7.918,4.354
1757,4,1757.292,9.336,1.778
1757,5,1757.375,7.596,1.972
1757,6,1757.458,9.570,1.892
1757,7,1757.542,11.241,2.697
1757,8,1757.625,8.502,4.285
1757,9,1757.708,6.895,6.050
1757,10,1757.792,2.875,5.683
1757,11,1757.875,7.265,7.917
1757,12,1757.958,5.248,2.313
1758,1,1758.042,3.588,5.920
1758,2,1758.125,6.039,3.117
1758,3,1758.208,6.956,1.649
1758,4,1758.292,6.502,3.363
1758,5,1758.375,7.918,5.671
1758,6,1758.458,7.710,4.128
1758,7,1758.542,6.402,4.254
1758,8,1758.625,6.914,6.175
1758,9,1758.708,5.344,2.194
1758,10,1758.792,4.518,1.185
1758,11,1758.875,6.655,1.500
1758,12,1758.958,6.664,1.534
1759,1,1759.042,10.374,1.767
1759,2,1759.125,10.213,5.965
1759,3,1759.208,8.531,3.706
1759,4,1759.292,7.210,4.927
1759,5,1759.375,5.829,4.054
1759,6,1759.458,8.536,4.039
1759,7,1759.542,8.637,4.836
1759,8,1759.625,8.107,1.316
1759,9,1759.708,6.683,2.726
1759,10,1759.792,6.663,6.337
1759,11,1759.875,3.919,6.809
1759,12,1759.958,3.001,2.282
1760,1,1760.042,4.328,4.941
1760,2,1760.125,7.048,8.423
1760,3,1760.208,5.927,2.535
1760,4,1760.292,7.186,1.516
1760,5,1760.375,7.879,2.744
1760,6,1760.458,8.166,1.496
1760,7,1760.542,7.485,1.398
1760,8,1760.625,7.163,6.503
1760,9,1760.708,7.912,1.860
1760,10,1760.792,6.469,1.565
1760,11,1760.875,6.698,6.697
1760,12,1760.958,7.501,3.128
1761,1,1761.042,7.201,1.809
1761,2,1761.125,8.365,3.647
1761,3,1761.208,10.107,1.650
1761,4,1761.292,7.455,1.814
1761,5,1761.375,9.291,2.672
1761,6,1761.458,9.760,2.443
1761,7,1761.542,8.547,1.597
1761,8,1761.625,9.086,2.705
1761,9,1761.708,9.165,3.662
1761,10,1761.792,4.357,3.069
1761,11,1761.875,6.583,9.376
1761,12,1761.958,3.048,1.684
1762,1,1762.042,9.694,8.260
1762,2,1762.125,8.359,2.248
1762,3,1762.208,5.288,6.033
1762,4,1762.292,9.445,2.986
1762,5,1762.375,8.061,4.713
1762,6,1762.458,8.097,3.620
1762,7,1762.542,7.592,3.900
1762,8,1762.625,6.330,3.025
1762,9,1762.708,6.454,2.962
1762,10,1762.792,4.173,5.683
1762,11,1762.875,7.075,2.069
1762,12,1762.958,4.573,2.134
1763,1,1763.042,3.735,7.027
1763,2,1763.125,8.813,7.095
1763,3,1763.208,5.546,2.968
1763,4,1763.292,6.492,4.133
1763,5,1763.375,7.131,5.382
1763,6,1763.458,6.761,6.347
1763,7,1763.542,8.838,2.165
1763,8,1763.625,8.272,4.887
1763,9,1763.708,5.924,5.048
1763,10,1763.792,4.887,1.400
1763,11,1763.875,5.599,3.722
1763,12,1763.958,8.496,3.190
1764,1,1764.042,8.889,3.090
1764,2,1764.125,11.321,3.120
1764,3,1764.208,7.154,3.033
1764,4,1764.292,7.042,7.139
1764,5,1764.375,8.908,1.800
1764,6,1764.458,5.814,5.368
1764,7,1764.542,9.089,5.042
1764,8,1764.625,6.508,1.637
1764,9,1764.708,5.876,5.216
1764,10,1764.792,6.105,2.897
1764,11,1764.875,5.537,3.820
1764,12,1764.958,6.943,3.273
1765,1,1765.042,9.700,10.032
1765,2,1765.125,5.957,4.157
1765,3,1765.208,9.578,2.829
1765,4,1765.292,8.514,1.853
1765,5,1765.375,6.193,1.951
1765,6,1765.458,6.822,4.426
1765,7,1765.542,6.013,4.567
1765,8,1765.625,7.963,3.050
1765,9,1765.708,6.294,1.630
1765,10,1765.792,7.089,1.526
1765,11,1765.875,7.134,3.292
1765,12,1765.958,6.127,2.075
1766,1,1766.042,4.805,7.816
1766,2,1766.125,6.604,2.982
1766,3,1766.208,8.513,2.512
1766,4,1766.292,8.869,3.956
1766,5,1766.375,8.647,3.445
1766,6,1766.458,7.754,7.748
1766,7,1766.542,6.870,4.632
1766,8,1766.625,6.976,3.650
1766,9,1766.708,7.541,3.166
1766,10,1766.792,6.047,2.889
1766,11,1766.875,7.976,3.968
1766,12,1766.958,5.502,4.208
1767,1,1767.042,0.643,7.150
1767,2,1767.125,8.723,8.544
1767,3,1767.208,7.970,7.754
1767,4,1767.292,4.746,6.625
1767,5,1767.375,6.154,2.521
1767,6,1767.458,6.601,4.616
