# Monthly average temperature data for Portugal.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1780,1,1780.042,12.998,4.293
1780,2,1780.125,14.112,5.204
1780,3,1780.208,15.200,2.617
1780,4,1780.292,17.165,2.223
1780,5,1780.375,16.474,2.134
1780,6,1780.458,15.080,5.540
1780,7,1780.542,15.324,4.262
1780,8,1780.625,14.312,5.740
1780,9,1780.708,13.413,2.266
1780,10,1780.792,14.537,1.867
1780,11,1780.875,13.761,1.886
1780,12,1780.958,13.481,2.967
1781,1,1781.042,13.876,4.995
1781,2,1781.125,14.555,6.670
1781,3,1781.208,14.560,1.886
1781,4,1781.292,14.523,3.386
1781,5,1781.375,14.973,2.949
1781,6,1781.458,13.255,2.094
1781,7,1781.542,14.812,2.109
1781,8,1781.625,15.000,1.839
1781,9,1781.708,12.764,3.413
1781,10,1781.792,14.011,1.729
1781,11,1781.875,15.896,2.995
1781,12,1781.958,15.807,4.359
1782,1,1782.042,13.801,3.174
1782,2,1782.125,11.957,4.455
1782,3,1782.208,13.355,5.660
1782,4,1782.292,13.531,2.353
1782,5,1782.375,14.237,2.033
1782,6,1782.458,15.543,1.914
1782,7,1782.542,14.617,2.194
1782,8,1782.625,15.289,2.050
1782,9,1782.708,14.487,2.074
1782,10,1782.792,13.225,4.322
1782,11,1782.875,12.135,3.762
1782,12,1782.958,13.023,3.445
1783,1,1783.042,12.749,2.852
1783,2,1783.125,15.158,1.793
1783,3,1783.208,13.783,1.991
1783,4,1783.292,14.728,2.103
1783,5,1783.375,13.988,4.033
1783,6,1783.458,15.275,3.963
1783,7,1783.542,14.880,2.138
1783,8,1783.625,14.363,2.171
1783,9,1783.708,12.109,3.988
1783,10,1783.792,13.348,4.138
1783,11,1783.875,12.799,4.975
1783,12,1783.958,15.323,2.308
1784,1,1784.042,14.002,6.875
1784,2,1784.125,12.952,6.294
1784,3,1784.208,14.652,3.521
1784,4,1784.292,13.941,2.708
1784,5,1784.375,14.310,1.801
1784,6,1784.458,15.102,2.576
1784,7,1784.542,14.961,2.636
1784,8,1784.625,14.340,3.338
1784,9,1784.708,13.775,3.829
1784,10,1784.792,12.735,1.746
1784,11,1784.875,12.989,3.809
1784,12,1784.958,12.456,2.631
1785,1,1785.042,15.078,2.312
1785,2,1785.125,12.616,4.812
1785,3,1785.208,11.414,3.897
1785,4,1785.292,13.787,3.552
1785,5,1785.375,14.297,1.931
1785,6,1785.458,16.318,3.860
1785,7,1785.542,14.483,2.469
1785,8,1785.625,14.596,1.997
1785,9,1785.708,14.321,2.068
1785,10,1785.792,14.088,3.922
1785,11,1785.875,14.103,1.863
1785,12,1785.958,13.163,1.982
1786,1,1786.042,13.412,2.532
1786,2,1786.125,13.959,3.297
1786,3,1786.208,14.540,3.477
1786,4,1786.292,14.928,2.181
1786,5,1786.375,15.224,2.526
1786,6,1786.458,15.457,2.988
1786,7,1786.542,14.887,2.253
1786,8,1786.625,14.735,2.048
1786,9,1786.708,14.345,1.971
1786,10,1786.792,13.623,2.120
1786,11,1786.875,12.732,1.996
1786,12,1786.958,12.469,2.927
1787,1,1787.042,14.328,6.324
1787,2,1787.125,15.448,2.612
1787,3,1787.208,15.409,3.258
1787,4,1787.292,14.132,2.755
1787,5,1787.375,13.937,1.447
1787,6,1787.458,14.450,2.294
1787,7,1787.542,12.904,2.269
1787,8,1787.625,14.283,1.452
