# Monthly average temperature data for Puerto Rico.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1824,1,1824.042,25.543,1.406
1824,2,1824.125,24.795,2.513
1824,3,1824.208,25.574,1.044
1824,4,1824.292,25.940,1.041
1824,5,1824.375,25.522,1.157
1824,6,1824.458,25.444,2.128
1824,7,1824.542,25.590,1.611
1824,8,1824.625,24.585,1.176
1824,9,1824.708,24.603,2.395
1824,10,1824.792,24.346,0.766
1824,11,1824.875,25.274,0.800
1824,12,1824.958,25.400,2.285
1825,1,1825.042,25.558,1.909
1825,2,1825.125,25.548,1.115
1825,3,1825.208,25.553,1.306
1825,4,1825.292,25.899,0.920
1825,5,1825.375,25.571,1.135
1825,6,1825.458,25.501,1.288
1825,7,1825.542,25.278,1.931
1825,8,1825.625,24.732,2.092
1825,9,1825.708,24.505,1.964
1825,10,1825.792,24.411,0.932
1825,11,1825.875,25.176,2.035
1825,12,1825.958,24.881,1.091
1826,1,1826.042,24.961,1.204
1826,2,1826.125,25.058,1.626
1826,3,1826.208,24.989,2.377
1826,4,1826.292,25.650,1.578
1826,5,1826.375,25.604,1.057
1826,6,1826.458,25.080,1.441
1826,7,1826.542,25.472,1.687
1826,8,1826.625,24.711,1.458
1826,9,1826.708,24.876,1.421
1826,10,1826.792,24.684,1.064
1826,11,1826.875,25.143,1.743
1826,12,1826.958,26.062,1.577
1827,1,1827.042,25.378,2.874
1827,2,1827.125,25.856,2.558
1827,3,1827.208,25.851,1.877
1827,4,1827.292,26.255,2.016
1827,5,1827.375,26.043,1.617
1827,7,1827.542,25.834,1.394
1827,8,1827.625,25.007,1.878
1827,9,1827.708,24.501,1.521
1827,10,1827.792,24.645,1.861
1827,11,1827.875,25.291,1.256
1827,12,1827.958,25.214,1.801
1828,1,1828.042,24.981,1.303
1828,2,1828.125,25.112,1.625
1828,3,1828.208,25.285,1.412
1828,4,1828.292,25.465,2.285
1828,5,1828.375,25.516,1.809
1828,6,1828.458,25.580,1.845
1828,7,1828.542,25.512,1.625
1828,8,1828.625,25.399,0.809
1828,9,1828.708,24.450,1.150
1828,11,1828.875,25.371,1.339
1828,12,1828.958,25.291,2.560
1829,1,1829.042,24.467,1.900
1829,2,1829.125,24.754,1.649
1829,3,1829.208,24.884,1.020
1829,4,1829.292,25.441,0.977
1829,5,1829.375,25.378,1.681
1829,6,1829.458,25.009,1.667
1829,7,1829.542,25.516,1.055
1829,8,1829.625,25.234,1.183
1829,9,1829.708,24.765,1.047
1829,11,1829.875,24.813,1.478
1829,12,1829.958,24.673,1.451
1850,7,1850.542,25.742,1.090
1852,5,1852.375,25.463,0.839
1852,6,1852.458,25.425,0.804
1852,7,1852.542,25.176,1.047
1852,8,1852.625,25.117,1.111
1852,9,1852.708,24.907,0.802
1852,10,1852.792,24.326,1.224
1852,11,1852.875,24.499,1.100
1852,12,1852.958,24.928,1.293
1853,1,1853.042,25.021,1.569
1853,2,1853.125,23.759,2.101
1853,3,1853.208,25.247,1.859
1853,4,1853.292,25.426,1.198
1853,5,1853.375,25.095,0.653
1853,6,1853.458,25.156,0.956
1853,7,1853.542,25.778,0.826
1853,8,1853.625,24.933,1.511
1853,9,1853.708,24.809,0.595
1853,10,1853.792,25.089,0.709
1853,11,1853.875,24.965,1.851
1853,12,1853.958,25.310,1.917
1854,1,1854.042,25.273,1.540
1854,2,1854.125,24.517,0.970
1854,3,1854.208,25.242,0.632
1854,4,1854.292,24.557,1.020
1854,5,1854.375,25.014,0.739
1854,6,1854.458,25.029,0.810
1854,7,1854.542,25.409,0.836
1854,8,1854.625,24.852,0.947
1854,9,1854.708,24.488,0.750
1854,10,1854.792,25.320,0.710
1854,11,1854.875,24.525,0.690
1854,12,1854.958,25.237,3.083
1855,1,1855.042,24.907,0.902
1855,2,1855.125,24.846,1.619
1855,3,1855.208,25.007,1.411
1855,4,1855.292,24.748,0.679
1855,5,1855.375,24.975,0.776
1855,6,1855.458,25.702,0.941
1855,7,1855.542,25.029,0.606
1855,8,1855.625,25.736,0.789
1855,9,1855.708,24.991,0.535
1855,10,1855.792,25.000,1.545
1855,11,1855.875,25.414,0.826
1855,12,1855.958,25.578,1.602
1856,1,1856.042,26.312,1.097
1856,2,1856.125,25.464,1.537
1856,3,1856.208,25.497,1.076
1856,4,1856.292,25.033,0.587
1856,5,1856.375,25.512,0.554
1856,6,1856.458,25.655,1.453
1856,7,1856.542,25.911,1.087
1856,8,1856.625,25.290,0.898
1856,9,1856.708,24.826,0.842
1856,10,1856.792,25.050,0.641
1856,11,1856.875,25.426,0.620
1856,12,1856.958,25.022,1.652
1857,1,1857.042,24.116,0.970
1857,2,1857.125,23.874,1.185
1857,3,1857.208,24.846,0.805
1857,4,1857.292,24.309,0.864
1857,5,1857.375,24.596,0.732
1857,6,1857.458,25.225,0.701
1857,7,1857.542,25.319,0.711
1857,8,1857.625,24.656,0.645
1857,9,1857.708,24.185,0.719
1857,10,1857.792,24.119,0.928
1857,11,1857.875,24.434,0.855
1857,12,1857.958,24.719,1.371
1858,1,1858.042,24.476,1.572
1858,2,1858.125,24.684,0.977
1858,3,1858.208,24.093,0.826
1858,4,1858.292,24.406,1.093
1858,5,1858.375,24.479,0.906
1858,6,1858.458,24.675,1.107
1858,7,1858.542,25.349,0.755
1858,8,1858.625,24.960,0.740
1858,9,1858.708,24.571,0.969
1858,10,1858.792,24.316,0.597
1858,11,1858.875,24.717,1.204
1858,12,1858.958,24.277,0.760
1859,1,1859.042,24.907,0.667
1859,2,1859.125,24.264,0.787
1859,3,1859.208,24.409,0.862
1859,4,1859.292,24.851,1.317
1859,5,1859.375,25.128,0.951
1859,6,1859.458,24.904,1.063
1859,7,1859.542,24.980,0.930
1859,8,1859.625,24.797,0.611
1859,9,1859.708,24.758,0.668
1859,10,1859.792,24.739,1.120
1859,11,1859.875,24.525,0.560
1859,12,1859.958,24.891,1.372
1860,1,1860.042,25.229,1.055
1860,2,1860.125,24.507,0.524
1860,3,1860.208,24.538,2.576
1860,4,1860.292,24.981,0.873
1860,5,1860.375,24.662,0.994
1860,6,1860.458,24.817,0.931
1860,7,1860.542,25.578,1.162
1860,8,1860.625,24.688,0.810
1860,9,1860.708,24.425,0.860
1860,10,1860.792,24.781,1.066
1860,11,1860.875,24.565,1.098
1860,12,1860.958,24.491,1.695
1861,1,1861.042,24.103,1.783
1861,2,1861.125,24.855,1.746
1861,3,1861.208,24.646,2.165
1861,4,1861.292,24.890,1.614
1861,5,1861.375,25.103,0.730
1861,6,1861.458,24.734,1.037
1861,7,1861.542,25.663,0.698
1861,8,1861.625,25.417,0.778
1861,9,1861.708,25.336,1.061
1861,10,1861.792,25.501,0.745
1861,11,1861.875,24.589,0.606
1861,12,1861.958,24.401,1.074
1862,1,1862.042,24.160,2.298
1862,2,1862.125,25.143,1.075
1862,3,1862.208,24.491,1.372
1862,4,1862.292,24.372,1.811
1862,5,1862.375,25.403,0.578
1862,6,1862.458,25.026,1.135
1862,7,1862.542,25.341,0.683
1862,8,1862.625,24.840,0.667
1862,9,1862.708,24.765,0.655
1862,10,1862.792,25.022,0.748
1862,11,1862.875,24.384,1.149
1862,12,1862.958,23.752,1.883
1863,1,1863.042,24.260,1.664
1863,2,1863.125,25.392,2.258
1863,3,1863.208,24.567,0.903
1863,4,1863.292,24.665,0.705
1863,5,1863.375,25.406,0.846
1863,6,1863.458,25.508,0.806
1863,7,1863.542,25.220,0.806
1863,8,1863.625,25.116,0.850
1863,9,1863.708,24.598,0.943
1863,10,1863.792,25.201,0.552
1863,11,1863.875,24.575,0.918
1863,12,1863.958,23.823,2.078
1864,1,1864.042,25.043,1.231
1864,2,1864.125,24.376,1.825
1864,3,1864.208,24.488,1.545
1864,4,1864.292,24.620,1.969
1864,5,1864.375,24.573,0.715
1864,6,1864.458,25.018,1.515
1864,7,1864.542,24.911,1.487
1864,8,1864.625,24.760,0.806
1864,9,1864.708,25.123,0.804
1864,10,1864.792,25.353,1.192
1864,11,1864.875,24.766,1.348
1864,12,1864.958,24.718,0.947
1865,1,1865.042,25.500,1.078
1865,2,1865.125,24.355,0.629
1865,3,1865.208,24.723,0.849
1865,4,1865.292,24.910,1.280
1865,5,1865.375,25.230,0.734
1865,6,1865.458,25.277,0.759
1865,7,1865.542,25.509,1.184
1865,8,1865.625,25.331,0.953
1865,9,1865.708,24.882,1.100
1865,10,1865.792,25.187,0.717
1865,11,1865.875,24.925,0.530
1865,12,1865.958,25.144,0.956
1866,1,1866.042,25.013,0.954
1866,2,1866.125,25.124,1.646
1866,3,1866.208,23.716,1.778
1866,4,1866.292,24.684,1.380
1866,5,1866.375,25.092,0.924
1866,6,1866.458,25.221,0.860
1866,7,1866.542,25.194,0.872
1866,8,1866.625,25.191,0.705
1866,9,1866.708,25.241,0.663
1866,10,1866.792,25.003,0.594
1866,11,1866.875,24.599,0.712
1866,12,1866.958,24.655,0.627
1867,1,1867.042,24.596,1.174
1867,2,1867.125,24.728,1.439
1867,3,1867.208,24.786,0.548
1867,4,1867.292,25.210,0.659
1867,5,1867.375,25.418,0.879
1867,6,1867.458,25.008,0.732
1867,7,1867.542,25.192,1.285
1867,8,1867.625,24.980,0.884
1867,9,1867.708,25.266,0.938
1867,10,1867.792,25.116,1.459
1867,11,1867.875,24.987,1.647
1867,12,1867.958,24.824,1.586
1868,1,1868.042,25.293,0.918
1868,2,1868.125,24.700,1.599
1868,3,1868.208,24.373,1.247
1868,4,1868.292,25.247,1.278
1868,5,1868.375,25.313,1.162
1868,6,1868.458,25.346,0.599
1868,7,1868.542,25.875,1.498
1868,8,1868.625,25.451,0.583
1868,9,1868.708,25.241,1.665
1868,10,1868.792,25.613,1.441
1868,11,1868.875,25.322,0.748
1868,12,1868.958,25.312,1.192
1869,1,1869.042,25.524,1.642
1869,2,1869.125,25.135,1.676
1869,3,1869.208,24.841,1.536
1869,4,1869.292,25.254,0.743
1869,5,1869.375,25.643,1.073
1869,6,1869.458,26.133,0.703
1869,7,1869.542,26.303,0.465
1869,8,1869.625,25.714,0.831
1869,9,1869.708,25.545,0.474
1869,10,1869.792,25.408,0.638
1869,11,1869.875,24.482,0.701
1869,12,1869.958,24.313,1.344
1870,1,1870.042,25.412,1.231
1870,2,1870.125,24.759,1.077
1870,3,1870.208,24.286,0.856
1870,4,1870.292,24.745,0.719
1870,5,1870.375,25.342,0.617
1870,6,1870.458,25.581,1.040
1870,7,1870.542,25.683,0.778
1870,8,1870.625,25.342,0.689
1870,9,1870.708,25.049,0.831
1870,10,1870.792,24.759,0.833
1870,11,1870.875,24.564,0.906
1870,12,1870.958,24.507,0.865
1871,1,1871.042,24.569,0.925
1871,2,1871.125,24.410,1.173
1871,3,1871.208,24.824,1.426
1871,4,1871.292,25.221,0.706
1871,5,1871.375,25.464,0.782
1871,6,1871.458,25.692,0.760
1871,7,1871.542,25.578,0.915
1871,8,1871.625,25.300,0.934
1871,9,1871.708,25.220,0.977
1871,10,1871.792,24.877,0.949
1871,11,1871.875,24.401,1.837
1871,12,1871.958,24.724,0.976
1872,1,1872.042,24.894,1.296
1872,2,1872.125,25.419,1.246
1872,3,1872.208,25.247,1.537
1872,4,1872.292,24.699,1.250
1872,5,1872.375,25.228,1.093
1872,6,1872.458,25.312,1.678
1872,7,1872.542,25.800,1.461
1872,8,1872.625,25.425,1.678
1872,9,1872.708,25.272,0.877
1872,10,1872.792,25.329,0.605
1872,11,1872.875,25.087,0.843
1872,12,1872.958,24.460,1.225
1873,1,1873.042,24.945,0.755
1873,2,1873.125,24.402,1.169
1873,3,1873.208,23.929,0.717
1873,4,1873.292,24.762,1.301
1873,5,1873.375,24.364,1.853
1873,6,1873.458,25.067,1.146
1873,7,1873.542,25.406,1.032
1873,8,1873.625,25.226,0.783
1873,9,1873.708,25.280,0.614
1873,10,1873.792,24.963,0.694
1873,11,1873.875,24.687,1.092
1873,12,1873.958,24.940,0.617
1874,1,1874.042,24.652,1.079
1874,2,1874.125,25.149,0.417
1874,3,1874.208,24.336,0.643
1874,4,1874.292,25.328,1.181
1874,5,1874.375,24.856,0.916
1874,6,1874.458,25.151,0.585
1874,7,1874.542,25.007,0.585
1874,8,1874.625,24.806,0.661
1874,9,1874.708,24.861,0.798
1874,10,1874.792,24.954,0.689
1874,11,1874.875,24.699,0.638
1874,12,1874.958,24.249,1.230
1875,1,1875.042,25.365,0.888
1875,2,1875.125,24.808,0.844
1875,3,1875.208,24.608,1.049
1875,4,1875.292,24.547,0.596
1875,5,1875.375,24.924,0.559
1875,6,1875.458,24.846,0.629
1875,7,1875.542,25.185,0.778
1875,8,1875.625,25.438,0.694
1875,9,1875.708,25.282,0.615
1875,10,1875.792,25.342,0.444
1875,11,1875.875,24.512,1.097
1875,12,1875.958,24.634,1.521
1876,1,1876.042,25.144,1.023
1876,2,1876.125,25.224,0.803
1876,3,1876.208,24.477,1.281
1876,4,1876.292,24.901,0.953
1876,5,1876.375,25.192,0.803
1876,6,1876.458,25.255,0.765
1876,7,1876.542,25.596,0.871
1876,8,1876.625,25.473,0.739
1876,9,1876.708,25.554,0.321
1876,10,1876.792,25.300,0.981
1876,11,1876.875,25.619,1.092
1876,12,1876.958,25.312,0.921
1877,1,1877.042,25.906,1.210
1877,2,1877.125,25.578,1.178
1877,3,1877.208,25.120,0.837
1877,4,1877.292,25.017,0.444
1877,5,1877.375,24.792,0.703
1877,6,1877.458,24.953,1.304
1877,7,1877.542,25.445,0.809
1877,8,1877.625,25.767,1.189
1877,9,1877.708,26.097,1.003
1877,10,1877.792,25.815,0.993
1877,11,1877.875,26.209,0.945
1877,12,1877.958,26.005,1.857
1878,1,1878.042,25.711,1.611
1878,2,1878.125,26.585,1.206
1878,3,1878.208,26.366,0.893
1878,4,1878.292,26.206,0.684
1878,5,1878.375,25.486,0.809
1878,6,1878.458,25.219,0.600
1878,7,1878.542,25.699,0.620
1878,8,1878.625,25.372,0.616
1878,9,1878.708,25.637,0.598
1878,10,1878.792,25.553,0.801
1878,11,1878.875,25.672,0.816
1878,12,1878.958,25.740,0.939
1879,1,1879.042,25.376,1.359
1879,2,1879.125,25.335,0.725
1879,3,1879.208,24.938,0.858
1879,4,1879.292,25.088,0.555
1879,5,1879.375,24.894,0.516
1879,6,1879.458,24.712,0.873
1879,7,1879.542,25.123,1.074
1879,8,1879.625,25.304,0.728
1879,9,1879.708,25.154,0.597
1879,10,1879.792,25.408,0.787
1879,11,1879.875,25.101,1.104
1879,12,1879.958,25.052,1.759
1880,1,1880.042,25.626,1.463
1880,2,1880.125,24.845,0.814
1880,3,1880.208,24.759,0.992
1880,4,1880.292,24.333,1.218
1880,5,1880.375,25.010,0.784
1880,6,1880.458,25.171,0.778
1880,7,1880.542,25.025,0.976
1880,8,1880.625,24.690,0.993
1880,9,1880.708,24.907,0.667
1880,10,1880.792,25.135,0.801
1880,11,1880.875,25.510,0.861
1880,12,1880.958,24.922,0.575
1881,1,1881.042,25.429,0.832
1881,2,1881.125,24.930,0.622
1881,3,1881.208,24.988,0.733
1881,4,1881.292,24.798,0.810
1881,5,1881.375,25.127,0.681
1881,6,1881.458,25.323,0.596
1881,7,1881.542,25.331,1.017
1881,8,1881.625,25.045,0.488
1881,9,1881.708,25.110,0.790
1881,10,1881.792,24.912,0.616
1881,11,1881.875,25.096,0.550
1881,12,1881.958,25.129,0.657
1882,1,1882.042,24.793,0.750
1882,2,1882.125,24.807,0.905
1882,3,1882.208,24.187,1.128
1882,4,1882.292,24.534,0.697
1882,5,1882.375,24.554,0.826
1882,6,1882.458,24.917,0.658
1882,7,1882.542,25.101,0.595
1882,8,1882.625,24.990,0.759
1882,9,1882.708,25.351,0.620
1882,10,1882.792,25.152,0.585
1882,11,1882.875,24.791,0.903
1882,12,1882.958,25.444,1.096
1883,1,1883.042,25.356,0.548
1883,2,1883.125,25.219,0.701
1883,3,1883.208,24.197,0.617
1883,4,1883.292,24.486,0.383
1883,5,1883.375,24.561,0.419
1883,6,1883.458,25.089,0.870
1883,7,1883.542,25.278,0.529
1883,8,1883.625,25.049,0.441
1883,9,1883.708,24.926,0.690
1883,10,1883.792,24.692,0.538
1883,11,1883.875,24.682,0.878
1883,12,1883.958,24.629,0.809
1884,1,1884.042,25.250,0.600
1884,2,1884.125,24.632,0.470
1884,3,1884.208,24.027,0.607
1884,4,1884.292,23.848,0.578
1884,5,1884.375,24.908,0.713
1884,6,1884.458,24.937,0.727
1884,7,1884.542,25.402,0.884
1884,8,1884.625,24.846,0.657
1884,9,1884.708,25.158,0.880
1884,10,1884.792,24.810,0.625
1884,11,1884.875,25.144,0.687
1884,12,1884.958,24.726,0.747
1885,1,1885.042,24.907,0.691
1885,2,1885.125,25.135,1.662
1885,3,1885.208,24.385,1.340
1885,4,1885.292,24.766,0.665
1885,5,1885.375,25.210,1.211
1885,6,1885.458,25.230,0.656
1885,7,1885.542,25.548,0.379
1885,8,1885.625,25.182,0.565
1885,9,1885.708,25.234,0.629
1885,10,1885.792,24.920,1.333
1885,11,1885.875,25.739,0.805
1885,12,1885.958,25.490,0.940
1886,1,1886.042,24.963,0.884
1886,2,1886.125,24.900,1.102
1886,3,1886.208,24.664,0.778
1886,4,1886.292,24.824,0.929
1886,5,1886.375,24.958,0.725
1886,6,1886.458,25.062,0.703
1886,7,1886.542,24.920,1.143
1886,8,1886.625,24.808,0.705
1886,9,1886.708,24.904,0.501
1886,10,1886.792,25.110,0.727
1886,11,1886.875,24.399,0.809
1886,12,1886.958,24.553,0.692
1887,1,1887.042,23.989,0.985
1887,2,1887.125,23.954,0.906
1887,3,1887.208,23.587,0.864
1887,4,1887.292,24.286,0.608
1887,5,1887.375,24.634,0.726
1887,6,1887.458,24.925,0.944
1887,7,1887.542,25.417,0.459
1887,8,1887.625,24.769,0.935
1887,9,1887.708,25.092,0.566
1887,10,1887.792,25.256,0.490
1887,11,1887.875,24.874,0.434
1887,12,1887.958,25.003,0.754
1888,1,1888.042,24.638,0.970
1888,2,1888.125,24.761,0.638
1888,3,1888.208,24.347,0.451
1888,4,1888.292,24.632,0.591
1888,5,1888.375,24.807,0.452
1888,6,1888.458,25.313,0.701
1888,7,1888.542,25.350,0.819
1888,8,1888.625,25.497,0.663
1888,9,1888.708,25.678,0.749
1888,10,1888.792,24.935,0.537
1888,11,1888.875,25.273,0.571
1888,12,1888.958,25.428,0.447
1889,1,1889.042,25.645,0.771
1889,2,1889.125,25.501,0.493
1889,3,1889.208,25.600,0.491
1889,4,1889.292,25.825,0.569
1889,5,1889.375,25.443,1.222
1889,6,1889.458,25.247,0.935
1889,7,1889.542,25.310,0.778
1889,8,1889.625,25.235,0.427
1889,9,1889.708,24.932,0.423
1889,10,1889.792,24.820,0.675
1889,11,1889.875,25.366,0.456
1889,12,1889.958,25.021,0.741
1890,1,1890.042,25.247,1.105
1890,2,1890.125,24.983,0.697
1890,3,1890.208,24.620,0.721
1890,4,1890.292,24.267,0.686
