# Monthly average temperature data for Qatar.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1878,1,1878.042,25.038,1.489
1878,2,1878.125,25.479,1.396
1878,3,1878.208,27.242,1.322
1878,4,1878.292,27.271,1.393
1878,5,1878.375,27.014,1.626
1878,6,1878.458,26.921,1.474
1878,7,1878.542,28.042,1.367
1878,8,1878.625,27.150,1.587
1878,9,1878.708,27.308,1.634
1878,10,1878.792,26.622,1.456
1878,11,1878.875,26.112,1.378
1879,1,1879.042,27.429,1.325
1879,2,1879.125,25.769,1.397
1879,3,1879.208,25.193,1.356
1879,4,1879.292,26.706,1.470
1879,5,1879.375,26.189,1.374
1879,6,1879.458,26.647,1.529
1879,7,1879.542,26.578,1.470
1879,8,1879.625,26.152,1.361
1879,9,1879.708,25.801,1.520
1879,10,1879.792,26.336,1.463
1879,11,1879.875,25.619,1.372
1879,12,1879.958,26.908,1.400
1880,4,1880.292,26.210,1.443
1880,8,1880.625,25.963,1.398
1880,9,1880.708,26.445,1.431
1880,10,1880.792,26.156,1.161
1880,11,1880.875,26.197,0.979
1880,12,1880.958,26.551,1.298
1881,1,1881.042,27.352,1.086
1881,2,1881.125,26.960,1.076
1881,3,1881.208,26.798,1.260
1881,4,1881.292,26.673,1.073
1881,5,1881.375,27.005,1.202
1881,6,1881.458,26.643,1.532
1881,7,1881.542,26.893,1.149
1881,8,1881.625,26.776,1.490
1881,9,1881.708,26.650,1.299
1881,10,1881.792,26.802,1.089
1881,11,1881.875,26.097,1.150
1881,12,1881.958,26.155,1.134
1882,1,1882.042,26.250,1.120
1882,2,1882.125,24.952,1.561
1882,3,1882.208,24.983,1.118
1882,4,1882.292,26.192,1.062
1882,5,1882.375,25.748,1.122
1882,6,1882.458,26.304,1.127
1882,7,1882.542,25.310,1.157
1882,8,1882.625,26.167,1.111
1882,9,1882.708,26.118,0.975
1882,10,1882.792,26.012,1.082
1882,11,1882.875,24.891,1.059
1882,12,1882.958,27.162,1.424
1883,1,1883.042,25.598,1.166
1883,2,1883.125,25.523,1.322
1883,3,1883.208,26.379,1.093
1883,4,1883.292,26.494,1.125
1883,5,1883.375,26.464,1.089
1883,6,1883.458,27.412,0.989
1883,7,1883.542,25.721,1.463
1883,8,1883.625,25.497,1.368
1883,9,1883.708,26.030,0.956
1883,10,1883.792,26.599,0.969
1883,11,1883.875,25.019,1.037
1883,12,1883.958,26.656,0.989
1884,1,1884.042,26.172,1.063
1884,2,1884.125,25.020,1.158
1884,3,1884.208,25.947,1.076
1884,4,1884.292,26.343,0.960
1884,5,1884.375,25.043,1.031
1884,6,1884.458,26.057,0.955
1884,7,1884.542,25.934,1.144
1884,8,1884.625,26.166,0.944
1884,9,1884.708,26.544,1.352
1884,10,1884.792,26.056,1.030
1884,11,1884.875,25.523,1.201
1884,12,1884.958,26.417,1.097
1885,1,1885.042,24.944,1.422
1885,2,1885.125,25.542,1.262
1885,3,1885.208,25.618,0.979
1885,4,1885.292,25.116,1.289
1885,5,1885.375,26.700,1.016
1885,6,1885.458,26.048,1.318
1885,7,1885.542,26.766,1.358
1885,8,1885.625,26.494,1.322
1885,9,1885.708,25.952,1.297
1885,10,1885.792,26.028,1.486
1885,11,1885.875,26.329,0.977
1885,12,1885.958,26.507,1.216
1886,1,1886.042,25.175,1.317
1886,2,1886.125,24.704,1.207
1886,3,1886.208,25.570,1.448
1886,4,1886.292,26.220,1.215
1886,5,1886.375,26.767,0.943
1886,6,1886.458,27.101,1.055
1886,7,1886.542,27.102,0.987
1886,8,1886.625,25.708,1.027
1886,9,1886.708,25.845,0.960
1886,10,1886.792,26.254,1.089
1886,11,1886.875,25.046,1.018
1886,12,1886.958,24.779,1.215
1887,1,1887.042,24.349,1.541
1887,2,1887.125,25.578,1.139
1887,3,1887.208,25.368,1.172
1887,4,1887.292,26.575,0.947
1887,5,1887.375,25.483,1.131
1887,6,1887.458,26.559,1.123
1887,7,1887.542,25.818,0.879
1887,8,1887.625,25.280,0.910
1887,9,1887.708,25.773,1.423
1887,10,1887.792,26.494,0.974
1887,11,1887.875,27.048,1.256
1887,12,1887.958,26.174,1.449
1888,1,1888.042,26.366,1.384
1888,2,1888.125,26.991,0.999
1888,3,1888.208,26.234,1.319
1888,4,1888.292,26.148,1.584
1888,5,1888.375,26.058,1.123
1888,6,1888.458,25.998,1.255
1888,7,1888.542,26.398,0.876
1888,8,1888.625,26.006,1.156
1888,9,1888.708,26.349,1.529
1888,10,1888.792,27.092,1.019
1888,11,1888.875,26.171,1.107
1888,12,1888.958,27.702,0.913
1889,1,1889.042,25.942,0.960
1889,2,1889.125,26.576,0.991
1889,3,1889.208,27.656,0.953
1889,4,1889.292,26.533,0.932
1889,5,1889.375,26.667,0.923
1889,6,1889.458,26.708,0.925
1889,7,1889.542,26.146,1.319
1889,8,1889.625,25.675,0.922
1889,9,1889.708,27.282,1.253
1889,10,1889.792,26.015,1.091
1889,11,1889.875,25.008,1.171
1889,12,1889.958,27.500,1.526
1890,1,1890.042,26.703,1.567
1890,2,1890.125,26.851,1.090
1890,3,1890.208,25.624,1.407
1890,4,1890.292,26.309,1.429
1890,5,1890.375,25.033,1.612
1890,6,1890.458,26.571,1.110
1890,7,1890.542,25.332,1.189
1890,8,1890.625,24.504,1.105
1890,9,1890.708,25.668,1.483
1890,10,1890.792,25.917,1.178
1890,11,1890.875,25.936,1.561
1890,12,1890.958,26.743,1.489
1891,1,1891.042,26.595,1.279
1891,2,1891.125,26.239,1.757
1891,3,1891.208,25.425,0.993
1891,4,1891.292,26.525,0.890
1891,5,1891.375,25.405,0.843
1891,6,1891.458,25.313,0.979
1891,7,1891.542,25.547,1.120
1891,8,1891.625,25.479,0.928
1891,9,1891.708,26.914,1.005
1891,10,1891.792,26.597,1.080
1891,11,1891.875,26.596,1.081
1891,12,1891.958,27.320,1.418
1892,1,1892.042,26.352,1.186
1892,2,1892.125,25.532,0.950
1892,3,1892.208,26.490,1.192
1892,4,1892.292,27.049,1.181
1892,5,1892.375,26.265,1.397
1892,6,1892.458,26.284,0.984
1892,7,1892.542,26.063,0.912
1892,8,1892.625,25.880,1.123
1892,9,1892.708,25.628,1.059
1892,10,1892.792,26.669,0.887
1892,11,1892.875,25.621,1.133
1892,12,1892.958,26.384,1.268
1893,1,1893.042,26.888,1.012
1893,2,1893.125,24.371,0.769
1893,3,1893.208,26.289,1.111
1893,4,1893.292,26.829,0.862
1893,5,1893.375,26.211,0.977
1893,6,1893.458,26.365,0.983
1893,7,1893.542,26.608,0.951
1893,8,1893.625,26.102,1.739
1893,9,1893.708,26.100,1.368
1893,10,1893.792,26.036,1.065
1893,11,1893.875,25.870,0.807
1893,12,1893.958,27.114,1.020
1894,1,1894.042,25.640,1.114
1894,2,1894.125,25.749,1.302
1894,3,1894.208,25.559,0.872
1894,4,1894.292,26.603,0.845
1894,5,1894.375,25.988,0.786
1894,6,1894.458,26.868,0.876
1894,7,1894.542,25.960,1.164
