# Monthly average temperature data for Reunion.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1787,1,1787.042,23.202,3.377
1787,2,1787.125,22.786,4.111
1787,3,1787.208,21.749,4.276
1787,4,1787.292,22.113,2.964
1787,5,1787.375,22.756,2.010
1787,7,1787.542,22.476,3.271
1787,8,1787.625,23.174,2.280
1787,9,1787.708,22.399,2.724
1787,10,1787.792,22.486,5.606
1787,11,1787.875,24.034,4.581
1787,12,1787.958,22.736,3.907
1788,5,1788.375,21.679,2.164
1788,6,1788.458,23.253,2.061
1788,7,1788.542,24.578,4.452
1788,8,1788.625,23.064,2.615
1788,9,1788.708,22.970,0.888
1788,10,1788.792,21.865,3.919
1788,11,1788.875,23.617,2.025
1788,12,1788.958,22.135,7.078
1789,1,1789.042,22.649,6.485
1789,2,1789.125,22.103,1.683
1789,3,1789.208,23.576,4.451
1789,4,1789.292,23.784,2.625
1789,5,1789.375,23.815,4.679
1789,6,1789.458,22.756,2.084
1789,7,1789.542,23.864,3.717
1789,8,1789.625,22.815,2.290
1789,9,1789.708,22.770,1.968
1789,10,1789.792,22.582,2.046
1789,11,1789.875,22.508,2.003
1789,12,1789.958,21.979,3.528
1790,1,1790.042,23.129,3.322
1790,2,1790.125,23.166,2.739
1790,3,1790.208,22.396,1.900
1790,4,1790.292,22.383,3.468
1790,5,1790.375,22.930,1.432
1790,6,1790.458,23.534,1.717
1790,7,1790.542,23.514,3.631
1790,8,1790.625,22.143,3.950
1790,9,1790.708,22.693,1.609
1790,10,1790.792,22.016,2.137
1790,11,1790.875,21.738,2.732
1790,12,1790.958,22.450,4.437
1791,1,1791.042,22.956,8.483
1791,2,1791.125,22.897,3.165
1791,3,1791.208,22.094,3.893
1791,4,1791.292,23.102,2.595
1791,5,1791.375,23.006,2.278
1791,6,1791.458,23.672,1.733
1791,7,1791.542,23.455,2.234
1791,8,1791.625,23.721,0.890
1791,9,1791.708,24.040,3.011
1791,10,1791.792,23.147,2.163
1791,11,1791.875,23.123,1.922
1791,12,1791.958,22.360,1.845
1792,1,1792.042,22.240,3.009
1792,2,1792.125,23.407,2.542
1792,3,1792.208,22.693,1.375
1792,4,1792.292,22.532,1.656
1792,5,1792.375,22.858,1.507
1792,6,1792.458,24.915,2.380
1792,7,1792.542,24.625,3.582
1792,8,1792.625,23.093,4.042
1792,9,1792.708,23.676,1.542
1803,6,1803.458,22.991,2.157
1803,7,1803.542,23.814,1.460
1803,8,1803.625,23.744,3.170
1803,9,1803.708,23.647,1.608
1803,10,1803.792,22.797,2.374
1803,11,1803.875,23.547,1.283
1803,12,1803.958,23.475,2.790
1804,1,1804.042,24.547,4.780
1804,2,1804.125,24.043,3.998
1804,3,1804.208,24.148,3.403
1804,4,1804.292,24.949,1.240
1804,5,1804.375,24.418,1.582
1804,6,1804.458,23.522,1.794
1804,7,1804.542,23.704,3.868
1804,8,1804.625,23.689,1.361
1804,9,1804.708,23.364,3.369
1804,10,1804.792,22.948,2.137
1853,1,1853.042,22.027,1.580
1853,2,1853.125,22.637,3.016
1853,3,1853.208,22.249,1.146
1853,4,1853.292,22.407,1.913
1853,5,1853.375,22.761,1.148
1853,6,1853.458,23.156,0.965
1853,7,1853.542,23.155,1.228
1853,8,1853.625,23.108,0.992
1853,9,1853.708,22.831,0.643
1853,10,1853.792,22.388,1.332
1853,11,1853.875,22.529,1.348
1853,12,1853.958,22.795,1.115
1854,1,1854.042,22.704,1.925
1854,2,1854.125,22.316,1.162
1854,3,1854.208,22.257,0.940
1854,4,1854.292,22.497,0.799
1854,5,1854.375,22.855,0.874
1854,6,1854.458,22.987,0.763
1854,7,1854.542,22.791,1.805
1854,8,1854.625,22.878,1.204
1854,9,1854.708,22.615,0.778
1854,10,1854.792,22.940,2.119
1854,11,1854.875,23.016,1.004
1854,12,1854.958,22.488,1.955
1855,1,1855.042,23.031,1.255
1855,2,1855.125,22.498,2.114
1855,3,1855.208,22.461,0.908
1855,4,1855.292,22.755,1.890
1855,5,1855.375,22.320,2.152
1855,6,1855.458,22.316,1.740
1855,7,1855.542,22.444,1.175
1855,8,1855.625,22.848,0.815
1855,9,1855.708,21.520,1.654
1855,10,1855.792,21.645,1.554
1855,11,1855.875,22.146,0.884
1855,12,1855.958,22.320,1.717
1856,1,1856.042,23.045,0.957
1856,2,1856.125,22.563,2.450
1856,3,1856.208,22.487,1.319
1856,4,1856.292,22.958,0.749
1856,5,1856.375,22.485,0.758
1856,6,1856.458,22.814,1.798
1856,7,1856.542,22.565,1.214
1856,8,1856.625,22.257,1.210
1856,9,1856.708,22.027,0.641
1856,10,1856.792,21.691,1.006
1856,11,1856.875,22.075,1.150
1856,12,1856.958,21.711,2.582
1857,1,1857.042,21.868,1.568
1857,2,1857.125,21.925,1.399
1857,3,1857.208,22.017,0.582
1857,4,1857.292,22.554,1.642
1857,5,1857.375,22.090,0.890
1857,6,1857.458,23.066,1.341
1857,7,1857.542,22.511,1.158
1857,8,1857.625,21.949,1.757
1857,9,1857.708,21.921,0.992
1857,10,1857.792,22.348,0.642
1857,11,1857.875,22.173,1.024
1857,12,1857.958,22.451,1.516
1858,1,1858.042,22.252,2.473
1858,2,1858.125,22.230,1.178
1858,3,1858.208,22.174,1.120
1858,4,1858.292,22.680,1.507
1858,5,1858.375,22.657,1.305
1858,6,1858.458,22.662,1.169
1858,7,1858.542,23.435,1.705
1858,8,1858.625,23.469,1.649
1858,9,1858.708,22.872,1.347
1858,10,1858.792,22.821,0.763
1858,11,1858.875,22.835,1.360
1858,12,1858.958,22.217,0.716
1859,1,1859.042,22.277,1.503
1859,2,1859.125,22.734,1.425
1859,3,1859.208,22.589,1.552
1859,4,1859.292,23.019,1.245
1859,5,1859.375,22.759,1.441
1859,6,1859.458,23.019,0.815
1859,7,1859.542,22.909,0.933
1859,8,1859.625,22.951,0.904
1859,9,1859.708,22.783,1.270
1859,10,1859.792,22.763,0.960
1859,11,1859.875,23.274,0.993
1859,12,1859.958,22.865,1.590
1860,1,1860.042,22.492,1.076
1860,2,1860.125,22.760,1.013
1860,3,1860.208,22.158,1.731
1860,4,1860.292,22.819,0.741
1860,5,1860.375,23.373,0.891
1860,6,1860.458,23.346,0.656
1860,7,1860.542,23.539,1.115
1860,8,1860.625,23.779,1.063
1860,9,1860.708,23.470,0.778
1860,10,1860.792,22.875,0.584
1860,11,1860.875,23.406,2.502
1861,1,1861.042,22.875,3.508
1861,2,1861.125,22.369,0.896
1861,3,1861.208,22.407,0.895
1861,4,1861.292,22.959,1.630
1861,5,1861.375,23.290,1.560
1861,6,1861.458,23.342,0.982
1861,7,1861.542,23.248,1.001
1861,8,1861.625,22.945,0.874
1861,9,1861.708,22.526,0.599
1861,10,1861.792,22.873,1.095
1861,11,1861.875,23.087,0.992
1861,12,1861.958,23.192,1.975
1889,1,1889.042,22.685,1.058
1889,2,1889.125,24.005,1.187
1889,3,1889.208,23.025,0.846
1889,4,1889.292,23.607,0.739
1889,5,1889.375,23.746,1.053
1889,6,1889.458,23.176,0.757
1889,7,1889.542,23.355,0.756
1889,8,1889.625,22.791,0.911
1889,9,1889.708,22.822,0.738
1889,10,1889.792,22.440,1.028
1889,11,1889.875,22.466,1.062
1889,12,1889.958,22.642,0.878
1890,1,1890.042,22.757,0.963
1890,2,1890.125,22.814,0.791
1890,3,1890.208,22.058,0.851
1890,4,1890.292,22.580,0.791
1890,5,1890.375,21.792,1.713
1890,7,1890.542,22.521,1.404
1890,8,1890.625,22.520,1.061
1890,9,1890.708,22.307,1.235
1890,10,1890.792,22.477,1.737
1890,11,1890.875,21.764,1.274
1890,12,1890.958,21.708,1.769
1891,1,1891.042,21.972,0.984
1891,2,1891.125,22.203,0.881
1891,3,1891.208,22.029,1.368
1891,4,1891.292,22.610,0.775
1891,5,1891.375,22.686,0.750
1891,6,1891.458,23.023,0.877
1891,7,1891.542,22.720,0.758
1891,8,1891.625,22.801,0.868
1891,9,1891.708,22.915,0.748
1891,10,1891.792,22.752,0.728
1891,11,1891.875,22.219,0.717
1891,12,1891.958,23.102,0.806
1892,1,1892.042,22.482,0.961
1892,2,1892.125,22.455,1.056
1892,3,1892.208,22.126,0.919
1892,4,1892.292,22.946,1.053
1892,5,1892.375,22.463,0.926
1892,6,1892.458,22.761,1.223
1892,7,1892.542,22.800,0.758
1892,8,1892.625,23.631,1.527
1892,9,1892.708,22.307,1.788
1892,10,1892.792,23.312,0.813
1892,11,1892.875,22.285,0.837
1892,12,1892.958,22.375,1.014
1893,1,1893.042,21.415,0.911
1893,2,1893.125,21.881,0.822
1893,3,1893.208,22.504,0.910
1893,4,1893.292,22.715,0.965
1893,5,1893.375,22.924,0.866
1893,6,1893.458,22.488,1.325
1893,7,1893.542,23.103,0.837
1893,8,1893.625,22.515,1.443
1893,9,1893.708,22.993,0.792
1893,10,1893.792,23.045,0.768
1893,11,1893.875,22.664,1.055
1893,12,1893.958,22.697,0.788
1894,1,1894.042,22.065,0.983
1894,2,1894.125,22.790,0.875
1894,3,1894.208,22.888,0.779
1894,4,1894.292,22.806,0.769
1894,5,1894.375,23.120,0.855
1894,6,1894.458,22.495,1.055
1894,7,1894.542,23.331,0.838
1894,8,1894.625,23.170,0.790
1894,9,1894.708,23.258,1.013
1894,10,1894.792,23.458,0.993
1894,11,1894.875,22.976,1.092
1894,12,1894.958,22.697,0.864
1895,1,1895.042,22.146,0.819
1895,2,1895.125,22.614,0.916
1895,3,1895.208,22.571,0.753
1895,4,1895.292,23.325,0.774
1895,5,1895.375,22.754,0.890
1895,6,1895.458,22.854,0.910
1895,7,1895.542,23.363,1.003
1895,8,1895.625,23.118,0.745
1895,9,1895.708,23.030,0.892
1895,10,1895.792,23.120,0.860
1895,11,1895.875,22.843,0.927
1895,12,1895.958,22.908,0.915
1896,1,1896.042,23.027,0.875
1896,2,1896.125,22.653,0.737
1896,3,1896.208,22.629,1.085
1896,4,1896.292,22.343,0.881
1896,5,1896.375,22.988,0.880
1896,6,1896.458,23.388,0.840
1896,7,1896.542,23.114,0.772
1896,8,1896.625,22.924,1.035
1896,9,1896.708,23.395,0.986
1896,10,1896.792,23.426,0.717
1896,11,1896.875,22.217,1.191
1896,12,1896.958,22.765,0.908
1897,1,1897.042,22.762,0.802
1897,2,1897.125,22.369,0.959
1897,3,1897.208,22.768,0.852
1897,4,1897.292,23.126,1.006
1897,5,1897.375,23.453,0.741
1897,6,1897.458,23.669,0.920
1897,7,1897.542,23.966,1.451
1897,8,1897.625,23.533,0.785
1897,9,1897.708,23.094,0.734
1897,10,1897.792,23.024,0.827
1897,11,1897.875,23.118,0.770
1897,12,1897.958,22.489,0.840
1898,1,1898.042,22.868,1.563
1898,2,1898.125,22.632,0.793
1898,3,1898.208,22.009,0.853
1898,4,1898.292,22.903,0.944
1898,5,1898.375,23.240,0.897
1898,6,1898.458,23.152,0.828
1898,7,1898.542,23.291,0.972
1898,8,1898.625,23.345,0.908
1898,9,1898.708,23.376,1.056
1898,10,1898.792,23.570,1.256
1898,11,1898.875,23.401,1.115
1898,12,1898.958,22.855,0.780
1899,1,1899.042,23.144,0.781
1899,2,1899.125,22.222,1.147
1899,3,1899.208,22.448,0.810
1899,4,1899.292,23.435,0.896
1899,5,1899.375,23.017,0.745
1899,6,1899.458,22.680,0.725
1899,7,1899.542,23.000,0.761
1899,8,1899.625,22.753,1.425
1899,9,1899.708,23.012,0.793
1899,10,1899.792,23.468,0.812
1899,11,1899.875,23.899,1.188
1899,12,1899.958,22.585,0.806
1900,1,1900.042,22.306,0.738
1900,2,1900.125,23.115,0.728
1900,3,1900.208,23.314,0.816
1900,4,1900.292,23.376,0.770
1900,5,1900.375,23.360,0.704
1900,6,1900.458,23.350,0.797
1900,7,1900.542,23.151,0.762
1900,8,1900.625,23.711,0.999
1900,9,1900.708,23.608,1.234
1900,10,1900.792,23.663,0.757
1900,11,1900.875,23.192,1.006
1900,12,1900.958,23.139,0.902
1901,1,1901.042,23.069,1.083
1901,2,1901.125,23.055,0.739
1901,3,1901.208,23.221,0.750
1901,4,1901.292,23.054,0.899
1901,5,1901.375,22.894,0.744
1901,6,1901.458,23.246,0.916
1901,7,1901.542,23.216,0.853
1901,8,1901.625,22.662,0.975
1901,9,1901.708,22.532,0.959
1901,10,1901.792,22.843,0.737
1901,11,1901.875,23.763,1.685
1901,12,1901.958,22.516,0.967
1902,1,1902.042,23.423,1.261
1902,2,1902.125,23.374,0.760
1902,3,1902.208,22.477,0.795
1902,4,1902.292,23.096,0.801
1902,5,1902.375,22.992,0.872
1902,6,1902.458,23.128,0.892
1902,7,1902.542,23.413,0.983
1902,8,1902.625,23.704,0.880
1902,9,1902.708,23.313,0.811
1902,10,1902.792,22.938,0.759
1902,11,1902.875,22.798,0.836
1902,12,1902.958,22.534,0.924
1903,1,1903.042,22.858,1.054
1903,2,1903.125,23.248,0.746
1903,3,1903.208,22.928,0.755
1903,4,1903.292,23.137,0.826
1903,5,1903.375,23.118,0.772
1903,6,1903.458,23.259,0.755
1903,7,1903.542,23.224,0.780
1903,8,1903.625,22.914,0.923
1903,9,1903.708,22.190,1.490
1903,10,1903.792,22.600,1.321
1903,11,1903.875,22.565,0.836
1903,12,1903.958,22.330,0.862
1904,1,1904.042,22.158,0.904
1904,2,1904.125,22.427,0.796
1904,3,1904.208,22.246,1.067
1904,4,1904.292,22.641,0.952
1904,5,1904.375,22.996,0.912
1904,6,1904.458,22.688,0.685
1904,7,1904.542,22.778,0.676
1904,8,1904.625,22.883,0.921
1904,9,1904.708,21.775,0.812
1904,10,1904.792,22.500,1.286
1904,11,1904.875,23.163,1.289
1904,12,1904.958,23.008,0.910
1905,1,1905.042,22.991,0.764
1905,2,1905.125,22.423,0.778
1905,3,1905.208,22.709,0.823
1905,4,1905.292,22.582,0.910
1905,5,1905.375,23.289,0.839
1905,6,1905.458,23.546,1.168
1905,7,1905.542,23.192,0.779
1905,8,1905.625,23.248,0.766
1905,9,1905.708,23.737,1.310
1905,10,1905.792,23.136,0.747
1905,11,1905.875,22.929,1.067
1905,12,1905.958,22.636,0.826
1906,1,1906.042,23.326,1.426
1906,2,1906.125,22.885,0.914
1906,3,1906.208,23.369,1.470
1906,4,1906.292,23.694,0.940
1906,5,1906.375,23.187,0.745
1906,6,1906.458,23.156,0.749
1906,7,1906.542,23.134,0.732
1906,8,1906.625,22.952,0.903
1906,9,1906.708,22.480,0.918
1906,10,1906.792,22.858,0.959
1906,11,1906.875,22.862,0.789
1906,12,1906.958,22.974,0.798
1907,1,1907.042,22.723,0.700
1907,2,1907.125,22.621,0.966
1907,3,1907.208,22.536,0.764
1907,4,1907.292,22.847,0.690
1907,5,1907.375,22.712,0.738
1907,6,1907.458,22.950,0.783
1907,7,1907.542,22.696,0.860
1907,8,1907.625,22.933,0.873
1907,9,1907.708,22.532,1.236
1907,10,1907.792,23.633,1.184
1907,11,1907.875,22.669,0.824
1907,12,1907.958,22.232,1.137
1908,1,1908.042,23.031,0.724
1908,2,1908.125,22.602,0.832
1908,3,1908.208,22.569,0.918
1908,4,1908.292,22.729,0.739
1908,5,1908.375,22.907,0.725
1908,6,1908.458,23.255,0.843
1908,7,1908.542,23.033,0.747
1908,8,1908.625,23.018,0.743
1908,9,1908.708,23.237,0.754
1908,10,1908.792,23.317,1.274
1908,11,1908.875,22.912,0.840
1908,12,1908.958,22.415,0.872
1909,1,1909.042,22.208,0.776
1909,2,1909.125,22.845,0.787
1909,3,1909.208,22.523,0.692
1909,4,1909.292,22.691,0.947
1909,5,1909.375,22.318,0.717
1909,6,1909.458,22.353,0.984
1909,7,1909.542,23.478,1.211
1909,8,1909.625,23.030,0.867
1909,9,1909.708,23.290,0.907
1909,10,1909.792,22.557,1.320
1909,11,1909.875,23.402,0.875
1909,12,1909.958,23.296,1.650
1910,1,1910.042,23.129,0.636
1910,2,1910.125,22.764,0.820
1910,3,1910.208,22.587,0.537
1910,4,1910.292,23.114,0.820
1910,5,1910.375,22.578,0.448
1910,6,1910.458,22.441,0.457
1910,7,1910.542,23.338,0.537
1910,8,1910.625,22.998,0.465
1910,9,1910.708,23.128,0.718
1910,10,1910.792,23.314,0.853
1910,11,1910.875,22.589,1.389
1910,12,1910.958,22.789,1.560
1911,1,1911.042,22.647,0.593
1911,2,1911.125,22.355,0.538
1911,3,1911.208,22.326,0.474
1911,4,1911.292,22.105,0.719
1911,5,1911.375,22.395,0.515
1911,6,1911.458,23.019,0.457
1911,7,1911.542,23.139,0.949
1911,8,1911.625,23.132,0.529
1911,9,1911.708,23.253,0.815
1911,10,1911.792,23.026,0.638
1911,11,1911.875,23.205,0.661
1911,12,1911.958,23.768,1.030
1912,1,1912.042,23.532,0.778
1912,2,1912.125,23.032,0.701
1912,3,1912.208,23.028,0.760
1912,4,1912.292,23.163,0.476
1912,5,1912.375,23.504,0.861
1912,6,1912.458,23.135,0.805
1912,7,1912.542,23.139,0.602
1912,8,1912.625,23.197,0.518
1912,9,1912.708,23.506,0.620
1912,10,1912.792,23.124,0.722
1912,11,1912.875,22.808,0.842
