# Monthly average temperature data for Romania.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1750,1,1750.042,8.670,2.262
1750,2,1750.125,8.464,2.537
1750,4,1750.292,9.345,2.164
1750,5,1750.375,7.561,2.180
1750,6,1750.458,9.072,2.211
1750,7,1750.542,9.741,2.278
1750,8,1750.625,9.765,2.202
1750,10,1750.792,7.533,2.152
1750,11,1750.875,4.314,2.208
1750,12,1750.958,5.785,2.303
1751,1,1751.042,7.360,2.299
1751,2,1751.125,5.701,2.321
1751,3,1751.208,10.250,2.213
1751,4,1751.292,7.483,2.136
1751,5,1751.375,8.209,2.167
1751,6,1751.458,8.289,2.215
1751,7,1751.542,10.433,2.239
1751,8,1751.625,9.907,2.145
1751,9,1751.708,8.742,2.129
1751,10,1751.792,7.302,2.093
1751,11,1751.875,5.447,2.134
1751,12,1751.958,6.632,2.388
1752,1,1752.042,7.156,2.323
1752,2,1752.125,10.459,2.198
1752,3,1752.208,9.775,2.056
1752,4,1752.292,7.931,2.107
1752,5,1752.375,8.502,2.054
1752,6,1752.458,10.111,2.024
1752,7,1752.542,10.249,2.102
1752,8,1752.625,8.221,2.221
1752,10,1752.792,8.517,2.077
1752,11,1752.875,8.508,2.111
1752,12,1752.958,7.690,2.262
1753,1,1753.042,8.094,2.174
1753,2,1753.125,7.639,2.203
1753,3,1753.208,10.385,2.119
1753,4,1753.292,9.108,2.245
1753,5,1753.375,9.252,2.000
1753,6,1753.458,9.357,2.184
1753,7,1753.542,9.295,2.212
1753,8,1753.625,8.255,2.088
1753,9,1753.708,8.363,2.046
1753,10,1753.792,8.810,2.053
1753,11,1753.875,7.268,2.044
1753,12,1753.958,5.241,2.446
1754,1,1754.042,8.371,2.149
1754,2,1754.125,6.356,2.187
1754,3,1754.208,6.977,2.031
1754,4,1754.292,10.704,2.134
1754,5,1754.375,9.893,2.066
1754,6,1754.458,9.890,2.110
1754,7,1754.542,9.088,2.285
1754,8,1754.625,8.363,2.157
1754,9,1754.708,7.923,2.057
1754,10,1754.792,9.658,2.168
1754,11,1754.875,8.692,2.587
1754,12,1754.958,8.543,2.162
1755,1,1755.042,6.851,2.260
1755,2,1755.125,5.226,2.551
1755,3,1755.208,8.154,2.166
1755,4,1755.292,10.690,2.344
1755,5,1755.375,9.573,2.059
1755,6,1755.458,10.886,2.285
1755,7,1755.542,9.880,2.609
1755,8,1755.625,7.625,2.171
1755,9,1755.708,7.717,2.025
1755,10,1755.792,9.956,1.996
1755,11,1755.875,7.208,2.444
1755,12,1755.958,7.872,2.256
1756,1,1756.042,10.039,2.410
1756,2,1756.125,11.291,4.021
1756,3,1756.208,9.526,2.977
1756,4,1756.292,9.008,2.611
1756,5,1756.375,9.163,4.676
1756,6,1756.458,10.477,2.320
1756,7,1756.542,9.330,6.479
1756,8,1756.625,8.739,2.576
1756,9,1756.708,8.735,2.259
1756,10,1756.792,8.508,6.947
1756,11,1756.875,6.268,2.082
1756,12,1756.958,6.340,2.143
1757,1,1757.042,7.047,2.203
1757,2,1757.125,10.223,2.783
1757,3,1757.208,8.948,3.757
1757,4,1757.292,10.037,2.571
1757,5,1757.375,9.779,2.663
1757,6,1757.458,11.482,2.197
1757,7,1757.542,12.265,2.780
1757,8,1757.625,10.720,3.934
1757,9,1757.708,9.055,5.459
1757,10,1757.792,4.975,4.479
1757,11,1757.875,7.143,6.642
1757,12,1757.958,6.174,2.315
1758,1,1758.042,4.612,4.900
1758,2,1758.125,6.033,2.505
1758,3,1758.208,8.261,2.207
1758,4,1758.292,8.119,3.451
1758,5,1758.375,7.562,4.393
1758,6,1758.458,9.020,3.700
1758,7,1758.542,7.929,3.608
1758,8,1758.625,7.119,5.019
1758,9,1758.708,6.793,2.435
1758,10,1758.792,5.980,2.085
1758,11,1758.875,7.862,2.135
1758,12,1758.958,7.874,2.135
1759,1,1759.042,10.996,2.203
1759,2,1759.125,10.484,5.119
1759,3,1759.208,9.194,3.522
1759,4,1759.292,7.983,4.720
1759,5,1759.375,7.272,3.665
1759,6,1759.458,9.759,3.799
1759,7,1759.542,8.911,4.206
1759,8,1759.625,9.117,2.130
1759,9,1759.708,8.485,2.720
1759,10,1759.792,7.885,5.002
1759,11,1759.875,5.116,5.411
1759,12,1759.958,5.047,2.572
1760,1,1760.042,6.085,5.077
1760,2,1760.125,7.949,6.803
1760,3,1760.208,6.808,2.746
1760,4,1760.292,8.582,2.102
1760,5,1760.375,8.713,3.058
1760,6,1760.458,8.956,2.220
1760,7,1760.542,8.249,2.159
1760,8,1760.625,8.164,5.325
1760,9,1760.708,7.954,2.337
1760,10,1760.792,7.843,2.297
1760,11,1760.875,7.853,5.470
1760,12,1760.958,7.112,3.151
1761,1,1761.042,7.258,2.264
1761,2,1761.125,7.877,3.908
1761,3,1761.208,10.372,2.252
1761,4,1761.292,8.399,2.181
1761,5,1761.375,10.608,2.713
1761,6,1761.458,11.364,2.728
1761,7,1761.542,12.068,2.163
1761,8,1761.625,9.892,2.937
1761,9,1761.708,9.912,3.441
1761,10,1761.792,6.178,2.987
1761,11,1761.875,7.424,6.899
1761,12,1761.958,3.577,2.235
1762,1,1762.042,10.727,7.083
1762,2,1762.125,9.393,2.579
1762,3,1762.208,7.099,4.874
1762,4,1762.292,9.964,3.035
1762,5,1762.375,9.040,3.980
1762,6,1762.458,8.872,3.191
1762,7,1762.542,9.164,3.126
1762,8,1762.625,8.882,2.726
1762,9,1762.708,7.896,3.291
1762,10,1762.792,7.048,4.099
1762,11,1762.875,8.646,2.722
1762,12,1762.958,5.505,2.711
1763,1,1763.042,5.397,5.914
1763,2,1763.125,8.191,5.680
1763,3,1763.208,6.261,2.994
1763,4,1763.292,8.064,3.694
1763,5,1763.375,7.838,4.643
1763,6,1763.458,7.798,5.433
1763,7,1763.542,10.745,2.523
1763,8,1763.625,9.325,4.342
1763,9,1763.708,7.745,4.147
1763,10,1763.792,6.306,2.225
1763,11,1763.875,6.462,3.503
1763,12,1763.958,8.802,2.926
1764,1,1764.042,8.625,2.971
1764,2,1764.125,11.514,3.032
1764,3,1764.208,8.055,3.008
1764,4,1764.292,8.028,5.978
1764,5,1764.375,9.461,2.420
1764,6,1764.458,7.875,4.364
1764,7,1764.542,9.110,4.353
1764,8,1764.625,7.616,2.349
1764,9,1764.708,7.752,4.644
1764,10,1764.792,8.589,2.950
1764,11,1764.875,7.397,3.562
1764,12,1764.958,9.874,3.154
1765,1,1765.042,11.985,8.414
1765,2,1765.125,8.038,3.791
1765,3,1765.208,10.665,2.979
1765,4,1765.292,9.832,2.426
1765,5,1765.375,7.939,2.519
1765,6,1765.458,7.842,3.923
1765,7,1765.542,7.824,4.166
1765,8,1765.625,8.833,2.943
1765,9,1765.708,8.280,2.326
1765,10,1765.792,8.617,2.312
1765,11,1765.875,8.460,3.212
1765,12,1765.958,7.480,2.578
1766,1,1766.042,5.097,6.523
1766,2,1766.125,8.124,3.109
1766,3,1766.208,9.720,2.802
1766,4,1766.292,9.054,3.708
1766,5,1766.375,9.831,3.266
1766,6,1766.458,9.055,6.473
1766,7,1766.542,7.377,4.374
1766,8,1766.625,8.458,3.502
1766,9,1766.708,9.023,3.144
1766,10,1766.792,7.954,2.999
