# Monthly average temperature data for Russia.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1829,5,1829.375,-5.828,2.123
1829,6,1829.458,-6.607,2.111
1829,7,1829.542,-5.285,2.144
1829,8,1829.625,-5.897,1.963
1829,9,1829.708,-6.861,1.881
1829,10,1829.792,-5.909,1.984
1829,11,1829.875,-5.244,2.075
1829,12,1829.958,-6.600,2.414
1830,1,1830.042,-4.637,2.167
1830,2,1830.125,-3.525,2.416
1830,3,1830.208,-6.128,1.949
1830,4,1830.292,-5.787,2.084
1830,5,1830.375,-6.533,2.016
1830,6,1830.458,-6.518,2.084
1830,7,1830.542,-5.841,1.945
1830,8,1830.625,-5.476,1.907
1830,9,1830.708,-7.686,1.906
1830,10,1830.792,-7.343,2.015
1830,11,1830.875,-2.908,2.311
1830,12,1830.958,-4.525,2.382
1831,1,1831.042,-5.845,3.357
1831,2,1831.125,-4.904,3.154
1831,3,1831.208,-6.799,2.042
1831,4,1831.292,-6.477,1.998
1831,5,1831.375,-6.063,2.009
1831,6,1831.458,-6.165,2.296
1831,7,1831.542,-6.812,1.904
1831,8,1831.625,-7.290,1.905
1831,9,1831.708,-7.667,1.915
1831,10,1831.792,-6.763,1.907
1831,11,1831.875,-7.226,2.219
1831,12,1831.958,-5.973,1.918
1832,1,1832.042,-6.255,2.130
1832,2,1832.125,-4.229,2.366
1832,3,1832.208,-5.361,1.889
1832,4,1832.292,-5.549,1.803
1832,5,1832.375,-6.348,1.993
1832,6,1832.458,-7.013,2.187
1832,7,1832.542,-6.942,1.818
1832,8,1832.625,-7.526,2.052
1832,9,1832.708,-7.640,1.779
1832,10,1832.792,-5.550,1.937
1832,11,1832.875,-7.115,2.107
1832,12,1832.958,-9.457,2.667
1833,1,1833.042,-6.298,2.420
1833,2,1833.125,-4.466,1.893
1833,3,1833.208,-6.880,2.084
1833,4,1833.292,-6.772,1.749
1833,5,1833.375,-6.474,1.763
1833,6,1833.458,-6.103,1.723
1833,7,1833.542,-6.732,1.696
1833,8,1833.625,-6.081,1.786
1833,9,1833.708,-6.798,1.791
1833,10,1833.792,-6.587,1.945
1833,11,1833.875,-2.504,1.936
1833,12,1833.958,-6.449,2.172
1834,1,1834.042,-8.523,1.996
1834,2,1834.125,-5.308,2.079
1834,3,1834.208,-3.831,1.756
1834,4,1834.292,-5.662,1.873
1834,5,1834.375,-5.107,1.672
1834,6,1834.458,-5.791,1.760
1834,7,1834.542,-6.559,1.749
1834,8,1834.625,-5.452,1.733
1834,9,1834.708,-5.968,1.665
1834,10,1834.792,-5.378,1.677
1834,11,1834.875,-3.795,1.917
1834,12,1834.958,-5.808,1.960
1835,1,1835.042,-4.191,2.310
1835,2,1835.125,-2.784,2.112
1835,3,1835.208,-5.444,1.926
1835,4,1835.292,-5.298,1.695
1835,5,1835.375,-6.624,1.655
1835,6,1835.458,-7.260,1.965
1835,7,1835.542,-7.482,1.812
1835,8,1835.625,-7.100,1.762
1835,9,1835.708,-7.336,1.758
1835,10,1835.792,-6.391,1.653
1835,11,1835.875,-7.663,2.385
1835,12,1835.958,-9.751,2.442
1836,1,1836.042,-5.828,2.050
1836,2,1836.125,-4.752,2.091
1836,3,1836.208,-3.380,1.794
1836,4,1836.292,-6.328,1.987
1836,5,1836.375,-7.026,1.863
1836,6,1836.458,-6.599,1.790
1836,7,1836.542,-6.676,1.790
1836,8,1836.625,-7.175,2.004
1836,9,1836.708,-6.472,1.935
1836,10,1836.792,-4.274,2.008
1836,11,1836.875,-6.830,1.940
1836,12,1836.958,-5.637,1.961
1837,1,1837.042,-5.699,2.329
1837,2,1837.125,-3.980,2.693
1837,3,1837.208,-6.986,2.112
1837,4,1837.292,-8.067,1.695
1837,5,1837.375,-7.455,1.837
1837,6,1837.458,-7.228,1.722
1837,7,1837.542,-7.026,1.914
1837,8,1837.625,-5.927,1.599
1837,9,1837.708,-7.251,1.904
1837,10,1837.792,-6.747,1.814
1837,11,1837.875,-6.586,2.456
1837,12,1837.958,-6.763,2.127
1838,1,1838.042,-10.218,2.107
1838,2,1838.125,-6.090,1.840
1838,3,1838.208,-7.391,1.863
1838,4,1838.292,-5.469,1.753
1838,5,1838.375,-6.489,1.585
1838,6,1838.458,-6.188,1.649
1838,7,1838.542,-5.485,1.573
1838,8,1838.625,-4.685,1.604
1838,9,1838.708,-6.371,1.650
1838,10,1838.792,-4.900,1.656
1838,11,1838.875,-4.596,1.781
1838,12,1838.958,-5.846,1.846
1839,1,1839.042,-4.528,1.970
1839,2,1839.125,-4.091,2.012
1839,3,1839.208,-8.500,1.782
1839,4,1839.292,-6.750,1.581
1839,5,1839.375,-5.414,1.642
1839,6,1839.458,-6.129,1.511
1839,7,1839.542,-4.803,1.886
1839,8,1839.625,-4.449,1.561
1839,9,1839.708,-6.145,2.024
1839,10,1839.792,-6.221,1.823
1839,11,1839.875,-7.923,1.939
1839,12,1839.958,-10.557,1.657
1840,1,1840.042,-4.471,1.867
1840,2,1840.125,-5.577,1.777
1840,3,1840.208,-7.721,2.425
1840,4,1840.292,-5.435,1.402
1840,5,1840.375,-4.950,1.776
1840,6,1840.458,-4.872,1.752
