# Monthly average temperature data for Rwanda.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1892,1,1892.042,17.806,1.929
1892,2,1892.125,18.707,0.689
1892,3,1892.208,18.928,1.213
1892,4,1892.292,19.152,0.834
1892,5,1892.375,19.230,0.952
1892,6,1892.458,19.809,1.091
1892,7,1892.542,19.364,0.670
1892,8,1892.625,19.038,0.685
1892,9,1892.708,19.138,0.708
1892,10,1892.792,19.147,0.703
1892,11,1892.875,18.833,0.845
1892,12,1892.958,18.879,0.851
1893,1,1893.042,17.800,0.840
1893,2,1893.125,18.222,0.758
1893,3,1893.208,18.896,0.813
1893,4,1893.292,19.249,0.793
1893,5,1893.375,17.775,2.514
1893,6,1893.458,18.255,2.640
1893,7,1893.542,18.785,1.867
1893,8,1893.625,18.523,1.592
1893,9,1893.708,18.875,1.010
1893,10,1893.792,19.287,0.587
1893,11,1893.875,18.880,0.470
1893,12,1893.958,19.590,1.392
1894,1,1894.042,18.816,0.621
1894,2,1894.125,19.599,1.126
1894,3,1894.208,18.712,1.027
1894,4,1894.292,18.605,0.615
1894,5,1894.375,19.189,0.662
1894,6,1894.458,18.667,0.801
1894,7,1894.542,19.058,0.591
1894,8,1894.625,19.458,0.954
1894,9,1894.708,19.523,1.256
1894,10,1894.792,19.578,0.645
1894,11,1894.875,19.505,1.313
1894,12,1894.958,19.511,1.335
1895,1,1895.042,19.264,1.566
1895,2,1895.125,18.390,0.942
1895,3,1895.208,19.125,0.530
1895,4,1895.292,18.925,0.735
1895,5,1895.375,19.272,0.768
1895,6,1895.458,18.925,0.760
1895,7,1895.542,19.603,0.762
1895,8,1895.625,19.453,1.037
1895,9,1895.708,18.906,0.621
1895,10,1895.792,19.269,0.916
1895,11,1895.875,19.255,0.900
1895,12,1895.958,19.057,0.686
1896,1,1896.042,19.317,0.719
1896,2,1896.125,18.985,0.755
1896,3,1896.208,18.630,0.783
1896,4,1896.292,19.129,1.042
1896,5,1896.375,19.167,0.681
1896,6,1896.458,19.267,0.819
1896,7,1896.542,19.408,0.653
1896,8,1896.625,19.104,0.667
1896,9,1896.708,18.968,0.890
1896,10,1896.792,19.168,0.689
1896,11,1896.875,18.586,1.047
