# Monthly average temperature data for Saint Kitts And Nevis.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1824,1,1824.042,26.109,1.427
1824,2,1824.125,25.538,2.677
1824,3,1824.208,26.086,0.991
1824,4,1824.292,26.612,1.221
1824,5,1824.375,26.057,1.168
1824,6,1824.458,25.978,2.215
1824,7,1824.542,26.171,1.693
1824,8,1824.625,25.344,1.082
1824,9,1824.708,25.365,2.445
1824,10,1824.792,25.017,0.702
1824,11,1824.875,25.911,0.735
1824,12,1824.958,26.071,2.552
1825,1,1825.042,26.293,1.985
1825,2,1825.125,26.149,1.076
1825,3,1825.208,26.379,1.450
1825,4,1825.292,26.803,0.867
1825,5,1825.375,26.402,1.289
1825,6,1825.458,26.176,1.201
1825,7,1825.542,26.059,2.028
1825,8,1825.625,25.649,2.037
1825,9,1825.708,25.269,1.894
1825,10,1825.792,25.239,1.007
1825,11,1825.875,26.070,2.180
1825,12,1825.958,25.890,1.139
1826,1,1826.042,26.057,1.160
1826,2,1826.125,25.392,1.540
1826,3,1826.208,25.298,1.999
1826,4,1826.292,26.107,1.509
1826,5,1826.375,26.227,1.137
1826,6,1826.458,25.783,1.590
1826,7,1826.542,26.110,1.673
1826,8,1826.625,25.399,1.404
1826,9,1826.708,25.329,1.071
1826,10,1826.792,25.399,1.140
1826,11,1826.875,26.135,1.734
1826,12,1826.958,26.919,1.780
1827,1,1827.042,26.400,3.190
1827,2,1827.125,26.242,2.645
1827,3,1827.208,26.506,1.856
1827,4,1827.292,26.796,2.134
1827,5,1827.375,26.543,1.667
1827,7,1827.542,26.401,1.307
1827,8,1827.625,25.526,1.959
1827,9,1827.708,25.210,1.508
1827,10,1827.792,25.353,1.930
1827,11,1827.875,26.278,1.079
1827,12,1827.958,25.933,1.713
1828,1,1828.042,25.368,1.415
1828,2,1828.125,25.253,1.723
1828,3,1828.208,25.944,1.407
1828,4,1828.292,26.245,2.265
1828,5,1828.375,26.289,1.603
1828,6,1828.458,26.182,1.766
1828,7,1828.542,26.146,1.500
1828,8,1828.625,26.105,0.775
1828,9,1828.708,25.115,1.293
1828,11,1828.875,26.225,1.230
1828,12,1828.958,25.774,2.574
1829,1,1829.042,25.360,1.731
1829,2,1829.125,25.435,1.654
1829,3,1829.208,25.942,1.055
1829,4,1829.292,26.249,1.201
1829,5,1829.375,26.236,1.631
1829,6,1829.458,25.668,1.539
1829,7,1829.542,26.179,1.084
1829,8,1829.625,25.847,1.070
1829,9,1829.708,25.421,0.938
1829,11,1829.875,25.722,1.310
1829,12,1829.958,25.483,1.548
1849,8,1849.625,25.659,0.933
1849,9,1849.708,25.431,0.791
1849,10,1849.792,25.681,0.866
1850,7,1850.542,26.450,0.941
1850,8,1850.625,26.218,0.904
1850,9,1850.708,26.000,0.816
