# Monthly average temperature data for Saint Lucia.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1824,1,1824.042,26.159,1.655
1824,2,1824.125,25.968,2.875
1824,3,1824.208,26.297,0.990
1824,4,1824.292,27.047,1.444
1824,5,1824.375,26.179,1.261
1824,6,1824.458,26.275,2.386
1824,7,1824.542,26.429,1.860
1824,8,1824.625,25.698,1.009
1824,9,1824.708,25.719,2.569
1824,10,1824.792,25.317,0.644
1824,11,1824.875,26.100,0.776
1824,12,1824.958,26.219,2.953
1825,1,1825.042,26.464,2.108
1825,2,1825.125,26.335,1.200
1825,3,1825.208,26.963,1.713
1825,4,1825.292,27.460,0.865
1825,5,1825.375,26.892,1.569
1825,6,1825.458,26.749,1.191
1825,7,1825.542,26.594,2.335
1825,8,1825.625,26.231,2.117
1825,9,1825.708,25.581,1.869
1825,10,1825.792,25.730,1.126
1825,11,1825.875,26.387,2.402
1825,12,1825.958,26.525,1.465
1826,1,1826.042,26.827,1.394
1826,2,1826.125,25.601,1.571
1826,3,1826.208,25.426,1.895
1826,4,1826.292,26.383,1.599
1826,5,1826.375,26.668,1.151
1826,6,1826.458,26.316,1.757
1826,7,1826.542,26.364,1.739
1826,8,1826.625,25.701,1.372
1826,9,1826.708,25.387,1.148
1826,10,1826.792,25.692,1.285
1826,11,1826.875,26.607,1.843
1826,12,1826.958,27.211,2.041
1827,1,1827.042,26.659,3.637
1827,2,1827.125,26.344,2.699
1827,3,1827.208,26.834,1.866
1827,4,1827.292,27.231,2.311
1827,5,1827.375,26.673,1.694
1827,7,1827.542,26.514,1.426
1827,8,1827.625,25.645,2.121
1827,9,1827.708,25.469,1.560
1827,10,1827.792,25.489,2.042
1827,11,1827.875,26.630,0.944
1827,12,1827.958,26.383,1.861
1828,1,1828.042,25.583,1.620
1828,2,1828.125,25.445,1.735
1828,3,1828.208,26.300,1.509
1828,4,1828.292,26.670,2.251
1828,5,1828.375,26.704,1.474
1828,6,1828.458,26.646,1.697
1828,7,1828.542,26.436,1.493
1828,8,1828.625,26.354,0.841
1828,9,1828.708,25.391,1.554
1828,11,1828.875,26.668,1.240
1828,12,1828.958,26.063,2.828
1829,1,1829.042,25.832,1.628
1829,2,1829.125,25.765,1.796
1829,3,1829.208,26.494,1.050
1829,4,1829.292,26.723,1.498
1829,5,1829.375,26.731,1.544
1829,6,1829.458,26.148,1.519
1829,7,1829.542,26.394,1.166
1829,8,1829.625,25.930,0.967
1829,9,1829.708,25.618,0.867
1829,11,1829.875,26.155,1.303
1829,12,1829.958,26.109,1.569
1846,1,1846.042,27.244,3.111
1846,2,1846.125,26.932,1.533
1846,3,1846.208,27.160,0.802
1846,4,1846.292,26.027,1.592
1846,5,1846.375,26.487,1.103
1846,6,1846.458,26.780,1.292
1846,7,1846.542,26.892,1.163
1846,8,1846.625,26.555,0.692
1846,9,1846.708,26.272,0.790
1846,10,1846.792,25.682,1.263
1846,11,1846.875,25.643,1.275
1846,12,1846.958,26.374,1.417
1847,1,1847.042,26.821,1.700
1847,2,1847.125,26.388,1.640
1847,3,1847.208,25.500,1.353
1847,4,1847.292,26.061,1.295
1847,5,1847.375,25.594,0.828
1847,6,1847.458,26.068,1.093
1847,7,1847.542,26.406,1.139
1847,8,1847.625,26.116,0.886
1847,9,1847.708,26.091,0.784
1847,10,1847.792,25.852,0.770
1847,11,1847.875,26.165,0.870
1847,12,1847.958,25.153,1.673
1848,1,1848.042,25.364,1.754
1848,2,1848.125,26.545,1.102
1848,3,1848.208,25.803,0.644
1848,4,1848.292,26.131,0.900
1848,5,1848.375,25.715,1.036
1848,6,1848.458,26.181,1.132
1848,7,1848.542,26.766,0.966
1848,8,1848.625,25.990,0.844
1848,9,1848.708,25.815,0.781
1848,10,1848.792,26.083,0.957
1848,11,1848.875,26.055,0.894
1848,12,1848.958,25.775,1.381
1849,1,1849.042,26.331,1.487
1849,2,1849.125,26.092,1.252
