# Monthly average temperature data for Saint Pierre And Miquelon.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1743,11,1743.875,2.526,2.282
1744,4,1744.292,6.216,2.393
1744,5,1744.375,4.177,2.250
1744,6,1744.458,5.015,2.276
1744,7,1744.542,4.019,2.226
1744,9,1744.708,3.099,2.298
1744,10,1744.792,2.659,2.251
1744,11,1744.875,2.916,2.224
1744,12,1744.958,3.350,2.243
1745,1,1745.042,3.211,2.242
1745,2,1745.125,3.183,2.203
1745,3,1745.208,2.541,2.217
1745,4,1745.292,4.095,2.271
1750,1,1750.042,2.442,2.359
1750,2,1750.125,2.744,2.656
1750,3,1750.208,3.519,2.379
1750,4,1750.292,3.902,2.375
1750,5,1750.375,4.546,2.352
1750,6,1750.458,3.987,2.458
1750,7,1750.542,6.236,2.586
1750,8,1750.625,5.140,2.787
1750,9,1750.708,3.936,2.507
1750,10,1750.792,1.552,2.297
1750,12,1750.958,2.930,2.654
1751,1,1751.042,2.561,2.406
1751,2,1751.125,1.738,2.630
1751,3,1751.208,4.120,2.530
1751,4,1751.292,3.465,2.621
1751,6,1751.458,5.287,2.514
1751,8,1751.625,4.722,2.778
1751,9,1751.708,2.846,2.422
1752,1,1752.042,-0.673,2.512
1752,3,1752.208,4.283,2.405
1752,4,1752.292,3.296,2.393
1752,10,1752.792,2.433,2.219
1752,11,1752.875,4.115,2.202
1752,12,1752.958,3.923,2.150
1753,1,1753.042,2.223,2.930
1753,2,1753.125,1.842,5.553
1753,3,1753.208,4.166,5.182
1753,4,1753.292,3.407,2.973
1753,5,1753.375,4.765,2.598
1753,6,1753.458,5.713,3.027
1753,8,1753.625,4.368,4.277
1753,10,1753.792,3.438,2.560
1753,11,1753.875,1.880,2.912
1753,12,1753.958,0.703,5.404
1754,1,1754.042,2.281,4.833
1754,2,1754.125,0.256,3.176
1754,3,1754.208,2.660,4.312
1754,6,1754.458,5.254,2.994
1754,8,1754.625,4.032,2.860
1754,9,1754.708,3.172,2.709
1754,10,1754.792,4.307,3.038
1754,12,1754.958,3.887,2.694
1755,1,1755.042,1.724,5.107
1755,2,1755.125,1.309,4.883
1755,3,1755.208,1.931,3.668
1755,4,1755.292,4.202,2.794
1755,5,1755.375,5.111,2.661
1755,6,1755.458,5.831,4.128
1755,9,1755.708,3.557,2.415
1755,11,1755.875,2.342,5.019
1755,12,1755.958,1.949,4.027
1756,1,1756.042,3.715,4.990
1756,2,1756.125,5.533,3.634
1756,6,1756.458,5.517,2.992
1756,8,1756.625,3.903,4.285
1756,9,1756.708,4.582,2.790
1756,10,1756.792,2.133,3.900
1756,11,1756.875,1.036,3.969
1756,12,1756.958,1.502,6.849
1757,1,1757.042,0.176,4.350
1757,2,1757.125,3.698,3.467
1757,3,1757.208,2.926,3.695
1757,4,1757.292,3.121,4.272
1757,5,1757.375,5.230,2.998
1757,6,1757.458,7.915,3.296
1757,7,1757.542,7.237,3.720
1757,10,1757.792,1.388,3.358
1757,11,1757.875,0.814,5.011
1757,12,1757.958,1.379,3.787
1758,1,1758.042,-0.713,2.910
1758,2,1758.125,1.089,3.158
1758,3,1758.208,2.271,3.494
1758,4,1758.292,2.522,3.151
1758,5,1758.375,2.435,2.758
1758,6,1758.458,4.170,3.292
1758,7,1758.542,3.448,4.820
1758,8,1758.625,1.761,3.117
1758,9,1758.708,2.297,2.927
1758,11,1758.875,2.991,6.770
1758,12,1758.958,2.320,3.216
1759,1,1759.042,3.899,3.653
1759,2,1759.125,4.008,5.784
1759,3,1759.208,2.705,2.610
1759,4,1759.292,1.676,3.964
1759,5,1759.375,3.268,2.809
1759,6,1759.458,4.593,3.632
1759,7,1759.542,2.033,3.008
1759,8,1759.625,4.186,4.073
1759,9,1759.708,4.518,3.869
1759,10,1759.792,3.148,3.569
1759,11,1759.875,1.456,4.204
1759,12,1759.958,-0.166,6.755
1760,1,1760.042,-0.232,3.280
1760,2,1760.125,3.056,3.767
1760,3,1760.208,0.953,2.656
