# Monthly average temperature data for Saint Vincent And The Grenadines.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1824,1,1824.042,26.285,1.665
1824,2,1824.125,26.095,2.882
1824,3,1824.208,26.439,0.983
1824,4,1824.292,27.188,1.447
1824,5,1824.375,26.320,1.264
1824,6,1824.458,26.425,2.395
1824,7,1824.542,26.550,1.864
1824,8,1824.625,25.849,1.006
1824,9,1824.708,25.851,2.581
1824,10,1824.792,25.451,0.640
1824,11,1824.875,26.254,0.768
1824,12,1824.958,26.335,2.969
1825,1,1825.042,26.594,2.111
1825,2,1825.125,26.477,1.207
1825,3,1825.208,27.091,1.730
1825,4,1825.292,27.586,0.870
1825,5,1825.375,27.041,1.582
1825,6,1825.458,26.893,1.198
1825,7,1825.542,26.725,2.345
1825,8,1825.625,26.366,2.132
1825,9,1825.708,25.718,1.880
1825,10,1825.792,25.860,1.118
1825,11,1825.875,26.539,2.403
1825,12,1825.958,26.649,1.455
1826,1,1826.042,26.951,1.395
1826,2,1826.125,25.752,1.569
1826,3,1826.208,25.582,1.905
1826,4,1826.292,26.528,1.601
1826,5,1826.375,26.798,1.164
1826,6,1826.458,26.450,1.745
1826,7,1826.542,26.494,1.738
1826,8,1826.625,25.848,1.373
1826,9,1826.708,25.535,1.148
1826,10,1826.792,25.825,1.276
1826,11,1826.875,26.712,1.815
1826,12,1826.958,27.326,2.054
1827,1,1827.042,26.768,3.662
1827,2,1827.125,26.459,2.741
1827,3,1827.208,26.977,1.880
1827,4,1827.292,27.360,2.311
1827,5,1827.375,26.827,1.713
1827,7,1827.542,26.649,1.420
1827,8,1827.625,25.794,2.124
1827,9,1827.708,25.603,1.563
1827,10,1827.792,25.627,2.086
1827,11,1827.875,26.764,0.951
1827,12,1827.958,26.517,1.859
1828,1,1828.042,25.736,1.656
1828,2,1828.125,25.584,1.745
1828,3,1828.208,26.415,1.484
1828,4,1828.292,26.800,2.266
1828,5,1828.375,26.838,1.488
1828,6,1828.458,26.785,1.702
1828,7,1828.542,26.558,1.500
1828,8,1828.625,26.509,0.846
1828,9,1828.708,25.551,1.543
1828,11,1828.875,26.795,1.258
1828,12,1828.958,26.208,2.831
1829,1,1829.042,25.942,1.639
1829,2,1829.125,25.931,1.797
1829,3,1829.208,26.631,1.082
1829,4,1829.292,26.875,1.499
1829,5,1829.375,26.871,1.553
1829,6,1829.458,26.296,1.529
1829,7,1829.542,26.529,1.162
1829,8,1829.625,26.091,0.980
1829,9,1829.708,25.766,0.862
1829,11,1829.875,26.284,1.345
1829,12,1829.958,26.219,1.537
1846,1,1846.042,27.374,3.083
1846,2,1846.125,27.061,1.528
1846,3,1846.208,27.299,0.806
1846,4,1846.292,26.145,1.587
1846,5,1846.375,26.620,1.107
1846,6,1846.458,26.933,1.293
1846,7,1846.542,27.029,1.173
1846,8,1846.625,26.704,0.692
1846,9,1846.708,26.402,0.793
1846,10,1846.792,25.808,1.263
1846,11,1846.875,25.771,1.264
1846,12,1846.958,26.490,1.417
1847,1,1847.042,26.974,1.707
1847,2,1847.125,26.518,1.630
1847,3,1847.208,25.636,1.344
1847,4,1847.292,26.196,1.305
1847,5,1847.375,25.726,0.837
1847,6,1847.458,26.238,1.102
1847,7,1847.542,26.540,1.136
1847,8,1847.625,26.271,0.885
1847,9,1847.708,26.231,0.782
1847,10,1847.792,25.992,0.771
1847,11,1847.875,26.296,0.865
1847,12,1847.958,25.256,1.674
1848,1,1848.042,25.480,1.760
1848,2,1848.125,26.669,1.101
1848,3,1848.208,25.941,0.640
1848,4,1848.292,26.253,0.893
1848,5,1848.375,25.852,1.026
1848,6,1848.458,26.327,1.134
1848,7,1848.542,26.902,0.969
1848,8,1848.625,26.129,0.848
1848,9,1848.708,25.955,0.786
1848,10,1848.792,26.210,0.959
1848,11,1848.875,26.183,0.907
1848,12,1848.958,25.900,1.405
1849,1,1849.042,26.470,1.496
1849,2,1849.125,26.220,1.250
1849,3,1849.208,26.473,1.317
1849,4,1849.292,25.699,1.049
1849,5,1849.375,25.795,0.843
1849,6,1849.458,26.185,0.905
1849,7,1849.542,26.565,0.743
1849,8,1849.625,26.139,0.910
1849,9,1849.708,25.990,0.687
1849,10,1849.792,26.149,0.750
1849,11,1849.875,25.923,1.307
1849,12,1849.958,25.784,0.938
1850,1,1850.042,25.643,1.229
1850,2,1850.125,26.444,1.453
1850,3,1850.208,26.312,1.132
1850,4,1850.292,25.909,1.016
1850,5,1850.375,25.754,0.789
1850,6,1850.458,26.522,0.758
1850,7,1850.542,26.953,0.815
1850,8,1850.625,26.625,0.952
1850,9,1850.708,26.494,0.805
1850,10,1850.792,26.024,1.362
1850,11,1850.875,25.776,2.240
1850,12,1850.958,26.404,1.691
1851,1,1851.042,26.550,0.807
1851,2,1851.125,26.081,1.119
1851,3,1851.208,25.827,0.752
1851,4,1851.292,25.967,1.284
1851,5,1851.375,26.113,1.052
1851,6,1851.458,26.367,0.886
1851,7,1851.542,27.046,0.650
1851,8,1851.625,26.474,0.729
1851,9,1851.708,26.162,0.865
1851,10,1851.792,26.302,1.191
1851,11,1851.875,25.843,1.183
1851,12,1851.958,26.216,1.323
1852,1,1852.042,26.186,1.058
1852,2,1852.125,25.831,1.379
1852,3,1852.208,25.280,1.038
1852,4,1852.292,26.166,0.986
1852,5,1852.375,26.571,0.826
1852,6,1852.458,26.443,0.744
1852,7,1852.542,26.562,0.782
1852,8,1852.625,26.569,1.057
1852,9,1852.708,26.464,0.790
1852,10,1852.792,26.005,0.715
1852,11,1852.875,25.862,1.119
1852,12,1852.958,25.920,1.391
1853,1,1853.042,26.700,2.086
1853,2,1853.125,25.717,1.040
1853,3,1853.208,26.282,2.106
1853,4,1853.292,26.563,1.302
1853,5,1853.375,26.354,0.756
1853,6,1853.458,26.782,0.912
1853,7,1853.542,26.756,0.947
1853,8,1853.625,26.215,1.402
1853,9,1853.708,25.942,0.711
1853,10,1853.792,25.988,0.486
1853,11,1853.875,26.407,2.417
1853,12,1853.958,26.926,1.995
1854,1,1854.042,26.442,1.973
1854,2,1854.125,25.715,1.007
1854,3,1854.208,26.115,0.501
1854,4,1854.292,25.891,0.908
1854,5,1854.375,26.233,0.620
1854,6,1854.458,26.325,0.862
1854,7,1854.542,26.724,0.857
1854,8,1854.625,26.318,0.942
1854,9,1854.708,26.060,0.635
1854,10,1854.792,26.589,1.296
1854,11,1854.875,26.065,0.587
1854,12,1854.958,26.580,2.605
1855,1,1855.042,26.601,0.932
1855,2,1855.125,26.509,1.815
1855,3,1855.208,26.374,1.313
1855,4,1855.292,26.256,0.771
1855,5,1855.375,26.294,0.700
1855,6,1855.458,26.682,0.866
1855,7,1855.542,26.385,0.644
1855,8,1855.625,26.480,0.553
1855,9,1855.708,26.104,0.416
1855,10,1855.792,26.066,1.478
1855,11,1855.875,26.363,0.697
1855,12,1855.958,26.550,1.716
1856,1,1856.042,27.255,1.390
1856,2,1856.125,26.545,1.534
1856,3,1856.208,26.531,1.028
1856,4,1856.292,26.408,0.483
1856,5,1856.375,26.525,0.455
1856,6,1856.458,26.486,1.232
1856,7,1856.542,26.740,1.062
1856,8,1856.625,26.306,0.909
1856,9,1856.708,26.009,0.897
1856,10,1856.792,26.297,0.582
1856,11,1856.875,26.068,0.749
1856,12,1856.958,26.303,1.711
1857,1,1857.042,26.064,0.926
1857,2,1857.125,25.565,0.853
1857,3,1857.208,25.982,0.837
1857,4,1857.292,25.932,0.594
1857,5,1857.375,25.833,0.725
1857,6,1857.458,26.244,0.636
1857,7,1857.542,26.312,0.708
1857,8,1857.625,26.008,0.623
1857,9,1857.708,25.606,0.777
1857,10,1857.792,25.918,1.001
1857,11,1857.875,25.658,0.809
1857,12,1857.958,25.755,1.212
1858,1,1858.042,25.625,1.601
1858,2,1858.125,25.758,1.142
1858,3,1858.208,25.650,0.825
1858,4,1858.292,26.019,1.033
1858,5,1858.375,25.974,0.925
1858,6,1858.458,25.894,1.162
1858,7,1858.542,26.518,0.696
1858,8,1858.625,26.355,0.739
1858,9,1858.708,26.031,0.994
1858,10,1858.792,25.916,0.676
1858,11,1858.875,26.120,1.071
1858,12,1858.958,25.579,0.642
1859,1,1859.042,25.864,0.928
1859,2,1859.125,25.440,0.740
1859,3,1859.208,25.408,0.680
1859,4,1859.292,25.959,1.736
1859,5,1859.375,26.418,1.269
1859,6,1859.458,26.333,0.974
1859,7,1859.542,26.320,0.987
1859,8,1859.625,26.206,0.474
1859,9,1859.708,26.314,0.804
1859,10,1859.792,26.107,1.419
1859,11,1859.875,25.661,0.918
1859,12,1859.958,25.908,1.570
1860,1,1860.042,26.256,0.897
1860,2,1860.125,25.633,0.703
1860,3,1860.208,25.675,2.628
1860,4,1860.292,26.213,0.739
1860,5,1860.375,26.497,0.919
1860,6,1860.458,26.519,0.605
1860,7,1860.542,27.049,1.235
1860,8,1860.625,26.417,0.780
1860,9,1860.708,26.027,0.751
1860,10,1860.792,25.960,0.679
1860,11,1860.875,26.063,1.246
1860,12,1860.958,26.169,1.678
1861,1,1861.042,25.213,1.788
1861,2,1861.125,26.124,1.960
1861,3,1861.208,26.184,2.242
1861,4,1861.292,26.439,1.744
1861,5,1861.375,26.242,0.784
1861,6,1861.458,25.828,1.003
1861,7,1861.542,26.624,0.545
1861,8,1861.625,26.746,0.594
1861,9,1861.708,26.527,0.936
1861,10,1861.792,26.318,0.586
1861,11,1861.875,26.582,0.689
1861,12,1861.958,26.174,0.876
1862,1,1862.042,25.478,2.366
1862,2,1862.125,25.999,1.024
1862,3,1862.208,25.985,1.514
1862,4,1862.292,25.721,1.871
1862,5,1862.375,26.619,0.564
1862,6,1862.458,26.241,0.908
1862,7,1862.542,26.508,0.569
1862,8,1862.625,26.056,0.683
1862,9,1862.708,26.181,0.566
1862,10,1862.792,26.247,0.832
1862,11,1862.875,25.704,1.126
1862,12,1862.958,25.722,1.965
1863,1,1863.042,25.714,1.290
1863,2,1863.125,26.134,2.375
1863,3,1863.208,25.529,0.937
1863,4,1863.292,25.744,0.597
1863,5,1863.375,26.374,0.635
1863,6,1863.458,26.494,0.632
1863,7,1863.542,26.070,0.798
1863,8,1863.625,26.166,0.822
1863,9,1863.708,26.045,1.043
1863,10,1863.792,26.132,0.543
1863,11,1863.875,26.000,0.792
1863,12,1863.958,25.592,2.168
1864,1,1864.042,25.752,1.224
1864,2,1864.125,25.430,1.633
1864,3,1864.208,25.653,1.404
1864,4,1864.292,26.173,1.700
1864,5,1864.375,26.459,0.642
1864,6,1864.458,26.417,1.163
1864,7,1864.542,26.304,1.292
1864,8,1864.625,26.038,0.868
1864,9,1864.708,26.670,0.632
1864,10,1864.792,26.782,0.945
1864,11,1864.875,26.358,1.302
1864,12,1864.958,26.154,0.595
