# Monthly average temperature data for Samoa.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1876,9,1876.708,25.624,0.666
1890,1,1890.042,25.322,0.565
1890,2,1890.125,25.404,0.650
1890,3,1890.208,25.580,1.134
1890,4,1890.292,25.184,0.942
1890,5,1890.375,25.792,0.947
1890,6,1890.458,25.942,0.914
1890,7,1890.542,25.468,1.088
1890,8,1890.625,25.824,0.602
1890,9,1890.708,26.652,2.064
1890,10,1890.792,26.257,0.665
1890,11,1890.875,25.809,1.748
1890,12,1890.958,25.794,1.087
1891,1,1891.042,25.751,1.029
1891,2,1891.125,25.272,0.813
1891,3,1891.208,25.775,0.641
1891,4,1891.292,25.677,0.632
1891,5,1891.375,25.895,0.629
1891,6,1891.458,25.901,0.533
1891,7,1891.542,25.444,1.079
1891,8,1891.625,25.866,0.655
1891,9,1891.708,25.724,0.485
1891,10,1891.792,26.077,0.938
1891,11,1891.875,25.668,0.869
1891,12,1891.958,25.735,0.568
1892,1,1892.042,25.252,0.612
1892,2,1892.125,25.752,0.721
1892,3,1892.208,25.978,1.771
1892,4,1892.292,25.842,1.057
1892,5,1892.375,25.605,0.482
1892,6,1892.458,26.131,0.847
1892,7,1892.542,25.682,0.477
1892,8,1892.625,26.045,0.655
1892,9,1892.708,25.599,0.502
1892,10,1892.792,25.380,1.334
1892,11,1892.875,25.137,0.837
1892,12,1892.958,25.213,0.667
1893,1,1893.042,24.692,0.646
1893,2,1893.125,24.873,0.660
1893,3,1893.208,25.356,0.603
1893,4,1893.292,24.765,1.469
1893,5,1893.375,25.226,1.508
1893,6,1893.458,26.095,0.613
1893,7,1893.542,25.720,0.945
1893,8,1893.625,25.806,0.517
1893,9,1893.708,25.689,1.397
1893,10,1893.792,25.343,0.672
1893,11,1893.875,25.559,0.943
1893,12,1893.958,25.364,0.993
1894,1,1894.042,24.989,0.521
1894,2,1894.125,25.221,1.555
1894,3,1894.208,25.529,1.162
1894,4,1894.292,25.768,0.687
1894,5,1894.375,25.689,0.762
1894,6,1894.458,25.858,0.559
1894,7,1894.542,25.815,1.354
1894,8,1894.625,26.455,0.682
1894,9,1894.708,26.390,0.781
1894,10,1894.792,26.433,0.631
1894,11,1894.875,25.523,0.715
1894,12,1894.958,25.426,0.667
1895,1,1895.042,24.921,0.455
1895,2,1895.125,24.437,1.768
1895,3,1895.208,25.296,1.047
1895,4,1895.292,25.663,0.971
1895,5,1895.375,26.415,0.571
1895,6,1895.458,25.958,0.479
1895,7,1895.542,26.038,0.367
1895,8,1895.625,26.036,0.457
1895,9,1895.708,25.621,0.620
1895,10,1895.792,25.786,0.744
1895,11,1895.875,25.515,1.320
1895,12,1895.958,25.929,0.587
1896,1,1896.042,25.442,1.720
1896,2,1896.125,25.760,0.741
1896,3,1896.208,25.461,0.388
1896,4,1896.292,25.567,0.603
1896,5,1896.375,26.053,0.457
1896,6,1896.458,25.606,1.229
1896,7,1896.542,26.100,0.772
1896,8,1896.625,25.860,0.991
1896,9,1896.708,26.121,0.453
1896,10,1896.792,26.381,0.463
1896,11,1896.875,25.541,0.874
1896,12,1896.958,26.091,0.451
1897,1,1897.042,25.664,0.611
1897,2,1897.125,25.651,0.819
1897,3,1897.208,26.379,0.970
1897,4,1897.292,26.219,0.408
1897,5,1897.375,26.191,0.969
1897,6,1897.458,26.587,0.566
1897,7,1897.542,26.313,0.673
1897,8,1897.625,26.592,0.622
1897,9,1897.708,26.071,0.677
1897,10,1897.792,26.289,0.516
1897,11,1897.875,25.949,0.597
1897,12,1897.958,26.124,0.888
1898,1,1898.042,25.667,0.762
1898,2,1898.125,25.439,0.419
1898,3,1898.208,25.412,0.405
1898,4,1898.292,25.905,0.579
1898,5,1898.375,26.128,0.490
1898,6,1898.458,26.074,0.518
1898,7,1898.542,26.941,0.950
1898,8,1898.625,26.468,0.854
1898,9,1898.708,26.722,0.984
1898,10,1898.792,26.125,0.527
1898,11,1898.875,25.784,0.633
1898,12,1898.958,25.989,0.332
1899,1,1899.042,25.493,1.907
1899,2,1899.125,25.578,0.378
1899,3,1899.208,25.921,0.721
1899,4,1899.292,26.132,0.766
1899,5,1899.375,26.205,0.769
1899,6,1899.458,26.048,0.492
1899,7,1899.542,26.473,1.040
1899,8,1899.625,26.335,0.853
1899,9,1899.708,26.664,0.923
1899,10,1899.792,26.515,0.493
1899,11,1899.875,26.593,0.671
1899,12,1899.958,25.960,0.713
1900,1,1900.042,26.236,1.813
1900,2,1900.125,26.545,0.781
1900,3,1900.208,26.197,0.687
1900,4,1900.292,26.051,1.005
1900,5,1900.375,25.922,0.590
1900,6,1900.458,25.519,0.477
1900,7,1900.542,25.900,0.957
1900,8,1900.625,26.430,0.464
1900,9,1900.708,26.387,0.490
1900,10,1900.792,26.390,0.495
1900,11,1900.875,25.941,0.556
1900,12,1900.958,26.020,0.577
1901,1,1901.042,26.137,0.643
1901,2,1901.125,25.884,0.718
1901,3,1901.208,26.050,0.409
1901,4,1901.292,26.395,1.409
1901,5,1901.375,26.616,0.948
1901,6,1901.458,25.863,1.028
1901,7,1901.542,26.381,1.303
1901,8,1901.625,26.109,0.679
1901,9,1901.708,25.819,1.395
1901,10,1901.792,25.592,0.983
1901,11,1901.875,25.960,0.861
1901,12,1901.958,26.116,0.856
1902,1,1902.042,26.075,0.652
1902,2,1902.125,26.269,0.897
1902,3,1902.208,25.920,0.847
1902,4,1902.292,25.867,0.928
1902,5,1902.375,26.425,0.871
1902,6,1902.458,25.804,1.282
1902,7,1902.542,26.125,1.743
1902,8,1902.625,25.756,1.188
1902,9,1902.708,25.599,0.703
1902,10,1902.792,25.745,1.381
1902,11,1902.875,26.170,1.441
1902,12,1902.958,26.213,1.072
1903,1,1903.042,25.784,0.506
1903,2,1903.125,26.004,0.778
1903,3,1903.208,26.287,1.483
1903,4,1903.292,25.904,0.954
1903,5,1903.375,26.210,0.853
1903,6,1903.458,26.473,1.216
1903,7,1903.542,26.106,0.909
1903,8,1903.625,26.423,1.448
1903,9,1903.708,25.586,0.927
1903,10,1903.792,25.889,0.410
1903,11,1903.875,25.661,0.357
1903,12,1903.958,25.517,0.964
1904,1,1904.042,25.010,1.088
1904,2,1904.125,25.271,0.352
1904,3,1904.208,25.302,0.465
