# Monthly average temperature data for San Marino.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1750,1,1750.042,12.276,1.443
1750,2,1750.125,13.030,1.844
1750,3,1750.208,16.222,2.360
1750,4,1750.292,14.693,1.268
1750,5,1750.375,12.725,1.260
1750,6,1750.458,14.678,1.365
1750,7,1750.542,14.690,1.391
1750,8,1750.625,14.944,1.234
1750,9,1750.708,14.143,1.980
1750,10,1750.792,13.900,1.189
1750,11,1750.875,11.168,1.277
1750,12,1750.958,11.790,1.481
1751,1,1751.042,12.166,1.518
1751,2,1751.125,11.143,1.413
1751,3,1751.208,15.303,1.255
1751,4,1751.292,12.485,1.215
1751,5,1751.375,13.280,1.306
1751,6,1751.458,13.783,1.372
1751,7,1751.542,15.415,1.365
1751,8,1751.625,15.629,1.187
1751,9,1751.708,14.252,1.145
1751,10,1751.792,13.356,1.339
1751,11,1751.875,10.844,1.378
1751,12,1751.958,11.634,1.801
1752,1,1752.042,12.983,1.707
1752,2,1752.125,15.420,1.459
1752,3,1752.208,14.434,1.185
1752,4,1752.292,13.087,1.299
1752,5,1752.375,13.487,1.262
1752,6,1752.458,16.382,1.183
1752,7,1752.542,14.787,1.293
1752,8,1752.625,13.121,1.479
1752,10,1752.792,14.041,1.269
1752,11,1752.875,13.706,1.337
1752,12,1752.958,12.794,1.608
1753,1,1753.042,12.178,1.462
1753,2,1753.125,12.865,1.374
1753,3,1753.208,15.075,1.139
1753,4,1753.292,14.653,1.312
1753,5,1753.375,14.599,1.020
1753,6,1753.458,15.959,1.341
1753,7,1753.542,15.132,1.336
1753,8,1753.625,13.681,1.167
1753,9,1753.708,13.813,1.047
1753,10,1753.792,13.880,1.105
1753,11,1753.875,12.456,1.193
1753,12,1753.958,13.017,2.297
1754,1,1754.042,12.884,1.449
1754,2,1754.125,11.373,1.321
1754,3,1754.208,10.844,1.014
1754,4,1754.292,14.782,1.422
1754,5,1754.375,15.235,1.160
1754,6,1754.458,15.560,1.200
1754,7,1754.542,14.255,1.401
1754,8,1754.625,14.841,1.198
1754,9,1754.708,13.720,1.193
1754,10,1754.792,15.376,1.384
1754,11,1754.875,15.084,2.100
1754,12,1754.958,13.939,1.409
1755,1,1755.042,10.453,1.298
1755,2,1755.125,10.151,1.400
1755,3,1755.208,13.607,1.155
1755,4,1755.292,17.792,2.036
1755,5,1755.375,14.549,1.065
1755,6,1755.458,16.878,1.580
1755,7,1755.542,14.481,2.314
1755,8,1755.625,13.080,1.329
1755,9,1755.708,12.906,1.065
1755,10,1755.792,14.456,0.995
1755,11,1755.875,12.277,2.041
1755,12,1755.958,14.313,1.324
1756,1,1756.042,14.105,1.713
1756,2,1756.125,15.210,4.706
1756,3,1756.208,14.709,3.077
1756,4,1756.292,13.552,2.354
1756,5,1756.375,14.584,5.093
1756,6,1756.458,15.942,1.880
1756,7,1756.542,14.167,7.770
1756,8,1756.625,15.153,1.475
1756,9,1756.708,14.238,1.542
1756,10,1756.792,13.467,8.220
1756,11,1756.875,11.421,1.092
1756,12,1756.958,12.740,1.493
1757,1,1757.042,11.640,1.446
1757,2,1757.125,14.200,2.092
1757,3,1757.208,13.496,3.842
1757,4,1757.292,15.028,2.232
1757,5,1757.375,15.568,1.973
1757,6,1757.458,16.278,1.804
1757,7,1757.542,16.932,3.178
1757,8,1757.625,16.109,4.192
1757,9,1757.708,13.485,6.482
1757,10,1757.792,10.994,5.793
1757,11,1757.875,12.336,8.183
1757,12,1757.958,12.711,1.627
1758,1,1758.042,10.471,6.780
1758,2,1758.125,11.365,1.839
1758,3,1758.208,13.985,1.320
1758,4,1758.292,13.950,3.814
1758,5,1758.375,13.721,4.825
1758,6,1758.458,15.142,3.710
1758,7,1758.542,12.446,3.706
1758,8,1758.625,13.117,5.910
1758,9,1758.708,12.288,2.032
1758,10,1758.792,11.787,1.100
1758,11,1758.875,14.085,1.435
1758,12,1758.958,14.512,1.301
1759,1,1759.042,15.617,1.525
1759,2,1759.125,15.637,6.635
1759,3,1759.208,14.374,4.143
1759,4,1759.292,14.273,5.590
1759,5,1759.375,13.683,3.794
1759,6,1759.458,15.079,4.365
1759,7,1759.542,15.388,4.518
1759,8,1759.625,14.197,1.417
1759,9,1759.708,14.394,2.197
1759,10,1759.792,14.341,5.510
1759,11,1759.875,10.552,6.462
1759,12,1759.958,13.600,2.783
1760,1,1760.042,13.105,6.471
1760,2,1760.125,12.623,8.143
1760,3,1760.208,12.557,3.142
1760,4,1760.292,16.123,1.270
1760,5,1760.375,14.532,3.024
1760,6,1760.458,15.064,1.842
1760,7,1760.542,14.554,1.496
1760,8,1760.625,13.685,6.082
1760,9,1760.708,13.176,1.561
1760,10,1760.792,14.043,1.773
1760,11,1760.875,13.630,6.464
1760,12,1760.958,13.809,3.143
1761,1,1761.042,12.589,1.611
1761,2,1761.125,13.494,4.638
1761,3,1761.208,15.282,1.373
1761,4,1761.292,14.147,1.418
1761,5,1761.375,15.752,2.180
1761,6,1761.458,15.301,2.240
1761,7,1761.542,16.201,1.200
1761,8,1761.625,14.917,3.070
1761,9,1761.708,15.138,3.145
1761,10,1761.792,12.123,2.515
1761,11,1761.875,12.940,8.204
1761,12,1761.958,11.267,1.731
1762,1,1762.042,14.202,9.631
1762,2,1762.125,13.148,2.824
1762,3,1762.208,11.438,6.078
1762,4,1762.292,16.194,2.874
1762,5,1762.375,15.283,4.485
1762,6,1762.458,13.732,2.819
1762,7,1762.542,15.301,2.870
1762,8,1762.625,14.499,2.413
1762,9,1762.708,14.018,3.949
1762,10,1762.792,13.043,4.464
1762,11,1762.875,13.408,2.149
1762,12,1762.958,10.773,2.988
1763,1,1763.042,10.692,6.874
1763,2,1763.125,14.799,7.112
1763,3,1763.208,12.749,3.633
1763,4,1763.292,13.975,3.895
1763,5,1763.375,12.503,5.102
1763,6,1763.458,13.722,6.850
1763,7,1763.542,15.117,1.713
1763,8,1763.625,15.304,4.771
1763,9,1763.708,13.256,4.458
1763,10,1763.792,12.282,1.618
1763,11,1763.875,12.539,3.747
1763,12,1763.958,14.455,2.485
1764,1,1764.042,14.456,2.239
1764,2,1764.125,15.739,2.446
1764,3,1764.208,12.387,2.401
1764,4,1764.292,13.372,7.266
1764,5,1764.375,15.821,1.710
1764,6,1764.458,14.767,4.839
1764,7,1764.542,14.319,5.022
1764,8,1764.625,12.692,1.427
1764,9,1764.708,12.862,5.245
1764,10,1764.792,12.746,2.819
1764,11,1764.875,12.939,3.890
1764,12,1764.958,15.163,3.699
1765,1,1765.042,17.429,10.250
1765,2,1765.125,12.488,3.830
1765,3,1765.208,15.174,2.807
1765,4,1765.292,14.798,1.661
1765,5,1765.375,13.535,1.738
1765,6,1765.458,14.240,4.012
1765,7,1765.542,12.343,4.863
1765,8,1765.625,13.466,2.467
1765,9,1765.708,13.835,1.337
1765,10,1765.792,14.193,1.444
1765,11,1765.875,13.751,3.113
1765,12,1765.958,12.376,2.119
1766,1,1766.042,9.695,8.235
1766,2,1766.125,12.126,2.985
1766,3,1766.208,14.334,2.355
1766,4,1766.292,14.815,4.140
1766,5,1766.375,14.831,3.130
1766,6,1766.458,15.328,8.155
1766,7,1766.542,12.929,4.953
1766,8,1766.625,14.375,3.611
1766,9,1766.708,13.979,2.846
1766,10,1766.792,13.564,2.898
1766,11,1766.875,15.667,3.835
1766,12,1766.958,12.837,4.061
1767,1,1767.042,7.597,7.066
1767,2,1767.125,14.912,8.636
1767,3,1767.208,14.655,7.757
1767,4,1767.292,12.510,6.746
1767,5,1767.375,13.148,2.371
1767,6,1767.458,13.567,4.200
1767,7,1767.542,14.807,5.151
1767,8,1767.625,13.825,2.427
1767,9,1767.708,13.536,3.777
1767,10,1767.792,14.207,3.664
1767,11,1767.875,14.987,10.238
1767,12,1767.958,11.521,4.881
1768,1,1768.042,10.202,5.560
1768,2,1768.125,11.110,6.811
1768,3,1768.208,12.415,5.174
1768,4,1768.292,14.628,2.066
1768,5,1768.375,13.904,2.882
1768,6,1768.458,12.964,2.153
1768,7,1768.542,14.934,2.610
1768,8,1768.625,14.540,2.065
1768,9,1768.708,12.785,3.177
1768,10,1768.792,13.334,2.528
1768,11,1768.875,13.652,5.368
1768,12,1768.958,12.196,8.650
1769,1,1769.042,15.287,7.638
1769,2,1769.125,12.844,5.127
1769,3,1769.208,13.313,5.577
1769,4,1769.292,14.460,5.300
1769,5,1769.375,14.174,6.195
1769,6,1769.458,14.671,2.894
1769,7,1769.542,13.583,2.594
1769,8,1769.625,13.591,4.238
1769,9,1769.708,14.092,1.243
1769,10,1769.792,10.052,2.781
1769,11,1769.875,13.932,1.581
1769,12,1769.958,12.832,3.579
1770,1,1770.042,12.533,6.843
1770,2,1770.125,14.248,2.842
1770,3,1770.208,12.640,2.199
1770,4,1770.292,13.529,6.961
1770,5,1770.375,13.349,1.604
1770,6,1770.458,13.749,5.028
1770,7,1770.542,12.659,2.294
1770,8,1770.625,13.424,4.973
1770,9,1770.708,14.942,2.115
1770,10,1770.792,13.980,3.213
1770,11,1770.875,14.345,7.765
1770,12,1770.958,13.954,4.741
1771,1,1771.042,15.305,2.214
1771,2,1771.125,11.678,1.960
1771,3,1771.208,12.346,3.529
1771,4,1771.292,11.508,4.415
1771,5,1771.375,15.487,8.171
1771,6,1771.458,13.146,2.689
1771,7,1771.542,14.431,1.474
1771,8,1771.625,14.304,2.693
1771,9,1771.708,14.004,2.227
1771,10,1771.792,14.388,1.396
1771,11,1771.875,11.304,2.139
1771,12,1771.958,14.637,3.470
1772,1,1772.042,15.387,8.495
1772,2,1772.125,16.531,11.052
1772,3,1772.208,15.921,2.783
1772,4,1772.292,14.758,3.099
1772,5,1772.375,12.985,1.514
1772,6,1772.458,15.617,6.410
1772,7,1772.542,15.077,3.379
1772,8,1772.625,14.606,4.546
1772,9,1772.708,14.326,3.371
1772,10,1772.792,14.933,2.050
1772,11,1772.875,15.829,6.345
1772,12,1772.958,15.473,3.821
1773,1,1773.042,14.710,2.310
1773,2,1773.125,12.338,3.357
1773,3,1773.208,12.733,2.247
1773,4,1773.292,13.994,2.446
1773,5,1773.375,14.882,2.508
1773,6,1773.458,12.866,2.194
1773,7,1773.542,12.777,2.366
1773,8,1773.625,12.956,2.237
1773,9,1773.708,14.985,2.342
1773,10,1773.792,15.205,2.178
1773,11,1773.875,13.226,7.068
1773,12,1773.958,16.395,4.929
1774,1,1774.042,13.455,6.935
1774,2,1774.125,14.163,7.457
1774,3,1774.208,15.076,2.439
1774,4,1774.292,15.559,5.926
1774,5,1774.375,15.265,1.971
1774,6,1774.458,15.296,9.870
1774,7,1774.542,14.780,9.182
1774,8,1774.625,15.757,2.567
1774,9,1774.708,13.569,2.023
1774,10,1774.792,12.649,6.368
1774,11,1774.875,11.034,4.893
1774,12,1774.958,10.334,6.105
1775,1,1775.042,13.316,6.763
1775,2,1775.125,15.904,2.004
1775,3,1775.208,15.300,1.327
1775,4,1775.292,13.362,3.379
1775,5,1775.375,12.901,6.214
1775,6,1775.458,14.786,6.128
1775,7,1775.542,14.865,3.398
1775,8,1775.625,14.816,5.132
