# Monthly average temperature data for Sao Tome And Principe.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1856,1,1856.042,25.398,0.938
1856,2,1856.125,24.519,2.220
1856,3,1856.208,24.803,1.222
1856,4,1856.292,24.695,0.919
1856,5,1856.375,24.262,0.967
1857,4,1857.292,23.977,0.791
1857,5,1857.375,23.905,0.855
1857,8,1857.625,24.240,1.022
1857,9,1857.708,24.081,0.811
1857,10,1857.792,24.029,0.922
1857,11,1857.875,24.414,0.867
1857,12,1857.958,24.704,1.169
1858,1,1858.042,25.152,1.394
1858,2,1858.125,24.555,0.935
1858,3,1858.208,24.596,0.839
1858,4,1858.292,25.315,0.984
1858,5,1858.375,24.566,0.962
1858,7,1858.542,24.173,1.107
1858,10,1858.792,24.552,0.956
1859,1,1859.042,25.183,1.147
1859,4,1859.292,25.755,0.973
1859,5,1859.375,25.249,0.815
1859,6,1859.458,25.060,0.726
1859,7,1859.542,24.937,0.856
1859,8,1859.625,24.849,0.812
1859,9,1859.708,24.306,0.728
1859,10,1859.792,24.699,0.883
1859,11,1859.875,24.765,1.104
1859,12,1859.958,25.220,1.300
1860,1,1860.042,25.805,1.618
1860,2,1860.125,25.582,1.570
1860,3,1860.208,24.878,2.373
1860,5,1860.375,24.953,0.765
1860,6,1860.458,25.266,0.751
1860,7,1860.542,25.181,0.784
1860,8,1860.625,25.111,0.827
1860,9,1860.708,25.060,0.796
1860,10,1860.792,24.696,0.769
1860,11,1860.875,24.210,0.977
1860,12,1860.958,23.645,1.073
1861,1,1861.042,23.761,1.559
1861,2,1861.125,24.348,0.987
1861,3,1861.208,24.469,0.903
1861,4,1861.292,24.411,1.178
1861,5,1861.375,24.565,0.723
1861,6,1861.458,24.898,0.860
1861,7,1861.542,24.864,0.889
1861,8,1861.625,24.778,0.751
1861,11,1861.875,24.557,1.050
1861,12,1861.958,24.642,0.960
1862,1,1862.042,23.985,1.275
1862,2,1862.125,24.087,0.881
1862,3,1862.208,24.955,0.977
1862,4,1862.292,24.869,1.308
1873,3,1873.208,25.008,0.948
1873,5,1873.375,25.381,1.052
1873,6,1873.458,26.479,2.109
1873,7,1873.542,26.294,1.697
1873,8,1873.625,25.809,1.187
1873,9,1873.708,25.686,2.011
1873,10,1873.792,24.689,1.366
1873,12,1873.958,25.112,1.009
1874,1,1874.042,25.660,1.142
1874,2,1874.125,24.822,0.965
1874,3,1874.208,24.817,1.241
1874,4,1874.292,24.969,0.834
1874,5,1874.375,24.580,1.809
1874,7,1874.542,25.369,0.694
1874,8,1874.625,24.903,0.935
1874,9,1874.708,25.214,0.559
1874,10,1874.792,24.908,0.635
1874,11,1874.875,24.420,1.007
1874,12,1874.958,24.738,0.762
1875,1,1875.042,24.249,0.647
1875,2,1875.125,24.507,1.077
1875,3,1875.208,24.454,0.716
1875,4,1875.292,24.831,0.575
1875,5,1875.375,25.220,1.274
1875,6,1875.458,25.753,1.181
1875,7,1875.542,25.802,1.230
1875,8,1875.625,25.554,1.513
1875,9,1875.708,24.867,0.929
1875,10,1875.792,24.259,0.850
1875,11,1875.875,23.863,0.710
1875,12,1875.958,23.951,0.915
1876,1,1876.042,23.712,1.833
1876,2,1876.125,23.531,1.997
1876,3,1876.208,23.458,2.515
1876,5,1876.375,24.437,0.729
1876,6,1876.458,25.120,0.631
1876,10,1876.792,25.457,1.341
1876,11,1876.875,24.853,1.660
1876,12,1876.958,24.830,2.217
1877,1,1877.042,24.852,0.684
1877,2,1877.125,24.591,0.855
1877,3,1877.208,24.893,0.824
1877,4,1877.292,24.850,0.712
1877,5,1877.375,24.786,0.802
1877,6,1877.458,25.810,1.114
1877,7,1877.542,25.649,0.755
1877,8,1877.625,25.966,0.794
1877,9,1877.708,25.286,0.420
1877,10,1877.792,25.330,0.435
1877,11,1877.875,25.318,0.728
1877,12,1877.958,25.453,1.360
1878,1,1878.042,25.104,0.797
1878,2,1878.125,25.258,1.399
1878,3,1878.208,25.886,1.440
1878,4,1878.292,25.494,1.062
1878,5,1878.375,24.757,0.715
1878,6,1878.458,25.185,1.154
1878,7,1878.542,24.737,2.277
1878,8,1878.625,24.349,2.522
1878,9,1878.708,24.765,1.320
1878,10,1878.792,24.955,1.010
1878,11,1878.875,24.574,1.963
1878,12,1878.958,24.452,1.421
1879,1,1879.042,24.003,1.557
1879,2,1879.125,24.493,0.846
1879,3,1879.208,23.871,1.587
1879,4,1879.292,24.199,0.938
1879,5,1879.375,24.171,1.116
1879,6,1879.458,24.352,1.262
1879,7,1879.542,24.150,1.375
1879,8,1879.625,24.370,0.842
1879,9,1879.708,24.367,0.717
1879,10,1879.792,24.475,1.608
1879,11,1879.875,24.512,0.357
1879,12,1879.958,24.226,0.727
1880,1,1880.042,24.197,0.632
1880,2,1880.125,24.184,1.028
1880,3,1880.208,23.912,0.648
1880,4,1880.292,24.272,0.788
1880,5,1880.375,24.319,0.524
1880,6,1880.458,24.369,0.650
1880,7,1880.542,25.437,0.713
1880,8,1880.625,25.398,0.403
1880,9,1880.708,24.830,0.733
1880,10,1880.792,24.901,0.769
1880,11,1880.875,24.936,0.416
1880,12,1880.958,25.067,0.865
1881,1,1881.042,24.898,0.865
1881,2,1881.125,25.286,1.412
1881,3,1881.208,25.323,1.656
1881,4,1881.292,25.082,0.654
1881,5,1881.375,25.043,1.232
1881,6,1881.458,24.442,0.842
1881,7,1881.542,25.346,0.656
1881,8,1881.625,24.560,1.299
1881,9,1881.708,24.901,0.635
1881,10,1881.792,25.221,1.466
1881,11,1881.875,24.981,0.734
1881,12,1881.958,25.495,1.487
1882,1,1882.042,25.377,0.604
1882,2,1882.125,25.108,0.747
1882,3,1882.208,24.993,0.558
1882,4,1882.292,24.483,0.899
1882,5,1882.375,24.588,0.547
1882,6,1882.458,24.548,0.755
1882,7,1882.542,24.701,0.352
1882,8,1882.625,24.568,1.299
1882,9,1882.708,25.125,0.571
1882,10,1882.792,24.774,0.612
1882,11,1882.875,24.763,0.664
1882,12,1882.958,24.274,0.716
1883,1,1883.042,24.328,0.672
1883,2,1883.125,24.305,0.838
1883,3,1883.208,25.483,1.676
1883,4,1883.292,25.775,1.656
1883,5,1883.375,25.249,0.854
1883,6,1883.458,25.372,0.799
1883,7,1883.542,25.728,0.972
1883,8,1883.625,25.711,1.968
1883,9,1883.708,25.298,1.709
1883,10,1883.792,25.206,0.903
1883,11,1883.875,24.911,1.064
1883,12,1883.958,24.859,0.556
1884,1,1884.042,24.662,0.525
1884,2,1884.125,25.561,1.245
1884,3,1884.208,24.916,1.364
1884,4,1884.292,24.909,0.603
1884,5,1884.375,24.984,1.248
1884,6,1884.458,25.163,1.600
1884,7,1884.542,24.748,0.784
1884,8,1884.625,24.785,0.710
1884,9,1884.708,24.651,0.812
1884,10,1884.792,24.620,0.684
1884,11,1884.875,24.301,0.724
1884,12,1884.958,24.585,0.715
1885,1,1885.042,24.131,0.740
1885,2,1885.125,24.750,0.817
1885,3,1885.208,24.852,0.719
1885,4,1885.292,24.847,0.715
1885,5,1885.375,25.503,0.740
1885,6,1885.458,25.512,0.740
1885,7,1885.542,25.847,0.795
1885,8,1885.625,25.233,0.712
1885,9,1885.708,24.567,0.704
1885,10,1885.792,24.638,0.724
1885,11,1885.875,24.423,0.715
1885,12,1885.958,24.851,0.893
1886,1,1886.042,24.988,0.951
1886,2,1886.125,25.029,0.351
1886,3,1886.208,24.975,0.453
1886,4,1886.292,25.030,0.584
1886,5,1886.375,24.812,0.580
1886,6,1886.458,25.724,0.650
1886,7,1886.542,25.261,0.698
1886,8,1886.625,25.102,0.383
1886,9,1886.708,25.382,1.100
1886,10,1886.792,24.921,0.492
1886,11,1886.875,24.777,0.505
1886,12,1886.958,24.215,1.512
1887,1,1887.042,24.080,0.568
1887,2,1887.125,24.379,0.486
1887,3,1887.208,24.353,1.020
1887,4,1887.292,24.388,0.412
1887,5,1887.375,24.170,1.092
1887,6,1887.458,23.808,0.620
1887,7,1887.542,23.757,2.030
1887,8,1887.625,23.589,1.350
1887,9,1887.708,24.447,0.690
1887,10,1887.792,24.457,0.561
1887,11,1887.875,24.780,0.451
1887,12,1887.958,24.311,0.408
1888,1,1888.042,24.462,1.069
1888,2,1888.125,24.881,1.966
1888,3,1888.208,25.298,1.944
1888,4,1888.292,24.680,1.168
1888,5,1888.375,24.465,0.535
1888,6,1888.458,24.525,0.503
1888,7,1888.542,24.010,0.979
1888,8,1888.625,24.139,0.510
1888,9,1888.708,24.544,0.510
1888,10,1888.792,24.322,0.385
1888,11,1888.875,24.911,0.509
1888,12,1888.958,24.697,0.870
1889,1,1889.042,24.608,0.990
1889,2,1889.125,25.033,0.975
1889,3,1889.208,25.391,0.710
1889,4,1889.292,25.342,0.787
1889,5,1889.375,25.336,0.995
1889,6,1889.458,25.678,1.354
1889,7,1889.542,25.044,0.649
1889,8,1889.625,24.750,0.868
1889,9,1889.708,24.502,0.573
1889,10,1889.792,24.532,0.377
1889,11,1889.875,24.601,1.372
1889,12,1889.958,24.780,1.059
1890,1,1890.042,24.383,0.703
1890,2,1890.125,24.004,0.812
1890,3,1890.208,23.810,1.242
1890,4,1890.292,23.786,0.898
1890,5,1890.375,24.118,0.530
1890,6,1890.458,23.942,1.020
1890,7,1890.542,24.026,1.037
1890,8,1890.625,24.051,0.719
1890,9,1890.708,24.190,0.539
1890,10,1890.792,24.217,0.632
1890,11,1890.875,24.245,0.649
1890,12,1890.958,24.431,0.516
1891,1,1891.042,24.443,0.652
1891,2,1891.125,24.249,0.533
1891,3,1891.208,23.854,0.790
1891,4,1891.292,24.230,0.840
1891,5,1891.375,24.108,0.375
1891,6,1891.458,24.316,0.478
1891,7,1891.542,23.897,0.594
1891,8,1891.625,24.222,0.503
1891,9,1891.708,24.562,0.436
1891,10,1891.792,24.489,0.254
1891,11,1891.875,24.683,0.266
1891,12,1891.958,25.125,0.591
1892,1,1892.042,24.905,0.458
1892,2,1892.125,24.668,0.442
1892,3,1892.208,24.562,0.951
1892,4,1892.292,24.355,1.176
1892,5,1892.375,24.212,0.507
1892,6,1892.458,24.625,0.645
1892,7,1892.542,24.611,0.676
1892,8,1892.625,24.519,0.414
1892,9,1892.708,24.484,0.547
1892,10,1892.792,24.151,0.472
1892,11,1892.875,24.598,1.139
1892,12,1892.958,24.784,0.693
1893,1,1893.042,24.410,1.276
1893,2,1893.125,24.168,0.707
1893,3,1893.208,24.293,0.703
1893,4,1893.292,24.100,1.097
1893,5,1893.375,25.162,1.489
1893,6,1893.458,24.974,1.651
1893,7,1893.542,25.151,1.528
1893,8,1893.625,25.411,0.902
1893,9,1893.708,24.370,0.984
1893,10,1893.792,24.441,0.596
1893,11,1893.875,25.138,0.568
1893,12,1893.958,24.924,0.710
1894,1,1894.042,25.032,0.888
1894,2,1894.125,24.917,0.425
1894,3,1894.208,24.794,0.498
1894,4,1894.292,24.575,1.023
1894,5,1894.375,24.557,1.117
1894,6,1894.458,24.678,0.531
1894,7,1894.542,25.109,0.699
1894,8,1894.625,24.854,0.547
1894,9,1894.708,24.635,0.422
1894,10,1894.792,24.411,0.730
1894,11,1894.875,25.056,0.846
1894,12,1894.958,25.117,0.441
1895,1,1895.042,25.073,0.815
1895,2,1895.125,24.896,0.826
1895,3,1895.208,24.563,0.568
1895,4,1895.292,24.802,0.975
1895,5,1895.375,25.472,1.087
1895,6,1895.458,25.032,0.474
1895,7,1895.542,24.798,0.488
1895,8,1895.625,24.783,0.590
1895,9,1895.708,25.010,0.748
1895,10,1895.792,24.655,0.449
1895,11,1895.875,25.633,1.237
1895,12,1895.958,25.323,0.396
1896,1,1896.042,25.148,0.829
1896,2,1896.125,25.260,0.274
1896,3,1896.208,24.700,0.406
1896,4,1896.292,25.286,0.661
1896,5,1896.375,24.668,0.922
1896,6,1896.458,24.071,1.442
1896,7,1896.542,24.938,0.781
1896,8,1896.625,24.284,1.358
1896,9,1896.708,24.640,1.189
1896,10,1896.792,24.960,0.842
1896,11,1896.875,25.308,0.660
1896,12,1896.958,25.665,0.754
1897,1,1897.042,25.219,0.839
1897,2,1897.125,25.182,0.928
1897,3,1897.208,25.189,1.145
1897,4,1897.292,24.842,1.343
1897,5,1897.375,25.154,0.997
1897,6,1897.458,24.931,0.902
1897,7,1897.542,25.687,0.863
1897,8,1897.625,25.519,1.142
1897,9,1897.708,25.473,1.487
1897,10,1897.792,25.311,1.693
1897,11,1897.875,24.951,1.365
1897,12,1897.958,25.336,0.551
1898,1,1898.042,24.857,1.336
1898,2,1898.125,24.673,0.567
1898,3,1898.208,24.775,1.027
1898,4,1898.292,24.896,0.914
1898,5,1898.375,25.059,0.935
1898,6,1898.458,24.590,0.749
1898,7,1898.542,24.499,0.579
1898,8,1898.625,24.345,0.537
1898,9,1898.708,24.431,0.559
1898,10,1898.792,24.626,0.816
1898,11,1898.875,25.278,0.823
1898,12,1898.958,24.925,0.873
1899,1,1899.042,24.588,0.587
1899,2,1899.125,25.507,1.798
1899,3,1899.208,25.492,1.112
1899,4,1899.292,25.382,1.304
1899,5,1899.375,25.767,0.859
1899,6,1899.458,25.426,0.695
1899,7,1899.542,26.062,0.724
1899,8,1899.625,25.787,0.943
1899,9,1899.708,25.622,0.847
1899,10,1899.792,25.272,0.851
1899,11,1899.875,25.798,1.008
1899,12,1899.958,25.322,0.635
1900,1,1900.042,24.698,0.482
1900,2,1900.125,25.403,0.652
1900,3,1900.208,25.885,0.748
1900,4,1900.292,25.521,0.588
1900,5,1900.375,25.617,0.615
1900,6,1900.458,25.403,0.822
1900,7,1900.542,25.284,0.808
1900,8,1900.625,24.821,0.947
1900,9,1900.708,25.572,0.596
1900,10,1900.792,25.565,0.624
1900,11,1900.875,25.587,0.749
1900,12,1900.958,25.445,0.436
1901,1,1901.042,25.161,0.702
1901,2,1901.125,25.451,0.631
1901,3,1901.208,25.225,0.834
1901,4,1901.292,25.203,0.453
1901,5,1901.375,25.366,0.567
1901,6,1901.458,25.840,0.522
1901,7,1901.542,25.948,0.783
1901,8,1901.625,25.860,0.714
1901,9,1901.708,25.601,0.638
1901,10,1901.792,24.945,0.594
1901,11,1901.875,25.434,1.383
1901,12,1901.958,25.320,1.372
1902,1,1902.042,24.714,1.186
1902,2,1902.125,24.775,0.807
1902,3,1902.208,24.987,0.519
1902,4,1902.292,24.925,0.577
1902,5,1902.375,25.220,0.488
1902,6,1902.458,25.328,1.012
1902,7,1902.542,25.327,0.439
1902,8,1902.625,24.749,1.184
1902,9,1902.708,24.879,1.210
1902,10,1902.792,24.846,0.924
1902,11,1902.875,25.438,0.869
1902,12,1902.958,25.003,1.472
1903,1,1903.042,25.022,1.054
1903,2,1903.125,24.278,0.918
1903,3,1903.208,25.037,0.684
1903,4,1903.292,25.109,0.634
1903,5,1903.375,25.022,0.539
1903,6,1903.458,24.676,0.536
1903,7,1903.542,25.025,1.134
1903,8,1903.625,25.205,0.786
1903,9,1903.708,24.522,1.673
1903,10,1903.792,24.842,0.650
1903,11,1903.875,24.465,1.126
1903,12,1903.958,24.816,0.361
1904,1,1904.042,24.465,0.903
1904,2,1904.125,23.701,0.692
1904,3,1904.208,24.502,0.485
1904,4,1904.292,23.918,1.414
1904,5,1904.375,24.509,0.910
1904,6,1904.458,25.001,0.980
1904,7,1904.542,24.323,0.941
1904,8,1904.625,24.362,1.217
1904,9,1904.708,24.185,0.952
1904,10,1904.792,24.312,0.641
1904,11,1904.875,24.556,0.588
1904,12,1904.958,24.802,0.711
1905,1,1905.042,25.740,0.693
1905,2,1905.125,25.469,0.966
1905,3,1905.208,25.345,1.055
1905,4,1905.292,25.368,1.046
1905,5,1905.375,25.698,0.715
1905,6,1905.458,24.816,0.727
1905,7,1905.542,24.949,0.687
1905,8,1905.625,24.733,0.956
1905,9,1905.708,24.613,1.032
1905,10,1905.792,24.806,1.104
1905,11,1905.875,25.101,0.611
1905,12,1905.958,25.338,0.712
1906,1,1906.042,25.064,0.718
1906,2,1906.125,25.442,0.785
1906,3,1906.208,25.678,0.757
1906,4,1906.292,24.942,0.476
1906,5,1906.375,24.578,0.436
1906,6,1906.458,25.009,0.473
1906,7,1906.542,24.974,0.590
1906,8,1906.625,25.439,0.801
1906,9,1906.708,25.108,0.852
1906,10,1906.792,24.924,0.549
1906,11,1906.875,24.762,0.844
1906,12,1906.958,25.288,0.514
1907,1,1907.042,25.136,0.543
1907,2,1907.125,24.751,0.581
1907,3,1907.208,25.424,0.434
1907,4,1907.292,24.804,0.645
1907,5,1907.375,25.052,0.763
1907,6,1907.458,25.165,0.653
1907,7,1907.542,25.021,0.710
1907,8,1907.625,25.279,0.417
1907,9,1907.708,25.024,0.761
1907,10,1907.792,24.622,0.746
