# Monthly average temperature data for Saudi Arabia.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1880,8,1880.625,25.324,1.041
1880,9,1880.708,25.382,1.353
1880,10,1880.792,25.515,1.036
1880,11,1880.875,25.269,0.898
1880,12,1880.958,24.833,1.067
1881,1,1881.042,26.026,0.943
1881,2,1881.125,25.469,0.972
1881,3,1881.208,25.354,1.140
1881,4,1881.292,26.156,0.965
1881,5,1881.375,25.619,1.114
1881,6,1881.458,25.302,1.370
1881,7,1881.542,25.879,1.029
1881,8,1881.625,26.128,1.516
1881,9,1881.708,25.662,1.202
1881,10,1881.792,25.737,1.001
1881,11,1881.875,25.136,1.059
1881,12,1881.958,25.062,0.943
1882,1,1882.042,24.887,0.946
1882,2,1882.125,23.822,1.285
1882,3,1882.208,24.219,1.022
1882,4,1882.292,25.245,1.007
1882,5,1882.375,24.529,0.945
1882,6,1882.458,24.673,0.913
1882,7,1882.542,24.593,0.988
1882,8,1882.625,25.367,0.932
1882,9,1882.708,25.234,0.955
1882,10,1882.792,24.827,0.928
1882,11,1882.875,24.010,0.974
1882,12,1882.958,25.545,1.412
1883,1,1883.042,24.915,1.092
1883,2,1883.125,24.553,1.293
1883,3,1883.208,25.401,1.017
1883,4,1883.292,25.192,0.988
1883,5,1883.375,25.029,0.923
1883,6,1883.458,25.753,0.883
1883,7,1883.542,24.609,1.568
1883,8,1883.625,24.931,0.921
1883,9,1883.708,25.107,0.836
1883,10,1883.792,25.787,0.786
1883,11,1883.875,24.347,0.856
1883,12,1883.958,25.149,0.778
1884,1,1884.042,24.452,0.966
1884,2,1884.125,23.736,0.991
1884,3,1884.208,24.677,1.079
1884,4,1884.292,25.580,0.864
1884,5,1884.375,24.034,0.871
1884,6,1884.458,25.055,0.919
1884,7,1884.542,24.957,0.937
1884,8,1884.625,25.288,0.871
1884,9,1884.708,24.873,1.277
1884,10,1884.792,24.905,0.862
1884,11,1884.875,24.285,0.885
1884,12,1884.958,25.395,0.883
1885,1,1885.042,24.583,1.308
1885,2,1885.125,24.963,0.959
1885,3,1885.208,24.568,0.927
1885,4,1885.292,24.732,1.275
1885,5,1885.375,25.797,0.904
1885,6,1885.458,24.761,1.249
1885,7,1885.542,25.627,1.272
1885,8,1885.625,25.277,1.263
1885,9,1885.708,24.584,1.247
1885,10,1885.792,24.997,1.335
1885,11,1885.875,25.087,0.877
1885,12,1885.958,25.641,1.016
1886,1,1886.042,24.478,1.227
1886,2,1886.125,24.491,1.059
1886,3,1886.208,24.467,1.569
1886,4,1886.292,25.127,1.037
1886,5,1886.375,24.786,0.831
1886,6,1886.458,25.719,0.941
1886,7,1886.542,25.850,0.886
1886,8,1886.625,24.968,0.900
1886,9,1886.708,24.756,0.844
