# Monthly average temperature data for Senegal.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1849,1,1849.042,27.589,1.276
1849,2,1849.125,27.632,1.637
1849,3,1849.208,28.034,1.743
1849,4,1849.292,27.160,1.075
1849,5,1849.375,27.055,0.996
1849,6,1849.458,27.288,1.022
1849,7,1849.542,27.479,1.533
1849,8,1849.625,27.081,0.958
1849,9,1849.708,27.206,0.937
1849,10,1849.792,27.514,1.019
1849,11,1849.875,27.570,1.661
1849,12,1849.958,27.705,2.272
1850,1,1850.042,27.086,1.596
1850,2,1850.125,27.882,1.771
1850,3,1850.208,27.948,1.382
1850,4,1850.292,27.508,1.261
1850,5,1850.375,27.109,1.420
1850,6,1850.458,27.624,0.959
1850,7,1850.542,27.417,1.386
1850,8,1850.625,27.332,1.111
1850,9,1850.708,27.535,1.002
1850,10,1850.792,27.030,1.024
1850,11,1850.875,27.128,1.276
1850,12,1850.958,27.994,1.101
1851,1,1851.042,27.833,0.962
1851,2,1851.125,27.466,1.315
1851,3,1851.208,27.493,1.165
1851,4,1851.292,27.669,1.377
1851,5,1851.375,27.651,1.177
1851,6,1851.458,27.524,1.115
1851,7,1851.542,27.817,1.081
1851,8,1851.625,27.423,0.905
1851,9,1851.708,27.620,1.048
1851,10,1851.792,27.558,1.703
1851,11,1851.875,27.116,1.306
1851,12,1851.958,28.306,1.390
1857,9,1857.708,30.415,5.717
1858,3,1858.208,26.917,1.818
1858,4,1858.292,27.440,2.284
1858,5,1858.375,27.324,1.193
1858,6,1858.458,29.160,2.401
1858,7,1858.542,28.752,2.182
1858,8,1858.625,29.044,3.361
1858,9,1858.708,29.088,3.150
1858,11,1858.875,27.884,1.244
1858,12,1858.958,26.437,2.165
1859,1,1859.042,27.164,1.522
1859,3,1859.208,27.058,2.161
1859,4,1859.292,31.060,4.215
1859,5,1859.375,30.806,4.883
1859,6,1859.458,29.999,3.685
1859,9,1859.708,27.797,1.007
1860,1,1860.042,26.552,2.168
1860,2,1860.125,26.384,2.131
1860,3,1860.208,28.407,2.790
1860,5,1860.375,26.958,2.231
1860,6,1860.458,27.207,1.859
1860,7,1860.542,26.723,2.867
1860,8,1860.625,27.131,1.781
1860,9,1860.708,26.186,3.328
1860,10,1860.792,25.536,4.348
1860,11,1860.875,25.450,3.676
1862,1,1862.042,26.878,1.636
1862,2,1862.125,25.559,1.034
1862,3,1862.208,25.377,1.490
1862,4,1862.292,25.639,1.917
1862,6,1862.458,26.950,1.385
1862,7,1862.542,28.473,1.035
1862,8,1862.625,28.266,1.218
1862,9,1862.708,28.405,0.943
1862,10,1862.792,27.674,0.758
1862,12,1862.958,26.422,1.676
1865,1,1865.042,28.686,1.333
1865,2,1865.125,28.086,1.672
1865,3,1865.208,27.986,1.674
1865,4,1865.292,27.657,1.402
1865,5,1865.375,27.921,1.262
1865,6,1865.458,27.635,0.967
1865,7,1865.542,27.977,1.371
1865,8,1865.625,27.404,1.221
1865,9,1865.708,27.835,1.055
1865,10,1865.792,28.118,0.982
1865,11,1865.875,28.315,1.093
1865,12,1865.958,27.266,1.409
1866,1,1866.042,27.562,1.697
1866,2,1866.125,27.148,1.560
1866,3,1866.208,27.217,1.601
1866,5,1866.375,27.338,1.298
1866,6,1866.458,27.547,1.294
1868,1,1868.042,27.952,0.950
1868,2,1868.125,27.811,1.270
1868,3,1868.208,26.301,1.449
1868,4,1868.292,26.187,1.001
