# Monthly average temperature data for Serbia.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1743,11,1743.875,9.625,2.515
1744,4,1744.292,12.179,2.653
1744,5,1744.375,8.829,2.473
1744,6,1744.458,8.817,2.403
1744,7,1744.542,9.367,2.397
1744,9,1744.708,9.253,2.489
1744,10,1744.792,9.096,2.500
1744,11,1744.875,9.550,2.435
1744,12,1744.958,9.435,2.500
1745,1,1745.042,8.382,2.505
1745,2,1745.125,8.546,2.531
1745,3,1745.208,8.463,2.500
1745,4,1745.292,9.671,2.511
1750,1,1750.042,10.161,3.020
1750,2,1750.125,10.535,3.656
1750,3,1750.208,11.107,2.801
1750,4,1750.292,9.878,2.787
1750,5,1750.375,9.832,2.840
1750,6,1750.458,9.669,3.078
1750,7,1750.542,11.691,3.493
1750,8,1750.625,10.199,3.999
1750,9,1750.708,9.036,3.074
1750,10,1750.792,7.115,2.735
1750,12,1750.958,8.477,3.221
1751,1,1751.042,9.336,3.014
1751,2,1751.125,6.773,3.520
1751,3,1751.208,11.026,3.384
1751,4,1751.292,8.975,2.805
1751,6,1751.458,10.772,3.189
1751,8,1751.625,10.592,3.937
1751,9,1751.708,8.586,2.995
1752,1,1752.042,7.688,3.095
1752,3,1752.208,10.802,3.074
1752,4,1752.292,9.595,2.806
1752,10,1752.792,8.986,2.688
1752,11,1752.875,10.187,2.486
1752,12,1752.958,10.359,2.498
1753,1,1753.042,7.618,3.766
1753,2,1753.125,6.740,6.748
1753,3,1753.208,9.978,4.977
1753,4,1753.292,9.785,3.299
1753,5,1753.375,10.126,2.506
1753,6,1753.458,11.759,3.212
1753,7,1753.542,11.339,2.896
1753,8,1753.625,9.695,4.973
1753,9,1753.708,10.621,3.140
1753,10,1753.792,9.670,3.596
1753,11,1753.875,7.519,2.708
1753,12,1753.958,6.550,6.647
1754,1,1754.042,7.341,6.191
1754,2,1754.125,4.717,7.547
1754,3,1754.208,6.751,4.553
1754,4,1754.292,10.783,2.811
1754,5,1754.375,10.367,6.206
1754,6,1754.458,10.985,4.329
1754,7,1754.542,10.058,3.015
1754,8,1754.625,9.826,3.399
1754,9,1754.708,9.102,3.142
1754,10,1754.792,10.550,3.619
1754,11,1754.875,9.526,3.045
1754,12,1754.958,9.407,2.812
1755,1,1755.042,5.272,5.631
1755,2,1755.125,4.443,7.514
1755,3,1755.208,8.714,4.906
1755,4,1755.292,12.313,3.784
1755,5,1755.375,10.697,3.155
1755,6,1755.458,12.673,7.415
1755,7,1755.542,10.052,2.369
1755,8,1755.625,9.033,2.553
1755,9,1755.708,9.179,3.341
1755,10,1755.792,9.345,5.919
1755,11,1755.875,8.313,5.422
1755,12,1755.958,8.842,4.950
1756,1,1756.042,10.503,4.182
1756,2,1756.125,11.244,5.293
1756,3,1756.208,9.606,5.495
1756,4,1756.292,9.922,3.148
1756,5,1756.375,11.819,5.785
1756,6,1756.458,11.869,4.590
1756,7,1756.542,10.243,2.440
1756,8,1756.625,9.435,5.005
1756,9,1756.708,10.841,3.553
1756,10,1756.792,8.085,3.586
1756,11,1756.875,6.366,3.686
1756,12,1756.958,7.612,7.831
1757,1,1757.042,6.417,4.646
1757,2,1757.125,9.530,4.726
1757,3,1757.208,9.423,5.084
1757,4,1757.292,9.589,4.664
1757,5,1757.375,10.962,4.908
1757,6,1757.458,13.157,5.695
1757,7,1757.542,13.638,6.694
1757,8,1757.625,12.407,7.797
1757,9,1757.708,10.232,5.288
1757,10,1757.792,6.423,3.509
1757,11,1757.875,7.022,4.603
1757,12,1757.958,6.204,8.802
1758,1,1758.042,5.119,8.037
1758,2,1758.125,7.681,4.307
1758,3,1758.208,9.029,4.301
1758,4,1758.292,8.360,3.702
1758,5,1758.375,9.332,3.174
1758,6,1758.458,10.641,3.883
1758,7,1758.542,9.158,6.652
1758,8,1758.625,8.636,3.656
1758,9,1758.708,7.700,2.971
1758,10,1758.792,5.582,4.228
1758,11,1758.875,9.959,6.609
1758,12,1758.958,9.339,3.900
1759,1,1759.042,11.814,4.628
1759,2,1759.125,10.130,7.072
1759,3,1759.208,9.410,3.609
1759,4,1759.292,7.939,3.956
1759,5,1759.375,8.869,2.745
1759,6,1759.458,10.457,4.225
1759,7,1759.542,10.461,4.240
1759,8,1759.625,10.470,4.700
1759,9,1759.708,10.602,5.570
1759,10,1759.792,9.855,3.788
1759,11,1759.875,6.108,4.699
1759,12,1759.958,7.011,6.576
1760,1,1760.042,7.524,4.070
1760,2,1760.125,8.030,4.372
1760,3,1760.208,7.345,3.941
1760,4,1760.292,10.172,6.224
1760,5,1760.375,9.750,2.783
1760,6,1760.458,9.854,2.832
1760,7,1760.542,10.109,3.504
1760,8,1760.625,9.987,4.164
1760,9,1760.708,9.781,3.671
1760,10,1760.792,8.725,3.169
1760,11,1760.875,8.460,3.015
1760,12,1760.958,9.764,2.660
1761,1,1761.042,7.871,7.044
1761,2,1761.125,10.077,4.414
1761,3,1761.208,11.175,2.892
1761,4,1761.292,8.562,3.745
1761,5,1761.375,11.722,4.087
1761,6,1761.458,12.406,5.660
1761,7,1761.542,12.992,4.410
1761,8,1761.625,11.145,2.962
1761,9,1761.708,11.090,5.569
1761,10,1761.792,7.903,4.065
1761,11,1761.875,7.629,3.922
1761,12,1761.958,5.143,3.413
1762,1,1762.042,12.043,3.471
1762,2,1762.125,10.112,8.211
1762,3,1762.208,7.340,6.312
1762,4,1762.292,11.221,3.417
1762,5,1762.375,10.214,6.410
1762,6,1762.458,10.605,4.358
1762,7,1762.542,11.504,4.082
1762,8,1762.625,9.309,2.682
1762,9,1762.708,8.586,5.208
1762,10,1762.792,7.213,3.337
1762,11,1762.875,8.589,3.638
1762,12,1762.958,6.434,6.228
1763,1,1763.042,6.913,7.153
1763,2,1763.125,10.116,3.395
1763,3,1763.208,7.667,5.530
1763,4,1763.292,9.398,2.573
1763,5,1763.375,8.870,3.228
1763,6,1763.458,9.164,4.429
1763,7,1763.542,11.710,2.514
1763,8,1763.625,10.796,4.639
1763,9,1763.708,8.510,2.402
1763,10,1763.792,6.604,6.291
1763,11,1763.875,7.548,3.052
1763,12,1763.958,10.699,2.924
1764,1,1764.042,10.568,3.922
1764,2,1764.125,12.555,2.694
1764,3,1764.208,9.070,3.071
1764,4,1764.292,9.008,4.662
1764,5,1764.375,11.191,2.630
1764,6,1764.458,9.725,3.174
1764,7,1764.542,9.966,4.878
1764,8,1764.625,8.700,2.468
1764,9,1764.708,8.932,4.916
1764,10,1764.792,9.334,3.019
1764,11,1764.875,8.877,2.919
1764,12,1764.958,11.246,4.199
1765,1,1765.042,12.800,8.942
1765,2,1765.125,8.568,3.902
1765,3,1765.208,11.324,2.777
1765,4,1765.292,10.750,2.568
1765,5,1765.375,9.099,2.862
1765,6,1765.458,9.315,6.830
1765,7,1765.542,8.845,5.225
1765,8,1765.625,9.955,3.021
1765,9,1765.708,9.528,2.610
1765,10,1765.792,9.711,2.581
1765,11,1765.875,9.417,3.642
1765,12,1765.958,8.404,2.690
1766,1,1766.042,6.016,7.863
1766,2,1766.125,8.792,3.231
1766,3,1766.208,10.466,2.815
1766,4,1766.292,10.551,3.437
1766,5,1766.375,11.077,3.190
1766,6,1766.458,10.749,6.569
1766,7,1766.542,9.130,4.275
1766,8,1766.625,10.117,3.051
1766,9,1766.708,10.455,3.325
1766,10,1766.792,9.199,2.844
1766,11,1766.875,10.849,3.911
1766,12,1766.958,8.375,3.991
1767,1,1767.042,3.892,7.352
1767,2,1767.125,10.426,7.627
1767,3,1767.208,11.063,7.629
1767,4,1767.292,8.085,5.318
1767,5,1767.375,9.430,3.683
1767,6,1767.458,10.548,3.232
1767,7,1767.542,10.797,4.262
1767,8,1767.625,10.842,2.721
1767,9,1767.708,10.293,4.312
1767,10,1767.792,10.261,3.422
1767,11,1767.875,11.139,8.292
1767,12,1767.958,6.682,4.704
1768,1,1768.042,4.806,5.318
1768,2,1768.125,6.014,8.173
1768,3,1768.208,7.311,3.782
1768,4,1768.292,9.968,2.491
1768,5,1768.375,9.120,2.900
1768,6,1768.458,9.421,3.426
1768,7,1768.542,11.125,3.718
1768,8,1768.625,10.202,3.527
1768,9,1768.708,9.268,3.313
1768,10,1768.792,8.957,3.994
1768,11,1768.875,8.816,4.457
1768,12,1768.958,8.309,5.928
1769,1,1769.042,10.991,5.963
1769,2,1769.125,8.721,3.527
1769,3,1769.208,9.476,4.550
1769,4,1769.292,10.598,5.982
1769,5,1769.375,10.684,6.047
1769,6,1769.458,11.539,3.231
1769,7,1769.542,9.974,3.950
1769,8,1769.625,9.936,4.128
1769,9,1769.708,10.337,2.253
1769,10,1769.792,5.665,3.186
1769,11,1769.875,7.827,2.520
1769,12,1769.958,6.986,3.227
1770,1,1770.042,8.583,5.477
1770,2,1770.125,9.786,4.873
1770,3,1770.208,7.404,2.444
1770,4,1770.292,10.546,7.712
1770,5,1770.375,9.495,2.219
1770,6,1770.458,8.957,3.503
1770,7,1770.542,8.223,5.370
1770,8,1770.625,9.081,4.839
1770,9,1770.708,10.392,2.975
1770,10,1770.792,10.220,2.748
1770,11,1770.875,9.655,6.265
1770,12,1770.958,10.461,3.405
1771,1,1771.042,11.703,2.769
1771,2,1771.125,5.942,3.690
1771,3,1771.208,7.236,4.291
1771,4,1771.292,7.290,4.488
1771,5,1771.375,10.348,6.488
1771,6,1771.458,10.106,2.386
1771,7,1771.542,10.317,2.748
1771,8,1771.625,10.550,2.428
1771,9,1771.708,10.336,2.480
1771,10,1771.792,10.807,2.141
1771,11,1771.875,6.537,2.997
1771,12,1771.958,9.158,5.258
1772,1,1772.042,10.985,6.638
1772,2,1772.125,10.723,7.835
1772,3,1772.208,10.295,3.355
1772,4,1772.292,10.641,3.178
1772,5,1772.375,8.369,2.633
1772,6,1772.458,10.708,5.040
1772,7,1772.542,11.236,3.507
1772,8,1772.625,10.524,5.069
1772,9,1772.708,10.124,3.312
1772,10,1772.792,10.375,2.838
1772,11,1772.875,11.650,4.941
1772,12,1772.958,11.039,4.001
1773,1,1773.042,9.408,2.154
1773,2,1773.125,7.943,3.815
1773,3,1773.208,8.406,2.627
1773,4,1773.292,10.155,4.516
1773,5,1773.375,11.892,3.521
1773,6,1773.458,8.948,2.645
1773,7,1773.542,9.382,2.373
1773,8,1773.625,9.082,3.404
1773,9,1773.708,11.051,2.604
1773,10,1773.792,10.936,3.026
1773,11,1773.875,8.119,6.365
1773,12,1773.958,12.329,4.669
1774,1,1774.042,9.121,8.444
1774,2,1774.125,10.567,7.522
1774,3,1774.208,10.781,2.725
1774,4,1774.292,12.164,5.265
1774,5,1774.375,12.173,2.786
1774,6,1774.458,11.368,7.687
1774,7,1774.542,11.631,8.476
1774,8,1774.625,11.115,3.191
1774,9,1774.708,9.442,2.304
1774,10,1774.792,9.077,5.704
1774,11,1774.875,5.547,4.023
1774,12,1774.958,6.674,4.875
1775,1,1775.042,9.877,6.865
1775,2,1775.125,12.294,6.836
1775,3,1775.208,11.711,2.911
1775,4,1775.292,8.964,2.275
1775,5,1775.375,8.719,3.567
1775,6,1775.458,10.492,6.197
1775,7,1775.542,10.824,3.359
1775,8,1775.625,11.669,8.335
1775,9,1775.708,10.478,5.294
1775,10,1775.792,11.321,4.851
1775,11,1775.875,10.560,5.821
1775,12,1775.958,7.519,2.251
1776,1,1776.042,6.326,8.179
1776,2,1776.125,11.137,7.526
1776,3,1776.208,10.539,6.590
1776,4,1776.292,9.317,2.281
1776,5,1776.375,8.744,4.607
1776,6,1776.458,10.083,2.461
1776,7,1776.542,9.963,2.733
1776,8,1776.625,10.832,2.446
1776,9,1776.708,8.817,3.778
1776,10,1776.792,8.477,2.304
1776,11,1776.875,8.241,7.779
1776,12,1776.958,8.517,3.587
1777,1,1777.042,9.612,2.394
1777,2,1777.125,9.912,5.370
1777,3,1777.208,10.656,2.789
1777,4,1777.292,7.975,2.727
1777,5,1777.375,9.981,4.034
1777,6,1777.458,9.524,5.200
1777,7,1777.542,8.702,3.389
1777,8,1777.625,9.936,1.981
1777,9,1777.708,9.147,3.211
1777,10,1777.792,8.469,2.114
1777,11,1777.875,9.605,6.564
1777,12,1777.958,7.882,6.628
1778,1,1778.042,10.894,6.864
1778,2,1778.125,9.747,3.081
1778,3,1778.208,10.097,6.720
1778,4,1778.292,12.631,3.081
1778,5,1778.375,10.855,2.193
1778,6,1778.458,9.149,2.110
1778,7,1778.542,11.751,3.792
1778,8,1778.625,10.212,3.073
1778,9,1778.708,9.731,3.143
1778,10,1778.792,9.012,2.143
1778,11,1778.875,8.735,7.303
1778,12,1778.958,11.095,7.063
1779,1,1779.042,7.677,4.805
1779,2,1779.125,12.133,5.145
1779,3,1779.208,11.331,4.036
1779,4,1779.292,12.496,3.802
1779,5,1779.375,12.776,2.513
1779,6,1779.458,8.273,4.607
1779,7,1779.542,8.911,2.946
1779,8,1779.625,9.651,2.031
1779,9,1779.708,10.827,2.429
1779,10,1779.792,10.783,3.979
1779,11,1779.875,10.000,2.855
1779,12,1779.958,11.942,4.245
1780,1,1780.042,9.432,4.314
1780,2,1780.125,7.669,6.752
1780,3,1780.208,11.916,4.616
1780,4,1780.292,11.107,4.463
1780,5,1780.375,12.300,6.599
1780,6,1780.458,10.417,4.865
1780,7,1780.542,10.710,2.931
1780,8,1780.625,9.427,5.293
1780,9,1780.708,8.423,3.106
1780,10,1780.792,11.212,2.676
1780,11,1780.875,10.259,2.282
1780,12,1780.958,7.883,4.498
1781,1,1781.042,9.432,6.529
1781,2,1781.125,9.204,4.764
1781,3,1781.208,10.263,2.053
1781,4,1781.292,10.662,2.840
1781,5,1781.375,11.055,3.438
1781,6,1781.458,10.565,2.162
1781,7,1781.542,11.175,2.950
1781,8,1781.625,12.477,2.291
1781,9,1781.708,11.453,4.614
1781,10,1781.792,8.304,1.873
1781,11,1781.875,10.936,5.593
1781,12,1781.958,9.185,4.642
1782,1,1782.042,9.681,3.276
1782,2,1782.125,5.861,6.085
1782,3,1782.208,8.711,6.587
1782,4,1782.292,9.633,3.797
1782,5,1782.375,9.863,2.447
1782,6,1782.458,10.825,2.950
1782,7,1782.542,11.820,3.931
1782,8,1782.625,11.617,4.687
1782,9,1782.708,9.851,2.865
1782,10,1782.792,9.106,3.421
1782,11,1782.875,7.337,3.961
1782,12,1782.958,9.016,2.835
1783,1,1783.042,10.134,6.764
1783,2,1783.125,12.815,4.017
1783,3,1783.208,9.445,2.505
1783,4,1783.292,10.111,2.461
1783,5,1783.375,11.951,4.814
1783,6,1783.458,11.269,2.236
1783,7,1783.542,10.338,2.658
1783,8,1783.625,10.902,2.995
1783,9,1783.708,10.512,2.425
1783,10,1783.792,10.101,4.014
1783,11,1783.875,7.302,3.229
1783,12,1783.958,5.946,5.049
1784,1,1784.042,8.018,4.338
1784,2,1784.125,7.263,2.499
1784,3,1784.208,9.401,5.029
1784,4,1784.292,8.543,7.712
1784,5,1784.375,11.489,2.253
1784,6,1784.458,10.490,3.486
1784,7,1784.542,10.889,3.178
1784,8,1784.625,11.687,8.376
1784,9,1784.708,10.933,3.194
1784,10,1784.792,7.094,2.498
1784,11,1784.875,8.355,3.923
1784,12,1784.958,9.605,4.067
1785,1,1785.042,7.989,3.454
1785,2,1785.125,7.046,2.508
1785,3,1785.208,4.469,5.808
1785,4,1785.292,7.719,2.763
1785,5,1785.375,10.098,3.072
1785,6,1785.458,9.645,4.937
1785,7,1785.542,9.966,4.184
1785,8,1785.625,10.332,2.860
