# Monthly average temperature data for Seychelles.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1892,1,1892.042,25.696,1.012
1892,2,1892.125,26.124,0.641
1892,3,1892.208,26.056,0.707
1892,4,1892.292,26.531,0.611
1892,5,1892.375,26.444,0.881
1892,6,1892.458,26.678,0.831
1892,7,1892.542,26.555,0.639
1892,8,1892.625,26.524,0.614
1892,9,1892.708,26.316,0.567
1892,10,1892.792,26.557,0.558
1892,11,1892.875,26.014,0.853
1892,12,1892.958,25.930,0.781
1893,1,1893.042,25.345,0.783
1893,2,1893.125,25.848,0.753
1893,3,1893.208,26.578,0.766
1893,4,1893.292,26.502,0.591
1893,5,1893.375,26.501,0.972
1893,6,1893.458,26.363,0.914
1893,7,1893.542,26.483,0.767
1893,8,1893.625,26.360,0.749
1893,9,1893.708,26.503,0.716
1893,10,1893.792,26.570,0.559
1893,11,1893.875,25.965,0.677
1893,12,1893.958,26.040,0.828
1894,1,1894.042,25.874,0.705
1894,2,1894.125,26.100,0.584
1894,3,1894.208,26.081,1.054
1894,4,1894.292,26.434,0.762
1894,5,1894.375,26.299,0.568
1894,6,1894.458,25.990,0.709
1894,7,1894.542,26.560,0.463
1894,8,1894.625,26.783,0.714
1894,9,1894.708,26.986,0.628
1894,10,1894.792,26.853,0.348
1894,11,1894.875,26.419,0.640
1894,12,1894.958,26.385,0.529
1895,1,1895.042,26.219,0.782
1895,2,1895.125,26.626,1.777
1895,3,1895.208,26.147,0.702
1895,4,1895.292,26.174,1.221
1895,5,1895.375,26.751,0.586
1895,6,1895.458,26.422,0.445
1895,7,1895.542,26.148,0.643
1895,8,1895.625,26.606,0.356
1895,9,1895.708,26.935,0.489
1895,10,1895.792,26.647,0.329
1895,11,1895.875,26.492,0.490
1895,12,1895.958,26.012,0.946
1896,1,1896.042,26.332,0.735
1896,2,1896.125,25.953,0.548
1896,3,1896.208,25.973,0.384
1896,4,1896.292,26.243,0.546
1896,5,1896.375,26.895,1.011
1896,6,1896.458,26.736,0.793
1896,7,1896.542,26.840,0.862
1896,8,1896.625,26.749,1.103
1896,9,1896.708,26.897,0.788
1896,10,1896.792,26.962,0.931
1896,11,1896.875,26.722,1.514
