# Monthly average temperature data for Sierra Leone.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1849,1,1849.042,25.722,1.168
1849,2,1849.125,25.625,1.544
1849,3,1849.208,25.881,1.747
1849,4,1849.292,24.906,0.953
1849,5,1849.375,25.122,0.858
1849,6,1849.458,25.405,0.877
1849,7,1849.542,25.425,1.785
1849,8,1849.625,25.391,0.832
1849,9,1849.708,25.167,0.676
1849,10,1849.792,25.608,0.863
1849,11,1849.875,25.613,1.781
1849,12,1849.958,25.765,2.786
1850,1,1850.042,25.431,1.793
1850,2,1850.125,25.978,1.775
1850,3,1850.208,25.849,1.333
1850,4,1850.292,25.300,1.143
1850,5,1850.375,25.177,1.236
1850,6,1850.458,25.667,0.743
1850,7,1850.542,25.386,1.791
1850,8,1850.625,25.520,1.320
1850,9,1850.708,25.483,0.822
1850,10,1850.792,25.026,0.890
1850,11,1850.875,25.304,1.359
1850,12,1850.958,26.063,1.028
1851,1,1851.042,25.942,0.734
1851,2,1851.125,25.532,1.180
1851,3,1851.208,25.435,1.049
1851,4,1851.292,25.527,1.263
1851,5,1851.375,25.512,1.068
1851,6,1851.458,25.276,1.320
1851,7,1851.542,25.681,1.263
1851,8,1851.625,25.507,0.794
1851,9,1851.708,25.293,1.052
1851,10,1851.792,25.359,1.847
1851,11,1851.875,25.205,1.217
1851,12,1851.958,25.698,1.296
1857,9,1857.708,27.231,3.546
1858,3,1858.208,25.013,1.212
1858,4,1858.292,25.532,1.635
1858,5,1858.375,25.289,1.056
1858,6,1858.458,26.787,1.566
1858,7,1858.542,26.199,1.373
1858,8,1858.625,26.495,2.081
1858,9,1858.708,26.255,1.992
1858,11,1858.875,25.655,0.968
1858,12,1858.958,24.545,1.537
1859,1,1859.042,25.407,1.291
1859,3,1859.208,25.237,1.651
1859,4,1859.292,28.030,2.544
1859,5,1859.375,27.831,3.062
1859,6,1859.458,27.316,2.305
1859,9,1859.708,25.628,0.831
1860,1,1860.042,25.311,1.772
1860,2,1860.125,25.223,1.531
1860,3,1860.208,26.249,2.083
1860,5,1860.375,25.182,1.601
1860,6,1860.458,25.548,1.249
1860,7,1860.542,25.286,1.928
1860,8,1860.625,25.694,1.238
1860,9,1860.708,24.945,2.127
1860,10,1860.792,24.507,2.874
1860,11,1860.875,23.934,2.391
1862,1,1862.042,24.725,1.512
1862,2,1862.125,23.796,0.921
1862,3,1862.208,24.103,1.547
1862,4,1862.292,24.197,1.816
1873,7,1873.542,26.134,1.196
1873,8,1873.625,25.960,0.796
1873,9,1873.708,26.303,0.645
1873,10,1873.792,25.676,0.701
1873,12,1873.958,25.852,0.644
1874,1,1874.042,25.055,0.791
1874,2,1874.125,25.485,0.743
1874,3,1874.208,24.581,0.651
1874,4,1874.292,26.208,0.720
1874,5,1874.375,25.401,1.006
