# Monthly average temperature data for Singapore.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1825,1,1825.042,25.655,2.245
1825,2,1825.125,25.529,1.530
1825,3,1825.208,25.802,1.732
1825,4,1825.292,26.504,2.314
1825,5,1825.375,26.593,1.215
1825,6,1825.458,26.919,1.175
1825,7,1825.542,27.215,2.656
1825,8,1825.625,26.076,2.399
1825,9,1825.708,25.853,1.970
1825,10,1825.792,25.931,1.818
1825,11,1825.875,25.951,1.977
1825,12,1825.958,25.433,1.534
1839,4,1839.292,25.939,1.551
1839,5,1839.375,25.788,0.751
1839,6,1839.458,26.199,0.710
1839,7,1839.542,26.500,1.186
1839,8,1839.625,25.972,2.366
1839,9,1839.708,25.669,1.083
1839,10,1839.792,25.881,2.064
1839,11,1839.875,25.155,1.186
1839,12,1839.958,25.381,2.146
1840,1,1840.042,26.238,1.819
1840,2,1840.125,25.537,0.990
1840,3,1840.208,25.574,2.003
1840,11,1840.875,26.133,3.115
1841,1,1841.042,25.215,1.653
1841,2,1841.125,26.027,2.121
1850,1,1850.042,25.601,1.013
1850,2,1850.125,26.326,1.991
1850,3,1850.208,26.110,1.276
1850,4,1850.292,25.973,1.164
1850,5,1850.375,25.910,1.582
1850,6,1850.458,26.388,0.755
1850,7,1850.542,26.840,0.678
1850,8,1850.625,26.365,0.925
1850,9,1850.708,25.884,0.734
1850,10,1850.792,25.840,0.903
1850,11,1850.875,25.559,1.143
1850,12,1850.958,25.989,0.997
1851,1,1851.042,26.435,0.797
1851,2,1851.125,26.165,1.056
1851,3,1851.208,25.702,0.822
1851,4,1851.292,25.918,1.009
1851,5,1851.375,26.173,0.962
1851,6,1851.458,26.464,0.815
1851,7,1851.542,26.524,0.868
1851,8,1851.625,26.170,0.698
1851,9,1851.708,26.049,1.052
1851,10,1851.792,26.161,1.356
1851,11,1851.875,25.447,0.962
1851,12,1851.958,26.158,1.251
1852,1,1852.042,25.814,1.795
1852,2,1852.125,25.819,1.022
1852,3,1852.208,25.555,1.570
1852,4,1852.292,26.000,0.772
1852,5,1852.375,26.231,1.067
1852,6,1852.458,26.504,0.905
1852,7,1852.542,26.593,0.602
1852,8,1852.625,26.012,0.773
1852,9,1852.708,26.320,0.860
1852,10,1852.792,25.826,0.993
1852,11,1852.875,25.517,1.464
1852,12,1852.958,25.916,1.645
1853,1,1853.042,25.963,1.230
1853,2,1853.125,25.939,1.681
1853,3,1853.208,25.882,0.807
1853,4,1853.292,26.112,0.714
1853,5,1853.375,26.274,0.708
1853,6,1853.458,26.336,1.021
1853,7,1853.542,26.552,1.295
1853,8,1853.625,26.355,0.987
1853,12,1853.958,26.561,1.339
1854,1,1854.042,26.311,1.247
1854,2,1854.125,25.458,0.636
1854,4,1854.292,25.925,0.963
1854,5,1854.375,25.448,1.851
1854,6,1854.458,26.272,0.670
1854,7,1854.542,26.964,0.928
1854,8,1854.625,26.205,0.930
1854,9,1854.708,26.065,0.615
1854,10,1854.792,26.139,2.075
1854,11,1854.875,25.744,1.518
1854,12,1854.958,25.765,2.889
1855,1,1855.042,26.657,1.305
1855,2,1855.125,25.518,2.710
1855,3,1855.208,25.923,0.798
1855,4,1855.292,26.460,1.323
1855,5,1855.375,26.632,0.616
1855,6,1855.458,26.458,1.008
1855,7,1855.542,26.484,0.726
1855,8,1855.625,26.483,0.778
1855,9,1855.708,26.366,1.440
1855,10,1855.792,24.936,1.821
1855,11,1855.875,25.867,0.660
