# Monthly average temperature data for Slovakia.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1750,1,1750.042,7.214,1.732
1750,2,1750.125,7.797,2.294
1750,3,1750.208,9.660,2.689
1750,4,1750.292,7.933,1.539
1750,5,1750.375,6.293,1.544
1750,6,1750.458,7.645,1.611
1750,7,1750.542,8.294,1.793
1750,8,1750.625,8.195,1.593
1750,9,1750.708,7.184,2.072
1750,10,1750.792,5.835,1.458
1750,11,1750.875,2.973,1.572
1750,12,1750.958,4.671,1.759
1751,1,1751.042,5.869,1.781
1751,2,1751.125,4.056,1.825
1751,3,1751.208,8.781,1.608
1751,4,1751.292,5.824,1.449
1751,5,1751.375,6.836,1.520
1751,6,1751.458,6.865,1.601
1751,7,1751.542,8.682,1.689
1751,8,1751.625,8.578,1.433
1751,9,1751.708,7.319,1.433
1751,10,1751.792,6.028,1.474
1751,11,1751.875,4.228,1.556
1751,12,1751.958,5.415,2.020
1752,1,1752.042,6.285,1.816
1752,2,1752.125,8.423,1.656
1752,3,1752.208,8.010,1.384
1752,4,1752.292,6.562,1.541
1752,5,1752.375,6.803,1.389
1752,6,1752.458,8.773,1.312
1752,7,1752.542,8.595,1.458
1752,8,1752.625,6.946,1.692
1752,10,1752.792,7.126,1.441
1752,11,1752.875,7.202,1.507
1752,12,1752.958,6.466,1.797
1753,1,1753.042,6.164,1.652
1753,2,1753.125,6.344,1.739
1753,3,1753.208,8.755,1.501
1753,4,1753.292,7.917,1.884
1753,5,1753.375,7.722,1.235
1753,6,1753.458,7.843,1.725
1753,7,1753.542,7.726,1.697
1753,8,1753.625,6.686,1.402
1753,9,1753.708,7.065,1.335
1753,10,1753.792,7.320,1.373
1753,11,1753.875,5.722,1.327
1753,12,1753.958,4.299,2.355
1754,1,1754.042,6.789,1.587
1754,2,1754.125,5.162,1.670
1754,3,1754.208,4.631,1.287
1754,4,1754.292,8.126,1.537
1754,5,1754.375,8.538,1.370
1754,6,1754.458,8.148,1.533
1754,7,1754.542,7.027,1.898
1754,8,1754.625,7.122,1.609
1754,9,1754.708,6.556,1.453
1754,10,1754.792,8.097,1.531
1754,11,1754.875,7.438,2.280
1754,12,1754.958,7.087,1.548
1755,1,1755.042,4.284,2.023
1755,2,1755.125,2.989,2.567
1755,3,1755.208,6.439,1.614
1755,4,1755.292,9.792,1.881
1755,5,1755.375,7.916,1.412
1755,6,1755.458,9.563,1.862
1755,7,1755.542,8.261,2.409
1755,8,1755.625,6.240,1.596
1755,9,1755.708,6.104,1.296
1755,10,1755.792,7.634,1.277
1755,11,1755.875,5.837,2.211
1755,12,1755.958,7.225,1.933
1756,1,1756.042,8.931,2.218
1756,2,1756.125,9.523,4.529
1756,3,1756.208,8.127,2.946
1756,4,1756.292,6.965,2.500
1756,5,1756.375,7.251,5.450
1756,6,1756.458,9.284,2.059
1756,7,1756.542,8.152,7.573
1756,8,1756.625,7.345,2.301
1756,9,1756.708,7.540,1.832
1756,10,1756.792,7.103,8.326
