# Monthly average temperature data for Solomon Islands.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1891,1,1891.042,25.937,0.667
1891,2,1891.125,25.684,0.748
1891,3,1891.208,26.104,0.744
1891,4,1891.292,26.211,0.547
1891,5,1891.375,26.239,0.720
1891,6,1891.458,26.273,0.739
1891,7,1891.542,26.298,0.653
1891,8,1891.625,26.302,0.694
1891,9,1891.708,25.972,0.770
1891,10,1891.792,25.806,0.570
1891,11,1891.875,25.936,0.706
1891,12,1891.958,26.263,0.649
1894,11,1894.875,25.285,0.770
1894,12,1894.958,25.895,0.662
1895,1,1895.042,26.481,0.880
1895,2,1895.125,26.477,1.028
1895,3,1895.208,25.816,0.588
1895,4,1895.292,26.265,0.621
1895,5,1895.375,26.405,0.663
1895,6,1895.458,26.363,0.574
1895,7,1895.542,26.400,0.536
1895,8,1895.625,26.359,0.760
1895,10,1895.792,26.214,0.553
1895,11,1895.875,25.843,0.665
1895,12,1895.958,26.224,0.540
1896,1,1896.042,25.253,0.662
1896,2,1896.125,26.268,0.619
1896,3,1896.208,25.720,0.626
1896,4,1896.292,26.455,1.110
1896,5,1896.375,26.222,0.671
1896,6,1896.458,26.129,0.998
1896,7,1896.542,26.075,1.438
1896,8,1896.625,25.703,1.264
1896,9,1896.708,25.870,1.327
1896,10,1896.792,24.819,1.128
1896,11,1896.875,26.322,0.829
1896,12,1896.958,26.102,1.029
1897,1,1897.042,26.721,0.856
1897,2,1897.125,26.576,0.691
1897,3,1897.208,26.311,0.609
1897,4,1897.292,25.790,0.776
1897,5,1897.375,26.344,0.847
1901,8,1901.625,27.090,0.727
1901,9,1901.708,26.833,0.821
1901,10,1901.792,26.997,0.790
1901,11,1901.875,25.482,0.618
1901,12,1901.958,26.172,1.010
1902,1,1902.042,26.847,0.748
1902,2,1902.125,26.417,0.930
1902,5,1902.375,25.876,0.714
1902,6,1902.458,26.132,0.826
1902,7,1902.542,25.728,0.479
1902,8,1902.625,26.018,0.628
1902,9,1902.708,25.589,0.400
1902,10,1902.792,25.603,0.417
1902,11,1902.875,24.779,0.527
1902,12,1902.958,26.360,0.713
1903,1,1903.042,26.792,0.661
1903,2,1903.125,26.247,1.095
1903,3,1903.208,26.138,0.404
1903,4,1903.292,26.138,0.409
1903,5,1903.375,26.363,0.427
1903,6,1903.458,26.659,0.474
1903,7,1903.542,26.691,0.378
1903,8,1903.625,26.272,0.344
1903,9,1903.708,26.217,0.524
1903,10,1903.792,25.983,0.952
1903,11,1903.875,25.770,0.698
1903,12,1903.958,26.284,0.573
1904,1,1904.042,26.486,0.674
