# Monthly average temperature data for Somalia.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1880,8,1880.625,26.595,0.995
1880,9,1880.708,26.856,1.726
1880,10,1880.792,26.602,0.928
1880,11,1880.875,26.582,0.854
1880,12,1880.958,26.829,1.343
1881,1,1881.042,26.404,1.106
1881,2,1881.125,26.906,1.097
1881,3,1881.208,27.349,1.508
1881,4,1881.292,27.470,0.844
1881,5,1881.375,27.223,0.913
1881,6,1881.458,26.205,0.841
1881,7,1881.542,26.983,0.942
1881,9,1881.708,27.028,1.361
1881,10,1881.792,27.185,1.304
1881,11,1881.875,26.600,1.122
1881,12,1881.958,26.584,0.955
1882,1,1882.042,27.266,0.790
1882,2,1882.125,27.150,0.865
1882,3,1882.208,26.633,0.993
1882,4,1882.292,26.718,0.865
1882,5,1882.375,27.145,0.999
1882,6,1882.458,26.265,0.766
1882,7,1882.542,25.893,1.055
1882,8,1882.625,26.536,0.837
1882,9,1882.708,26.836,0.894
1882,10,1882.792,26.486,0.916
1882,11,1882.875,25.985,0.897
1882,12,1882.958,25.843,1.395
1883,1,1883.042,26.408,1.145
1883,2,1883.125,26.364,1.536
1883,3,1883.208,26.796,0.913
1883,4,1883.292,26.765,0.998
1883,5,1883.375,26.697,0.787
1883,6,1883.458,26.681,0.840
1883,7,1883.542,25.408,2.288
1883,8,1883.625,26.414,0.764
1883,9,1883.708,26.539,1.124
1883,10,1883.792,26.918,0.756
1883,11,1883.875,26.085,1.093
1883,12,1883.958,26.351,0.786
1884,1,1884.042,26.360,0.826
1884,2,1884.125,26.385,0.861
1884,3,1884.208,26.297,1.654
1884,4,1884.292,26.267,0.826
1884,5,1884.375,26.060,0.750
1884,6,1884.458,25.807,0.890
1884,7,1884.542,26.540,1.006
1884,8,1884.625,26.640,0.789
1884,9,1884.708,26.977,1.959
1884,10,1884.792,26.177,0.810
1884,11,1884.875,25.885,0.791
1884,12,1884.958,26.663,1.115
1885,1,1885.042,26.223,1.720
1885,2,1885.125,26.779,1.311
1885,3,1885.208,26.164,0.821
1885,4,1885.292,27.225,1.995
1885,5,1885.375,26.508,0.886
1885,11,1885.875,26.416,0.932
1885,12,1885.958,26.797,0.796
1886,1,1886.042,26.387,1.583
1886,2,1886.125,26.134,1.229
1886,3,1886.208,26.719,2.135
1886,4,1886.292,27.218,1.271
1886,5,1886.375,26.624,0.834
1886,6,1886.458,26.497,0.850
1886,7,1886.542,27.367,1.162
1886,8,1886.625,26.743,0.987
1886,9,1886.708,26.495,0.943
1886,10,1886.792,26.810,1.252
1886,11,1886.875,26.474,1.250
1886,12,1886.958,26.620,0.817
1887,1,1887.042,26.021,1.957
1887,2,1887.125,26.373,1.100
1887,3,1887.208,26.381,1.089
1887,4,1887.292,26.447,0.909
1887,5,1887.375,26.711,0.854
1887,6,1887.458,26.271,0.855
1887,7,1887.542,26.192,1.055
1887,8,1887.625,25.622,1.190
1887,9,1887.708,26.657,0.910
1887,10,1887.792,25.886,1.363
1887,11,1887.875,26.220,0.827
1887,12,1887.958,26.320,1.143
1888,1,1888.042,26.231,0.906
1888,2,1888.125,26.249,0.892
1888,3,1888.208,26.007,0.817
1888,4,1888.292,27.313,1.709
1888,5,1888.375,26.804,0.884
1888,6,1888.458,26.549,0.920
1888,7,1888.542,26.934,0.758
1888,8,1888.625,27.212,1.283
1888,9,1888.708,26.911,1.159
1888,10,1888.792,26.459,1.296
1888,11,1888.875,26.775,0.967
1888,12,1888.958,26.629,0.818
1889,1,1889.042,26.527,0.900
1889,2,1889.125,27.363,0.830
1889,3,1889.208,26.635,0.914
1889,4,1889.292,27.005,1.072
1889,5,1889.375,27.049,0.821
1889,6,1889.458,26.581,0.866
1889,7,1889.542,26.661,0.863
1889,8,1889.625,26.269,1.001
1889,9,1889.708,26.846,1.238
1889,10,1889.792,26.442,0.749
1889,11,1889.875,26.038,0.891
1889,12,1889.958,26.040,0.775
1890,1,1890.042,26.449,0.870
1890,2,1890.125,26.480,0.921
1890,3,1890.208,26.380,1.441
1890,4,1890.292,26.919,1.055
