# Monthly average temperature data for South Africa.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1857,1,1857.042,16.145,1.632
1857,2,1857.125,16.861,1.396
1857,3,1857.208,16.150,1.310
1857,4,1857.292,15.726,1.522
1857,5,1857.375,16.419,1.271
1857,6,1857.458,16.345,1.524
1857,7,1857.542,16.721,1.314
1857,8,1857.625,17.496,1.435
1857,9,1857.708,16.898,1.424
1857,10,1857.792,16.517,1.211
1857,11,1857.875,16.836,1.157
1857,12,1857.958,16.535,1.584
1858,1,1858.042,16.581,1.928
1858,2,1858.125,16.328,1.421
1858,3,1858.208,16.400,1.425
1858,4,1858.292,17.786,1.249
1858,5,1858.375,16.893,1.435
1858,6,1858.458,17.625,1.239
1858,7,1858.542,16.074,2.053
1858,8,1858.625,17.180,1.285
1858,9,1858.708,16.811,1.462
1858,10,1858.792,17.002,1.227
1858,11,1858.875,17.316,1.196
1858,12,1858.958,16.331,1.250
1859,1,1859.042,16.530,1.427
1859,2,1859.125,16.269,1.818
1859,3,1859.208,16.798,1.380
1859,4,1859.292,17.311,1.698
1859,5,1859.375,17.662,1.328
1859,6,1859.458,17.471,1.353
1859,7,1859.542,16.768,1.368
1859,8,1859.625,17.035,1.197
1859,9,1859.708,16.984,1.495
1859,10,1859.792,16.959,1.309
1859,11,1859.875,16.654,1.120
1859,12,1859.958,16.980,1.610
1860,1,1860.042,16.435,1.493
1860,2,1860.125,17.278,1.098
1860,3,1860.208,16.457,1.952
1860,4,1860.292,16.901,1.089
1860,5,1860.375,17.191,1.579
1860,6,1860.458,17.357,1.354
1860,7,1860.542,16.666,1.381
1860,8,1860.625,18.220,2.293
1860,9,1860.708,15.947,1.514
1860,10,1860.792,16.931,1.495
1860,11,1860.875,15.759,1.929
1860,12,1860.958,16.028,2.336
1861,1,1861.042,16.197,1.784
1861,2,1861.125,15.537,2.753
1861,3,1861.208,16.112,2.196
1861,4,1861.292,16.789,1.620
1861,5,1861.375,16.827,1.149
1861,6,1861.458,17.446,0.969
1861,7,1861.542,17.181,1.345
1861,8,1861.625,17.410,0.853
1861,9,1861.708,17.678,1.783
1861,10,1861.792,16.948,1.597
1861,11,1861.875,16.458,1.118
1861,12,1861.958,16.708,1.289
1862,1,1862.042,15.874,1.785
1862,2,1862.125,16.360,1.221
1862,3,1862.208,16.073,1.388
1862,4,1862.292,16.728,1.735
1862,5,1862.375,17.240,1.098
1862,6,1862.458,17.151,1.288
1862,7,1862.542,17.292,1.044
1862,8,1862.625,16.437,1.364
1862,9,1862.708,16.287,0.900
1862,10,1862.792,16.191,1.523
1862,11,1862.875,16.214,1.503
1862,12,1862.958,17.007,1.990
1863,1,1863.042,17.371,1.581
1863,2,1863.125,16.893,2.388
1863,3,1863.208,16.176,1.548
1863,4,1863.292,17.136,1.090
1863,5,1863.375,16.520,0.936
1863,6,1863.458,17.224,1.429
1863,7,1863.542,17.369,1.041
1863,8,1863.625,16.828,0.881
