# Monthly average temperature data for South Georgia And The South Sandwich Isla.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1874,12,1874.958,1.090,1.667
1875,1,1875.042,0.285,1.677
1875,2,1875.125,0.333,1.771
1875,3,1875.208,0.704,1.908
1875,4,1875.292,0.528,1.662
1875,5,1875.375,1.119,1.723
1875,6,1875.458,1.366,1.800
1875,7,1875.542,1.356,1.673
1875,8,1875.625,1.180,1.713
1875,9,1875.708,0.743,1.721
1875,10,1875.792,0.244,1.626
1875,11,1875.875,0.090,1.862
1875,12,1875.958,0.203,1.645
1876,1,1876.042,0.321,1.838
1876,2,1876.125,0.458,1.767
1876,3,1876.208,0.378,1.671
1876,4,1876.292,1.176,1.763
1876,5,1876.375,0.831,1.766
1876,6,1876.458,0.876,1.671
1876,7,1876.542,1.382,1.643
1876,8,1876.625,1.019,1.648
1876,9,1876.708,0.842,1.672
1876,10,1876.792,0.203,1.709
1876,11,1876.875,0.096,1.649
1876,12,1876.958,0.162,1.963
1877,1,1877.042,1.367,1.787
1877,2,1877.125,0.826,1.704
1877,3,1877.208,1.518,1.754
1877,4,1877.292,0.764,1.665
1877,5,1877.375,1.354,1.651
1877,6,1877.458,1.255,1.662
1877,7,1877.542,1.327,1.728
1877,8,1877.625,1.515,1.627
1877,9,1877.708,0.722,1.785
1877,10,1877.792,0.575,1.783
1877,11,1877.875,1.017,1.845
1877,12,1877.958,0.497,1.696
1878,1,1878.042,1.227,1.828
1878,2,1878.125,1.719,1.844
1878,3,1878.208,1.466,2.463
1880,2,1880.125,0.564,1.821
1880,3,1880.208,0.390,1.652
1880,4,1880.292,0.397,1.634
1880,5,1880.375,1.020,1.678
1880,6,1880.458,0.958,1.717
1880,7,1880.542,1.316,1.641
1880,8,1880.625,0.924,1.892
1880,9,1880.708,0.765,1.683
1880,10,1880.792,0.531,1.642
1880,11,1880.875,1.053,1.625
1880,12,1880.958,0.602,1.663
1895,1,1895.042,0.590,1.777
1895,2,1895.125,0.683,1.734
1895,3,1895.208,1.073,1.889
1895,4,1895.292,1.121,1.669
1895,5,1895.375,1.302,1.681
1895,6,1895.458,1.215,1.663
1895,7,1895.542,0.988,1.675
1895,8,1895.625,0.918,1.711
1895,9,1895.708,0.637,1.679
1895,10,1895.792,0.254,1.809
1895,11,1895.875,0.888,1.696
1895,12,1895.958,1.242,1.670
1896,1,1896.042,1.384,1.772
1896,2,1896.125,1.450,1.833
1896,3,1896.208,0.738,1.790
1896,4,1896.292,0.827,1.813
1896,5,1896.375,1.360,1.705
1896,6,1896.458,0.742,1.857
1896,7,1896.542,1.555,1.657
1896,8,1896.625,1.436,1.708
1896,9,1896.708,1.194,1.695
1896,10,1896.792,1.118,1.622
1896,11,1896.875,0.688,1.699
1896,12,1896.958,0.935,1.668
1897,1,1897.042,0.681,1.713
1897,2,1897.125,0.410,1.705
1897,3,1897.208,0.343,1.742
1897,4,1897.292,1.065,1.665
1897,5,1897.375,1.603,1.666
1897,6,1897.458,1.038,1.681
1897,7,1897.542,1.702,1.877
1897,8,1897.625,1.644,1.888
1897,9,1897.708,1.259,1.932
1897,10,1897.792,0.882,1.709
1897,11,1897.875,1.491,2.273
1897,12,1897.958,1.614,2.398
1898,1,1898.042,1.820,2.227
1898,2,1898.125,1.101,2.065
1898,3,1898.208,0.335,2.037
1898,4,1898.292,0.784,1.687
1898,5,1898.375,0.999,1.671
1898,6,1898.458,0.858,1.853
1898,7,1898.542,1.353,1.655
1898,8,1898.625,0.938,1.819
1898,9,1898.708,0.757,1.762
1898,10,1898.792,0.813,2.033
1898,11,1898.875,0.703,1.752
1898,12,1898.958,0.999,1.685
1899,1,1899.042,1.078,1.691
1899,2,1899.125,0.831,1.721
1899,3,1899.208,0.746,1.702
1899,4,1899.292,1.177,1.775
1899,5,1899.375,1.004,1.739
1899,6,1899.458,0.476,1.852
1899,7,1899.542,1.250,1.713
1899,8,1899.625,1.153,1.674
1899,9,1899.708,1.412,1.716
1899,10,1899.792,1.113,1.675
1899,11,1899.875,1.384,1.689
1899,12,1899.958,0.725,1.694
1900,1,1900.042,0.658,1.862
1900,2,1900.125,1.397,1.812
1900,3,1900.208,1.380,1.752
1900,4,1900.292,1.223,1.692
1900,5,1900.375,1.871,1.924
1900,6,1900.458,1.167,1.700
1900,7,1900.542,1.044,1.713
1900,8,1900.625,1.715,1.911
1900,9,1900.708,1.308,1.755
1900,10,1900.792,1.284,1.673
1900,11,1900.875,0.755,1.680
1900,12,1900.958,1.125,1.705
1901,1,1901.042,1.065,1.691
1901,2,1901.125,1.579,1.699
1901,3,1901.208,1.451,1.843
1901,4,1901.292,1.361,1.821
1901,5,1901.375,1.390,1.692
1901,6,1901.458,1.027,2.057
1901,7,1901.542,1.121,2.020
1901,8,1901.625,1.428,1.702
1901,9,1901.708,1.113,1.672
1901,10,1901.792,0.785,1.694
1901,11,1901.875,1.018,1.773
1901,12,1901.958,1.304,1.704
1902,1,1902.042,1.551,1.763
1902,2,1902.125,1.902,1.910
1902,3,1902.208,0.483,1.679
1902,4,1902.292,1.220,1.756
1902,5,1902.375,1.292,1.687
1902,6,1902.458,0.672,1.888
1902,7,1902.542,0.805,1.900
1902,8,1902.625,0.724,2.106
1902,9,1902.708,0.264,1.960
1902,10,1902.792,0.323,1.749
1902,11,1902.875,0.045,1.909
