# Monthly average temperature data for South Korea.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1819,7,1819.542,11.530,2.229
1819,9,1819.708,12.484,2.130
1819,10,1819.792,11.195,2.200
1819,11,1819.875,9.891,2.367
1819,12,1819.958,11.264,2.315
1820,1,1820.042,8.745,3.142
1820,2,1820.125,11.671,2.904
1820,3,1820.208,11.711,2.142
1820,4,1820.292,12.658,2.233
1820,5,1820.375,12.233,1.646
1820,6,1820.458,11.913,1.636
1820,7,1820.542,12.341,2.262
1820,8,1820.625,10.707,2.117
1820,9,1820.708,11.771,2.033
1820,10,1820.792,10.767,2.002
1820,11,1820.875,9.892,1.617
1820,12,1820.958,9.446,2.152
1821,1,1821.042,11.972,2.046
1821,2,1821.125,12.177,2.485
1821,3,1821.208,11.908,2.479
1821,4,1821.292,12.348,1.987
1821,5,1821.375,12.314,2.572
1821,6,1821.458,11.674,2.582
1821,7,1821.542,11.772,2.627
1821,8,1821.625,11.544,2.065
1821,10,1821.792,9.899,2.348
1821,11,1821.875,9.839,2.649
1821,12,1821.958,10.907,1.702
1822,1,1822.042,10.994,2.607
1822,2,1822.125,11.947,2.249
1822,3,1822.208,13.890,2.168
1822,4,1822.292,10.830,2.428
1822,5,1822.375,10.755,1.391
1822,6,1822.458,12.014,1.464
1822,7,1822.542,11.360,1.467
1822,8,1822.625,11.266,1.624
1822,9,1822.708,11.730,2.223
1822,10,1822.792,10.439,1.891
1822,11,1822.875,9.633,2.061
1822,12,1822.958,9.550,2.485
1823,1,1823.042,11.092,1.474
1823,2,1823.125,11.737,2.306
1823,3,1823.208,11.092,2.396
1823,4,1823.292,11.060,2.534
1823,5,1823.375,10.270,2.136
1823,6,1823.458,12.258,1.751
1823,7,1823.542,12.723,2.074
1823,8,1823.625,11.004,1.569
1823,9,1823.708,11.308,1.910
1823,10,1823.792,11.000,2.299
1825,1,1825.042,12.162,1.917
1825,2,1825.125,11.459,1.431
1825,3,1825.208,11.421,2.197
1825,4,1825.292,11.877,2.529
1825,5,1825.375,12.185,1.505
1825,6,1825.458,11.824,1.578
1825,7,1825.542,10.828,1.886
1825,8,1825.625,9.614,2.315
1825,9,1825.708,11.025,2.011
1825,10,1825.792,12.230,2.450
1826,5,1826.375,12.603,1.953
1826,6,1826.458,12.716,2.238
1826,7,1826.542,11.958,2.114
1826,8,1826.625,10.247,2.189
1826,9,1826.708,11.112,1.815
1826,10,1826.792,11.779,2.221
1826,11,1826.875,12.163,1.576
1826,12,1826.958,12.308,2.290
1827,1,1827.042,12.270,2.641
1827,2,1827.125,12.100,2.267
1827,3,1827.208,12.666,1.854
1827,4,1827.292,13.171,2.404
1827,5,1827.375,12.225,2.073
1827,6,1827.458,12.905,1.914
1827,7,1827.542,13.009,1.865
1827,8,1827.625,12.137,2.141
1827,9,1827.708,12.288,2.041
1827,10,1827.792,11.846,1.734
1827,11,1827.875,10.987,2.493
1827,12,1827.958,11.693,1.692
1828,1,1828.042,11.145,2.437
1828,2,1828.125,10.963,2.337
1828,3,1828.208,11.768,2.043
1828,4,1828.292,12.218,2.896
1828,5,1828.375,11.730,1.634
1828,6,1828.458,11.866,1.763
1828,7,1828.542,11.504,2.180
1828,8,1828.625,11.516,1.500
1828,9,1828.708,11.386,2.354
1830,9,1830.708,10.214,1.857
1830,11,1830.875,12.449,2.101
1830,12,1830.958,12.437,2.274
1831,8,1831.625,9.671,1.866
1831,9,1831.708,11.083,2.163
1831,10,1831.792,10.977,1.838
1831,11,1831.875,10.084,1.856
1831,12,1831.958,10.791,2.915
1832,1,1832.042,11.728,1.764
1832,2,1832.125,11.155,2.454
1832,3,1832.208,11.637,1.779
1832,4,1832.292,11.862,1.786
1832,5,1832.375,10.791,1.980
1832,6,1832.458,11.289,2.227
1832,7,1832.542,11.147,2.464
1832,8,1832.625,10.448,2.325
1832,9,1832.708,10.796,1.754
1832,10,1832.792,11.452,1.726
1832,11,1832.875,10.601,1.824
1832,12,1832.958,10.227,2.224
1833,1,1833.042,11.363,1.711
1833,2,1833.125,11.207,1.620
1833,3,1833.208,11.081,1.841
1839,1,1839.042,11.295,2.222
1839,2,1839.125,11.095,2.422
1839,3,1839.208,9.978,2.131
1839,4,1839.292,11.098,1.952
1839,5,1839.375,11.326,1.926
1839,6,1839.458,11.867,1.677
1839,7,1839.542,12.409,2.456
1839,8,1839.625,11.800,1.932
1839,9,1839.708,11.803,1.866
1839,10,1839.792,10.400,2.585
1839,11,1839.875,10.063,1.973
1839,12,1839.958,9.688,2.215
1840,1,1840.042,11.912,2.514
1840,2,1840.125,11.045,1.867
1840,3,1840.208,10.713,2.660
1840,4,1840.292,12.268,1.815
1840,5,1840.375,12.115,1.735
1840,6,1840.458,12.103,1.830
1840,7,1840.542,12.029,2.289
1840,8,1840.625,11.203,2.042
1840,9,1840.708,11.647,1.630
1840,10,1840.792,11.044,1.799
1840,11,1840.875,11.803,2.726
1840,12,1840.958,10.339,2.065
1841,1,1841.042,9.729,2.576
1841,2,1841.125,9.819,2.276
1841,3,1841.208,10.014,1.371
1841,4,1841.292,11.196,2.243
1841,5,1841.375,11.020,1.207
1841,6,1841.458,10.636,2.505
1841,7,1841.542,12.166,1.816
1841,8,1841.625,10.593,1.939
1841,9,1841.708,10.865,1.429
1841,10,1841.792,10.715,1.494
1841,11,1841.875,10.346,1.691
1841,12,1841.958,10.327,3.256
1842,1,1842.042,10.852,2.953
1842,2,1842.125,11.418,1.759
1842,3,1842.208,12.234,1.819
1844,5,1844.375,10.515,1.241
1844,6,1844.458,11.061,1.300
1844,7,1844.542,11.190,1.335
1844,8,1844.625,11.233,1.544
1844,9,1844.708,11.202,1.371
1844,10,1844.792,11.610,1.310
1844,11,1844.875,11.957,2.272
1844,12,1844.958,11.127,1.761
1845,1,1845.042,13.907,1.190
1845,2,1845.125,12.548,2.461
1845,3,1845.208,12.487,0.752
1845,4,1845.292,11.755,1.220
1845,5,1845.375,11.853,1.180
1845,6,1845.458,12.738,1.144
1845,7,1845.542,12.301,1.120
1845,8,1845.625,10.387,1.490
1845,9,1845.708,10.734,1.614
1845,10,1845.792,10.605,1.377
1845,11,1845.875,10.210,1.655
1845,12,1845.958,8.802,2.089
1846,1,1846.042,11.097,4.621
1846,2,1846.125,12.146,2.257
1846,3,1846.208,11.061,1.084
1846,4,1846.292,11.848,2.376
1846,5,1846.375,9.595,1.007
1846,6,1846.458,11.869,1.156
1846,7,1846.542,11.627,1.038
1846,8,1846.625,12.008,0.711
1846,9,1846.708,13.496,1.685
1846,10,1846.792,12.141,2.018
1846,11,1846.875,10.041,1.456
1846,12,1846.958,12.515,1.673
1847,1,1847.042,12.793,2.053
1847,2,1847.125,11.461,1.845
1847,3,1847.208,11.779,2.431
1847,4,1847.292,12.955,1.588
1847,5,1847.375,11.093,1.149
1847,6,1847.458,11.130,1.122
1847,7,1847.542,12.028,1.291
1847,8,1847.625,10.803,1.834
1847,9,1847.708,11.877,1.196
1847,10,1847.792,11.173,0.529
1847,11,1847.875,13.241,0.900
1847,12,1847.958,12.297,1.872
1848,1,1848.042,11.355,1.725
1848,2,1848.125,12.369,1.583
1848,3,1848.208,12.587,0.876
1848,4,1848.292,11.807,1.036
1848,5,1848.375,12.422,1.720
1848,6,1848.458,11.497,1.303
1848,7,1848.542,12.292,0.884
1848,8,1848.625,10.731,1.359
1848,9,1848.708,11.858,1.129
1848,10,1848.792,11.870,1.324
1848,11,1848.875,10.153,0.986
1848,12,1848.958,13.147,1.543
1849,1,1849.042,13.234,2.057
1849,2,1849.125,14.965,1.990
1849,3,1849.208,12.982,1.964
1849,4,1849.292,11.097,1.237
1849,5,1849.375,11.031,1.364
1849,6,1849.458,11.436,0.943
1849,7,1849.542,10.455,1.523
1849,8,1849.625,11.428,1.426
1849,9,1849.708,12.834,1.163
1849,10,1849.792,11.025,1.204
1849,11,1849.875,10.068,2.025
1849,12,1849.958,11.530,1.600
1850,1,1850.042,11.577,1.665
1850,2,1850.125,11.662,2.039
1850,3,1850.208,12.695,1.299
1850,4,1850.292,10.090,1.905
1850,5,1850.375,11.803,2.216
1850,6,1850.458,11.540,1.243
1850,7,1850.542,11.586,0.786
1850,8,1850.625,10.186,0.831
1850,9,1850.708,11.740,1.013
1850,10,1850.792,11.466,1.541
1850,11,1850.875,10.200,2.309
1850,12,1850.958,11.132,2.453
1851,1,1851.042,12.807,0.688
1851,2,1851.125,11.514,0.925
1851,3,1851.208,10.683,1.185
1851,4,1851.292,10.099,1.111
1851,5,1851.375,10.406,1.369
1851,6,1851.458,11.707,1.836
1851,7,1851.542,11.830,0.441
1851,8,1851.625,10.848,0.812
1851,9,1851.708,10.906,1.046
1851,10,1851.792,9.807,0.976
1851,11,1851.875,11.359,2.294
1851,12,1851.958,9.850,0.896
1852,1,1852.042,11.017,1.083
1852,2,1852.125,9.169,1.553
1852,3,1852.208,9.571,1.146
1852,4,1852.292,9.841,1.291
1852,5,1852.375,10.773,1.359
1852,6,1852.458,12.558,0.764
1852,7,1852.542,12.798,0.454
1852,8,1852.625,11.068,0.802
1852,9,1852.708,11.291,0.885
1852,10,1852.792,11.520,1.160
1852,11,1852.875,10.856,2.121
1852,12,1852.958,10.988,1.259
1853,1,1853.042,11.508,1.945
1853,2,1853.125,10.122,2.792
1853,3,1853.208,11.353,1.005
1853,4,1853.292,10.950,0.826
1853,5,1853.375,10.981,0.792
1853,6,1853.458,12.692,1.175
1853,7,1853.542,13.896,1.690
1853,8,1853.625,11.688,1.330
1853,9,1853.708,12.319,1.276
1853,10,1853.792,10.139,1.423
1853,11,1853.875,11.427,0.797
1853,12,1853.958,10.558,1.038
1854,1,1854.042,12.343,1.064
1854,2,1854.125,10.176,1.273
1854,3,1854.208,11.674,1.003
1854,4,1854.292,11.017,1.640
1854,5,1854.375,11.660,1.131
1854,6,1854.458,11.951,1.186
1854,7,1854.542,12.223,1.322
1854,8,1854.625,11.267,1.078
1854,9,1854.708,11.743,1.064
1854,10,1854.792,11.182,1.253
1854,11,1854.875,11.003,1.310
1854,12,1854.958,11.047,2.388
1855,1,1855.042,11.158,1.697
1855,2,1855.125,11.408,2.503
1855,3,1855.208,11.974,0.722
1855,4,1855.292,13.145,1.840
1855,5,1855.375,11.620,0.910
1855,6,1855.458,12.441,1.258
1855,7,1855.542,12.354,1.100
1855,8,1855.625,10.574,1.019
1855,9,1855.708,12.130,1.161
1855,10,1855.792,11.596,1.704
