# Monthly average temperature data for Spain.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1764,1,1764.042,13.079,2.439
1764,2,1764.125,15.186,2.682
1764,3,1764.208,11.929,2.727
1764,4,1764.292,12.475,6.106
1764,5,1764.375,13.728,1.986
1764,6,1764.458,13.407,4.452
1764,7,1764.542,12.256,4.016
1764,8,1764.625,12.025,1.861
1764,9,1764.708,12.255,4.194
1764,10,1764.792,12.731,2.886
1764,11,1764.875,13.103,3.633
1764,12,1764.958,14.862,3.287
1765,1,1765.042,15.702,7.644
1765,2,1765.125,12.789,3.279
1765,3,1765.208,14.254,2.590
1765,4,1765.292,13.801,2.086
1765,5,1765.375,13.069,1.914
1765,6,1765.458,12.743,3.341
1765,7,1765.542,12.527,4.149
1765,8,1765.625,13.099,2.376
1765,9,1765.708,12.907,1.912
1765,10,1765.792,13.086,1.887
1765,11,1765.875,12.868,2.841
1765,12,1765.958,11.689,2.387
1766,1,1766.042,8.609,7.094
1766,2,1766.125,12.878,2.766
1766,3,1766.208,13.264,2.330
1766,4,1766.292,13.593,3.721
1766,5,1766.375,13.247,2.943
1766,6,1766.458,13.806,6.700
1766,7,1766.542,11.877,4.270
1766,8,1766.625,14.289,3.088
1766,9,1766.708,13.996,2.538
1766,10,1766.792,13.337,2.918
1766,11,1766.875,15.012,2.935
1766,12,1766.958,12.529,3.384
1767,1,1767.042,9.301,5.513
1767,2,1767.125,14.967,7.211
1767,3,1767.208,14.612,6.074
1767,4,1767.292,12.031,5.545
1767,5,1767.375,12.466,2.521
1767,6,1767.458,13.635,3.285
1767,7,1767.542,12.821,4.306
1767,8,1767.625,13.996,2.355
1767,9,1767.708,13.117,3.310
1767,10,1767.792,13.537,3.118
1767,11,1767.875,15.236,8.627
1767,12,1767.958,11.401,4.381
1768,1,1768.042,9.784,5.304
1768,2,1768.125,11.742,5.708
1768,3,1768.208,11.076,4.682
1768,4,1768.292,13.954,2.550
1768,5,1768.375,12.360,2.803
1768,6,1768.458,12.443,2.172
1768,7,1768.542,13.283,2.509
1768,8,1768.625,13.159,2.148
1768,9,1768.708,12.307,3.121
1768,10,1768.792,13.234,2.802
1768,11,1768.875,13.531,4.910
1768,12,1768.958,12.526,7.269
1769,1,1769.042,13.539,6.039
1769,2,1769.125,12.693,4.434
1769,3,1769.208,12.356,4.626
1769,4,1769.292,13.939,4.391
1769,5,1769.375,14.189,5.092
1769,6,1769.458,13.840,2.655
1769,7,1769.542,12.727,2.587
1769,8,1769.625,13.194,3.705
1769,9,1769.708,12.666,1.846
1769,10,1769.792,9.693,2.648
1769,11,1769.875,12.793,2.020
1769,12,1769.958,10.821,3.076
1770,1,1770.042,12.332,5.542
1770,2,1770.125,13.939,2.969
1770,3,1770.208,11.651,2.834
1770,4,1770.292,13.455,5.790
1770,5,1770.375,11.908,1.996
1770,6,1770.458,12.137,4.491
1770,7,1770.542,10.425,2.045
1770,8,1770.625,12.393,4.095
1770,9,1770.708,13.205,2.687
1770,10,1770.792,12.827,2.889
1770,11,1770.875,14.103,6.486
1770,12,1770.958,13.999,4.037
1771,1,1771.042,14.995,2.453
1771,2,1771.125,11.386,2.481
1771,3,1771.208,11.689,3.215
1771,4,1771.292,11.108,3.983
1771,5,1771.375,12.903,6.644
