# Monthly average temperature data for Sri Lanka.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1796,1,1796.042,27.581,3.411
1796,2,1796.125,27.389,2.813
1796,3,1796.208,25.979,1.908
1796,4,1796.292,26.581,1.574
1796,5,1796.375,27.005,0.782
1796,6,1796.458,26.705,4.334
1796,7,1796.542,26.220,2.814
1796,8,1796.625,26.763,4.320
1796,9,1796.708,26.653,3.073
1796,10,1796.792,26.584,1.446
1796,11,1796.875,26.245,2.703
1796,12,1796.958,25.509,2.954
1797,3,1797.208,26.958,3.113
1797,4,1797.292,26.431,3.205
1797,5,1797.375,26.901,1.966
1797,6,1797.458,27.866,1.636
1797,7,1797.542,26.701,1.799
1797,8,1797.625,27.701,1.703
1797,9,1797.708,26.804,2.576
1797,10,1797.792,26.413,1.699
1797,11,1797.875,26.327,1.130
1797,12,1797.958,26.887,2.164
1798,1,1798.042,27.116,2.475
1798,2,1798.125,27.767,2.312
1798,3,1798.208,27.765,1.003
1798,6,1798.458,27.375,1.916
1798,7,1798.542,27.607,1.283
1798,8,1798.625,27.459,3.955
1798,9,1798.708,26.690,2.006
1798,10,1798.792,26.880,1.925
1798,11,1798.875,26.787,3.190
1798,12,1798.958,26.476,2.664
1799,1,1799.042,26.801,1.483
1799,2,1799.125,25.922,2.600
1799,3,1799.208,26.411,1.609
1799,4,1799.292,26.950,2.324
1799,5,1799.375,27.181,0.969
1799,6,1799.458,27.256,1.884
1799,7,1799.542,26.242,2.218
1799,8,1799.625,27.052,1.041
1799,9,1799.708,26.548,1.790
1799,10,1799.792,27.134,0.950
1799,12,1799.958,26.299,2.038
1800,1,1800.042,26.946,1.291
1800,2,1800.125,26.907,3.441
1800,3,1800.208,26.833,1.854
1800,4,1800.292,27.783,0.942
1800,5,1800.375,26.480,1.120
1800,6,1800.458,26.864,0.876
1800,7,1800.542,26.042,0.809
1800,8,1800.625,26.787,1.216
1800,9,1800.708,26.034,1.094
1800,10,1800.792,26.958,1.315
1800,11,1800.875,27.124,2.730
1800,12,1800.958,26.557,1.931
1801,1,1801.042,27.790,2.027
1801,2,1801.125,27.259,2.693
1801,3,1801.208,28.742,1.330
1801,6,1801.458,26.614,1.978
1801,7,1801.542,26.610,1.622
1801,8,1801.625,27.062,2.625
1801,9,1801.708,26.472,1.051
1801,10,1801.792,27.392,3.274
1801,11,1801.875,26.615,1.313
1801,12,1801.958,27.677,2.111
1802,1,1802.042,28.108,2.354
1802,2,1802.125,28.233,3.429
