# Monthly average temperature data for Sudan.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1885,11,1885.875,26.477,1.317
1885,12,1885.958,27.609,1.319
1886,1,1886.042,25.706,1.627
1886,2,1886.125,25.746,1.454
1886,3,1886.208,25.900,1.636
1886,4,1886.292,26.962,1.402
1886,5,1886.375,25.956,1.353
1886,6,1886.458,26.850,1.406
1886,7,1886.542,27.280,1.340
1886,8,1886.625,26.877,1.383
1886,9,1886.708,26.828,1.357
1888,4,1888.292,26.715,1.507
1888,5,1888.375,26.238,1.317
1888,6,1888.458,26.304,1.369
1888,7,1888.542,27.790,1.327
1888,8,1888.625,27.358,1.430
1888,9,1888.708,26.820,1.328
1888,10,1888.792,27.087,1.398
1888,11,1888.875,26.674,1.391
1888,12,1888.958,26.882,1.358
1889,1,1889.042,27.108,1.434
1889,2,1889.125,27.749,1.355
1889,3,1889.208,27.015,1.328
1889,4,1889.292,26.763,1.379
1889,5,1889.375,27.221,1.322
1889,6,1889.458,26.939,1.363
1889,7,1889.542,27.422,1.381
1889,8,1889.625,26.772,1.361
1889,9,1889.708,26.876,1.357
1889,10,1889.792,26.646,1.386
1889,11,1889.875,25.948,1.341
1889,12,1889.958,26.583,1.354
1890,1,1890.042,26.123,1.583
1890,2,1890.125,27.143,1.383
1890,3,1890.208,26.362,1.433
1890,4,1890.292,27.033,1.323
1890,5,1890.375,26.294,1.490
1890,6,1890.458,26.427,1.352
1890,7,1890.542,26.929,1.449
1890,8,1890.625,26.575,1.499
1890,9,1890.708,26.874,1.392
1890,10,1890.792,26.841,1.317
1890,11,1890.875,26.152,1.492
1890,12,1890.958,26.973,1.465
1891,1,1891.042,26.126,1.374
1891,2,1891.125,26.296,1.485
1891,3,1891.208,26.547,1.462
1891,4,1891.292,26.912,1.308
1891,5,1891.375,26.951,1.360
1891,6,1891.458,26.220,1.305
1891,7,1891.542,27.226,1.230
1891,8,1891.625,27.286,1.320
1891,9,1891.708,27.209,1.243
1891,10,1891.792,26.907,1.276
1891,11,1891.875,26.707,1.235
1891,12,1891.958,27.403,1.270
1892,1,1892.042,26.514,1.222
1892,2,1892.125,27.121,1.237
1892,3,1892.208,26.162,1.211
1892,4,1892.292,27.347,1.216
1892,5,1892.375,26.614,1.325
1892,6,1892.458,26.277,1.247
1892,7,1892.542,26.896,1.209
1892,8,1892.625,26.683,1.227
1892,9,1892.708,26.588,1.232
1892,10,1892.792,26.824,1.241
1892,11,1892.875,26.508,1.315
1892,12,1892.958,26.543,1.299
1893,1,1893.042,26.297,1.225
1893,2,1893.125,25.768,1.209
1893,3,1893.208,25.864,1.274
1893,4,1893.292,26.031,1.258
1893,5,1893.375,25.926,1.232
1893,6,1893.458,26.475,1.267
1893,7,1893.542,27.394,1.256
1893,8,1893.625,26.865,1.239
1893,9,1893.708,26.718,1.152
1893,10,1893.792,26.464,1.159
1893,11,1893.875,26.989,1.233
1893,12,1893.958,26.893,1.453
1894,1,1894.042,26.590,1.261
1894,2,1894.125,26.819,1.406
1894,3,1894.208,26.918,1.286
1894,4,1894.292,26.312,1.230
1894,5,1894.375,26.949,1.240
1894,6,1894.458,26.644,1.310
1894,7,1894.542,26.686,1.261
1894,8,1894.625,26.920,1.213
1894,9,1894.708,27.078,1.208
1894,10,1894.792,27.071,1.169
1894,11,1894.875,26.992,1.205
1894,12,1894.958,27.087,1.193
1895,1,1895.042,25.495,1.241
1895,2,1895.125,26.957,1.206
1895,3,1895.208,26.633,1.179
1895,4,1895.292,27.012,1.257
1895,5,1895.375,27.357,1.258
1895,6,1895.458,26.489,1.246
1895,7,1895.542,27.213,1.244
1895,8,1895.625,27.045,1.260
1895,9,1895.708,26.697,1.286
1895,10,1895.792,26.142,1.266
1895,11,1895.875,26.742,1.314
1895,12,1895.958,26.934,1.284
1896,1,1896.042,27.125,1.226
1896,2,1896.125,26.982,1.225
1896,3,1896.208,25.862,1.195
1896,4,1896.292,26.513,1.206
1896,5,1896.375,27.213,1.107
1896,6,1896.458,26.804,1.165
1896,7,1896.542,27.223,1.208
1896,8,1896.625,27.129,1.213
1896,9,1896.708,26.530,1.463
1896,10,1896.792,26.904,1.143
1896,11,1896.875,27.253,1.085
1896,12,1896.958,26.591,1.390
1897,1,1897.042,26.684,1.162
1897,2,1897.125,26.363,1.105
1897,3,1897.208,25.635,1.128
1897,4,1897.292,26.576,1.147
1897,5,1897.375,27.414,1.143
1897,6,1897.458,26.164,1.843
1897,7,1897.542,26.464,2.374
1897,8,1897.625,26.540,1.342
1897,9,1897.708,26.944,1.485
1897,10,1897.792,26.739,1.092
1897,11,1897.875,27.462,2.413
1897,12,1897.958,26.186,0.877
1898,1,1898.042,26.895,1.590
1898,2,1898.125,26.030,0.814
1898,3,1898.208,26.061,0.963
1898,4,1898.292,26.413,1.014
1898,5,1898.375,27.233,1.371
1898,6,1898.458,27.304,1.162
1898,7,1898.542,27.406,1.025
1898,8,1898.625,26.702,1.039
1898,9,1898.708,26.467,1.108
1898,10,1898.792,27.293,1.197
1898,11,1898.875,26.789,0.804
1898,12,1898.958,26.636,0.884
1899,1,1899.042,27.507,1.683
1899,2,1899.125,26.097,1.042
1899,3,1899.208,26.895,1.241
1899,4,1899.292,26.978,1.478
1899,5,1899.375,26.638,1.297
1899,6,1899.458,27.067,1.068
1899,7,1899.542,27.276,1.158
1899,8,1899.625,27.727,1.233
1899,9,1899.708,27.419,1.108
1899,10,1899.792,26.914,1.353
1899,11,1899.875,26.716,1.723
1899,12,1899.958,26.420,1.054
1900,1,1900.042,26.269,1.834
1900,2,1900.125,26.890,1.543
1900,3,1900.208,27.911,1.172
1900,4,1900.292,26.815,1.171
1900,5,1900.375,28.081,1.344
1900,6,1900.458,26.701,1.274
1900,7,1900.542,27.267,1.145
1900,8,1900.625,27.457,1.168
1900,9,1900.708,26.582,1.165
1900,10,1900.792,26.867,1.156
1900,11,1900.875,26.902,0.976
1900,12,1900.958,27.020,1.122
1901,1,1901.042,27.404,0.918
1901,2,1901.125,28.186,2.453
1901,3,1901.208,27.936,1.429
1901,4,1901.292,27.325,0.861
1901,5,1901.375,27.207,1.204
1901,6,1901.458,26.894,1.602
1901,7,1901.542,28.267,1.482
1901,8,1901.625,27.958,1.067
1901,9,1901.708,27.907,1.568
1901,10,1901.792,27.917,1.081
1901,11,1901.875,27.386,0.971
1901,12,1901.958,27.494,1.365
1902,1,1902.042,26.588,1.448
1902,2,1902.125,27.667,1.975
1902,3,1902.208,26.964,0.902
1902,4,1902.292,27.118,1.817
1902,5,1902.375,27.196,0.732
1902,6,1902.458,26.348,0.766
1902,7,1902.542,26.452,0.923
1902,8,1902.625,27.622,0.783
1902,9,1902.708,27.360,0.923
1902,10,1902.792,26.975,0.827
1902,11,1902.875,26.930,0.571
1902,12,1902.958,26.602,1.335
1903,1,1903.042,26.300,2.166
1903,2,1903.125,25.493,3.350
1903,3,1903.208,24.429,2.604
1903,4,1903.292,26.812,0.991
1903,5,1903.375,26.677,1.604
1903,6,1903.458,26.424,0.798
1903,7,1903.542,26.675,0.580
1903,8,1903.625,27.013,0.779
1903,9,1903.708,26.003,1.179
1903,10,1903.792,26.513,1.427
1903,11,1903.875,27.099,0.756
1903,12,1903.958,27.784,1.743
1904,1,1904.042,27.346,1.722
1904,2,1904.125,26.261,0.865
1904,3,1904.208,26.129,1.131
1904,4,1904.292,25.171,0.809
1904,5,1904.375,25.623,0.995
1904,6,1904.458,25.989,1.109
1904,7,1904.542,26.735,1.037
1904,8,1904.625,27.195,2.054
1904,9,1904.708,26.896,0.856
1904,10,1904.792,27.101,0.660
1904,11,1904.875,26.738,0.988
1904,12,1904.958,26.188,0.635
1905,1,1905.042,27.188,0.669
1905,2,1905.125,25.630,0.862
1905,3,1905.208,25.476,0.751
1905,4,1905.292,26.044,1.054
1905,5,1905.375,26.735,0.758
1905,6,1905.458,27.078,0.777
1905,7,1905.542,27.475,0.794
1905,8,1905.625,27.839,1.007
1905,9,1905.708,27.189,0.837
1905,10,1905.792,26.963,0.618
1905,11,1905.875,27.627,1.166
1905,12,1905.958,26.810,0.973
1906,1,1906.042,27.208,0.723
1906,2,1906.125,27.194,1.164
1906,3,1906.208,25.382,0.695
1906,4,1906.292,25.604,1.184
1906,5,1906.375,27.064,1.181
1906,6,1906.458,26.499,1.380
1906,7,1906.542,26.555,1.133
1906,8,1906.625,26.717,0.554
1906,9,1906.708,26.193,1.015
1906,10,1906.792,26.727,1.100
1906,11,1906.875,27.141,1.346
1906,12,1906.958,27.757,1.055
1907,1,1907.042,27.756,0.837
1907,2,1907.125,27.019,0.878
1907,3,1907.208,26.285,1.025
1907,4,1907.292,26.962,0.730
1907,5,1907.375,26.419,0.711
1907,6,1907.458,26.348,0.606
1907,7,1907.542,27.123,0.684
1907,8,1907.625,26.533,1.184
1907,9,1907.708,26.784,0.599
1907,10,1907.792,27.006,1.343
1907,11,1907.875,26.512,0.907
1907,12,1907.958,26.516,0.853
1908,1,1908.042,26.546,0.712
1908,2,1908.125,26.278,0.511
1908,3,1908.208,27.340,0.933
1908,4,1908.292,27.759,1.344
1908,5,1908.375,26.753,0.796
1908,6,1908.458,27.027,0.961
1908,7,1908.542,26.635,1.020
1908,8,1908.625,26.978,1.168
1908,9,1908.708,26.753,0.815
1908,10,1908.792,26.999,0.933
1908,11,1908.875,26.828,1.130
1908,12,1908.958,26.693,0.889
1909,1,1909.042,27.233,0.801
1909,2,1909.125,28.236,1.090
1909,3,1909.208,27.881,0.772
1909,4,1909.292,25.719,1.142
1909,5,1909.375,27.037,0.461
1909,6,1909.458,26.344,0.466
1909,7,1909.542,26.984,0.508
1909,8,1909.625,27.004,0.497
1909,9,1909.708,26.631,0.521
1909,10,1909.792,26.865,0.566
1909,11,1909.875,27.863,0.734
1909,12,1909.958,27.236,0.498
1910,1,1910.042,26.510,0.538
1910,2,1910.125,27.208,0.701
1910,3,1910.208,24.624,0.484
1910,4,1910.292,27.321,0.436
1910,5,1910.375,27.126,0.544
1910,6,1910.458,27.110,0.685
1910,7,1910.542,27.017,0.838
1910,8,1910.625,26.989,0.740
1910,9,1910.708,26.667,0.802
1910,10,1910.792,26.293,0.758
1910,11,1910.875,26.551,0.565
1910,12,1910.958,26.247,0.653
1911,1,1911.042,27.845,0.792
1911,2,1911.125,25.645,0.592
1911,3,1911.208,25.842,0.639
1911,4,1911.292,26.610,0.554
1911,5,1911.375,25.987,0.531
1911,6,1911.458,26.294,0.788
1911,7,1911.542,27.301,0.812
1911,8,1911.625,26.838,0.976
1911,9,1911.708,26.922,0.615
1911,10,1911.792,26.804,0.615
1911,11,1911.875,26.845,0.531
1911,12,1911.958,26.620,1.206
1912,1,1912.042,26.334,0.894
1912,2,1912.125,26.123,0.708
1912,3,1912.208,25.954,0.426
1912,4,1912.292,26.440,0.658
1912,5,1912.375,26.663,0.592
1912,6,1912.458,26.792,0.502
1912,7,1912.542,26.961,0.726
1912,8,1912.625,26.553,0.821
1912,9,1912.708,26.587,1.123
1912,10,1912.792,26.280,0.984
1912,11,1912.875,27.530,0.664
1912,12,1912.958,26.373,0.521
1913,1,1913.042,26.633,0.533
1913,2,1913.125,26.202,0.666
1913,3,1913.208,24.008,0.762
1913,4,1913.292,27.113,0.719
1913,5,1913.375,25.886,0.709
1913,6,1913.458,26.020,0.496
1913,7,1913.542,27.882,0.952
1913,8,1913.625,27.312,1.721
1913,9,1913.708,27.603,0.908
1913,10,1913.792,26.932,0.542
1913,11,1913.875,26.095,1.130
1913,12,1913.958,25.674,0.660
1914,1,1914.042,28.774,0.605
1914,2,1914.125,26.890,0.622
1914,3,1914.208,27.534,0.470
1914,4,1914.292,25.919,0.471
1914,5,1914.375,27.376,0.395
1914,6,1914.458,28.022,0.772
1914,7,1914.542,27.634,0.724
1914,8,1914.625,27.715,0.930
1914,9,1914.708,27.096,0.510
1914,10,1914.792,27.174,1.060
1914,11,1914.875,28.222,0.474
1914,12,1914.958,27.812,0.586
1915,1,1915.042,28.347,0.687
1915,2,1915.125,27.712,0.579
1915,3,1915.208,27.184,0.456
1915,4,1915.292,27.229,0.467
1915,5,1915.375,26.764,0.587
1915,6,1915.458,27.353,0.584
1915,7,1915.542,27.776,0.862
1915,8,1915.625,27.805,0.554
1915,9,1915.708,27.076,0.538
1915,10,1915.792,27.364,0.481
1915,11,1915.875,28.156,0.507
1915,12,1915.958,27.477,0.680
1916,1,1916.042,25.344,1.304
