# Monthly average temperature data for Suriname.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1845,1,1845.042,26.103,1.907
1845,2,1845.125,25.793,2.407
1845,3,1845.208,25.786,0.714
1845,4,1845.292,25.462,1.174
1845,5,1845.375,25.822,0.960
1845,6,1845.458,25.717,0.732
1845,7,1845.542,26.245,0.771
1845,8,1845.625,25.981,0.787
1845,9,1845.708,25.830,1.437
1846,1,1846.042,26.935,3.938
1846,2,1846.125,26.910,1.839
1846,3,1846.208,26.970,0.794
1846,4,1846.292,26.111,1.856
1846,5,1846.375,26.559,1.159
1846,6,1846.458,26.797,1.452
1846,7,1846.542,26.438,1.210
1846,8,1846.625,26.342,0.541
1846,9,1846.708,26.041,0.710
1846,10,1846.792,25.609,1.471
1846,11,1846.875,25.604,1.283
1846,12,1846.958,26.135,1.542
1847,1,1847.042,26.187,2.061
1847,2,1847.125,25.979,2.034
1847,3,1847.208,25.512,1.655
1847,4,1847.292,25.663,1.324
1847,5,1847.375,25.487,0.738
1847,6,1847.458,25.668,1.098
1847,7,1847.542,26.040,1.176
1847,8,1847.625,25.929,0.830
1847,9,1847.708,25.877,0.748
1847,10,1847.792,25.513,0.703
1847,11,1847.875,26.126,0.947
1847,12,1847.958,25.360,1.946
1848,1,1848.042,25.558,1.843
1848,2,1848.125,26.212,1.205
1848,3,1848.208,25.730,0.685
1848,4,1848.292,26.097,1.053
1848,5,1848.375,25.692,1.117
1848,6,1848.458,26.110,1.218
1848,7,1848.542,26.597,1.042
1848,8,1848.625,26.074,0.817
1848,9,1848.708,25.703,0.618
1848,10,1848.792,25.945,0.895
1848,11,1848.875,26.161,0.897
1848,12,1848.958,25.783,1.443
1849,1,1849.042,26.154,1.573
1849,2,1849.125,26.093,1.258
1849,3,1849.208,26.133,1.462
1849,4,1849.292,25.430,1.119
1849,5,1849.375,25.499,0.780
1849,6,1849.458,26.189,0.865
1849,7,1849.542,26.367,0.653
1849,8,1849.625,25.904,0.805
1849,9,1849.708,25.882,0.665
1849,10,1849.792,25.692,0.641
1849,11,1849.875,25.306,1.637
1849,12,1849.958,25.315,0.739
1850,1,1850.042,25.410,1.546
1850,2,1850.125,26.057,1.760
1850,3,1850.208,25.704,1.373
1850,4,1850.292,25.538,1.176
1850,5,1850.375,25.721,0.741
1850,6,1850.458,26.710,1.098
1850,7,1850.542,26.635,0.684
1850,8,1850.625,26.202,0.970
1850,9,1850.708,26.169,0.737
1850,10,1850.792,26.019,1.436
1850,11,1850.875,26.099,2.518
1850,12,1850.958,25.887,2.020
1851,1,1851.042,25.991,0.680
1851,2,1851.125,25.679,1.088
1851,3,1851.208,25.536,0.641
1851,4,1851.292,25.384,1.337
1851,5,1851.375,25.454,1.468
1851,6,1851.458,26.239,0.734
1851,7,1851.542,26.669,0.512
1851,8,1851.625,26.183,0.614
1851,9,1851.708,25.722,1.005
1851,10,1851.792,25.603,1.198
1851,11,1851.875,25.544,1.272
1851,12,1851.958,25.683,1.172
1852,1,1852.042,25.968,0.927
1852,2,1852.125,25.669,1.449
1852,3,1852.208,25.442,1.264
1852,4,1852.292,26.070,1.494
1852,5,1852.375,26.283,1.131
1852,6,1852.458,25.939,0.774
1852,7,1852.542,26.436,0.464
1852,8,1852.625,26.150,0.915
1852,9,1852.708,25.992,0.610
1852,10,1852.792,25.858,0.749
1852,11,1852.875,25.464,1.099
1852,12,1852.958,25.477,1.490
1853,1,1853.042,25.988,1.667
1853,2,1853.125,26.155,1.303
1853,3,1853.208,25.978,2.154
1853,4,1853.292,26.109,1.180
1853,5,1853.375,26.116,0.617
