# Monthly average temperature data for Svalbard And Jan Mayen.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1761,1,1761.042,-8.404,6.830
1761,2,1761.125,-8.029,5.659
1761,3,1761.208,-6.173,5.128
1761,4,1761.292,-8.620,5.682
1761,5,1761.375,-6.901,5.559
1761,6,1761.458,-4.547,6.220
1761,7,1761.542,-3.806,5.512
1761,8,1761.625,-6.901,5.191
1761,9,1761.708,-7.720,6.126
1761,10,1761.792,-10.251,5.601
1761,11,1761.875,-9.437,5.830
1761,12,1761.958,-12.718,5.615
1762,1,1762.042,-3.282,6.004
1762,2,1762.125,-6.822,7.968
1762,3,1762.208,-8.920,6.673
1762,4,1762.292,-7.045,5.379
1762,5,1762.375,-9.410,6.879
1762,6,1762.458,-7.815,5.817
1762,7,1762.542,-7.911,5.526
1762,8,1762.625,-8.804,4.971
1762,9,1762.708,-9.945,6.216
1762,10,1762.792,-11.967,5.243
1762,11,1762.875,-8.431,5.311
1762,12,1762.958,-8.161,7.122
1763,1,1763.042,-7.144,6.652
1763,2,1763.125,-9.971,5.102
1763,3,1763.208,-10.492,6.330
1763,4,1763.292,-8.860,5.083
1763,5,1763.375,-9.272,5.212
1763,6,1763.458,-8.141,5.982
1763,7,1763.542,-5.575,4.965
1763,8,1763.625,-8.257,5.743
1763,9,1763.708,-8.584,5.322
1763,10,1763.792,-10.721,6.972
1764,4,1764.292,-8.343,5.797
1764,5,1764.375,-9.294,5.091
1764,6,1764.458,-9.922,5.387
1764,7,1764.542,-8.957,5.886
1764,8,1764.625,-9.162,4.908
1764,9,1764.708,-8.783,5.928
1764,10,1764.792,-7.065,5.143
1764,11,1764.875,-8.127,5.152
1764,12,1764.958,-6.476,5.603
1765,1,1765.042,-6.352,8.857
1765,2,1765.125,-8.404,6.289
1765,3,1765.208,-6.164,5.054
1765,4,1765.292,-6.819,4.962
1765,5,1765.375,-8.857,5.098
1765,6,1765.458,-10.601,7.132
1765,7,1765.542,-8.547,6.070
1765,8,1765.625,-9.074,5.189
1765,9,1765.708,-8.719,4.937
1765,10,1765.792,-9.111,5.022
1765,11,1765.875,-7.854,5.359
1765,12,1765.958,-8.038,5.022
1766,1,1766.042,-8.441,7.502
1766,2,1766.125,-6.513,5.263
1766,3,1766.208,-6.742,5.097
1766,4,1766.292,-6.633,5.557
1766,5,1766.375,-8.706,5.077
1766,6,1766.458,-6.505,7.138
1766,7,1766.542,-6.936,6.037
1766,8,1766.625,-7.653,5.116
1766,9,1766.708,-7.458,5.065
1766,10,1766.792,-8.153,5.073
1766,11,1766.875,-5.957,5.498
1766,12,1766.958,-8.285,5.463
1767,1,1767.042,-9.810,7.332
1767,2,1767.125,-7.657,7.459
1767,3,1767.208,-5.960,7.486
1767,4,1767.292,-9.008,6.251
1767,5,1767.375,-8.765,5.452
1767,6,1767.458,-6.691,5.351
1767,7,1767.542,-8.546,5.782
1767,8,1767.625,-6.346,5.092
1767,9,1767.708,-7.282,5.684
1767,10,1767.792,-7.902,5.270
1767,11,1767.875,-6.021,7.945
1767,12,1767.958,-9.226,5.942
1768,1,1768.042,-9.932,6.437
1768,2,1768.125,-10.893,8.195
1768,3,1768.208,-10.424,5.589
1768,4,1768.292,-9.156,5.004
1768,5,1768.375,-9.068,5.843
1768,6,1768.458,-7.715,5.900
1768,7,1768.542,-7.172,5.872
1768,8,1768.625,-8.217,5.559
1768,9,1768.708,-8.665,5.303
1768,10,1768.792,-9.943,5.441
1768,11,1768.875,-9.233,5.754
1768,12,1768.958,-7.515,6.700
1769,1,1769.042,-6.093,6.567
1769,2,1769.125,-8.994,5.627
1769,3,1769.208,-7.431,5.757
1769,4,1769.292,-6.328,6.733
1769,5,1769.375,-6.191,6.559
1769,6,1769.458,-5.782,5.112
1769,7,1769.542,-7.501,5.684
1769,8,1769.625,-7.621,5.617
1769,9,1769.708,-7.891,5.059
1769,10,1769.792,-11.252,5.376
1769,11,1769.875,-11.010,5.205
1769,12,1769.958,-11.599,5.301
1770,1,1770.042,-7.269,6.396
1770,2,1770.125,-6.689,5.623
1770,3,1770.208,-12.607,5.498
1770,4,1770.292,-6.583,6.922
1770,5,1770.375,-8.032,5.601
1770,6,1770.458,-8.221,5.830
1770,7,1770.542,-9.003,7.451
1770,8,1770.625,-9.037,6.070
1770,9,1770.708,-7.773,5.456
1770,10,1770.792,-7.946,5.040
1770,11,1770.875,-9.264,6.428
1770,12,1770.958,-8.760,6.229
1771,1,1771.042,-5.053,5.858
1771,2,1771.125,-10.723,5.070
1771,3,1771.208,-9.780,5.474
1771,4,1771.292,-9.783,6.023
1771,5,1771.375,-8.865,7.313
1771,6,1771.458,-5.685,5.155
1771,7,1771.542,-7.977,5.160
1771,8,1771.625,-7.019,4.926
1771,9,1771.708,-7.906,5.058
1771,10,1771.792,-7.111,5.250
1771,11,1771.875,-8.419,4.976
1771,12,1771.958,-7.306,5.403
1772,1,1772.042,-7.712,7.112
1772,2,1772.125,-10.791,7.916
1772,3,1772.208,-10.140,5.226
1772,4,1772.292,-6.993,5.130
1772,5,1772.375,-9.750,5.111
1772,6,1772.458,-8.459,6.144
1772,7,1772.542,-7.369,5.524
1772,8,1772.625,-7.234,6.260
1772,9,1772.708,-9.043,5.321
1772,10,1772.792,-7.099,5.130
1772,11,1772.875,-5.849,5.905
1772,12,1772.958,-5.199,5.834
1773,1,1773.042,-8.843,5.644
1773,2,1773.125,-9.151,5.460
1773,3,1773.208,-7.851,5.014
1773,4,1773.292,-6.002,5.890
1773,5,1773.375,-6.637,5.178
1773,6,1773.458,-8.248,5.015
1773,7,1773.542,-7.402,4.915
1773,8,1773.625,-7.496,5.359
1773,9,1773.708,-7.066,4.952
1773,10,1773.792,-7.550,5.284
1773,11,1773.875,-9.794,6.323
1773,12,1773.958,-6.159,5.779
1774,1,1774.042,-9.875,7.793
1774,2,1774.125,-6.551,7.252
1774,3,1774.208,-7.383,5.077
1774,4,1774.292,-5.858,6.239
1774,5,1774.375,-4.150,5.053
1774,6,1774.458,-5.851,7.787
1774,7,1774.542,-5.632,7.985
1774,8,1774.625,-7.180,5.273
1774,9,1774.708,-8.339,4.995
1774,10,1774.792,-8.293,6.199
1774,11,1774.875,-11.591,5.633
1774,12,1774.958,-10.355,5.951
1775,1,1775.042,-5.249,6.771
1775,2,1775.125,-5.250,6.835
1775,3,1775.208,-5.521,5.087
1775,4,1775.292,-7.499,4.986
1775,5,1775.375,-7.787,5.375
1775,6,1775.458,-8.602,6.621
1775,7,1775.542,-7.035,5.251
1775,8,1775.625,-6.750,7.819
1775,9,1775.708,-7.927,6.017
1775,10,1775.792,-6.530,5.863
1775,11,1775.875,-6.712,6.415
1775,12,1775.958,-9.144,4.931
1776,1,1776.042,-9.510,7.220
1776,2,1776.125,-6.669,7.262
1776,3,1776.208,-8.185,6.467
1776,4,1776.292,-8.023,4.973
1776,5,1776.375,-8.837,5.883
1776,6,1776.458,-6.669,4.869
