# Monthly average temperature data for Swaziland.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1857,1,1857.042,17.969,1.615
1857,2,1857.125,18.378,1.391
1857,3,1857.208,17.716,1.315
1857,4,1857.292,17.375,1.392
1857,5,1857.375,17.689,1.449
1857,6,1857.458,18.079,1.511
1857,7,1857.542,18.458,1.427
1857,8,1857.625,18.611,1.481
1857,9,1857.708,18.235,1.457
1857,10,1857.792,17.832,1.397
1857,11,1857.875,18.337,1.489
1857,12,1857.958,18.385,1.568
1858,1,1858.042,18.608,1.743
1858,2,1858.125,17.940,1.535
1858,3,1858.208,18.090,1.386
1858,4,1858.292,19.152,1.521
1858,5,1858.375,18.309,1.612
1858,6,1858.458,18.858,1.570
1858,7,1858.542,17.891,1.733
1858,8,1858.625,18.466,1.379
1858,9,1858.708,18.258,1.347
1858,10,1858.792,18.405,1.391
1858,11,1858.875,18.965,1.440
1858,12,1858.958,17.865,1.493
1859,1,1859.042,18.368,1.559
1859,2,1859.125,17.988,1.822
1859,3,1859.208,18.513,1.603
1859,4,1859.292,18.819,1.480
1859,5,1859.375,18.987,1.315
1859,6,1859.458,18.888,1.400
1859,7,1859.542,18.353,1.319
1859,8,1859.625,18.292,1.235
1859,9,1859.708,18.320,1.366
1859,10,1859.792,18.348,1.405
1859,11,1859.875,18.393,1.613
1859,12,1859.958,18.416,1.738
1860,1,1860.042,18.468,1.577
1860,2,1860.125,18.371,1.491
1860,3,1860.208,17.180,1.531
1860,4,1860.292,18.512,1.371
1860,5,1860.375,18.474,1.397
1860,6,1860.458,18.758,1.380
1860,7,1860.542,18.634,1.496
1860,9,1860.708,18.339,1.576
1860,10,1860.792,18.515,1.422
1860,11,1860.875,18.159,1.490
1860,12,1860.958,17.514,1.855
1861,1,1861.042,17.362,1.924
1861,2,1861.125,17.914,1.439
1861,3,1861.208,18.132,1.438
1861,4,1861.292,18.282,1.619
1861,5,1861.375,18.137,1.298
1861,6,1861.458,18.817,1.333
1861,7,1861.542,18.977,1.436
1861,8,1861.625,18.820,1.395
1861,9,1861.708,18.381,1.335
1861,10,1861.792,18.579,1.641
1861,11,1861.875,18.459,1.437
1861,12,1861.958,18.350,1.595
1862,1,1862.042,17.453,1.840
1862,2,1862.125,17.538,1.429
1862,3,1862.208,17.793,1.443
1862,4,1862.292,18.083,1.682
1862,5,1862.375,18.666,1.566
1862,6,1862.458,18.863,1.448
1862,7,1862.542,18.603,1.324
1862,8,1862.625,18.366,1.398
1862,9,1862.708,17.808,1.390
1862,10,1862.792,17.507,1.647
1862,11,1862.875,17.490,1.387
1862,12,1862.958,17.650,2.205
1863,1,1863.042,19.375,1.657
