# Monthly average temperature data for Sweden.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1750,1,1750.042,5.290,2.369
1750,2,1750.125,6.088,3.592
1750,3,1750.208,4.305,4.094
1750,4,1750.292,3.762,2.468
1750,5,1750.375,1.548,2.056
1750,6,1750.458,1.890,2.089
1750,7,1750.542,3.335,2.261
1750,8,1750.625,3.499,2.141
1750,9,1750.708,1.813,2.756
1750,10,1750.792,-2.040,2.075
1750,11,1750.875,-4.198,2.137
1750,12,1750.958,-1.367,2.367
1751,1,1751.042,1.818,2.348
1751,2,1751.125,-1.252,2.601
1751,3,1751.208,3.656,2.374
1751,4,1751.292,2.375,2.102
1751,5,1751.375,1.255,2.165
1751,6,1751.458,0.495,2.102
1751,7,1751.542,2.641,2.429
1751,8,1751.625,2.293,2.022
1751,9,1751.708,1.211,2.005
1751,10,1751.792,0.762,2.512
1751,11,1751.875,0.692,2.185
1751,12,1751.958,1.963,2.420
1752,1,1752.042,0.531,2.483
1752,2,1752.125,3.883,2.360
1752,3,1752.208,3.471,2.093
1752,4,1752.292,2.238,2.638
1752,5,1752.375,1.702,2.325
1752,6,1752.458,2.193,1.846
1752,7,1752.542,4.627,2.099
1752,8,1752.625,3.485,2.277
1752,10,1752.792,1.766,2.382
1752,11,1752.875,3.612,2.082
1752,12,1752.958,2.590,2.252
1753,1,1753.042,2.469,2.446
1753,2,1753.125,2.922,2.680
1753,3,1753.208,4.154,3.043
1753,4,1753.292,2.931,2.247
1753,5,1753.375,1.853,1.929
1753,6,1753.458,0.882,2.302
1753,7,1753.542,1.772,2.393
1753,8,1753.625,1.913,2.063
1753,9,1753.708,2.076,1.973
1753,10,1753.792,2.817,2.203
1753,11,1753.875,1.407,2.063
1753,12,1753.958,-4.261,2.943
1754,1,1754.042,2.216,2.366
1754,2,1754.125,1.816,2.852
1754,3,1754.208,0.410,2.103
1754,4,1754.292,3.508,2.040
1754,5,1754.375,3.175,2.077
1754,6,1754.458,2.183,2.102
1754,7,1754.542,1.279,2.563
1754,8,1754.625,1.020,2.143
1754,9,1754.708,1.005,2.073
1754,10,1754.792,1.874,2.224
1754,11,1754.875,1.780,2.840
1754,12,1754.958,2.303,2.254
1755,1,1755.042,0.379,2.396
1755,2,1755.125,-0.306,2.866
1755,3,1755.208,0.118,2.337
1755,4,1755.292,3.094,2.042
1755,5,1755.375,2.827,2.011
1755,6,1755.458,3.029,2.292
1755,7,1755.542,3.624,2.680
1755,8,1755.625,0.421,2.166
1755,9,1755.708,0.891,2.005
1755,10,1755.792,2.280,1.896
1755,11,1755.875,1.693,2.401
1755,12,1755.958,1.224,2.245
1756,1,1756.042,4.362,2.322
1756,2,1756.125,6.873,3.489
1756,3,1756.208,2.657,3.278
1756,4,1756.292,1.291,3.906
1756,5,1756.375,0.207,5.489
1756,6,1756.458,2.731,2.063
1756,7,1756.542,2.824,6.068
1756,8,1756.625,0.097,3.518
1756,9,1756.708,1.485,1.964
1756,10,1756.792,1.095,8.127
1756,11,1756.875,-0.807,2.026
1756,12,1756.958,-0.009,2.444
1757,1,1757.042,-0.267,2.892
1757,2,1757.125,4.749,3.800
1757,3,1757.208,1.698,4.048
1757,4,1757.292,4.244,2.329
1757,5,1757.375,1.729,2.106
1757,6,1757.458,3.822,2.491
1757,7,1757.542,5.651,3.021
1757,8,1757.625,3.434,3.818
1757,9,1757.708,2.802,5.535
1757,10,1757.792,-2.119,5.848
1757,11,1757.875,2.429,6.722
1757,12,1757.958,-0.212,3.612
1758,1,1758.042,-0.904,5.913
1758,2,1758.125,1.258,4.374
1758,3,1758.208,0.550,2.472
1758,4,1758.292,0.950,3.531
1758,5,1758.375,2.444,6.853
1758,6,1758.458,1.511,4.172
1758,7,1758.542,1.609,4.427
1758,8,1758.625,1.353,6.147
1758,9,1758.708,-0.286,2.718
1758,10,1758.792,-1.181,2.055
1758,11,1758.875,1.892,2.254
1758,12,1758.958,-0.146,2.174
1759,1,1759.042,5.327,2.837
1759,2,1759.125,6.540,6.321
1759,3,1759.208,2.961,3.664
1759,4,1759.292,2.040,4.397
1759,5,1759.375,0.153,4.035
1759,6,1759.458,3.047,3.941
1759,7,1759.542,2.837,5.014
1759,8,1759.625,3.052,2.091
1759,9,1759.708,0.960,2.857
1759,10,1759.792,0.609,6.531
1759,11,1759.875,0.163,7.038
1759,12,1759.958,-2.822,3.499
1760,1,1760.042,-4.230,3.078
1760,2,1760.125,3.540,7.476
1760,3,1760.208,0.111,3.029
1760,4,1760.292,0.679,3.011
1760,5,1760.375,2.012,2.854
1760,6,1760.458,2.121,2.028
1760,7,1760.542,2.317,2.129
1760,8,1760.625,1.542,6.217
1760,9,1760.708,2.942,2.563
1760,10,1760.792,-0.606,2.116
1760,11,1760.875,1.133,6.369
1760,12,1760.958,0.183,3.367
1761,1,1761.042,3.205,2.099
1761,2,1761.125,3.491,3.223
1761,3,1761.208,4.977,1.771
1761,4,1761.292,2.919,2.302
1761,5,1761.375,3.086,2.797
1761,6,1761.458,4.360,2.427
1761,7,1761.542,2.836,1.744
1761,8,1761.625,3.768,2.527
1761,9,1761.708,3.428,3.675
1761,10,1761.792,-1.269,3.153
1761,11,1761.875,2.214,10.316
1761,12,1761.958,-0.856,2.210
1762,1,1762.042,4.958,8.420
1762,2,1762.125,3.236,2.624
1762,3,1762.208,0.021,6.655
1762,4,1762.292,4.183,3.191
1762,5,1762.375,1.809,5.081
1762,6,1762.458,2.481,4.173
1762,7,1762.542,1.270,4.750
1762,8,1762.625,0.165,3.616
1762,9,1762.708,0.940,2.662
1762,10,1762.792,-3.401,6.857
1762,11,1762.875,2.338,2.119
1762,12,1762.958,2.598,2.200
1763,1,1763.042,1.558,7.601
1763,2,1763.125,2.161,7.758
1763,3,1763.208,-0.068,3.415
1763,4,1763.292,0.470,4.719
1763,5,1763.375,1.773,5.975
1763,6,1763.458,2.280,6.616
1763,7,1763.542,4.103,2.422
1763,8,1763.625,2.121,5.131
1763,9,1763.708,1.533,5.764
1763,10,1763.792,0.963,1.824
1763,11,1763.875,1.893,4.094
1763,12,1763.958,0.403,3.675
1764,1,1764.042,2.706,3.011
1764,2,1764.125,6.023,3.493
1764,3,1764.208,3.372,3.305
1764,4,1764.292,2.265,7.624
1764,5,1764.375,1.861,2.247
1764,6,1764.458,-0.881,6.046
1764,7,1764.542,4.102,5.412
1764,8,1764.625,1.208,1.935
1764,9,1764.708,0.770,5.283
1764,10,1764.792,1.127,3.098
1764,11,1764.875,0.875,3.867
1764,12,1764.958,0.126,3.727
1765,1,1765.042,1.180,10.287
1765,2,1765.125,0.667,4.711
1765,3,1765.208,3.349,2.844
1765,4,1765.292,2.838,2.031
1765,5,1765.375,0.620,2.212
1765,6,1765.458,-0.022,5.149
1765,7,1765.542,0.796,4.893
1765,8,1765.625,0.882,3.448
1765,9,1765.708,0.601,1.648
1765,10,1765.792,0.831,1.794
1765,11,1765.875,2.829,3.607
1765,12,1765.958,1.337,2.505
1766,1,1766.042,2.083,8.361
1766,2,1766.125,2.619,3.320
1766,3,1766.208,3.140,2.689
1766,4,1766.292,5.102,4.290
1766,5,1766.375,1.390,4.048
1766,6,1766.458,4.098,8.477
1766,7,1766.542,5.420,3.537
1766,8,1766.625,2.122,3.964
1766,9,1766.708,2.006,3.423
1766,10,1766.792,1.363,3.206
1766,11,1766.875,4.325,3.976
1766,12,1766.958,0.539,4.548
1767,1,1767.042,-3.480,7.432
1767,2,1767.125,2.365,9.423
1767,3,1767.208,2.312,8.095
1767,4,1767.292,0.355,6.985
1767,5,1767.375,1.110,2.816
1767,6,1767.458,0.955,5.029
1767,7,1767.542,1.246,5.607
1767,8,1767.625,3.640,2.931
1767,9,1767.708,3.594,4.143
1767,10,1767.792,1.315,3.892
1767,11,1767.875,4.162,10.636
1767,12,1767.958,0.933,5.383
1768,1,1768.042,0.206,6.307
1768,2,1768.125,0.852,7.307
1768,3,1768.208,-0.759,4.800
1768,4,1768.292,0.381,2.848
1768,5,1768.375,2.122,2.859
1768,6,1768.458,2.318,2.167
1768,7,1768.542,3.301,2.846
1768,8,1768.625,2.497,2.617
1768,9,1768.708,0.670,3.467
1768,10,1768.792,-1.196,2.857
1768,11,1768.875,1.410,5.623
1768,12,1768.958,4.010,8.492
1769,1,1769.042,3.843,7.284
1769,2,1769.125,2.229,5.522
1769,3,1769.208,2.862,5.806
1769,4,1769.292,2.921,5.390
1769,5,1769.375,2.478,6.576
1769,6,1769.458,2.387,2.595
1769,7,1769.542,2.318,2.834
1769,8,1769.625,1.706,4.155
1769,9,1769.708,2.005,1.556
1769,10,1769.792,-1.571,3.208
1769,11,1769.875,-0.092,1.921
1769,12,1769.958,0.423,3.880
1770,1,1770.042,1.357,6.462
1770,2,1770.125,4.402,3.260
1770,3,1770.208,-5.181,3.143
1770,4,1770.292,1.110,6.708
1770,5,1770.375,3.151,1.756
1770,6,1770.458,2.335,5.643
1770,7,1770.542,3.454,2.850
1770,8,1770.625,2.938,5.326
1770,9,1770.708,3.718,3.034
1770,10,1770.792,2.661,3.460
1770,11,1770.875,-0.593,7.725
1770,12,1770.958,-0.172,5.252
1771,1,1771.042,-0.448,3.116
1771,2,1771.125,-0.080,2.472
1771,3,1771.208,-2.328,3.384
1771,4,1771.292,-0.807,5.095
1771,5,1771.375,3.278,8.068
1771,6,1771.458,4.860,2.561
1771,7,1771.542,1.959,1.997
1771,8,1771.625,1.144,3.464
1771,9,1771.708,1.671,2.538
1771,10,1771.792,1.170,2.225
1771,11,1771.875,1.558,2.702
1771,12,1771.958,3.786,4.175
1772,1,1772.042,0.839,8.054
1772,2,1772.125,-1.845,10.177
1772,3,1772.208,-1.551,3.092
1772,4,1772.292,1.036,3.451
1772,5,1772.375,-0.006,1.724
1772,6,1772.458,1.545,6.848
1772,7,1772.542,2.596,4.039
1772,8,1772.625,2.295,5.001
1772,9,1772.708,1.562,3.615
