# Monthly average temperature data for Switzerland.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1750,1,1750.042,4.979,1.590
1750,2,1750.125,6.842,2.026
1750,3,1750.208,9.017,2.553
1750,4,1750.292,7.333,1.284
1750,5,1750.375,5.911,1.327
1750,6,1750.458,7.297,1.384
1750,7,1750.542,7.476,1.499
1750,8,1750.625,7.385,1.243
1750,9,1750.708,6.780,2.083
1750,10,1750.792,5.954,1.215
1750,11,1750.875,3.999,1.295
1750,12,1750.958,4.824,1.545
1751,1,1751.042,5.296,1.654
1751,2,1751.125,3.958,1.513
1751,3,1751.208,7.808,1.292
1751,4,1751.292,5.386,1.242
1751,5,1751.375,5.995,1.372
1751,6,1751.458,6.674,1.429
1751,7,1751.542,7.558,1.402
1751,8,1751.625,7.981,1.166
1751,9,1751.708,6.335,1.126
1751,10,1751.792,5.731,1.363
1751,11,1751.875,3.840,1.463
1751,12,1751.958,4.761,1.988
1752,1,1752.042,6.147,1.622
1752,2,1752.125,7.730,1.526
1752,3,1752.208,6.891,1.241
1752,4,1752.292,5.922,1.317
1752,5,1752.375,6.099,1.302
1752,6,1752.458,8.953,1.181
1752,7,1752.542,7.104,1.342
1752,8,1752.625,6.082,1.560
1752,10,1752.792,6.438,1.296
1752,11,1752.875,6.653,1.422
1752,12,1752.958,5.934,1.773
1753,1,1753.042,3.893,1.704
1753,2,1753.125,5.989,2.625
1753,3,1753.208,7.836,1.616
1753,4,1753.292,7.084,1.482
1753,5,1753.375,7.169,0.761
1753,6,1753.458,9.161,1.443
1753,7,1753.542,7.806,1.173
1753,8,1753.625,6.013,1.482
1753,9,1753.708,6.738,0.774
1753,10,1753.792,6.723,1.067
1753,11,1753.875,5.155,1.284
1753,12,1753.958,6.809,4.436
1754,1,1754.042,5.385,2.382
1754,2,1754.125,4.126,2.563
1754,3,1754.208,3.063,0.639
1754,4,1754.292,6.442,1.273
1754,5,1754.375,7.862,1.024
1754,6,1754.458,7.785,1.088
1754,7,1754.542,6.141,1.182
1754,8,1754.625,7.717,1.188
1754,9,1754.708,6.501,1.577
1754,10,1754.792,8.039,1.420
1754,11,1754.875,8.097,2.348
1754,12,1754.958,6.641,1.390
1755,1,1755.042,1.668,0.919
1755,2,1755.125,2.825,1.412
1755,3,1755.208,6.108,1.019
1755,4,1755.292,10.987,1.883
1755,5,1755.375,6.788,1.024
1755,6,1755.458,9.819,2.068
1755,7,1755.542,6.783,2.923
1755,8,1755.625,5.681,1.225
1755,9,1755.708,5.667,0.986
1755,10,1755.792,6.048,0.713
1755,11,1755.875,6.069,3.025
1755,12,1755.958,6.896,1.076
1756,1,1756.042,7.814,2.291
1756,2,1756.125,7.792,4.807
1756,3,1756.208,6.945,3.265
1756,4,1756.292,5.934,2.543
1756,5,1756.375,6.826,5.255
1756,6,1756.458,8.924,2.186
1756,7,1756.542,6.891,8.472
1756,8,1756.625,6.895,2.916
1756,9,1756.708,7.379,0.844
1756,10,1756.792,5.692,10.523
1756,11,1756.875,4.062,0.913
1756,12,1756.958,4.621,2.053
1757,1,1757.042,3.861,1.659
1757,2,1757.125,5.958,3.096
1757,3,1757.208,5.909,3.782
1757,4,1757.292,7.460,1.638
1757,5,1757.375,8.009,1.558
1757,6,1757.458,8.753,1.550
1757,7,1757.542,9.527,3.301
1757,8,1757.625,7.952,4.872
1757,9,1757.708,5.241,6.966
1757,10,1757.792,3.253,7.042
1757,11,1757.875,5.983,9.464
1757,12,1757.958,5.208,1.449
1758,1,1758.042,3.048,7.374
1758,2,1758.125,5.475,3.961
1758,3,1758.208,6.996,1.360
1758,4,1758.292,6.303,3.200
1758,5,1758.375,7.857,6.594
1758,6,1758.458,8.269,4.579
1758,7,1758.542,4.426,4.738
1758,8,1758.625,6.428,6.921
1758,9,1758.708,4.815,2.336
1758,10,1758.792,4.616,0.692
1758,11,1758.875,6.575,2.784
1758,12,1758.958,7.120,1.340
1759,1,1759.042,8.055,2.218
1759,2,1759.125,7.932,6.777
1759,3,1759.208,6.885,4.528
1759,4,1759.292,7.273,4.911
1759,5,1759.375,6.968,4.424
1759,6,1759.458,7.183,4.625
1759,7,1759.542,8.810,5.023
1759,8,1759.625,6.873,1.289
1759,9,1759.708,7.150,3.078
1759,10,1759.792,7.684,6.793
1759,11,1759.875,3.202,7.613
1759,12,1759.958,5.665,3.746
1760,1,1760.042,5.639,5.993
1760,2,1760.125,5.639,9.801
1760,3,1760.208,5.022,3.120
1760,4,1760.292,9.229,0.981
1760,5,1760.375,7.334,2.751
1760,6,1760.458,7.720,1.317
1760,7,1760.542,7.442,1.520
1760,8,1760.625,6.350,7.323
1760,9,1760.708,6.432,1.591
1760,10,1760.792,6.363,1.312
1760,11,1760.875,6.474,7.804
1760,12,1760.958,8.286,3.842
1761,1,1761.042,4.644,2.159
